transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
ETS1-1-t26_1	83.06	97.17	86.76	117.97	93.99	88.56	61.68	55.1	47.36	95.87	110.11	83.53
ETS1-2-t26_1	83.06	97.17	86.76	117.97	93.99	88.56	61.68	55.1	47.36	95.87	110.11	83.53
ETS2-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ETS2-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HRA1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ICR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
IRT1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.04
ITS1-1-t26_1	84.39	97.79	67.73	137.69	105.34	90.72	55.35	42.96	48.18	104.13	129.55	71.08
ITS1-2-t26_1	84.39	97.79	67.73	137.69	105.34	90.72	55.35	42.96	48.18	104.13	129.55	71.08
ITS2-1-t26_1	159.98	179.35	168.72	280.0	218.56	171.87	151.64	137.35	120.91	220.97	226.16	183.2
ITS2-2-t26_1	159.98	179.35	168.72	280.0	218.56	171.87	151.64	137.35	120.91	220.97	226.16	183.2
LSR1-t26_1	21.43	23.8	17.03	18.62	29.46	17.97	13.03	15.04	13.37	24.37	20.92	18.3
NME1-t26_1	16.31	12.6	10.51	13.59	13.82	9.9	20.27	15.93	12.24	19.01	16.12	10.32
PWR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0020-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045-t26_1	0.41	0.08	0.55	0.26	0.08	0.5	0.32	0.76	0.41	1.68	0.42	1.39
Q0050-t26_1	0.0	0.1	0.18	0.1	0.0	0.46	0.0	0.1	0.11	0.34	0.3	0.49
Q0055-t26_1	0.05	0.0	0.0	0.14	0.05	0.06	0.06	0.0	0.13	0.17	0.08	0.12
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.17	0.0	0.0
Q0065-t26_1	0.08	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.08	0.14	0.07	0.21
Q0070-t26_1	0.0	0.0	0.16	0.16	0.07	0.06	0.12	0.16	0.19	0.39	0.33	0.4
Q0075-t26_1	0.12	0.0	0.26	0.11	0.23	0.67	0.28	0.16	0.5	2.82	2.03	2.01
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
Q0085-t26_1	0.0	0.0	0.0	0.15	0.16	0.0	0.0	0.0	0.17	0.27	0.13	0.13
Q0105-t26_1	0.0	0.0	0.0	0.0	0.21	0.0	0.26	0.13	0.05	0.26	0.31	0.29
Q0110-t26_1	0.0	0.0	0.0	0.19	0.0	0.0	0.24	0.23	0.0	0.17	0.2	0.1
Q0115-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.09	0.16
Q0120-t26_1	0.0	0.0	0.29	0.06	0.0	0.0	0.08	0.21	0.18	0.27	0.37	0.25
Q0130-t26_1	1.63	1.04	0.38	0.0	1.56	0.89	1.25	1.42	2.5	1.34	3.45	0.87
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	0.18	0.13	0.0	0.06	0.18	0.09	0.22
Q0158-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	0.16	0.0	0.0	0.2	0.0	0.0	0.71	0.41	0.27
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.11
Q0275-t26_1	0.0	0.0	0.0	0.0	0.15	0.0	0.18	0.0	0.25	0.66	0.13	0.13
Q0285-t26_1	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.25	0.24	0.12
RDN18-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN18-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN25-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN25-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN37-1-t26_1	13.65	13.01	17.35	18.22	14.86	17.42	16.16	13.99	13.84	16.66	18.8	17.1
RDN37-2-t26_1	13.65	13.01	17.35	18.22	14.86	17.42	16.16	13.99	13.84	16.66	18.8	17.1
RDN5-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN5-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN5-3-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN5-4-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN5-5-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN5-6-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN58-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RDN58-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RME2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RME3-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA170-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
RUF20-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.13
RUF21-t26_1	0.2	0.0	0.28	0.0	0.0	0.0	0.0	0.09	0.1	0.0	0.0	0.0
RUF22-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RUF23-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RUF5-1-t26_1	0.1	0.0	0.1	0.0	0.14	0.22	0.33	0.06	0.0	0.16	0.0	0.11
RUF5-2-t26_1	0.1	0.0	0.1	0.0	0.14	0.22	0.33	0.06	0.0	0.16	0.0	0.11
SCR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
SRG1-t26_1	0.0	0.0	0.18	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.21	0.1
TLC1-t26_1	165.65	159.31	143.34	165.55	189.36	165.72	130.25	130.35	123.43	133.99	134.31	122.83
YAL001C-t26_1	20.23	17.83	18.77	21.91	24.49	21.23	19.01	19.67	20.4	26.63	17.63	24.72
YAL002W-t26_1	17.6	16.84	17.12	21.46	17.33	15.24	19.48	17.72	18.37	20.55	23.48	20.03
YAL003W-t26_1	3550.18	3877.18	3049.27	2878.11	2880.67	3060.06	2654.92	2642.37	2933.61	2560.23	2387.53	2707.25
YAL005C-t26_1	553.33	747.15	859.46	937.27	722.9	789.42	734.3	780.65	614.19	837.78	1022.59	981.57
YAL007C-t26_1	228.28	224.99	216.94	201.62	227.63	236.71	208.89	213.51	216.35	219.19	175.12	211.85
YAL008W-t26_1	47.27	48.85	38.86	48.08	59.1	60.17	44.04	48.75	46.52	70.81	63.27	65.53
YAL009W-t26_1	46.67	38.51	43.1	48.02	56.23	46.62	44.75	53.82	48.67	54.98	54.7	51.64
YAL010C-t26_1	20.05	17.02	19.18	21.19	23.23	24.5	18.24	18.78	20.12	26.29	14.59	23.54
YAL011W-t26_1	15.91	17.2	18.88	15.48	19.89	19.82	17.3	15.57	15.22	21.7	13.52	18.58
YAL012W-t26_1	550.08	625.87	581.39	669.98	570.3	603.78	702.23	684.92	723.56	804.7	1061.07	824.16
YAL013W-t26_1	37.65	45.46	37.17	47.38	48.66	44.36	40.25	39.48	42.86	55.59	66.67	57.29
YAL014C-t26_1	67.53	75.61	67.67	90.59	95.48	79.78	82.53	86.53	77.54	90.76	92.61	83.48
YAL015C-t26_1	26.67	27.97	25.32	28.89	32.16	31.64	33.85	36.19	28.41	33.13	32.2	33.38
YAL016W-t26_1	122.23	125.61	114.38	143.91	137.55	128.01	128.73	124.31	120.2	130.31	133.31	126.33
YAL017W-t26_1	19.09	17.25	19.61	23.25	23.05	19.04	21.27	21.64	19.18	26.41	24.77	21.59
YAL018C-t26_1	0.27	0.51	0.09	0.48	0.25	0.36	0.31	0.46	0.34	0.0	0.42	0.64
YAL019W-t26_1	31.54	27.49	29.34	33.97	36.29	35.77	29.7	30.85	34.1	45.67	33.23	42.79
YAL020C-t26_1	45.68	49.16	41.8	43.05	45.52	40.74	45.7	48.58	44.24	57.59	52.59	52.13
YAL021C-t26_1	35.25	31.49	39.26	46.83	39.56	31.37	43.49	48.61	40.1	40.46	51.32	40.01
YAL022C-t26_1	72.37	70.43	68.38	75.71	81.64	70.31	78.0	86.1	79.51	91.53	97.32	82.3
YAL023C-t26_1	241.93	245.74	235.08	249.14	226.65	183.05	229.45	233.83	224.23	219.82	255.32	221.9
YAL024C-t26_1	7.54	6.73	9.48	8.71	8.26	7.64	9.21	7.82	10.31	11.42	9.27	10.77
YAL025C-t26_1	85.3	87.2	105.87	87.93	126.98	129.51	91.06	98.85	101.79	112.05	95.41	110.78
YAL026C-t26_1	24.95	21.41	26.08	28.37	28.12	24.72	25.89	23.83	28.35	29.99	22.98	29.76
YAL027W-t26_1	23.49	19.03	23.48	25.41	30.42	32.53	24.67	19.53	26.89	32.38	20.54	29.82
YAL028W-t26_1	9.08	7.36	7.71	8.17	8.65	6.49	7.95	8.95	7.19	10.25	10.5	8.71
YAL029C-t26_1	29.99	27.47	37.99	37.67	35.87	32.29	36.56	33.33	33.86	39.49	31.08	36.99
YAL030W-t26_1	75.13	75.84	80.97	107.34	96.72	116.02	88.28	102.21	94.8	125.67	157.95	133.13
YAL031C-t26_1	24.08	22.1	21.89	29.72	27.0	21.1	24.0	26.74	23.58	28.55	28.95	26.33
YAL032C-t26_1	20.85	19.77	21.81	21.86	22.7	23.46	23.39	26.45	24.4	24.59	27.72	24.95
YAL033W-t26_1	79.16	85.85	77.7	80.92	93.34	99.18	93.37	83.42	93.16	104.17	59.26	95.52
YAL034C-t26_1	12.42	14.22	12.35	17.79	16.04	13.62	15.45	17.72	15.93	20.86	29.7	22.08
YAL034W-A-t26_1	18.71	17.07	17.77	16.59	19.11	24.36	11.85	14.55	16.4	22.53	15.62	18.96
YAL035W-t26_1	146.56	160.55	173.67	167.58	177.22	226.0	210.68	179.79	189.28	272.4	237.64	313.81
YAL036C-t26_1	194.77	200.03	191.67	247.42	250.93	238.54	264.08	250.27	244.96	330.55	296.1	337.09
YAL037C-A-t26_1	289.04	193.24	258.35	334.09	265.77	331.7	167.27	169.46	162.15	347.22	368.89	225.0
YAL037W-t26_1	8.41	7.75	11.25	8.97	12.49	13.17	11.69	7.16	14.01	11.58	10.11	14.74
YAL038W-t26_1	5250.06	5768.53	5321.86	5858.62	4630.92	5069.43	5337.18	5151.69	5095.47	4219.87	5329.43	4651.97
YAL039C-t26_1	49.94	50.5	44.35	55.31	53.56	52.54	55.64	53.67	62.85	65.25	65.39	64.71
YAL040C-t26_1	30.37	28.9	26.68	34.29	31.73	24.35	40.1	35.17	37.46	35.49	43.39	39.48
YAL041W-t26_1	34.7	33.02	33.7	44.09	44.77	37.43	42.52	45.98	47.83	50.98	44.11	48.96
YAL042W-t26_1	265.99	265.15	256.32	292.72	305.36	290.53	346.4	333.82	315.93	343.76	379.08	334.84
YAL043C-t26_1	45.64	48.71	44.51	67.77	54.78	44.26	53.51	51.52	48.47	58.09	71.25	61.31
YAL044C-t26_1	398.05	314.79	309.43	401.27	430.61	436.78	452.95	446.41	441.46	452.19	443.86	460.84
YAL044W-A-t26_1	100.8	92.59	100.73	84.98	85.1	101.54	91.91	116.94	104.3	94.26	98.8	95.75
YAL046C-t26_1	76.31	66.29	93.15	87.58	96.27	110.37	97.83	92.36	96.03	98.42	115.58	101.54
YAL047C-t26_1	11.22	8.67	10.99	10.2	14.5	13.41	13.52	14.85	12.01	18.98	9.59	15.75
YAL048C-t26_1	17.67	15.29	17.05	19.83	18.91	13.36	17.93	19.45	18.64	20.06	23.61	19.71
YAL049C-t26_1	100.81	97.32	104.48	99.58	114.44	112.34	93.94	88.27	96.85	98.64	96.76	100.22
YAL051W-t26_1	19.22	16.91	19.56	22.37	23.93	20.18	20.86	21.42	22.19	28.73	22.77	25.14
YAL053W-t26_1	60.76	58.25	54.77	71.95	66.41	50.35	67.92	77.63	71.48	95.0	96.79	82.1
YAL054C-t26_1	9.98	8.4	9.73	11.07	11.61	11.11	12.79	12.76	10.83	11.94	14.77	12.07
YAL055W-t26_1	22.61	16.43	21.24	17.52	24.04	22.49	16.66	17.04	21.83	33.08	17.88	24.07
YAL056W-t26_1	34.92	31.91	28.14	39.41	39.53	30.01	32.83	35.36	34.28	42.17	33.82	37.29
YAL058W-t26_1	39.47	40.17	40.66	41.07	40.83	42.45	40.41	43.93	39.61	40.52	48.01	41.3
YAL059W-t26_1	79.51	85.56	92.37	79.26	88.14	98.72	74.47	73.42	67.91	77.91	61.75	72.0
YAL060W-t26_1	120.93	125.85	104.79	121.67	118.92	105.67	136.01	134.62	127.77	106.48	116.38	105.5
YAL061W-t26_1	27.31	29.28	24.24	32.11	25.52	28.41	34.56	35.37	33.67	45.35	58.1	44.08
YAL062W-t26_1	21.13	24.46	24.08	23.44	16.96	20.33	26.21	27.64	24.11	22.08	30.11	26.26
YAL063C-t26_1	4.48	5.3	5.76	5.97	5.96	5.18	4.99	5.31	4.95	6.71	6.89	5.58
YAL063C-A-t26_1	3.93	5.02	3.07	3.97	6.66	3.82	6.01	4.36	4.89	6.1	5.18	3.49
