transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
ETS1-1-t26_1	68.5	80.15	71.99	103.98	79.86	71.51	52.19	47.09	39.88	84.23	98.6	72.54
ETS1-2-t26_1	68.5	80.15	71.99	103.98	79.86	71.51	52.19	47.09	39.88	84.23	98.6	72.54
ETS2-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ETS2-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HRA1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ICR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
IRT1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.03
ITS1-1-t26_1	69.6	80.66	56.2	121.36	89.51	73.25	46.84	36.71	40.57	91.49	116.01	61.72
ITS1-2-t26_1	69.6	80.66	56.2	121.36	89.51	73.25	46.84	36.71	40.57	91.49	116.01	61.72
ITS2-1-t26_1	131.93	147.93	139.98	246.79	185.71	138.78	128.31	117.39	101.8	194.14	202.51	159.08
ITS2-2-t26_1	131.93	147.93	139.98	246.79	185.71	138.78	128.31	117.39	101.8	194.14	202.51	159.08
LSR1-t26_1	17.67	19.63	14.13	16.41	25.03	14.51	11.03	12.86	11.25	21.41	18.74	15.89
NME1-t26_1	13.45	10.39	8.72	11.98	11.74	7.99	17.15	13.61	10.3	16.7	14.44	8.96
PWR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0020-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045-t26_1	0.34	0.06	0.46	0.23	0.07	0.4	0.27	0.65	0.34	1.47	0.38	1.21
Q0050-t26_1	0.0	0.08	0.15	0.08	0.0	0.37	0.0	0.08	0.09	0.3	0.27	0.42
Q0055-t26_1	0.04	0.0	0.0	0.12	0.04	0.05	0.05	0.0	0.11	0.15	0.07	0.11
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.15	0.0	0.0
Q0065-t26_1	0.06	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.07	0.12	0.06	0.18
Q0070-t26_1	0.0	0.0	0.14	0.14	0.06	0.04	0.1	0.14	0.16	0.34	0.29	0.34
Q0075-t26_1	0.1	0.0	0.21	0.1	0.2	0.54	0.24	0.14	0.42	2.48	1.82	1.74
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29
Q0085-t26_1	0.0	0.0	0.0	0.13	0.13	0.0	0.0	0.0	0.14	0.24	0.12	0.12
Q0105-t26_1	0.0	0.0	0.0	0.0	0.18	0.0	0.22	0.11	0.04	0.23	0.28	0.26
Q0110-t26_1	0.0	0.0	0.0	0.16	0.0	0.0	0.2	0.2	0.0	0.15	0.18	0.09
Q0115-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.08	0.14
Q0120-t26_1	0.0	0.0	0.24	0.05	0.0	0.0	0.07	0.18	0.15	0.24	0.33	0.22
Q0130-t26_1	1.35	0.86	0.32	0.0	1.32	0.72	1.06	1.21	2.1	1.18	3.09	0.76
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.0	0.05	0.16	0.08	0.19
Q0158-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	0.14	0.0	0.0	0.17	0.0	0.0	0.62	0.37	0.24
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1
Q0275-t26_1	0.0	0.0	0.0	0.0	0.13	0.0	0.16	0.0	0.21	0.58	0.11	0.11
Q0285-t26_1	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.22	0.22	0.11
