transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
ETS1-1-t26_1	410.12	500.48	609.62	641.01	487.01	800.5	265.45	626.85	458.93	575.52	687.58	1031.8
ETS1-2-t26_1	410.12	500.48	609.62	641.01	487.01	800.5	265.45	626.85	458.93	575.52	687.58	1031.8
ETS2-1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ETS2-2-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HRA1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ICR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
IRT1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
ITS1-1-t26_1	199.7	241.38	228.09	358.56	261.6	393.02	114.17	234.23	223.74	299.58	387.73	420.78
ITS1-2-t26_1	199.7	241.38	228.09	358.56	261.6	393.02	114.17	234.23	223.74	299.58	387.73	420.78
ITS2-1-t26_1	222.06	259.66	333.24	427.67	318.36	436.73	183.45	439.26	329.31	372.89	396.99	636.13
ITS2-2-t26_1	222.06	259.66	333.24	427.67	318.36	436.73	183.45	439.26	329.31	372.89	396.99	636.13
LSR1-t26_1	183.0	212.0	207.0	175.0	264.0	281.0	97.0	296.0	224.0	253.0	226.0	391.0
NME1-t26_1	36.0	29.0	33.0	33.0	32.0	40.0	39.0	81.0	53.0	51.0	45.0	57.0
PWR1-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0020-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045-t26_1	5.0	1.0	9.62	3.47	1.0	11.2	3.45	21.35	9.74	25.01	6.56	42.77
Q0050-t26_1	0.0	2.0	5.0	2.0	0.0	16.0	0.0	4.19	4.0	8.0	7.25	23.19
Q0055-t26_1	1.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	5.0	4.0	2.07	6.11
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
Q0065-t26_1	1.0	0.0	0.0	0.0	0.0	6.33	0.0	0.0	2.0	2.12	1.15	6.59
Q0070-t26_1	0.0	0.0	3.38	2.53	1.0	1.47	1.55	5.47	5.26	6.87	5.98	14.35
Q0075-t26_1	1.0	0.0	3.0	1.0	2.0	10.0	2.0	3.0	8.0	28.0	21.0	41.0
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Q0085-t26_1	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0
Q0105-t26_1	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.69	0.92	2.8	3.52	6.54
Q0110-t26_1	0.0	0.0	0.0	2.0	0.0	0.0	2.0	5.21	0.0	2.0	2.41	2.51
Q0115-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	1.29	4.8
Q0120-t26_1	0.0	0.0	6.0	1.0	0.0	0.0	1.0	7.1	5.08	4.84	6.78	9.15
Q0130-t26_1	3.0	2.0	1.0	0.0	3.0	3.0	2.0	6.0	9.0	3.0	8.0	4.0
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	2.0	1.0	5.0
Q0158-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	3.0	4.0
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Q0275-t26_1	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	5.0	1.0	2.0
Q0285-t26_1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
