transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
15S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
COX1	0.34	0.06	0.46	0.23	0.07	0.4
AI1	0.0	0.08	0.15	0.08	0.0	0.37
AI2	0.04	0.0	0.0	0.12	0.04	0.05
AI3	0.0	0.0	0.0	0.0	0.0	0.0
AI4	0.06	0.0	0.0	0.0	0.0	0.22
AI5_ALPHA	0.0	0.0	0.14	0.14	0.06	0.05
AI5_BETA	0.1	0.0	0.22	0.1	0.2	0.54
ATP8	0.0	0.0	0.0	0.0	0.0	0.0
ATP6	0.0	0.0	0.0	0.13	0.14	0.0
COB	0.0	0.0	0.0	0.0	0.18	0.0
BI2	0.0	0.0	0.0	0.17	0.0	0.0
BI3	0.0	0.0	0.0	0.0	0.0	0.0
BI4	0.0	0.0	0.24	0.06	0.0	0.0
OLI1	1.35	0.87	0.32	0.0	1.33	0.72
VAR1	0.0	0.0	0.0	0.0	0.0	0.15
21S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
SCEI	0.3	0.0	0.64	1.03	1.64	1.87
COX2	0.0	0.0	0.0	0.14	0.0	0.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0
COX3	0.0	0.0	0.0	0.0	0.13	0.0
RPM1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178148.1	16.75	14.77	15.64	19.41	20.91	17.21
NM_001178149.1	14.58	13.95	14.27	19.01	14.79	12.36
NM_001178150.1	2940.47	3211.13	2540.55	2549.64	2459.55	2481.32
NM_001178151.1	458.3	618.8	716.07	830.31	617.22	640.12
NM_001178152.1	189.07	186.34	180.74	178.61	194.35	191.94
NM_001178153.1	39.15	40.46	32.38	42.59	50.46	48.79
NM_001178154.1	38.66	31.9	35.91	42.54	48.01	37.8
NM_001178155.2	16.6	14.09	15.98	18.77	19.83	19.87
NM_001178156.1	13.18	14.24	15.73	13.71	16.98	16.08
NM_001178157.1	455.61	518.35	484.4	593.52	486.93	489.59
NM_001178158.2	31.19	37.65	30.97	41.97	41.55	35.97
NM_001178159.1	55.93	62.62	56.38	80.25	81.52	64.69
NM_001178160.1	22.09	23.17	21.1	25.59	27.46	25.65
NM_001178161.1	101.23	104.03	95.3	127.49	117.44	103.8
NM_001178162.2	15.81	14.28	16.34	20.59	19.68	15.44
NM_001178163.1	0.22	0.42	0.08	0.43	0.22	0.3
NM_001178164.1	26.12	22.77	24.45	30.09	30.98	29.0
NM_001178165.2	37.84	40.72	34.82	38.14	38.86	33.03
NM_001178166.1	29.19	26.08	32.71	41.49	33.77	25.44
NM_001178167.1	59.94	58.33	56.97	67.07	69.71	57.02
NM_001178168.1	200.38	203.52	195.87	220.71	193.52	148.43
NM_001178169.1	6.25	5.57	7.9	7.72	7.05	6.19
NM_001178170.2	70.65	72.22	88.21	77.89	108.42	105.01
NM_001178171.2	20.67	17.73	21.73	25.14	24.01	20.04
NM_001178172.1	19.46	15.76	19.56	22.51	25.98	26.38
NM_001178173.1	7.52	6.09	6.42	7.24	7.38	5.26
NM_001178174.1	24.84	22.75	31.65	33.37	30.63	26.18
NM_001178175.1	62.23	62.81	67.46	95.09	82.58	94.07
NM_001178176.1	19.95	18.3	18.24	26.33	23.05	17.11
NM_001178177.1	17.27	16.37	18.18	19.36	19.38	19.03
NM_001178178.1	65.56	71.1	64.74	71.69	79.7	80.42
NM_001180035.1	10.28	11.78	10.29	15.76	13.7	11.05
NM_001178179.1	15.49	14.14	14.81	14.7	16.32	19.75
NM_001178180.1	121.39	132.97	144.7	148.45	151.31	183.26
NM_001178181.1	161.32	165.67	159.69	219.19	214.25	193.42
NM_001184629.1	239.4	160.05	215.25	295.95	226.91	268.96
NM_001178182.1	6.97	6.42	9.38	7.94	10.66	10.68
NM_001178183.1	4348.42	4777.59	4434.0	5190.0	3953.93	4110.67
NM_001178184.1	41.37	41.82	36.95	49.0	45.73	42.61
