transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
15S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
COX1	5.0	1.0	9.62	3.47	1.0	11.2
AI1	0.0	2.0	5.0	2.0	0.0	16.0
AI2	1.0	0.0	0.0	3.0	1.0	2.0
AI3	0.0	0.0	0.0	0.0	0.0	0.0
AI4	1.0	0.0	0.0	0.0	0.0	6.33
AI5_ALPHA	0.0	0.0	3.38	2.53	1.0	1.47
AI5_BETA	1.0	0.0	3.0	1.0	2.0	10.0
ATP8	0.0	0.0	0.0	0.0	0.0	0.0
ATP6	0.0	0.0	0.0	1.0	1.0	0.0
COB	0.0	0.0	0.0	0.0	2.0	0.0
BI2	0.0	0.0	0.0	2.0	0.0	0.0
BI3	0.0	0.0	0.0	0.0	0.0	0.0
BI4	0.0	0.0	6.0	1.0	0.0	0.0
OLI1	3.0	2.0	1.0	0.0	3.0	3.0
VAR1	0.0	0.0	0.0	0.0	0.0	3.0
21S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
SCEI	2.0	0.0	6.0	7.0	11.0	23.0
COX2	0.0	0.0	0.0	1.0	0.0	0.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0
COX3	0.0	0.0	0.0	0.0	1.0	0.0
RPM1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178148.1	536.0	493.0	708.0	639.0	681.0	1030.0
NM_001178149.1	512.0	511.0	709.0	687.0	529.0	812.0
NM_001178150.1	17018.0	19386.0	20800.0	15182.0	14491.0	26854.0
NM_001178151.1	8141.95	11467.35	17995.99	15176.5	11162.66	21265.34
NM_001178152.1	1141.0	1173.0	1543.0	1109.0	1194.0	2166.0
NM_001178153.1	218.0	235.0	255.0	244.0	286.0	508.0
NM_001178154.1	280.0	241.0	368.0	317.0	354.0	512.0
NM_001178155.2	227.0	201.0	309.0	264.0	276.0	508.0
NM_001178156.1	228.0	257.0	385.0	244.0	299.0	520.0
NM_001178157.1	4990.0	5922.0	7505.0	6688.0	5429.0	10027.0
NM_001178158.2	351.0	442.0	493.0	486.0	476.0	757.0
NM_001178159.1	399.0	466.0	569.0	589.0	592.0	863.0
NM_001178160.1	245.0	268.0	331.0	292.0	310.0	532.0
NM_001178161.1	1779.0	1907.0	2369.0	2305.0	2101.0	3411.0
NM_001178162.2	591.0	557.0	864.0	792.0	749.0	1079.0
NM_001178163.1	2.0	4.0	1.0	4.0	2.0	5.0
NM_001178164.1	815.0	741.0	1079.0	966.0	984.0	1692.0
NM_001178165.2	351.0	394.0	457.0	364.0	367.0	573.0
NM_001178166.1	675.0	629.0	1070.0	987.0	795.0	1100.0
NM_001178167.1	859.0	872.0	1155.0	989.0	1017.0	1528.0
NM_001178168.1	4204.0	4454.0	5813.0	4764.0	4133.0	5823.0
NM_001178169.1	247.0	230.0	442.0	314.0	284.0	458.0
NM_001178170.2	603.0	643.0	1065.0	684.0	942.0	1676.0
NM_001178171.2	772.0	691.0	1148.0	966.0	913.0	1400.0
NM_001178172.1	142.0	120.0	202.0	169.0	193.0	360.0
NM_001178173.1	110.0	93.0	133.0	109.0	110.0	144.0
NM_001178174.1	1007.0	962.0	1815.0	1392.0	1264.0	1985.0
NM_001178175.1	208.0	219.0	319.0	327.0	281.0	588.0
NM_001178176.1	419.0	401.0	542.0	569.0	493.0	672.0
NM_001178177.1	182.0	180.0	271.0	210.0	208.0	375.0
NM_001178178.1	320.0	362.0	447.0	360.0	396.0	734.0
NM_001180035.1	118.0	141.0	167.0	186.0	160.0	237.0
NM_001178179.1	125.0	119.0	169.0	122.0	134.0	298.0
NM_001178180.1	3357.0	3836.0	5661.0	4224.0	4260.0	9477.0
NM_001178181.1	1656.0	1774.0	2319.0	2315.0	2239.0	3713.0
NM_001184629.1	228.0	159.0	290.0	290.0	220.0	479.0
NM_001178182.1	52.0	50.0	99.0	61.0	81.0	149.0
NM_001178183.1	60288.0	69095.0	86964.0	74033.0	55806.0	106573.0
NM_001178184.1	311.0	328.0	393.0	379.0	350.0	599.0
NM_001178185.1	404.0	401.0	505.0	502.0	443.0	593.0
NM_001178186.1	678.0	673.0	937.0	948.0	918.0	1339.0
NM_001178187.1	2540.0	2641.0	3483.0	3076.0	3060.0	5079.0
NM_001178188.1	820.0	913.0	1138.0	1340.0	1033.0	1456.0
NM_001178189.1	1582.0	1305.0	1750.0	1755.0	1796.0	3178.0
NM_001184453.1	263.0	252.0	374.0	244.0	233.0	485.0
NM_001178191.1	213.0	193.0	370.0	269.0	282.0	564.0
NM_001178192.2	160.0	129.0	223.0	160.0	217.0	350.0
NM_001178193.1	268.0	242.0	368.0	331.0	301.0	371.0
NM_001178194.1	575.0	579.0	848.0	625.0	685.0	1173.0
NM_001178195.2	460.0	422.0	666.0	589.0	601.0	884.0
NM_001178196.2	1089.0	1089.0	1397.0	1419.0	1249.0	1652.0
NM_001178197.1	163.0	143.0	226.0	199.0	199.0	332.0
NM_001178198.1	95.0	72.0	127.0	81.0	106.0	173.0
NM_001178199.2	703.0	670.0	806.0	873.0	835.0	1106.0
NM_001178200.1	455.0	483.0	667.0	521.0	494.0	896.0
NM_001178201.2	392.0	440.0	648.0	430.0	456.0	891.0
NM_001178202.2	1064.0	1155.0	1312.0	1178.0	1098.0	1702.0
NM_001178203.1	262.0	293.0	331.0	339.0	257.0	499.0
NM_001178204.1	222.0	268.0	360.0	271.0	187.0	391.0
NM_001178205.1	135.12	166.94	247.64	198.35	188.95	286.38
NM_001184642.1	9.0	12.0	10.0	10.0	16.0	16.0
NM_001180041.1	12.81	5.99	12.13	19.55	14.36	17.75
NM_001178206.2	3.0	4.0	6.0	1.0	6.0	5.0
NM_001180042.1	10.65	10.02	16.92	12.82	23.87	11.19
NM_001179897.1	27.41	19.45	28.19	29.04	18.33	24.15
NM_001178208.1	31.0	29.0	41.0	26.0	18.0	50.0
NM_001184582.1	1.0	1.0	2.0	2.0	0.0	0.0
NM_001180043.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180033.1	1918.0	2141.0	2906.0	1978.0	2109.0	3975.0
NM_001178209.1	1008.0	933.0	1452.0	1003.0	1130.0	1738.0
NM_001178210.1	488.0	514.0	636.0	605.0	568.0	947.0
NM_001178211.1	1145.0	1101.0	1573.0	1205.0	1341.0	2089.0
NM_001178212.1	269.0	245.0	425.0	270.0	323.0	608.0
NM_001178213.1	68.21	44.19	162.81	90.12	108.72	193.7
NM_001178214.1	1.0	0.0	3.0	4.0	2.0	0.0
NM_001178215.2	878.0	936.0	1165.0	1025.0	1013.0	1371.0
NM_001178216.1	2049.0	1868.0	2084.0	1480.0	1460.0	2258.0
NM_001178217.1	281.0	241.0	394.0	309.0	342.0	450.0
NM_001178218.2	258.0	264.0	313.0	363.0	291.0	453.0
NM_001178219.1	20.0	11.0	11.0	24.0	19.0	23.0
NM_001178220.2	57.0	39.0	78.0	75.0	56.0	78.0
NM_001178221.1	493.39	464.17	644.0	478.64	527.6	818.92
NM_001178222.1	258.0	234.0	388.0	340.0	313.0	528.0
NM_001178223.1	35.0	42.0	57.0	41.0	52.0	76.0
NM_001178224.1	146.93	157.21	255.15	155.65	155.94	291.42
