transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.34	0.06	0.46	0.23	0.07	0.4	0.27	0.65	0.34	1.48	0.38	1.22
Q0050	0.0	0.08	0.15	0.08	0.0	0.37	0.0	0.08	0.09	0.3	0.27	0.42
Q0055	0.04	0.0	0.0	0.12	0.04	0.05	0.05	0.0	0.11	0.15	0.08	0.11
Q0060	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.15	0.0	0.0
Q0065	0.06	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.07	0.12	0.06	0.18
Q0070	0.0	0.0	0.14	0.14	0.06	0.04	0.1	0.14	0.16	0.34	0.29	0.35
Q0075	0.1	0.0	0.21	0.1	0.2	0.54	0.24	0.14	0.42	2.49	1.83	1.75
Q0080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29
Q0085	0.0	0.0	0.0	0.13	0.14	0.0	0.0	0.0	0.14	0.24	0.12	0.12
Q0105	0.0	0.0	0.0	0.0	0.18	0.0	0.22	0.11	0.04	0.23	0.28	0.26
Q0110	0.0	0.0	0.0	0.17	0.0	0.0	0.2	0.2	0.0	0.15	0.18	0.09
Q0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.08	0.14
Q0120	0.0	0.0	0.24	0.05	0.0	0.0	0.07	0.18	0.15	0.24	0.33	0.22
Q0130	1.35	0.86	0.32	0.0	1.33	0.72	1.06	1.22	2.11	1.19	3.1	0.76
Q0140	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.0	0.05	0.16	0.08	0.19
Q0158	0.0	0.0	0.02	0.0	0.03	0.13	0.0	0.05	0.0	0.12	0.06	0.07
Q0160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
Q0250	0.0	0.0	0.0	0.14	0.0	0.0	0.17	0.0	0.0	0.62	0.37	0.24
Q0255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1
Q0275	0.0	0.0	0.0	0.0	0.13	0.0	0.16	0.0	0.21	0.58	0.11	0.11
Q0285	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.22	0.22	0.11
YAL001C	16.73	14.75	15.62	19.38	20.88	17.2	16.13	16.86	17.23	23.48	15.84	21.54
YAL002W	14.55	13.92	14.25	18.97	14.77	12.35	16.53	15.19	15.51	18.12	21.1	17.45
YAL003W	2936.26	3206.43	2537.0	2544.93	2455.81	2478.71	2252.78	2264.55	2477.19	2257.26	2145.06	2358.59
YAL005C	457.65	617.89	715.07	828.77	616.28	639.45	623.08	669.03	518.64	738.64	918.74	855.15
YAL007C	188.8	186.06	180.49	178.28	194.06	191.74	177.25	182.98	182.69	193.25	157.34	184.57
YAL008W	39.1	40.4	32.33	42.52	50.38	48.74	37.37	41.78	39.28	62.43	56.84	57.09
YAL009W	38.6	31.85	35.86	42.46	47.93	37.76	37.97	46.12	41.1	48.47	49.14	44.99
YAL010C	16.58	14.07	15.95	18.73	19.8	19.85	15.48	16.09	16.99	23.18	13.11	20.51
YAL011W	13.16	14.22	15.71	13.68	16.95	16.06	14.68	13.34	12.85	19.13	12.15	16.19
YAL012W	454.96	517.59	483.72	592.42	486.18	489.07	595.86	586.99	610.98	709.48	953.31	718.02
YAL013W	31.14	37.59	30.92	41.89	41.48	35.93	34.15	33.84	36.19	49.01	59.9	49.91
YAL014C	55.85	62.53	56.31	80.1	81.39	64.63	70.03	74.16	65.47	80.02	83.2	72.73
YAL015C	22.06	23.13	21.07	25.54	27.42	25.63	28.72	31.02	23.99	29.21	28.93	29.08
YAL016W	101.09	103.88	95.16	127.25	117.26	103.69	109.23	106.54	101.49	114.89	119.78	110.06
YAL017W	15.79	14.26	16.32	20.55	19.65	15.42	18.05	18.55	16.19	23.28	22.26	18.81
YAL018C	0.22	0.42	0.08	0.43	0.22	0.29	0.26	0.4	0.29	0.0	0.38	0.56
YAL019W	26.08	22.74	24.41	30.04	30.93	28.97	25.2	26.44	28.79	40.27	29.86	37.28
YAL020C	37.78	40.66	34.78	38.07	38.8	33.0	38.77	41.63	37.36	50.78	47.25	45.42
YAL021C	29.15	26.04	32.67	41.41	33.72	25.41	36.91	41.66	33.86	35.67	46.11	34.86
YAL022C	59.85	58.24	56.89	66.95	69.6	56.96	66.19	73.79	67.14	80.7	87.44	71.7
YAL023C	200.1	203.22	195.59	220.3	193.22	148.27	194.7	200.39	189.35	193.81	229.39	193.32
YAL024C	6.24	5.57	7.89	7.7	7.04	6.19	7.82	6.7	8.71	10.07	8.33	9.39
YAL025C	70.55	72.12	88.09	77.75	108.25	104.9	77.26	84.71	85.95	98.79	85.72	96.51
YAL026C	20.64	17.71	21.7	25.09	23.97	20.02	21.96	20.43	23.94	26.44	20.64	25.92
YAL027W	19.43	15.74	19.54	22.46	25.94	26.35	20.94	16.74	22.71	28.55	18.45	25.98
YAL028W	7.51	6.08	6.42	7.23	7.37	5.26	6.75	7.67	6.07	9.03	9.44	7.59
YAL029C	24.8	22.72	31.6	33.31	30.58	26.16	31.02	28.57	28.59	34.81	27.93	32.22
YAL030W	62.14	62.72	67.37	94.91	82.46	93.98	74.91	87.6	80.05	110.8	141.91	115.98
YAL031C	19.92	18.27	18.21	26.28	23.02	17.09	20.37	22.92	19.91	25.17	26.01	22.94
YAL032C	17.24	16.35	18.15	19.33	19.36	19.01	19.85	22.67	20.6	21.68	24.9	21.74
YAL033W	65.47	71.0	64.65	71.55	79.58	80.33	79.23	71.49	78.66	91.84	53.25	83.22
YAL034C	10.27	11.76	10.27	15.73	13.68	11.03	13.11	15.19	13.45	18.39	26.69	19.24
YAL034W-A	15.47	14.12	14.79	14.67	16.29	19.73	10.05	12.47	13.85	19.86	14.03	16.52
YAL035W	121.21	132.78	144.5	148.18	151.08	183.06	178.77	154.08	159.83	240.16	213.5	273.39
YAL036C	161.09	165.42	159.47	218.78	213.92	193.22	224.08	214.48	206.84	291.43	266.03	293.68
YAL037C-A	239.06	159.81	214.95	295.41	226.57	268.68	141.94	145.23	136.93	306.13	331.42	196.02
YAL037W	6.96	6.41	9.36	7.93	10.64	10.67	9.92	6.14	11.83	10.21	9.08	12.84
YAL038W	4342.18	4770.59	4427.8	5180.41	3947.91	4106.34	4528.77	4415.08	4302.7	3720.5	4788.2	4052.85
YAL039C	41.31	41.76	36.9	48.91	45.66	42.56	47.22	45.99	53.07	57.53	58.75	56.37
YAL040C	25.12	23.9	22.19	30.32	27.05	19.72	34.03	30.14	31.63	31.29	38.98	34.4
YAL041W	28.7	27.31	28.04	38.99	38.17	30.32	36.08	39.41	40.39	44.95	39.63	42.65
YAL042W	219.99	219.28	213.26	258.84	260.32	235.33	293.93	286.09	266.77	303.08	340.58	291.72
YAL043C	37.74	40.29	37.03	59.92	46.7	35.85	45.41	44.15	40.93	51.22	64.01	53.42
YAL044C	329.21	260.33	257.44	354.82	367.1	353.8	384.34	382.58	372.78	398.68	398.78	401.49
YAL044W-A	83.37	76.58	83.81	75.14	72.55	82.25	77.99	100.22	88.07	83.1	88.76	83.42
YAL046C	63.12	54.82	77.5	77.44	82.08	89.41	83.01	79.16	81.09	86.78	103.84	88.46
YAL047C	9.28	7.17	9.14	9.02	12.36	10.86	11.47	12.73	10.14	16.73	8.62	13.73
YAL048C	14.61	12.65	14.18	17.53	16.12	10.82	15.21	16.67	15.74	17.69	21.21	17.17
YAL049C	83.38	80.48	86.93	88.05	97.56	90.99	79.71	75.64	81.78	86.96	86.94	87.31
YAL051W	15.9	13.98	16.27	19.78	20.4	16.35	17.7	18.36	18.74	25.33	20.45	21.9
YAL053W	50.25	48.17	45.57	63.62	56.61	40.78	57.63	66.53	60.36	83.75	86.96	71.52
YAL054C	8.26	6.94	8.09	9.79	9.9	9.0	10.85	10.93	9.14	10.52	13.27	10.51
YAL055W	18.7	13.59	17.67	15.49	20.49	18.22	14.13	14.61	18.43	29.17	16.06	20.97
YAL056W	28.88	26.39	23.41	34.85	33.7	24.31	27.86	30.3	28.94	37.18	30.39	32.49
YAL058W	32.64	33.22	33.83	36.31	34.81	34.39	34.29	37.65	33.44	35.73	43.13	35.98
YAL059W	65.76	70.76	76.85	70.08	75.14	79.96	63.19	62.92	57.35	68.69	55.48	62.73
YAL060W	100.02	104.08	87.19	107.58	101.38	85.59	115.41	115.37	107.89	93.88	104.56	91.91
YAL061W	22.58	24.21	20.17	28.39	21.76	23.01	29.32	30.31	28.43	39.98	52.2	38.4
YAL062W	17.48	20.23	20.04	20.73	14.46	16.47	22.24	23.69	20.36	19.47	27.05	22.87
YAL063C	3.7	4.38	4.8	5.28	5.08	4.2	4.23	4.55	4.18	5.91	6.19	4.86
YAL063C-A	3.25	4.15	2.55	3.51	5.67	3.09	5.1	3.73	4.13	5.38	4.65	3.04
YAL064C-A	3.56	1.6	2.39	5.28	3.92	2.64	4.08	3.46	5.35	5.9	6.31	3.38
YAL064W	1.11	1.41	1.56	0.36	2.17	0.99	0.43	0.99	0.38	1.62	1.58	1.71
YAL064W-B	2.96	2.67	3.33	3.47	6.52	1.66	5.01	2.07	3.55	5.88	8.18	3.7
YAL065C	7.51	5.11	5.46	7.73	4.93	3.54	7.8	9.66	5.67	7.63	6.87	5.81
YAL067C	1.89	1.69	1.76	1.54	1.08	1.63	2.43	1.75	2.03	2.56	3.13	3.2
YAL067W-A	0.46	0.44	0.65	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.38
YAL068C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0
YAR002C-A	311.69	333.54	333.85	312.3	336.64	345.49	338.02	317.98	325.44	325.3	344.36	346.31
YAR002W	67.39	59.8	68.63	65.15	74.21	62.16	65.4	70.99	64.67	67.94	62.77	66.92
YAR003W	41.19	41.59	37.95	49.61	47.09	42.76	39.94	44.26	40.71	52.76	47.27	45.67
YAR007C	66.52	61.32	64.6	68.01	76.52	64.92	65.79	66.28	63.96	79.05	63.82	71.09
YAR008W	34.96	30.52	39.05	34.09	41.23	42.27	33.81	42.96	38.34	45.35	30.25	41.48
YAR009C	2.06	1.28	3.48	2.65	3.23	3.14	1.83	1.92	2.78	2.43	2.02	2.09
YAR010C	0.08	0.0	0.17	0.32	0.16	0.0	0.0	0.07	0.04	0.07	0.0	0.17
YAR014C	44.72	45.7	41.95	50.72	50.68	37.36	42.45	49.93	45.18	50.46	44.18	47.29
YAR015W	239.73	209.51	172.37	168.23	167.78	141.33	145.02	131.7	134.59	104.64	109.24	103.46
YAR018C	23.23	19.1	23.03	24.82	27.77	19.9	25.69	24.95	26.58	32.04	36.71	34.22
YAR019C	9.58	9.4	8.22	13.1	10.62	9.0	10.84	12.28	10.67	14.26	15.6	13.79
YAR020C	12.18	6.42	4.74	14.2	11.37	7.5	17.21	9.31	10.46	13.35	13.08	12.83
YAR023C	11.28	7.4	10.91	14.42	10.89	8.26	15.38	12.01	11.64	13.36	14.62	10.17
YAR027W	74.83	67.48	69.05	70.53	78.59	66.44	62.61	65.7	65.64	83.24	59.76	67.69
YAR028W	39.29	34.16	41.77	50.31	46.82	43.02	46.25	43.7	41.05	48.87	42.78	45.98
YAR029W	16.17	18.6	18.62	18.41	23.6	18.79	15.77	18.08	18.51	19.04	21.43	20.23
YAR031W	17.64	18.1	21.66	18.16	18.39	18.72	19.09	20.25	17.25	20.31	22.75	17.95
YAR033W	34.07	29.24	26.85	32.68	38.78	34.45	32.96	37.59	34.51	39.84	44.86	37.05
YAR035C-A	2.37	2.27	5.03	1.15	4.66	2.54	6.98	5.33	8.63	9.35	15.27	4.99
YAR035W	6.46	7.3	5.39	9.45	9.34	6.41	11.07	11.67	11.59	13.5	17.87	13.74
YAR042W	18.22	18.26	21.09	21.23	19.55	14.61	21.56	20.22	20.11	24.1	24.53	23.33
YAR050W	1.62	1.42	1.87	2.71	1.84	1.17	3.13	2.83	2.5	2.98	4.56	3.09
YAR061W	4.5	3.19	3.59	3.73	3.08	1.86	4.39	4.18	2.36	4.28	4.72	3.52
YAR064W	1.97	6.52	6.57	5.45	4.13	2.6	2.87	6.04	4.12	1.76	4.24	4.87
YAR066W	7.09	0.0	8.16	7.82	3.44	2.75	0.0	2.82	6.83	2.54	1.3	1.65
YAR068W	31.81	19.35	34.9	28.35	20.47	25.0	23.24	28.32	27.17	39.24	49.38	35.94
YAR071W	66.15	64.95	66.75	27.27	23.49	11.54	20.62	25.19	17.93	10.62	10.63	10.08
YBL001C	254.88	250.75	225.11	267.45	281.23	294.72	272.47	270.32	258.61	347.54	293.63	310.84
YBL002W	1109.61	1175.0	1191.94	1082.19	1075.15	1073.85	1083.39	1221.29	1140.01	1027.0	1227.11	1090.92
YBL003C	1667.72	1429.03	1714.06	1542.18	1728.03	1760.48	1766.39	1665.18	1807.53	1655.05	1185.36	1704.64
YBL004W	16.56	15.78	22.06	20.88	19.03	17.33	19.99	19.68	21.76	23.03	21.74	19.84
YBL005W	27.95	24.16	30.47	37.23	32.66	31.25	28.32	29.64	28.17	34.97	39.16	33.94
YBL005W-A	22.64	21.5	24.92	33.35	34.72	23.97	43.48	40.01	46.92	55.9	75.9	48.99
YBL005W-B	6.71	5.5	8.74	8.59	9.37	7.38	10.18	9.75	10.17	11.18	10.43	10.64
YBL006C	96.64	77.55	84.04	80.32	90.29	80.87	83.87	90.2	91.76	81.11	79.63	78.65
YBL007C	55.45	54.25	54.84	69.26	56.67	40.88	65.04	61.89	60.52	63.96	83.01	68.36
YBL008W	17.3	14.4	16.88	20.77	23.2	17.95	17.58	21.47	20.17	24.21	22.29	21.32
YBL008W-A	1.78	2.08	2.76	2.58	3.41	2.38	4.6	3.43	3.0	3.92	5.6	8.33
YBL009W	32.73	35.22	38.2	38.6	37.82	32.37	35.26	35.49	37.7	39.75	37.61	39.78
YBL010C	25.67	22.03	25.18	25.68	31.1	24.66	21.79	27.39	26.44	30.12	25.88	29.36
YBL011W	42.6	48.09	43.64	50.64	45.16	35.24	42.3	47.63	43.04	45.57	52.25	44.37
YBL013W	6.0	5.33	4.12	6.79	4.4	2.11	6.96	7.58	5.97	6.21	7.08	7.58
YBL014C	17.88	14.66	17.27	24.64	23.24	17.09	20.23	20.99	20.9	23.51	22.44	23.84
YBL015W	25.96	26.13	21.6	23.49	23.88	17.44	24.83	25.01	24.09	22.76	28.48	24.92
YBL016W	61.79	54.36	52.44	63.68	63.19	58.17	47.85	58.32	55.36	48.74	53.25	47.54
YBL017C	24.1	25.87	26.37	28.25	26.42	21.14	28.58	30.48	27.01	29.76	37.36	25.92
YBL018C	95.05	79.73	94.26	106.45	120.07	101.13	106.29	113.16	111.0	95.61	88.67	101.17
YBL019W	14.55	14.88	12.15	12.45	17.35	13.53	13.7	15.33	14.45	18.71	16.01	15.69
YBL020W	37.06	38.06	34.77	53.95	45.04	34.28	40.52	43.56	43.66	52.21	57.89	47.29
YBL021C	35.7	34.22	34.57	42.52	44.67	46.56	43.75	50.25	40.2	57.67	59.64	52.61
YBL022C	48.31	45.67	51.81	77.1	77.23	63.67	68.07	67.19	65.69	89.64	77.86	84.97
YBL023C	25.78	26.87	23.06	27.8	25.94	21.03	22.36	25.46	22.82	27.21	27.73	23.34
YBL024W	84.61	84.8	99.29	96.86	87.41	99.36	96.49	93.38	90.98	88.71	79.75	92.72
YBL025W	32.06	32.36	36.4	42.23	45.08	43.0	39.45	32.55	37.15	41.31	41.09	39.17
YBL026W	143.33	94.04	151.08	109.84	120.36	167.01	115.48	111.69	131.12	132.06	85.83	127.61
YBL027W	2517.18	2693.8	2905.69	2392.14	2415.52	2863.56	2610.72	2495.85	2404.55	2306.33	2349.2	2524.7
YBL028C	129.41	103.9	144.42	103.71	140.98	188.89	142.66	111.96	135.0	152.34	76.74	157.24
YBL029C-A	46.05	48.03	36.98	37.58	39.44	32.91	32.09	33.96	42.55	40.7	35.12	38.62
YBL029W	13.37	13.55	12.15	11.6	16.88	12.67	11.02	13.1	12.77	14.23	15.5	14.51
YBL030C	235.32	310.79	231.26	377.03	307.93	285.89	321.83	328.99	317.14	405.65	477.31	440.51
YBL031W	23.44	14.54	19.8	24.11	22.3	22.59	22.85	26.28	23.57	27.81	25.6	25.64
YBL032W	131.95	159.37	118.19	125.26	120.16	112.08	124.37	125.92	124.65	113.87	115.03	108.22
YBL033C	43.66	44.24	40.27	47.77	51.15	42.26	46.38	52.31	48.24	57.42	61.88	50.73
YBL034C	6.32	5.33	8.57	6.45	7.67	7.28	7.56	8.05	7.84	9.7	7.59	9.6
YBL035C	25.87	28.38	26.87	35.78	32.5	27.1	29.12	29.76	28.17	31.66	31.94	31.55
YBL036C	121.55	121.84	136.2	146.7	161.95	152.94	135.72	118.19	118.53	158.09	135.07	155.7
YBL037W	13.73	14.82	16.55	22.22	15.6	15.35	17.2	20.32	19.54	21.82	25.99	22.21
YBL038W	53.45	43.87	56.13	53.42	65.77	62.12	58.94	49.73	50.34	69.08	56.2	59.5
YBL039C	197.91	190.92	191.2	190.28	189.81	167.54	167.65	173.83	169.0	157.26	153.15	151.72
YBL039W-B	35.4	21.34	41.57	33.28	35.33	24.13	37.63	30.04	34.16	43.05	36.29	43.03
YBL040C	208.18	176.66	205.41	231.3	238.63	220.04	240.27	220.78	237.68	253.63	207.43	246.41
YBL041W	253.45	213.6	250.29	252.27	287.17	258.75	222.93	245.53	260.35	268.28	251.51	261.29
YBL042C	69.35	68.15	63.83	64.24	60.9	54.62	68.47	70.22	71.4	63.48	64.75	53.31
YBL043W	0.56	0.67	1.08	1.62	1.77	0.97	0.98	1.81	2.02	2.8	2.62	3.1
YBL044W	1.72	2.2	2.03	1.12	1.69	1.69	2.7	1.68	1.64	2.01	2.22	3.38
YBL045C	91.64	90.27	86.16	119.17	127.44	101.47	128.54	124.7	144.15	204.61	131.26	190.95
YBL046W	26.83	24.63	29.58	27.18	33.89	31.24	26.88	26.0	26.35	38.69	28.23	36.85
YBL047C	32.66	30.78	37.81	42.53	38.67	31.97	45.14	45.13	43.25	49.86	48.22	50.08
YBL048W	10.13	4.85	6.44	7.87	10.28	10.11	12.32	13.51	11.42	12.14	11.89	10.23
YBL049W	18.6	16.12	17.11	23.51	23.02	16.9	16.19	20.39	21.47	27.48	24.51	27.03
YBL050W	105.98	112.05	101.6	107.85	119.02	110.9	95.48	97.91	88.48	108.39	100.82	100.81
YBL051C	24.32	19.94	32.47	33.7	31.79	31.31	35.56	30.98	39.73	49.79	47.16	52.47
YBL052C	20.31	16.64	24.08	18.26	27.09	25.18	18.64	18.82	24.8	30.74	15.58	27.11
YBL054W	31.91	28.09	34.06	40.4	40.78	36.53	42.09	39.84	43.6	46.63	40.44	37.33
YBL055C	43.6	39.49	48.63	46.29	41.56	43.25	46.46	41.69	40.85	35.36	37.67	38.75
YBL056W	157.72	152.23	152.59	186.18	181.73	160.24	164.48	164.24	159.08	187.24	152.85	182.46
YBL057C	106.14	91.42	113.7	118.56	125.74	117.13	119.31	96.31	108.31	121.39	117.45	116.51
YBL058W	131.06	129.87	135.85	197.51	190.34	168.78	176.98	182.62	163.35	234.22	231.13	227.46
YBL059C-A	48.29	36.79	57.87	46.91	66.9	54.23	58.72	55.22	55.24	65.89	47.79	71.77
YBL059W	15.45	10.93	21.97	21.44	20.23	21.94	22.3	20.92	21.34	25.47	28.59	25.78
YBL060W	21.07	16.57	18.8	21.04	28.6	23.02	19.18	20.84	21.55	32.07	24.65	27.62
YBL061C	37.66	30.43	41.92	38.61	42.09	39.16	38.41	38.8	42.02	53.44	33.15	50.48
