transcript_id	wt_mrna_YPD1.genes.results	wt_mrna_YPD2.genes.results	wt_mrna_YPD3.genes.results	ncs2d_mrna_YPD1.genes.results	ncs2d_mrna_YPD2.genes.results	ncs2d_mrna_YPD3.genes.results	elp6d_mrna_YPD1.genes.results	elp6d_mrna_YPD2.genes.results	elp6d_mrna_YPD3.genes.results	ncs2d_elp6d_mrna_YPD1.genes.results	ncs2d_elp6d_mrna_YPD2.genes.results	ncs2d_elp6d_mrna_YPD3.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	5.0	1.0	9.62	3.47	1.0	11.2	3.45	21.35	9.74	25.01	6.56	42.77
Q0050	0.0	2.0	5.0	2.0	0.0	16.0	0.0	4.19	4.0	8.0	7.25	23.19
Q0055	1.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	5.0	4.0	2.07	6.11
Q0060	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
Q0065	1.0	0.0	0.0	0.0	0.0	6.33	0.0	0.0	2.0	2.12	1.15	6.59
Q0070	0.0	0.0	3.38	2.53	1.0	1.47	1.55	5.47	5.26	6.87	5.98	14.35
Q0075	1.0	0.0	3.0	1.0	2.0	10.0	2.0	3.0	8.0	28.0	21.0	41.0
Q0080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Q0085	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0
Q0105	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.69	0.92	2.8	3.52	6.54
Q0110	0.0	0.0	0.0	2.0	0.0	0.0	2.0	5.21	0.0	2.0	2.41	2.51
Q0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	1.29	4.8
Q0120	0.0	0.0	6.0	1.0	0.0	0.0	1.0	7.1	5.08	4.84	6.78	9.15
Q0130	3.0	2.0	1.0	0.0	3.0	3.0	2.0	6.0	9.0	3.0	8.0	4.0
Q0140	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	2.0	1.0	5.0
Q0158	0.0	0.0	1.0	0.0	1.0	7.0	0.0	3.0	0.0	4.0	2.0	5.0
Q0160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q0250	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	5.0	3.0	4.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Q0275	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	5.0	1.0	2.0
Q0285	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
YAL001C	536.0	493.0	708.0	639.0	681.0	1030.0	439.0	1201.0	1061.0	858.0	591.0	1639.0
YAL002W	512.0	511.0	709.0	687.0	529.0	812.0	494.0	1188.0	1049.0	727.0	864.0	1458.0
YAL003W	17018.0	19386.0	20800.0	15182.0	14491.0	26854.0	11092.0	29185.0	27595.0	14921.0	14474.0	32465.0
YAL005C	8141.95	11467.35	17996.0	15176.5	11162.66	21265.33	9417.09	26467.14	17734.48	14987.69	19029.37	36131.95
