transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.41	0.08	0.55	0.26	0.08	0.5	0.32	0.76	0.41	1.68	0.42	1.39
Q0050	0.0	0.1	0.18	0.1	0.0	0.46	0.0	0.1	0.11	0.34	0.3	0.49
Q0055	0.05	0.0	0.0	0.14	0.05	0.06	0.06	0.0	0.13	0.17	0.08	0.12
Q0060	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.17	0.0	0.0
Q0065	0.08	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.08	0.14	0.07	0.21
Q0070	0.0	0.0	0.16	0.16	0.07	0.06	0.12	0.16	0.19	0.39	0.33	0.4
Q0075	0.12	0.0	0.26	0.11	0.23	0.67	0.28	0.16	0.5	2.82	2.03	2.01
Q0080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
Q0085	0.0	0.0	0.0	0.15	0.16	0.0	0.0	0.0	0.17	0.27	0.13	0.13
Q0105	0.0	0.0	0.0	0.0	0.21	0.0	0.26	0.13	0.05	0.26	0.31	0.29
Q0110	0.0	0.0	0.0	0.19	0.0	0.0	0.24	0.23	0.0	0.17	0.2	0.1
Q0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.09	0.16
Q0120	0.0	0.0	0.29	0.06	0.0	0.0	0.08	0.21	0.18	0.27	0.37	0.25
Q0130	1.63	1.04	0.38	0.0	1.56	0.89	1.25	1.42	2.5	1.34	3.45	0.87
Q0140	0.0	0.0	0.0	0.0	0.0	0.18	0.13	0.0	0.06	0.18	0.09	0.22
Q0158	0.0	0.0	0.03	0.0	0.04	0.16	0.0	0.05	0.0	0.13	0.06	0.08
Q0160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
Q0250	0.0	0.0	0.0	0.16	0.0	0.0	0.2	0.0	0.0	0.71	0.41	0.27
Q0255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.11
Q0275	0.0	0.0	0.0	0.0	0.15	0.0	0.18	0.0	0.25	0.66	0.13	0.13
Q0285	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.25	0.24	0.12
NM_001178148.1	20.23	17.84	18.78	21.91	24.49	21.23	19.01	19.67	20.4	26.63	17.63	24.72
NM_001178149.1	17.6	16.84	17.13	21.46	17.33	15.25	19.48	17.72	18.37	20.55	23.48	20.03
NM_001178150.1	3550.87	3877.85	3049.65	2878.55	2881.08	3060.65	2654.88	2642.31	2933.53	2560.04	2387.27	2707.0
NM_001178151.1	553.44	747.28	859.56	937.42	723.0	789.57	734.29	780.63	614.18	837.72	1022.48	981.48
NM_001178152.1	228.32	225.03	216.96	201.65	227.66	236.75	208.89	213.51	216.34	219.17	175.1	211.83
NM_001178153.1	47.28	48.86	38.86	48.09	59.11	60.18	44.04	48.75	46.52	70.8	63.26	65.53
NM_001178154.1	46.68	38.52	43.11	48.02	56.23	46.62	44.75	53.82	48.67	54.97	54.69	51.63
NM_001178155.2	20.05	17.02	19.18	21.19	23.23	24.51	18.24	18.78	20.12	26.29	14.59	23.54
NM_001178156.1	15.92	17.2	18.89	15.48	19.89	19.83	17.3	15.57	15.22	21.7	13.52	18.58
NM_001178157.1	550.19	625.97	581.46	670.08	570.38	603.9	702.22	684.91	723.54	804.64	1060.95	824.08
NM_001178158.2	37.66	45.47	37.17	47.39	48.67	44.37	40.25	39.48	42.86	55.58	66.67	57.29
NM_001178159.1	67.54	75.63	67.68	90.6	95.49	79.8	82.53	86.53	77.54	90.76	92.6	83.48
NM_001178160.1	26.68	27.98	25.33	28.89	32.17	31.64	33.85	36.19	28.41	33.13	32.19	33.38
NM_001178161.1	122.25	125.63	114.39	143.93	137.57	128.04	128.73	124.31	120.19	130.3	133.3	126.32
NM_001178162.2	19.09	17.25	19.61	23.25	23.06	19.04	21.27	21.64	19.17	26.4	24.77	21.59
NM_001178163.1	0.27	0.51	0.09	0.48	0.25	0.36	0.31	0.46	0.34	0.0	0.42	0.64
