Sample	Tercile	Covered	Uncovered
SRR1944924	10	5471	556
SRR1944924	20	5589	438
SRR1944924	30	5638	389
SRR1944924	40	5672	355
SRR1944924	50	5699	328
SRR1944924	60	5710	317
SRR1944924	70	5744	283
SRR1944924	80	5752	275
SRR1944924	90	5762	265
SRR1944924	0	6027	0
SRR1944925	10	5445	582
SRR1944925	20	5591	436
SRR1944925	30	5645	382
SRR1944925	40	5668	359
SRR1944925	50	5689	338
SRR1944925	60	5723	304
SRR1944925	70	5741	286
SRR1944925	80	5739	288
SRR1944925	90	5749	278
SRR1944925	0	6027	0
SRR1944926	10	5545	482
SRR1944926	20	5622	405
SRR1944926	30	5688	339
SRR1944926	40	5695	332
SRR1944926	50	5751	276
SRR1944926	60	5748	279
SRR1944926	70	5761	266
SRR1944926	80	5769	258
SRR1944926	90	5796	231
SRR1944926	0	6027	0
SRR1944927	10	5492	535
SRR1944927	20	5606	421
SRR1944927	30	5670	357
SRR1944927	40	5712	315
SRR1944927	50	5747	280
SRR1944927	60	5748	279
SRR1944927	70	5771	256
SRR1944927	80	5783	244
SRR1944927	90	5798	229
SRR1944927	0	6027	0
SRR1944928	10	5487	540
SRR1944928	20	5603	424
SRR1944928	30	5649	378
SRR1944928	40	5700	327
SRR1944928	50	5727	300
SRR1944928	60	5755	272
SRR1944928	70	5759	268
SRR1944928	80	5769	258
SRR1944928	90	5789	238
SRR1944928	0	6027	0
SRR1944929	10	5584	443
SRR1944929	20	5662	365
SRR1944929	30	5706	321
SRR1944929	40	5745	282
SRR1944929	50	5753	274
SRR1944929	60	5774	253
SRR1944929	70	5793	234
SRR1944929	80	5793	234
SRR1944929	90	5795	232
SRR1944929	0	6027	0
