Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
SRR1944924	37	3	1	0.0	0.0012
SRR1944924	38	20	1	0.0002	0.0012
SRR1944924	39	90	1	0.0011	0.0012
SRR1944924	40	159	1	0.0019	0.0012
SRR1944924	41	302	0	0.0037	0.0
SRR1944924	42	22	0	0.0003	0.0
SRR1944924	43	596	3	0.0073	0.0035
SRR1944924	44	1311	16	0.0161	0.0189
SRR1944924	50	8158108	84526	99.9693	99.9728
SRR1944925	36	1	0	0.0	0.0
SRR1944925	38	15	0	0.0002	0.0
SRR1944925	39	107	6	0.0012	0.007
SRR1944925	40	152	2	0.0018	0.0023
SRR1944925	41	327	0	0.0038	0.0
SRR1944925	42	17	0	0.0002	0.0
SRR1944925	43	649	1	0.0076	0.0012
SRR1944925	44	1313	14	0.0153	0.0164
SRR1944925	50	8567639	85177	99.9699	99.973
SRR1944926	35	1	0	0.0	0.0
SRR1944926	36	3	0	0.0	0.0
SRR1944926	37	4	0	0.0	0.0
SRR1944926	38	36	2	0.0003	0.0017
SRR1944926	39	139	4	0.0012	0.0035
SRR1944926	40	289	1	0.0025	0.0009
SRR1944926	41	487	0	0.0042	0.0
SRR1944926	42	35	0	0.0003	0.0
SRR1944926	43	976	3	0.0084	0.0026
SRR1944926	44	2084	18	0.0179	0.0156
SRR1944926	50	11623285	115075	99.9651	99.9757
SRR1944927	36	1	0	0.0	0.0
SRR1944927	37	2	0	0.0	0.0
SRR1944927	38	31	2	0.0003	0.002
SRR1944927	39	98	2	0.0011	0.002
SRR1944927	40	183	0	0.002	0.0
SRR1944927	41	325	1	0.0036	0.001
SRR1944927	42	28	1	0.0003	0.001
SRR1944927	43	744	3	0.0083	0.003
SRR1944927	44	1601	17	0.0179	0.0169
SRR1944927	50	8941000	100426	99.9663	99.9741
SRR1944928	36	2	0	0.0	0.0
SRR1944928	37	1	0	0.0	0.0
SRR1944928	38	21	1	0.0002	0.001
SRR1944928	39	122	1	0.0014	0.001
SRR1944928	40	230	2	0.0027	0.002
SRR1944928	41	369	2	0.0043	0.002
SRR1944928	42	19	0	0.0002	0.0
SRR1944928	43	666	3	0.0078	0.0029
SRR1944928	44	1364	9	0.0161	0.0088
SRR1944928	50	8482953	102181	99.9671	99.9824
SRR1944929	36	8	0	0.0001	0.0
SRR1944929	37	14	0	0.0001	0.0
SRR1944929	38	43	0	0.0003	0.0
SRR1944929	39	190	3	0.0013	0.0019
SRR1944929	40	479	1	0.0032	0.0006
SRR1944929	41	706	3	0.0047	0.0019
SRR1944929	42	54	3	0.0004	0.0019
SRR1944929	43	1167	1	0.0078	0.0006
SRR1944929	44	2540	14	0.0171	0.0087
SRR1944929	50	14885392	160681	99.9651	99.9844
