name	WT_mrna_YPD1_cds_rpf	WT_mrna_YPD2_cds_rpf	WT_mrna_YPD3_cds_rpf	ncs2d_mrna_YPD1_cds_rpf	ncs2d_mrna_YPD2_cds_rpf	ncs2d_mrna_YPD3_cds_rpf	elp6d_mrna_YPD1_cds_rpf	elp6d_mrna_YPD2_cds_rpf	elp6d_mrna_YPD3_cds_rpf	ncs2d_elp6d_mrna_YPD1_cds_rpf	ncs2d_elp6d_mrna_YPD2_cds_rpf	ncs2d_elp6d_mrna_YPD3_cds_rpf
Q0045-t26_1	5	1	11	5	1	12	4	24	11	27	9	46
Q0050-t26_1	0	2	5	2	0	16	0	6	4	8	8	23
Q0055-t26_1	1	0	0	3	1	2	1	2	5	4	3	6
Q0060-t26_1	0	0	0	0	0	0	2	2	0	2	1	1
Q0065-t26_1	1	0	2	1	0	7	1	8	2	4	3	11
Q0070-t26_1	2	0	8	5	1	6	3	17	8	15	9	26
Q0075-t26_1	1	0	3	1	2	10	2	3	8	22	20	41
Q0080-t26_1	0	0	0	0	0	0	0	0	0	0	0	1
Q0085-t26_1	0	0	0	1	1	0	0	0	2	2	1	2
Q0105-t26_1	0	0	3	0	2	0	2	3	4	4	6	9
Q0110-t26_1	0	0	3	2	0	0	2	7	1	2	4	5
Q0115-t26_1	0	0	3	0	1	0	0	3	2	5	4	5
Q0120-t26_1	0	0	6	1	1	0	0	9	5	6	9	12
Q0130-t26_1	3	2	1	0	3	0	2	6	9	3	8	2
Q0140-t26_1	0	0	0	0	0	3	1	0	1	1	1	4
Q0160-t26_1	0	0	0	0	0	0	0	1	0	0	0	0
Q0250-t26_1	0	0	0	1	0	0	1	0	0	5	3	4
Q0255-t26_1	0	0	0	0	0	0	0	0	0	3	0	2
Q0275-t26_1	0	0	0	0	1	0	1	0	2	5	1	2
YAL001C-t26_1	526	480	694	632	670	1011	427	1177	1039	845	578	1615
YAL002W-t26_1	505	507	697	681	521	800	486	1176	1019	713	853	1440
YAL003W-t26_1	15360	17680	19103	13970	13073	24618	10237	26701	25168	13411	13004	29659
YAL005C-t26_1	21940	28806	44179	35911	26334	52428	24680	67167	49303	39097	48153	96059
YAL007C-t26_1	995	1038	1397	1002	1056	1997	822	2183	1901	1190	998	2378
YAL008W-t26_1	201	216	230	222	253	456	162	456	390	364	335	699
YAL009W-t26_1	262	218	348	298	339	486	223	703	545	372	391	723
YAL010C-t26_1	217	187	285	247	260	455	172	454	414	336	189	621
