name	WT_mrna_YPD1_cds_rpkm	WT_mrna_YPD2_cds_rpkm	WT_mrna_YPD3_cds_rpkm	ncs2d_mrna_YPD1_cds_rpkm	ncs2d_mrna_YPD2_cds_rpkm	ncs2d_mrna_YPD3_cds_rpkm	elp6d_mrna_YPD1_cds_rpkm	elp6d_mrna_YPD2_cds_rpkm	elp6d_mrna_YPD3_cds_rpkm	ncs2d_elp6d_mrna_YPD1_cds_rpkm	ncs2d_elp6d_mrna_YPD2_cds_rpkm	ncs2d_elp6d_mrna_YPD3_cds_rpkm
Q0045-t26_1	0.37	0.07	0.57	0.42	0.03	0.45	0.25	1.41	0.33	1.81	0.64	1.86
Q0050-t26_1	0.0	0.09	0.17	0.11	0.0	0.39	0.0	0.23	0.08	0.35	0.37	0.6
Q0055-t26_1	0.05	0.0	0.0	0.16	0.02	0.05	0.04	0.07	0.09	0.17	0.13	0.15
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.0	0.17	0.09	0.05
Q0065-t26_1	0.07	0.0	0.1	0.08	0.0	0.25	0.06	0.45	0.06	0.26	0.2	0.43
Q0070-t26_1	0.13	0.0	0.35	0.36	0.03	0.19	0.16	0.85	0.2	0.86	0.54	0.89
Q0075-t26_1	0.11	0.0	0.23	0.13	0.09	0.56	0.18	0.26	0.35	2.19	2.09	2.45
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32
Q0085-t26_1	0.0	0.0	0.0	0.17	0.06	0.0	0.0	0.0	0.12	0.27	0.14	0.16
Q0105-t26_1	0.0	0.0	0.21	0.0	0.09	0.0	0.17	0.24	0.16	0.37	0.58	0.5
Q0110-t26_1	0.0	0.0	0.19	0.21	0.0	0.0	0.15	0.51	0.04	0.17	0.35	0.25
Q0115-t26_1	0.0	0.0	0.16	0.0	0.03	0.0	0.0	0.18	0.06	0.35	0.29	0.21
Q0120-t26_1	0.0	0.0	0.26	0.07	0.03	0.0	0.0	0.45	0.13	0.34	0.54	0.41
Q0130-t26_1	1.26	0.8	0.3	0.0	0.55	0.0	0.7	2.02	1.53	1.15	3.24	0.46
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	0.15	0.08	0.0	0.04	0.09	0.09	0.21
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	0.17	0.0	0.0	0.13	0.0	0.0	0.68	0.43	0.33
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.09
Q0275-t26_1	0.0	0.0	0.0	0.0	0.06	0.0	0.12	0.0	0.11	0.64	0.14	0.15
YAL001C-t26_1	18.18	15.8	16.83	25.2	10.1	17.97	12.35	32.55	14.55	26.66	19.22	30.62
YAL002W-t26_1	15.92	15.22	15.42	24.76	7.17	12.97	12.82	29.66	13.02	20.51	25.87	24.9
YAL003W-t26_1	2761.92	3027.59	2410.85	2897.51	1025.72	2276.13	1540.87	3841.37	1834.09	2201.07	2250.19	2925.78
YAL005C-t26_1	1350.73	1688.92	1908.96	2550.17	707.43	1659.66	1271.89	3308.47	1230.15	2196.99	2852.84	3244.41
YAL007C-t26_1	172.09	170.97	169.58	199.9	79.7	177.6	119.01	302.08	133.25	187.86	166.11	225.64
YAL008W-t26_1	37.46	38.34	30.09	47.73	20.58	43.7	25.27	68.0	29.46	61.92	60.09	71.47
YAL009W-t26_1	38.19	30.26	35.61	50.11	21.56	36.43	27.21	81.99	32.2	49.5	54.85	57.82
YAL010C-t26_1	17.23	14.14	15.88	22.62	9.01	18.58	11.43	28.85	13.32	24.35	14.44	27.05
