name	WT_mrna_YPD1_cds_rpm	WT_mrna_YPD2_cds_rpm	WT_mrna_YPD3_cds_rpm	ncs2d_mrna_YPD1_cds_rpm	ncs2d_mrna_YPD2_cds_rpm	ncs2d_mrna_YPD3_cds_rpm	elp6d_mrna_YPD1_cds_rpm	elp6d_mrna_YPD2_cds_rpm	elp6d_mrna_YPD3_cds_rpm	ncs2d_elp6d_mrna_YPD1_cds_rpm	ncs2d_elp6d_mrna_YPD2_cds_rpm	ncs2d_elp6d_mrna_YPD3_cds_rpm
Q0045-t26_1	0.61	0.12	0.95	0.71	0.05	0.76	0.41	2.35	0.55	3.02	1.06	3.09
Q0050-t26_1	0.0	0.23	0.43	0.28	0.0	1.01	0.0	0.59	0.2	0.89	0.94	1.55
Q0055-t26_1	0.12	0.0	0.0	0.42	0.05	0.13	0.1	0.2	0.25	0.45	0.35	0.4
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.2	0.0	0.22	0.12	0.07
Q0065-t26_1	0.12	0.0	0.17	0.14	0.0	0.44	0.1	0.78	0.1	0.45	0.35	0.74
Q0070-t26_1	0.24	0.0	0.69	0.71	0.05	0.38	0.31	1.67	0.4	1.68	1.06	1.75
Q0075-t26_1	0.12	0.0	0.26	0.14	0.11	0.63	0.21	0.29	0.4	2.46	2.36	2.75
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Q0085-t26_1	0.0	0.0	0.0	0.14	0.05	0.0	0.0	0.0	0.1	0.22	0.12	0.13
Q0105-t26_1	0.0	0.0	0.26	0.0	0.11	0.0	0.21	0.29	0.2	0.45	0.71	0.6
Q0110-t26_1	0.0	0.0	0.26	0.28	0.0	0.0	0.21	0.69	0.05	0.22	0.47	0.34
Q0115-t26_1	0.0	0.0	0.26	0.0	0.05	0.0	0.0	0.29	0.1	0.56	0.47	0.34
Q0120-t26_1	0.0	0.0	0.52	0.14	0.05	0.0	0.0	0.88	0.25	0.67	1.06	0.81
Q0130-t26_1	0.37	0.23	0.09	0.0	0.16	0.0	0.21	0.59	0.45	0.34	0.94	0.13
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	0.19	0.1	0.0	0.05	0.11	0.12	0.27
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	0.14	0.0	0.0	0.1	0.0	0.0	0.56	0.35	0.27
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.13
Q0275-t26_1	0.0	0.0	0.0	0.0	0.05	0.0	0.1	0.0	0.1	0.56	0.12	0.13
YAL001C-t26_1	64.41	55.98	59.65	89.27	35.8	63.66	43.77	115.31	51.56	94.44	68.11	108.49
YAL002W-t26_1	61.84	59.12	59.9	96.19	27.84	50.37	49.82	115.22	50.57	79.69	100.52	96.74
YAL003W-t26_1	1880.87	2061.79	1641.79	1973.21	698.52	1550.04	1049.33	2615.97	1249.02	1498.93	1532.38	1992.45
YAL005C-t26_1	2686.6	3359.26	3796.92	5072.28	1407.08	3301.06	2529.8	6580.55	2446.77	4369.82	5674.3	6453.12
YAL007C-t26_1	121.84	121.05	120.06	141.53	56.42	125.74	84.26	213.87	94.34	133.0	117.6	159.75
YAL008W-t26_1	24.61	25.19	19.77	31.36	13.52	28.71	16.61	44.68	19.35	40.68	39.48	46.96
YAL009W-t26_1	32.08	25.42	29.91	42.09	18.11	30.6	22.86	68.87	27.05	41.58	46.08	48.57
YAL010C-t26_1	26.57	21.81	24.49	34.89	13.89	28.65	17.63	44.48	20.55	37.55	22.27	41.72
YAL011W-t26_1	24.61	26.12	29.22	31.22	14.32	29.84	19.17	43.79	18.46	36.1	24.39	39.03
YAL012W-t26_1	586.55	667.63	620.77	909.2	276.88	609.74	545.01	1348.4	612.35	946.12	1365.64	1207.34
YAL013W-t26_1	40.16	49.91	40.22	66.39	24.42	44.39	30.75	79.85	37.42	67.06	88.26	85.38
YAL014C-t26_1	44.45	49.56	45.38	78.67	29.49	52.2	40.39	109.44	41.84	69.07	77.54	78.2
YAL015C-t26_1	29.51	30.44	28.19	40.82	16.14	32.74	27.47	75.05	24.91	40.35	43.25	50.32
YAL016W-t26_1	215.39	220.99	201.2	320.49	111.19	212.94	164.72	403.75	167.89	254.05	285.41	303.72
YAL017W-t26_1	71.14	64.37	73.05	111.3	39.38	67.31	58.12	149.6	57.07	108.19	112.06	110.78
YAL018C-t26_1	0.12	0.12	0.0	0.28	0.05	0.31	0.1	0.78	0.2	0.0	0.47	0.2
YAL019W-t26_1	98.82	85.71	91.53	135.31	51.67	105.78	65.81	177.92	84.66	158.15	126.68	183.94
YAL020C-t26_1	42.12	44.55	38.16	50.0	18.91	35.51	30.03	82.3	32.21	57.45	58.45	64.76
YAL021C-t26_1	81.68	71.72	89.38	136.44	41.57	67.75	72.37	203.98	72.85	102.38	143.65	124.95
YAL022C-t26_1	101.51	97.84	95.31	133.05	51.72	91.68	75.85	217.79	89.03	140.38	164.15	155.59
YAL023C-t26_1	506.95	512.18	490.74	662.87	216.19	360.59	348.92	897.14	371.61	509.33	647.88	636.12
YAL024C-t26_1	29.63	26.59	37.39	43.64	14.91	28.14	26.65	57.02	32.21	50.52	45.01	58.31
YAL025C-t26_1	67.59	69.39	83.54	89.27	47.13	100.55	52.99	148.53	64.12	100.03	92.39	121.66
YAL026C-t26_1	94.41	80.47	98.66	136.02	48.73	87.77	71.55	165.67	85.31	125.85	105.82	154.24
YAL027W-t26_1	16.78	13.06	16.16	22.74	9.35	21.47	12.81	25.67	15.14	25.37	17.09	27.74
YAL028W-t26_1	12.74	10.38	10.66	14.27	5.56	7.81	7.07	22.83	7.69	15.76	17.2	16.53
YAL029C-t26_1	121.11	110.55	153.75	193.37	66.31	123.6	107.73	246.5	108.68	177.15	150.83	205.03
YAL030W-t26_1	18.86	19.48	21.14	35.74	11.06	26.19	15.89	47.61	19.11	36.55	50.32	47.43
YAL031C-t26_1	49.84	44.78	44.52	78.11	25.65	40.42	35.16	99.05	39.16	64.49	72.24	74.1
YAL032C-t26_1	20.69	20.06	21.74	27.12	10.37	22.29	16.81	48.4	18.96	26.71	33.47	32.85
YAL033W-t26_1	36.37	38.6	35.32	47.46	18.54	42.5	29.62	68.09	31.66	50.85	31.35	57.57
YAL034C-t26_1	13.71	15.28	13.84	25.0	8.01	14.67	12.51	36.64	14.34	25.37	39.95	33.86
YAL034W-A-t26_1	13.71	12.94	13.58	15.68	6.73	16.69	6.15	19.5	9.53	18.55	14.49	20.02
YAL035W-t26_1	407.52	442.91	479.65	589.28	225.06	584.74	424.98	915.56	416.12	833.79	796.24	1186.24
YAL036C-t26_1	193.96	200.11	190.8	313.99	114.88	224.91	192.19	457.93	195.23	363.14	358.7	462.79
YAL037C-A-t26_1	0.12	0.0	0.09	0.14	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.2
YAL037W-t26_1	4.53	3.38	6.27	6.21	2.94	6.61	4.92	8.72	6.55	6.71	4.83	9.61
YAL038W-t26_1	7075.29	7726.56	7179.0	10019.56	2845.68	6462.03	5265.53	12841.4	5470.65	6300.85	8704.77	8591.15
YAL039C-t26_1	33.31	32.19	29.74	44.21	15.82	32.3	25.52	64.37	31.46	45.15	49.85	55.29
YAL040C-t26_1	47.14	45.83	40.82	69.49	22.92	36.77	46.02	101.89	47.15	61.92	83.43	85.25
YAL041W-t26_1	82.17	77.2	79.33	129.95	47.87	83.62	73.09	198.79	89.63	132.0	125.15	155.99
YAL042W-t26_1	295.6	291.43	283.96	418.09	155.54	301.97	278.61	679.05	278.21	418.35	508.0	511.9
YAL043C-t26_1	98.82	105.3	95.74	184.47	54.23	89.28	83.03	204.08	81.88	138.7	187.25	180.71
YAL044C-t26_1	166.66	138.54	129.6	213.99	84.37	170.32	136.43	352.8	144.17	209.23	218.47	264.68
YAL044W-A-t26_1	27.43	24.96	27.85	29.38	9.67	25.88	18.86	61.23	23.18	29.51	32.29	36.75
YAL046C-t26_1	21.31	18.31	27.67	29.94	12.45	28.65	19.99	49.08	20.2	29.4	37.24	39.37
YAL047C-t26_1	19.35	13.64	18.48	21.75	10.95	21.22	16.3	46.05	15.88	35.88	18.97	36.21
YAL048C-t26_1	31.96	26.59	30.25	44.63	15.33	22.42	23.47	64.47	26.85	39.9	51.38	48.7
YAL049C-t26_1	64.04	60.99	67.64	81.64	33.66	69.07	44.79	109.14	49.97	69.86	76.36	89.82
YAL051W-t26_1	55.59	48.86	56.12	82.21	31.52	54.9	43.77	113.65	50.72	91.65	79.54	99.29
YAL053W-t26_1	129.19	123.61	117.92	195.77	65.45	102.63	105.37	307.44	121.83	223.87	251.82	242.52
YAL054C-t26_1	9.67	6.88	8.16	12.71	6.2	11.59	8.92	23.12	9.38	15.42	19.33	16.53
YAL055W-t26_1	10.78	7.46	10.14	10.88	5.24	10.51	5.84	14.99	8.19	17.44	9.9	15.92
YAL056W-t26_1	84.12	77.2	68.15	121.19	43.65	68.19	56.68	154.9	64.96	112.55	99.46	122.4
YAL058W-t26_1	53.76	53.88	54.92	70.62	25.17	53.52	38.85	107.18	41.74	60.8	77.07	75.44
YAL059W-t26_1	45.8	50.5	53.97	58.33	23.46	54.46	31.98	80.34	31.31	49.85	43.6	56.97
YAL060W-t26_1	123.68	130.14	107.95	159.89	56.32	103.13	103.63	257.18	104.76	121.49	145.41	149.0
YAL061W-t26_1	9.8	9.91	12.29	20.48	5.34	18.64	12.92	30.37	12.95	41.91	56.8	51.79
YAL062W-t26_1	12.12	13.41	14.18	7.91	2.73	7.37	6.77	18.61	5.76	6.37	9.54	9.61
YAL063C-A-t26_1	0.98	1.4	0.69	1.13	0.8	0.82	0.72	1.86	0.79	1.56	1.77	1.01
YAL063C-t26_1	9.92	9.56	13.15	11.02	4.97	8.69	7.48	18.22	8.39	10.73	14.02	14.17
YAL064C-A-t26_1	0.0	0.12	0.09	0.0	0.05	0.0	0.21	0.2	0.1	0.0	0.24	0.0
YAL064W-B-t26_1	1.35	1.52	1.03	2.82	1.44	1.2	1.64	2.45	1.19	3.13	3.89	2.28
YAL064W-t26_1	0.24	0.12	0.52	0.14	0.21	0.31	0.1	0.59	0.05	0.45	0.59	0.67
YAL065C-t26_1	1.35	0.93	1.89	0.71	0.59	1.07	0.92	3.23	0.55	0.78	1.65	1.28
YAL067C-t26_1	3.55	2.68	2.84	1.98	0.69	1.83	2.77	3.92	1.99	3.58	4.6	6.11
YAL067W-A-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL068C-t26_1	0.0	0.0	0.09	0.0	0.0	0.0	0.1	0.0	0.1	0.22	0.12	0.07
YAR002C-A-t26_1	213.19	226.94	224.66	249.3	100.45	225.73	163.6	387.78	166.7	232.37	256.77	305.33
YAR002W-t26_1	118.9	103.79	121.01	137.43	58.08	106.09	81.49	222.59	89.28	123.95	124.44	153.91
YAR003W-t26_1	55.1	56.09	51.82	77.83	28.59	56.86	38.03	108.36	43.52	74.33	72.24	82.36
YAR007C-t26_1	135.68	125.48	130.21	164.55	68.77	126.24	95.02	237.88	101.29	166.09	142.59	188.71
YAR008W-t26_1	31.35	26.82	34.89	35.74	16.03	36.27	21.42	68.87	26.15	41.8	30.52	47.9
YAR009C-t26_1	8.57	5.25	14.18	13.14	5.88	12.21	5.33	14.11	8.88	10.51	9.31	11.55
YAR010C-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR014C-t26_1	104.94	106.12	98.41	141.25	52.84	83.49	70.11	210.05	83.42	122.72	116.07	144.57
YAR015W-t26_1	233.39	204.2	168.45	197.32	72.08	132.54	100.45	229.65	104.32	105.96	117.72	129.59
YAR018C-t26_1	28.04	23.79	29.14	38.14	14.91	23.86	23.68	57.31	26.85	45.94	56.21	59.25
YAR019C-t26_1	29.63	29.62	26.04	47.88	14.59	27.2	24.6	67.6	26.0	45.6	54.44	54.95
YAR020C-t26_1	0.73	0.82	0.43	2.26	0.69	0.88	2.05	2.06	1.19	1.68	2.24	2.49
YAR023C-t26_1	5.02	3.38	5.84	8.05	2.35	4.09	5.64	12.15	4.27	6.71	8.72	6.25
YAR027W-t26_1	55.35	48.86	50.88	62.57	25.27	45.65	33.42	84.55	38.36	63.26	48.55	65.43
YAR028W-t26_1	28.78	24.37	30.25	44.63	14.91	30.1	24.09	56.92	23.47	36.21	34.06	42.93
YAR029W-t26_1	2.94	3.62	3.52	4.1	1.98	2.52	2.36	5.88	2.93	3.02	5.3	5.04
YAR031W-t26_1	23.76	21.57	27.42	27.12	10.31	23.49	16.2	46.05	17.17	23.81	29.22	29.29
YAR033W-t26_1	24.86	20.64	17.36	27.83	11.06	22.92	13.53	42.52	17.77	27.38	32.17	31.17
YAR035C-A-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR035W-t26_1	9.55	10.38	8.16	19.77	6.79	10.58	13.33	30.86	14.19	23.58	37.0	31.04
YAR042W-t26_1	71.63	71.25	82.42	99.72	34.41	55.22	60.37	141.08	61.39	98.92	107.35	120.25
YAR050W-t26_1	11.39	8.86	12.2	13.98	5.08	9.82	9.23	22.53	9.73	15.65	23.57	19.55
YAR064W-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.05	0.0	0.35	0.0
YAR066W-t26_1	11.02	11.31	12.89	12.15	3.85	4.79	7.79	16.36	6.1	13.64	18.85	15.85
YAR068W-t26_1	12.12	5.13	13.58	12.01	3.05	9.82	6.87	21.06	8.49	17.1	24.39	20.29
YAR071W-t26_1	493.6	464.48	512.83	222.89	66.84	69.76	125.98	352.9	89.87	43.14	47.14	55.15
YBL001C-t26_1	76.9	73.7	66.43	94.92	36.39	85.19	57.91	136.97	58.51	106.85	96.86	119.38
YBL002W-t26_1	427.73	459.7	452.58	510.89	186.42	401.77	293.98	853.93	339.2	412.76	520.02	538.64
YBL003C-t26_1	688.79	594.16	700.1	770.64	313.59	698.21	518.46	1216.82	583.62	703.36	538.64	911.82
YBL004W-t26_1	137.88	130.49	182.89	206.5	70.21	138.21	118.6	292.65	142.03	198.84	202.92	214.57
YBL005W-A-t26_1	86.21	66.47	91.19	132.77	48.41	80.34	93.07	223.38	108.34	162.51	211.17	177.08
YBL005W-B-t26_1	139.47	109.39	162.95	206.93	77.26	132.22	143.3	333.3	160.69	235.27	281.87	264.35
YBL005W-t26_1	41.88	35.45	51.31	68.93	17.42	41.56	36.08	86.41	36.53	57.11	72.59	65.63
YBL006C-t26_1	52.16	41.63	47.1	52.97	21.96	43.32	32.9	88.57	38.56	45.94	48.9	56.36
YBL007C-t26_1	230.09	224.6	225.78	342.1	104.89	164.08	192.09	459.49	195.78	276.4	386.16	369.75
