name	WT_mrna_YPD1_cds_tpm	WT_mrna_YPD2_cds_tpm	WT_mrna_YPD3_cds_tpm	ncs2d_mrna_YPD1_cds_tpm	ncs2d_mrna_YPD2_cds_tpm	ncs2d_mrna_YPD3_cds_tpm	elp6d_mrna_YPD1_cds_tpm	elp6d_mrna_YPD2_cds_tpm	elp6d_mrna_YPD3_cds_tpm	ncs2d_elp6d_mrna_YPD1_cds_tpm	ncs2d_elp6d_mrna_YPD2_cds_tpm	ncs2d_elp6d_mrna_YPD3_cds_tpm
Q0045-t26_1	0.37	0.07	0.58	0.36	0.07	0.48	0.35	0.8	0.43	1.79	0.58	1.46
Q0050-t26_1	0.0	0.09	0.17	0.09	0.0	0.42	0.0	0.13	0.1	0.34	0.33	0.47
Q0055-t26_1	0.05	0.0	0.0	0.14	0.05	0.05	0.06	0.04	0.12	0.17	0.12	0.12
Q0060-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.09	0.0	0.17	0.08	0.04
Q0065-t26_1	0.07	0.0	0.1	0.07	0.0	0.27	0.08	0.26	0.07	0.25	0.19	0.33
Q0070-t26_1	0.13	0.0	0.36	0.3	0.06	0.2	0.22	0.48	0.27	0.85	0.49	0.7
Q0075-t26_1	0.11	0.0	0.23	0.11	0.22	0.59	0.26	0.15	0.46	2.16	1.91	1.92
Q0080-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Q0085-t26_1	0.0	0.0	0.0	0.14	0.15	0.0	0.0	0.0	0.15	0.26	0.13	0.13
Q0105-t26_1	0.0	0.0	0.22	0.0	0.2	0.0	0.24	0.14	0.21	0.36	0.53	0.39
Q0110-t26_1	0.0	0.0	0.2	0.18	0.0	0.0	0.22	0.29	0.05	0.17	0.32	0.2
Q0115-t26_1	0.0	0.0	0.16	0.0	0.08	0.0	0.0	0.1	0.08	0.34	0.27	0.16
Q0120-t26_1	0.0	0.0	0.27	0.06	0.06	0.0	0.0	0.25	0.16	0.33	0.49	0.32
Q0130-t26_1	1.27	0.8	0.3	0.0	1.26	0.0	1.0	1.15	2.01	1.14	2.95	0.36
Q0140-t26_1	0.0	0.0	0.0	0.0	0.0	0.16	0.12	0.0	0.05	0.09	0.09	0.17
Q0160-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
Q0250-t26_1	0.0	0.0	0.0	0.15	0.0	0.0	0.18	0.0	0.0	0.68	0.39	0.26
Q0255-t26_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.07
Q0275-t26_1	0.0	0.0	0.0	0.0	0.14	0.0	0.17	0.0	0.15	0.63	0.12	0.12
YAL001C-t26_1	18.33	15.83	17.11	21.21	23.17	19.02	17.57	18.47	19.02	26.31	17.5	24.01
YAL002W-t26_1	16.05	15.25	15.67	20.84	16.43	13.72	18.24	16.83	17.01	20.24	23.55	19.52
YAL003W-t26_1	2784.78	3034.15	2449.66	2438.95	2351.85	2409.37	2191.46	2180.5	2397.33	2172.14	2048.36	2293.69
YAL005C-t26_1	1361.91	1692.58	1939.69	2146.57	1622.05	1756.81	1808.91	1878.0	1607.92	2168.12	2596.96	2543.48
YAL007C-t26_1	173.51	171.34	172.31	168.26	182.73	187.99	169.26	171.47	174.17	185.39	151.21	176.89
YAL008W-t26_1	37.77	38.42	30.57	40.17	47.18	46.26	35.95	38.6	38.51	61.11	54.7	56.03
YAL009W-t26_1	38.51	30.33	36.18	42.18	49.44	38.56	38.7	46.54	42.09	48.85	49.93	45.33
YAL010C-t26_1	17.37	14.17	16.14	19.04	20.66	19.67	16.26	16.37	17.42	24.03	13.15	21.21
YAL011W-t26_1	12.81	13.51	15.32	13.56	16.94	16.3	14.07	12.83	12.45	18.38	11.46	15.79
YAL012W-t26_1	475.02	537.41	506.64	614.71	509.93	518.42	622.59	614.78	642.89	749.95	998.51	760.24
YAL013W-t26_1	31.69	39.14	31.98	43.72	43.81	36.77	34.22	35.47	38.27	51.78	62.87	52.38
YAL014C-t26_1	54.13	59.99	55.69	79.98	81.68	66.73	69.37	75.02	66.04	82.33	85.25	74.04
YAL015C-t26_1	23.62	24.21	22.73	27.27	29.36	27.51	31.01	33.81	25.84	31.6	31.24	31.31
YAL016W-t26_1	110.35	112.53	103.88	137.08	129.55	114.54	119.04	116.45	111.51	127.39	132.02	120.99
YAL017W-t26_1	17.36	15.62	17.97	22.68	21.86	17.25	20.01	20.56	18.06	25.85	24.69	21.02
YAL018C-t26_1	0.12	0.11	0.0	0.23	0.12	0.32	0.14	0.43	0.25	0.0	0.41	0.15
YAL019W-t26_1	28.83	24.86	26.91	32.96	34.28	32.4	27.08	29.22	32.02	45.16	33.37	41.72
YAL020C-t26_1	39.99	42.04	36.51	39.63	40.84	35.4	40.22	43.99	39.64	53.38	50.1	47.81
YAL021C-t26_1	31.99	27.92	35.28	44.62	37.03	27.86	39.99	44.98	37.0	39.25	50.8	38.06
