Sample	Frame	Count	Ratio
WT_mrna_YPD1	0	2840730	35.38276430298297
WT_mrna_YPD1	1	2186050	27.228385627826622
WT_mrna_YPD1	2	3001790	37.388850069190404
WT_mrna_YPD2	0	2966891	35.10102118501946
WT_mrna_YPD2	1	2288121	27.07055422490679
WT_mrna_YPD2	2	3197423	37.82842459007375
WT_mrna_YPD3	0	4104038	35.90554270060374
WT_mrna_YPD3	1	3224431	28.21000803492814
WT_mrna_YPD3	2	4101627	35.884449264468124
ncs2d_mrna_YPD1	0	3216866	36.53565753861845
ncs2d_mrna_YPD1	1	2460517	27.945399802151798
ncs2d_mrna_YPD1	2	3127347	35.51894265922976
ncs2d_mrna_YPD2	0	2977346	35.70372779389076
ncs2d_mrna_YPD2	1	2337054	28.0254763321507
ncs2d_mrna_YPD2	2	3024634	36.27079587395855
ncs2d_mrna_YPD3	0	5315702	36.32740756544955
ncs2d_mrna_YPD3	1	4065972	27.786776232698152
ncs2d_mrna_YPD3	2	5251085	35.88581620185229
elp6d_mrna_YPD1	0	2517220	36.180932547071706
elp6d_mrna_YPD1	1	1956271	28.118205438854176
elp6d_mrna_YPD1	2	2483820	35.70086201407411
elp6d_mrna_YPD2	0	6694050	36.396279777754906
elp6d_mrna_YPD2	1	5111104	27.78962976930292
elp6d_mrna_YPD2	2	6586973	35.814090452942175
elp6d_mrna_YPD3	0	5769217	36.98531823358251
elp6d_mrna_YPD3	1	4225013	27.085729371251443
elp6d_mrna_YPD3	2	5604438	35.92895239516605
ncs2d_elp6d_mrna_YPD1	0	3491627	36.45448903763649
ncs2d_elp6d_mrna_YPD1	1	2718090	28.378341131028424
ncs2d_elp6d_mrna_YPD1	2	3368327	35.16716983133508
ncs2d_elp6d_mrna_YPD2	0	3726735	37.2088799660214
ncs2d_elp6d_mrna_YPD2	1	2770458	27.66111332651871
ncs2d_elp6d_mrna_YPD2	2	3518521	35.1300067074599
ncs2d_elp6d_mrna_YPD3	0	7110065	35.92958694087176
ncs2d_elp6d_mrna_YPD3	1	5576401	28.1794589144634
ncs2d_elp6d_mrna_YPD3	2	7102420	35.89095414466484
