	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9964202289855124	0.997001316600027	0.9911101297196259	0.9959080273097376	0.9942904414625274	0.9942708558608402	0.9937214028041234	0.9937678300180829	0.9815897473376268	0.9724288297759612	0.9806069215163365
WT_mrna_YPD2	0.9964202289855124	1.0	0.9938855234450569	0.9906002683202847	0.9915569951640774	0.9890364260711044	0.9907191036215968	0.990667403640157	0.9891513112537307	0.9784053661439845	0.9741032011037094	0.9780555735318601
WT_mrna_YPD3	0.997001316600027	0.9938855234450569	1.0	0.9935222695721712	0.9947114318306908	0.9965234538827835	0.9964569444820897	0.9954509081510575	0.9945317639642338	0.9850985189570575	0.9788233631218981	0.9858497751461663
ncs2d_mrna_YPD1	0.9911101297196259	0.9906002683202847	0.9935222695721712	1.0	0.9944840319631186	0.9921723987938708	0.9964273112551678	0.997271180649181	0.9938085508336427	0.9921144863206451	0.9912683105758254	0.9922227945459926
ncs2d_mrna_YPD2	0.9959080273097376	0.9915569951640774	0.9947114318306908	0.9944840319631186	1.0	0.9963102683536378	0.996995310630403	0.9968072978865644	0.9961327666539325	0.9918998329877745	0.980202424845129	0.9898818574380285
ncs2d_mrna_YPD3	0.9942904414625274	0.9890364260711044	0.9965234538827835	0.9921723987938708	0.9963102683536378	1.0	0.996976214190751	0.995031677179687	0.995781794926166	0.9892347049464916	0.978613416451851	0.9899048599047378
elp6d_mrna_YPD1	0.9942708558608402	0.9907191036215968	0.9964569444820897	0.9964273112551678	0.996995310630403	0.996976214190751	1.0	0.9991162933067809	0.9985452314140929	0.9935709991000566	0.9877498221467526	0.993671211687357
elp6d_mrna_YPD2	0.9937214028041234	0.990667403640157	0.9954509081510575	0.997271180649181	0.9968072978865644	0.995031677179687	0.9991162933067809	1.0	0.997505797574066	0.993608948407893	0.9891016674450435	0.9930222041383685
elp6d_mrna_YPD3	0.9937678300180829	0.9891513112537307	0.9945317639642338	0.9938085508336427	0.9961327666539325	0.995781794926166	0.9985452314140929	0.997505797574066	1.0	0.9931990797583942	0.9857499735158043	0.9931514066901391
ncs2d_elp6d_mrna_YPD1	0.9815897473376268	0.9784053661439845	0.9850985189570575	0.9921144863206451	0.9918998329877745	0.9892347049464916	0.9935709991000566	0.993608948407893	0.9931990797583942	1.0	0.9921428539254104	0.9987267438725224
ncs2d_elp6d_mrna_YPD2	0.9724288297759612	0.9741032011037094	0.9788233631218981	0.9912683105758254	0.980202424845129	0.978613416451851	0.9877498221467526	0.9891016674450435	0.9857499735158043	0.9921428539254104	1.0	0.9934370270438203
ncs2d_elp6d_mrna_YPD3	0.9806069215163365	0.9780555735318601	0.9858497751461663	0.9922227945459926	0.9898818574380285	0.9899048599047378	0.993671211687357	0.9930222041383685	0.9931514066901391	0.9987267438725224	0.9934370270438203	1.0
