	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9972127816604135	0.9977980644566474	0.9927457643054554	0.9966889084414807	0.9958147069237437	0.9953977376535433	0.9950706665265836	0.9946566140461706	0.9852258633470978	0.976135849324262	0.9833401332647292
WT_mrna_YPD2	0.9972127816604135	1.0	0.9948267861838802	0.992472277277691	0.9929440647104961	0.9918173724289541	0.9923544072766038	0.9929995313642254	0.9915364376186196	0.982798927248697	0.9781174040788229	0.9813994072035691
WT_mrna_YPD3	0.9977980644566474	0.9948267861838802	1.0	0.9942769258629081	0.9958747549106647	0.9972334212698974	0.9969887028060171	0.9960753162788258	0.9952727774299194	0.9879772164924295	0.9808233356530311	0.9876495228396593
ncs2d_mrna_YPD1	0.9927457643054554	0.992472277277691	0.9942769258629081	1.0	0.9950584460863442	0.9933643443056609	0.9968271054086761	0.9976101822945196	0.9950403494343888	0.9936897816971406	0.9922611683656557	0.9929972741841195
ncs2d_mrna_YPD2	0.9966889084414807	0.9929440647104961	0.9958747549106647	0.9950584460863442	1.0	0.9973191710642664	0.9975885945320346	0.9972537446990054	0.9963451946782604	0.9932412237997739	0.9814871352061564	0.9907509002701839
ncs2d_mrna_YPD3	0.9958147069237437	0.9918173724289541	0.9972334212698974	0.9933643443056609	0.9973191710642664	1.0	0.9974939510227602	0.9958549520236003	0.9962231830167952	0.9916414868588806	0.9812950374196362	0.9912708329326106
elp6d_mrna_YPD1	0.9953977376535433	0.9923544072766038	0.9969887028060171	0.9968271054086761	0.9975885945320346	0.9974939510227602	1.0	0.9993238679829706	0.9989869125636521	0.9951835127817749	0.9888589794546802	0.9945699832217902
elp6d_mrna_YPD2	0.9950706665265836	0.9929995313642254	0.9960753162788258	0.9976101822945196	0.9972537446990054	0.9958549520236003	0.9993238679829706	1.0	0.9982353767351766	0.9951988819358639	0.9903952037699146	0.9940228126433861
elp6d_mrna_YPD3	0.9946566140461706	0.9915364376186196	0.9952727774299194	0.9950403494343888	0.9963451946782604	0.9962231830167952	0.9989869125636521	0.9982353767351766	1.0	0.9947607240677628	0.9882683973168772	0.9942762296338217
ncs2d_elp6d_mrna_YPD1	0.9852258633470978	0.982798927248697	0.9879772164924295	0.9936897816971406	0.9932412237997739	0.9916414868588806	0.9951835127817749	0.9951988819358639	0.9947607240677628	1.0	0.9928717878052699	0.9989727563296342
ncs2d_elp6d_mrna_YPD2	0.976135849324262	0.9781174040788229	0.9808233356530311	0.9922611683656557	0.9814871352061564	0.9812950374196362	0.9888589794546802	0.9903952037699146	0.9882683973168772	0.9928717878052699	1.0	0.9940543866832902
ncs2d_elp6d_mrna_YPD3	0.9833401332647292	0.9813994072035691	0.9876495228396593	0.9929972741841195	0.9907509002701839	0.9912708329326106	0.9945699832217902	0.9940228126433861	0.9942762296338217	0.9989727563296342	0.9940543866832902	1.0
