	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9613758924950073	0.945859138366167	0.9519850931986689	0.9746698364545613	0.9392149490493259	0.9408196070048516	0.9384718005208214	0.9514756525112295	0.9465720858706435	0.9270950917503806	0.9369211771416283
WT_mrna_YPD2	0.9613758924950073	1.0	0.900077247452437	0.9102704884579605	0.9430766973763606	0.8921882496862102	0.8912494844243359	0.8904309317058745	0.8931809699216884	0.9045859357860832	0.8822304186852276	0.8889251461590367
WT_mrna_YPD3	0.945859138366167	0.900077247452437	1.0	0.970794871439695	0.968273072658275	0.979174177146603	0.9809882063634209	0.9768956809050828	0.9675981475830271	0.9612041545025353	0.9500924737568872	0.9771777809316685
ncs2d_mrna_YPD1	0.9519850931986689	0.9102704884579605	0.970794871439695	1.0	0.9712203718348641	0.9639476078893237	0.9728645372270189	0.9743876087932833	0.9697154959151356	0.9636487301127222	0.9649640058228148	0.972570141769928
ncs2d_mrna_YPD2	0.9746698364545613	0.9430766973763606	0.968273072658275	0.9712203718348641	1.0	0.9627813318156409	0.9643202895981273	0.9617170225525528	0.963174614486047	0.966812541692386	0.9464037300339586	0.9652387280547156
ncs2d_mrna_YPD3	0.9392149490493259	0.8921882496862102	0.979174177146603	0.9639476078893237	0.9627813318156409	1.0	0.9756761847884784	0.9729191949672148	0.9668936758436001	0.9548336428615162	0.9456705996673981	0.9733604264610757
elp6d_mrna_YPD1	0.9408196070048516	0.8912494844243359	0.9809882063634209	0.9728645372270189	0.9643202895981273	0.9756761847884784	1.0	0.9807451297674286	0.9754687566510682	0.9642716459043068	0.9591557601358006	0.9803035401352654
elp6d_mrna_YPD2	0.9384718005208214	0.8904309317058745	0.9768956809050828	0.9743876087932833	0.9617170225525528	0.9729191949672148	0.9807451297674286	1.0	0.9740497832615524	0.9627241982751719	0.961849037107985	0.9783747491598943
elp6d_mrna_YPD3	0.9514756525112295	0.8931809699216884	0.9675981475830271	0.9697154959151356	0.963174614486047	0.9668936758436001	0.9754687566510682	0.9740497832615524	1.0	0.9647223767977441	0.9641782522210565	0.9747128329779898
ncs2d_elp6d_mrna_YPD1	0.9465720858706435	0.9045859357860832	0.9612041545025353	0.9636487301127222	0.966812541692386	0.9548336428615162	0.9642716459043068	0.9627241982751719	0.9647223767977441	1.0	0.9714218715149003	0.9724544663375
ncs2d_elp6d_mrna_YPD2	0.9270950917503806	0.8822304186852276	0.9500924737568872	0.9649640058228148	0.9464037300339586	0.9456705996673981	0.9591557601358006	0.961849037107985	0.9641782522210565	0.9714218715149003	1.0	0.969825122529148
ncs2d_elp6d_mrna_YPD3	0.9369211771416283	0.8889251461590367	0.9771777809316685	0.972570141769928	0.9652387280547156	0.9733604264610757	0.9803035401352654	0.9783747491598943	0.9747128329779898	0.9724544663375	0.969825122529148	1.0
