transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
15S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
COX1	0.39	0.94	0.69	1.07	0.56	0.32
AI1	0.56	0.66	0.69	0.37	0.09	0.54
AI2	0.26	0.22	0.35	0.12	0.21	0.16
AI3	0.0	0.16	0.0	0.05	0.0	0.0
AI4	0.0	0.16	0.25	0.05	0.05	0.08
AI5_ALPHA	0.07	0.2	0.0	0.0	0.05	0.0
AI5_BETA	0.39	0.0	0.17	0.0	0.15	0.0
ATP8	1.39	2.32	1.08	3.39	1.59	0.58
ATP6	1.29	2.67	0.83	1.61	1.53	0.76
COB	0.99	1.36	0.31	1.3	0.51	0.37
BI2	0.0	0.0	0.2	0.07	0.08	0.0
BI3	0.0	0.06	0.0	0.0	0.17	0.11
BI4	0.0	0.1	0.07	0.11	0.14	0.0
OLI1	10.59	14.18	7.33	12.84	4.31	6.65
VAR1	0.35	0.21	0.16	0.33	0.28	0.58
21S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
SCEI	0.0	0.07	0.13	0.14	0.08	0.0
COX2	1.72	2.55	0.49	4.27	2.08	1.43
Q0255	0.0	0.11	0.07	0.0	0.12	0.0
COX3	0.95	2.27	0.57	2.57	1.21	1.58
RPM1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178148.1	7.65	8.39	8.51	9.71	9.06	9.58
NM_001178149.1	2.96	3.48	3.85	3.49	2.86	3.7
NM_001178150.1	4514.21	4502.79	3890.42	4164.05	4012.76	3838.35
NM_001178151.1	1625.45	1697.42	1994.1	2215.16	2095.04	2034.81
NM_001178152.1	155.28	172.3	173.12	151.37	164.79	154.69
NM_001178153.1	38.98	43.88	47.64	57.33	58.44	57.6
NM_001178154.1	9.96	9.93	8.63	12.38	11.81	13.35
NM_001178155.2	7.29	7.16	6.4	8.06	8.16	7.49
NM_001178156.1	5.3	5.27	5.92	5.79	4.87	5.4
NM_001178157.1	806.27	789.9	750.09	736.11	778.63	837.95
NM_001178158.2	19.05	20.95	18.65	25.12	20.89	26.32
NM_001178159.1	23.15	24.16	25.2	28.4	29.7	24.8
NM_001178160.1	6.41	7.59	7.47	8.4	8.19	8.46
NM_001178161.1	108.3	116.25	109.41	134.64	129.06	122.43
NM_001178162.2	10.48	9.69	11.35	11.16	10.16	11.86
NM_001178163.1	0.12	0.05	0.09	0.15	0.0	0.0
NM_001178164.1	23.4	24.86	23.88	26.82	25.56	27.33
NM_001178165.2	10.5	9.99	10.39	9.96	11.13	15.92
NM_001178166.1	43.65	45.95	40.78	42.49	42.23	47.23
NM_001178167.1	30.46	32.49	31.08	34.37	34.77	36.64
NM_001178168.1	149.07	151.64	153.36	135.64	128.81	143.61
NM_001178169.1	3.4	3.75	3.44	4.04	3.84	3.76
NM_001178170.2	92.1	91.23	103.51	99.36	104.13	92.9
NM_001178171.2	15.55	15.54	15.92	17.17	14.83	16.15
NM_001178172.1	8.0	8.21	9.39	9.03	10.14	9.25
NM_001178173.1	1.98	1.69	1.6	1.55	1.5	2.14
NM_001178174.1	12.6	13.36	13.31	12.37	12.92	13.67
NM_001178175.1	86.5	104.16	103.17	121.3	115.59	144.82
NM_001178176.1	5.54	6.04	6.38	8.03	7.57	7.37
NM_001178177.1	13.32	12.43	10.97	12.3	11.93	13.51
NM_001178178.1	41.7	42.46	46.48	43.95	48.32	55.08
NM_001180035.1	0.68	0.53	0.68	1.34	1.37	0.8
NM_001178179.1	8.9	8.99	9.58	8.53	8.88	6.8
NM_001178180.1	282.62	290.55	277.47	338.68	322.56	332.34
NM_001178181.1	146.54	148.98	156.49	219.0	227.47	240.54
NM_001184629.1	1.0	2.08	4.66	1.22	1.82	0.83
NM_001178182.1	0.81	0.68	1.61	0.6	0.67	0.49
NM_001178183.1	9913.28	9418.09	9477.91	9106.77	9253.9	9613.61
NM_001178184.1	24.27	22.4	25.65	28.36	25.2	34.13
NM_001178185.1	12.02	12.1	11.56	9.17	8.42	8.98
NM_001178186.1	17.17	20.3	17.97	18.89	19.34	20.64
NM_001178187.1	115.5	111.44	117.04	137.62	136.53	147.75
NM_001178188.1	21.88	22.29	20.9	22.76	21.46	25.76
NM_001178189.1	325.43	292.38	288.93	370.87	407.81	423.14
NM_001184453.1	67.26	78.41	72.23	67.88	66.79	68.59
NM_001178191.1	58.01	59.46	60.09	57.59	59.6	71.98
NM_001178192.2	6.75	7.74	6.3	7.64	7.18	6.88
NM_001178193.1	6.32	6.0	6.97	7.83	7.61	6.87
NM_001178194.1	65.25	73.0	67.8	81.62	83.96	73.57
NM_001178195.2	8.66	8.83	9.87	11.02	10.84	9.83
NM_001178196.2	33.76	33.8	35.14	35.31	35.11	36.96
NM_001178197.1	0.65	1.28	0.88	0.92	0.99	0.7
NM_001178198.1	9.99	11.15	17.21	10.32	9.33	10.68
NM_001178199.2	4.45	4.73	5.66	5.76	5.46	5.76
NM_001178200.1	12.21	11.33	13.01	12.81	13.17	14.98
NM_001178201.2	64.24	65.7	71.27	61.53	63.6	55.66
NM_001178202.2	56.27	54.23	52.79	68.29	63.27	64.9
NM_001178203.1	7.05	4.66	9.7	9.49	7.59	14.86
NM_001178204.1	0.97	1.07	1.72	1.72	1.09	1.46
NM_001178205.1	0.74	0.22	0.6	0.33	0.28	0.65
NM_001184642.1	0.0	0.16	0.0	0.0	0.0	0.32
NM_001180041.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180042.1	0.16	0.13	0.24	0.17	0.19	0.0
NM_001179897.1	0.29	0.7	0.32	0.16	0.03	0.0
NM_001178208.1	0.14	0.23	0.11	0.25	0.28	0.17
NM_001184582.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180043.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180033.1	237.53	247.65	268.76	245.09	256.63	265.11
NM_001178209.1	58.25	57.48	55.26	57.78	53.71	53.36
NM_001178210.1	12.31	12.67	13.08	13.01	14.47	11.59
NM_001178211.1	62.37	64.47	65.46	75.53	73.0	70.0
NM_001178212.1	14.71	13.58	16.4	15.37	15.48	13.91
NM_001178213.1	0.22	0.2	0.26	0.14	0.17	0.31
NM_001178214.1	0.05	0.04	0.14	0.11	0.08	0.15
