transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
15S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
COX1	0.33	0.79	0.58	0.93	0.48	0.27
AI1	0.47	0.56	0.59	0.32	0.08	0.47
AI2	0.22	0.19	0.29	0.11	0.17	0.14
AI3	0.0	0.14	0.0	0.04	0.0	0.0
AI4	0.0	0.13	0.21	0.04	0.04	0.07
AI5_ALPHA	0.06	0.17	0.0	0.0	0.04	0.0
AI5_BETA	0.33	0.0	0.15	0.0	0.13	0.0
ATP8	1.17	1.97	0.91	2.94	1.35	0.5
ATP6	1.09	2.26	0.7	1.39	1.3	0.65
COB	0.83	1.15	0.27	1.12	0.43	0.32
BI2	0.0	0.0	0.17	0.06	0.07	0.0
BI3	0.0	0.05	0.0	0.0	0.14	0.09
BI4	0.0	0.09	0.06	0.1	0.12	0.0
OLI1	8.94	12.02	6.2	11.13	3.67	5.73
VAR1	0.3	0.18	0.13	0.28	0.23	0.5
21S_RRNA	0.0	0.0	0.0	0.0	0.0	0.0
SCEI	0.0	0.06	0.11	0.12	0.06	0.0
COX2	1.46	2.16	0.41	3.7	1.77	1.23
Q0255	0.0	0.09	0.06	0.0	0.1	0.0
COX3	0.8	1.92	0.48	2.22	1.03	1.36
RPM1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178148.1	6.46	7.1	7.19	8.42	7.71	8.26
NM_001178149.1	2.5	2.95	3.26	3.02	2.44	3.19
NM_001178150.1	3811.46	3814.53	3289.57	3608.6	3414.74	3309.08
NM_001178151.1	1372.4	1437.97	1686.13	1919.67	1782.82	1754.23
NM_001178152.1	131.11	145.96	146.38	131.18	140.23	133.36
NM_001178153.1	32.91	37.17	40.28	49.68	49.73	49.66
NM_001178154.1	8.41	8.41	7.3	10.73	10.05	11.51
NM_001178155.2	6.16	6.07	5.41	6.99	6.94	6.46
NM_001178156.1	4.47	4.47	5.01	5.01	4.14	4.66
NM_001178157.1	680.75	669.17	634.24	637.92	662.59	722.4
NM_001178158.2	16.09	17.75	15.77	21.77	17.77	22.69
NM_001178159.1	19.55	20.46	21.3	24.61	25.27	21.38
NM_001178160.1	5.41	6.43	6.32	7.28	6.97	7.29
NM_001178161.1	91.44	98.48	92.51	116.68	109.83	105.55
NM_001178162.2	8.85	8.21	9.6	9.67	8.65	10.23
NM_001178163.1	0.1	0.04	0.08	0.13	0.0	0.0
NM_001178164.1	19.76	21.06	20.19	23.24	21.75	23.56
NM_001178165.2	8.87	8.46	8.79	8.63	9.47	13.72
NM_001178166.1	36.86	38.93	34.48	36.82	35.94	40.72
NM_001178167.1	25.72	27.53	26.28	29.78	29.58	31.59
NM_001178168.1	125.86	128.46	129.68	117.55	109.61	123.81
NM_001178169.1	2.87	3.17	2.91	3.5	3.27	3.24
NM_001178170.2	77.76	77.29	87.52	86.11	88.61	80.09
NM_001178171.2	13.13	13.16	13.46	14.88	12.62	13.93
NM_001178172.1	6.75	6.96	7.94	7.83	8.63	7.98
NM_001178173.1	1.67	1.43	1.35	1.34	1.27	1.85
NM_001178174.1	10.64	11.31	11.26	10.72	10.99	11.79
NM_001178175.1	73.03	88.24	87.24	105.12	98.36	124.85
NM_001178176.1	4.68	5.12	5.39	6.96	6.44	6.35
NM_001178177.1	11.25	10.53	9.27	10.66	10.16	11.65
NM_001178178.1	35.21	35.97	39.3	38.08	41.12	47.48
NM_001180035.1	0.57	0.45	0.57	1.16	1.17	0.69
NM_001178179.1	7.51	7.62	8.1	7.39	7.56	5.86
NM_001178180.1	238.62	246.14	234.62	293.5	274.49	286.52
NM_001178181.1	123.73	126.21	132.32	189.78	193.57	207.37
NM_001184629.1	0.84	1.76	3.94	1.05	1.55	0.72
NM_001178182.1	0.69	0.58	1.36	0.52	0.57	0.42
NM_001178183.1	8370.02	7978.51	8014.1	7891.99	7874.81	8287.99
NM_001178184.1	20.49	18.97	21.69	24.57	21.44	29.42
NM_001178185.1	10.15	10.25	9.77	7.95	7.16	7.74
NM_001178186.1	14.5	17.19	15.2	16.37	16.45	17.79
NM_001178187.1	97.52	94.41	98.97	119.26	116.18	127.38
NM_001178188.1	18.48	18.88	17.67	19.72	18.26	22.21
NM_001178189.1	274.77	247.69	244.31	321.4	347.03	364.8
NM_001184453.1	56.79	66.42	61.07	58.82	56.83	59.13
NM_001178191.1	48.98	50.37	50.81	49.91	50.72	62.05
NM_001178192.2	5.7	6.56	5.33	6.62	6.11	5.93
NM_001178193.1	5.33	5.09	5.9	6.78	6.48	5.92
NM_001178194.1	55.09	61.84	57.33	70.73	71.45	63.43
NM_001178195.2	7.31	7.48	8.34	9.55	9.23	8.48
NM_001178196.2	28.51	28.64	29.71	30.6	29.87	31.86
NM_001178197.1	0.55	1.09	0.75	0.8	0.84	0.61
NM_001178198.1	8.44	9.44	14.55	8.95	7.94	9.21
NM_001178199.2	3.76	4.01	4.79	4.99	4.64	4.97
NM_001178200.1	10.31	9.59	11.0	11.1	11.21	12.91
NM_001178201.2	54.24	55.66	60.26	53.32	54.12	47.99
NM_001178202.2	47.51	45.94	44.64	59.18	53.84	55.95
NM_001178203.1	5.95	3.95	8.2	8.23	6.46	12.81
NM_001178204.1	0.82	0.91	1.45	1.49	0.93	1.26
NM_001178205.1	0.62	0.19	0.5	0.29	0.24	0.56
NM_001184642.1	0.0	0.14	0.0	0.0	0.0	0.27
NM_001180041.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180042.1	0.13	0.11	0.2	0.15	0.16	0.0
NM_001179897.1	0.25	0.6	0.27	0.13	0.02	0.0
NM_001178208.1	0.11	0.19	0.09	0.22	0.24	0.15
NM_001184582.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180043.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180033.1	200.56	209.8	227.25	212.4	218.38	228.55
NM_001178209.1	49.19	48.69	46.72	50.07	45.71	46.0
NM_001178210.1	10.4	10.73	11.06	11.27	12.32	10.0
NM_001178211.1	52.66	54.62	55.35	65.45	62.12	60.35
NM_001178212.1	12.42	11.5	13.87	13.32	13.18	11.99
NM_001178213.1	0.19	0.17	0.22	0.12	0.15	0.27
NM_001178214.1	0.04	0.03	0.12	0.1	0.07	0.13
NM_001178215.2	20.62	22.7	19.2	25.21	20.88	20.19
NM_001178216.1	166.07	148.19	112.21	108.87	117.22	86.47
NM_001178217.1	8.79	10.15	8.9	11.63	11.32	12.29
NM_001178218.2	2.87	2.97	2.82	3.83	3.07	3.48
NM_001178219.1	0.0	0.22	0.52	0.33	0.23	0.0
NM_001178220.2	0.36	0.61	0.71	0.23	0.42	0.46
NM_001178221.1	33.68	35.82	34.07	35.48	34.1	31.19
NM_001178222.1	21.34	21.97	22.05	22.6	22.26	22.19
NM_001178223.1	0.2	0.68	0.63	0.51	0.0	0.35
NM_001178224.1	4.81	5.95	7.55	4.97	5.36	5.76
NM_001178225.1	14.89	14.31	14.29	13.49	13.05	14.67
NM_001184583.1	0.0	0.0	0.0	0.0	0.0	0.79
NM_001178226.1	0.92	0.79	1.16	1.18	1.49	1.34
NM_001178227.1	10.5	9.76	12.14	8.73	9.38	10.29
NM_001178230.1	0.0	0.07	0.12	0.18	0.03	0.07
YAR061W	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178235.1	0.0	0.0	0.12	0.0	0.0	0.0
NM_001180045.1	0.02	0.0	4.41	0.0	0.0	3.29
NM_001178236.1	0.0	0.89	0.0	0.27	0.28	0.87
NM_001178239.1	36.39	44.39	45.28	6.56	9.11	1.88
NM_001178241.1	198.8	207.49	235.22	270.43	255.42	275.39
NM_001178242.1	1239.92	1270.77	1307.87	1142.31	1206.69	1170.76
NM_001178243.1	971.66	973.88	1012.59	971.86	968.5	926.28
NM_001178244.1	24.46	26.84	24.42	26.5	23.73	24.84
NM_001178245.1	3.25	3.14	5.28	3.67	2.82	5.38
NM_001180047.1	45.32	49.14	36.88	56.84	60.56	57.82
NM_001180048.2	0.72	0.52	0.52	0.47	0.49	0.55
NM_001178246.1	41.18	45.09	47.18	41.77	44.21	42.52
NM_001178247.1	81.98	86.6	71.37	85.0	71.62	79.42
NM_001178248.2	6.48	7.49	8.55	7.98	8.01	8.07
NM_001184539.1	0.0	0.69	0.45	1.88	2.17	2.56
NM_001178249.1	17.97	19.55	20.2	16.98	15.28	15.87
NM_001178250.1	11.32	13.31	11.31	12.2	13.66	10.88
NM_001178251.1	18.11	18.94	17.77	15.21	13.8	13.82
NM_001178253.1	4.38	4.7	5.11	4.4	3.37	3.84
NM_001178254.2	1.9	3.07	3.25	3.83	3.71	3.95
NM_001178255.1	15.98	16.65	16.59	16.06	14.84	15.18
NM_001178256.1	25.62	27.08	30.47	26.83	28.47	30.36
NM_001178257.1	38.6	40.97	41.0	41.72	41.99	38.13
NM_001178258.1	44.01	45.24	61.07	53.77	49.76	51.31
NM_001178259.1	3.0	2.93	3.76	3.96	3.79	2.82
NM_001178260.1	14.11	15.06	16.15	13.28	13.11	11.93
NM_001178261.1	17.88	23.64	21.41	30.54	32.13	30.27
NM_001178262.1	43.38	44.93	44.62	70.97	62.56	70.59
NM_001178263.1	16.3	19.59	19.9	18.69	16.25	19.14
NM_001178264.1	109.55	112.73	121.61	111.31	107.12	115.32
NM_001178265.1	15.1	17.71	16.6	21.8	17.8	19.92
NM_001178266.1	163.23	166.26	204.03	116.65	147.64	152.71
NM_001178267.1	3181.55	3163.02	2960.31	3198.55	3172.87	3021.82
NM_001178268.1	185.94	195.13	210.92	196.21	189.28	196.74
NM_001184457.1	21.92	26.01	20.8	19.56	19.75	15.08
NM_001178269.1	3.27	3.72	3.28	3.44	3.43	2.73
NM_001178270.1	328.89	356.6	343.63	413.69	410.39	408.65
NM_001178271.1	8.89	8.26	8.04	9.84	8.97	7.14
NM_001178272.1	118.97	118.75	118.98	100.55	97.78	103.43
NM_001178273.1	25.18	26.5	29.57	28.37	29.25	31.38
NM_001178274.1	6.73	7.29	7.4	7.9	7.53	7.42
NM_001178275.1	19.01	18.86	17.61	21.76	20.14	18.46
NM_001178276.1	74.56	86.68	85.29	105.99	102.95	99.88
NM_001178277.1	9.93	9.66	11.13	12.22	10.13	13.07
NM_001178278.1	29.95	30.6	34.2	42.08	38.96	36.44
NM_001178279.1	225.49	231.91	223.77	215.86	207.91	203.22
NM_001184527.1	8.64	10.15	10.01	8.66	11.61	14.67
NM_001178280.1	93.27	100.09	99.61	111.83	117.8	106.82
NM_001178281.1	200.81	211.31	216.63	194.97	189.38	193.59
NM_001178282.1	34.66	36.55	34.01	29.12	26.51	29.77
NM_001178283.1	0.26	0.16	0.81	0.27	0.83	0.77
NM_001178284.1	0.26	0.0	0.61	0.44	0.36	0.88
NM_001178285.1	65.21	73.49	65.63	106.49	105.59	97.41
NM_001178286.1	10.97	12.5	12.84	16.42	15.02	15.31
NM_001178287.1	69.32	71.96	62.04	92.83	79.45	82.26
NM_001348869.1	0.46	2.04	0.95	1.65	1.82	0.77
NM_001178289.1	0.58	1.07	1.27	0.87	1.39	1.57
NM_001178290.1	82.38	86.81	76.69	91.04	91.22	84.18
NM_001178291.1	50.32	54.57	47.43	73.07	62.88	70.11
NM_001178292.1	3.09	2.77	3.49	3.43	3.26	3.1
NM_001178294.1	24.3	24.45	26.59	21.74	22.68	23.74
NM_001178295.1	15.32	14.05	15.35	12.73	13.29	14.28
NM_001178296.2	65.81	65.15	73.03	73.7	71.32	74.12
NM_001178297.2	47.63	47.37	52.61	53.96	52.34	57.3
NM_001178298.1	122.57	126.52	107.71	186.12	177.11	170.76
NM_001184440.1	44.57	47.36	55.74	56.18	53.85	61.82
NM_001178299.1	8.49	9.27	9.13	12.92	12.6	12.65
NM_001178300.1	4.37	4.72	5.34	6.06	5.38	5.33
NM_001178301.1	18.81	20.37	17.49	21.45	18.93	19.57
NM_001178303.1	4.44	5.09	4.91	5.34	4.53	4.99
NM_001178304.1	56.52	55.01	53.28	84.68	83.18	79.44
NM_001178306.1	2.81	2.5	2.7	3.01	3.28	3.16
NM_001178307.2	12.13	14.49	14.24	12.56	11.3	12.3
NM_001178308.2	64.3	61.9	62.47	69.31	69.75	67.68
NM_001178309.1	30.15	30.88	28.52	31.91	28.42	28.72
NM_001346794.1	0.79	0.53	0.49	0.52	0.29	0.0
NM_001184584.1	1.6	1.35	0.63	0.0	1.48	0.68
NM_001184454.1	129.04	132.24	113.92	138.02	156.41	118.57
