Sample	Tercile	Covered	Uncovered
SRR1944912	10	5273	754
SRR1944912	20	5382	645
SRR1944912	30	5445	582
SRR1944912	40	5486	541
SRR1944912	50	5505	522
SRR1944912	60	5544	483
SRR1944912	70	5565	462
SRR1944912	80	5570	457
SRR1944912	90	5593	434
SRR1944912	0	6027	0
SRR1944913	10	5319	708
SRR1944913	20	5445	582
SRR1944913	30	5480	547
SRR1944913	40	5527	500
SRR1944913	50	5554	473
SRR1944913	60	5588	439
SRR1944913	70	5593	434
SRR1944913	80	5620	407
SRR1944913	90	5634	393
SRR1944913	0	6027	0
SRR1944914	10	5216	811
SRR1944914	20	5344	683
SRR1944914	30	5415	612
SRR1944914	40	5425	602
SRR1944914	50	5474	553
SRR1944914	60	5503	524
SRR1944914	70	5524	503
SRR1944914	80	5553	474
SRR1944914	90	5565	462
SRR1944914	0	6027	0
SRR1944915	10	5335	692
SRR1944915	20	5447	580
SRR1944915	30	5519	508
SRR1944915	40	5542	485
SRR1944915	50	5596	431
SRR1944915	60	5598	429
SRR1944915	70	5639	388
SRR1944915	80	5647	380
SRR1944915	90	5639	388
SRR1944915	0	6027	0
SRR1944916	10	5309	718
SRR1944916	20	5431	596
SRR1944916	30	5487	540
SRR1944916	40	5539	488
SRR1944916	50	5553	474
SRR1944916	60	5596	431
SRR1944916	70	5613	414
SRR1944916	80	5628	399
SRR1944916	90	5634	393
SRR1944916	0	6027	0
SRR1944917	10	5207	820
SRR1944917	20	5354	673
SRR1944917	30	5409	618
SRR1944917	40	5462	565
SRR1944917	50	5502	525
SRR1944917	60	5530	497
SRR1944917	70	5558	469
SRR1944917	80	5548	479
SRR1944917	90	5590	437
SRR1944917	0	6027	0
