Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
SRR1944912	RSBM	25	8	7056	9	6735	7	5345	12	19136	36.87	first
SRR1944912	RSBM	26	9	14600	10	9069	8	12125	13	35794	40.79	first
SRR1944912	RSBM	27	9	39096	10	24688	11	21299	13	85083	45.95	first
SRR1944912	RSBM	28	12	422022	13	81693	14	87495	13	591210	71.38	first
SRR1944912	RSBM	29	12	2284770	13	1447313	14	275708	13	4007791	57.01	first
SRR1944912	RSBM	30	15	3225503	13	3170977	14	966237	13	7362717	43.81	first
SRR1944912	RSBM	31	13	2733828	14	1248753	15	1298958	14	5281539	51.76	first
SRR1944912	RSBM	32	14	713020	15	94788	16	427308	15	1235116	57.73	first
SRR1944912	RSBM	33	14	59187	15	13910	16	5844	15	78941	74.98	first
SRR1944913	RSBM	25	9	10863	7	7531	8	9980	10	28374	38.29	first
SRR1944913	RSBM	26	9	26616	10	18741	11	17705	13	63062	42.21	first
SRR1944913	RSBM	27	9	66209	10	45080	11	38980	13	150269	44.06	first
SRR1944913	RSBM	28	12	797937	13	105098	14	128849	13	1031884	77.33	first
SRR1944913	RSBM	29	12	2975380	13	2027227	14	306879	13	5309486	56.04	first
SRR1944913	RSBM	30	13	3698076	14	1122891	15	3328276	14	8149243	45.38	first
SRR1944913	RSBM	31	13	3079057	14	1390487	15	1414594	14	5884138	52.33	first
SRR1944913	RSBM	32	14	815592	15	117240	16	579387	15	1512219	53.93	first
SRR1944913	RSBM	33	14	86159	15	19829	16	8461	15	114449	75.28	first
SRR1944914	RSBM	25	9	14064	7	10829	8	8627	10	33520	41.96	first
SRR1944914	RSBM	26	8	19952	9	15857	10	14505	12	50314	39.65	first
SRR1944914	RSBM	27	9	54519	10	21190	11	28841	13	104550	52.15	first
SRR1944914	RSBM	28	9	129615	10	60891	11	41838	13	232344	55.79	first
SRR1944914	RSBM	29	12	757180	13	414348	14	152783	13	1324311	57.18	first
SRR1944914	RSBM	30	12	1624680	13	1222612	14	405835	13	3253127	49.94	first
SRR1944914	RSBM	31	13	2148221	14	706268	15	1552083	14	4406572	48.75	first
SRR1944914	RSBM	32	13	1036232	14	862820	15	224066	14	2123118	48.81	first
SRR1944914	RSBM	33	14	252570	15	60595	16	37931	15	351096	71.94	first
SRR1944915	RSBM	25	8	12022	9	10052	7	8605	12	30679	39.19	first
SRR1944915	RSBM	26	9	22430	10	12998	11	16798	13	52226	42.95	first
SRR1944915	RSBM	27	9	42573	10	30806	11	22633	13	96012	44.34	first
SRR1944915	RSBM	28	12	321627	13	73903	14	77539	13	473069	67.99	first
SRR1944915	RSBM	29	15	3027950	13	2087212	14	257524	13	5372686	56.36	first
SRR1944915	RSBM	30	13	4224851	14	1145374	15	3482938	14	8853163	47.72	first
SRR1944915	RSBM	31	13	3241210	14	1539284	15	1342056	14	6122550	52.94	first
SRR1944915	RSBM	32	14	931783	15	118901	16	575854	15	1626538	57.29	first
SRR1944915	RSBM	33	14	102170	15	24092	16	9049	15	135311	75.51	first
SRR1944916	RSBM	25	9	10746	7	9205	8	9687	10	29638	36.26	first
SRR1944916	RSBM	26	8	17047	9	16442	10	12706	12	46195	36.9	first
SRR1944916	RSBM	27	9	34182	10	20972	11	20332	13	75486	45.28	first
SRR1944916	RSBM	28	12	146502	13	58815	14	48870	13	254187	57.64	first
SRR1944916	RSBM	29	12	1631547	13	1026969	14	197599	13	2856115	57.12	first
SRR1944916	RSBM	30	13	2996677	14	780897	15	2779866	14	6557440	45.7	first
SRR1944916	RSBM	31	13	3598556	14	1444430	15	1857376	14	6900362	52.15	first
SRR1944916	RSBM	32	14	1383861	15	260322	13	1381830	15	3026013	45.73	first
SRR1944916	RSBM	33	14	369968	15	86397	16	38474	15	494839	74.77	first
SRR1944917	RSBM	25	9	10736	7	5994	8	4962	10	21692	49.49	first
SRR1944917	RSBM	26	8	11703	9	8556	10	11008	12	31267	37.43	first
SRR1944917	RSBM	27	9	33112	10	13331	11	24009	13	70452	47.0	first
SRR1944917	RSBM	28	9	73879	10	42601	11	25388	13	141868	52.08	first
SRR1944917	RSBM	29	12	370313	13	218526	14	97853	13	686692	53.93	first
SRR1944917	RSBM	30	12	1016624	13	783526	14	277457	13	2077607	48.93	first
SRR1944917	RSBM	31	13	1721692	14	572836	15	1354939	14	3649467	47.18	first
SRR1944917	RSBM	32	13	1809548	14	1042064	15	415186	14	3266798	55.39	first
SRR1944917	RSBM	33	14	718903	15	165975	16	181228	15	1066106	67.43	first
