Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
SRR1944912	SSCBM	25	7	750	8	614	9	436	8	1800	41.67	first
SRR1944912	SSCBM	26	8	1272	9	1133	10	887	9	3292	38.64	first
SRR1944912	SSCBM	27	9	2833	10	2246	11	1739	10	6818	41.55	first
SRR1944912	SSCBM	28	12	19453	13	7324	14	5137	13	31914	60.95	first
SRR1944912	SSCBM	29	12	107847	13	97674	14	14671	13	220192	48.98	first
SRR1944912	SSCBM	30	13	194728	14	46073	15	143391	14	384192	50.69	first
SRR1944912	SSCBM	31	13	179648	14	60235	15	61999	14	301882	59.51	first
SRR1944912	SSCBM	32	14	36482	15	5974	16	23336	15	65792	55.45	first
SRR1944912	SSCBM	33	14	2655	15	761	16	306	15	3722	71.33	first
SRR1944913	SSCBM	25	7	913	8	901	9	767	8	2581	35.37	first
SRR1944913	SSCBM	26	9	2001	10	1832	11	1606	10	5439	36.79	first
SRR1944913	SSCBM	27	9	5235	10	4380	11	3100	10	12715	41.17	first
SRR1944913	SSCBM	28	12	39038	13	10642	14	7554	13	57234	68.21	first
SRR1944913	SSCBM	29	12	152774	13	146176	14	16624	13	315574	48.41	first
SRR1944913	SSCBM	30	13	245562	14	59326	15	162718	14	467606	52.51	first
SRR1944913	SSCBM	31	13	215769	14	73358	15	71318	14	360445	59.86	first
SRR1944913	SSCBM	32	14	44153	15	7852	16	34697	15	86702	50.93	first
SRR1944913	SSCBM	33	14	4439	15	1285	16	525	15	6249	71.04	first
SRR1944914	SSCBM	25	7	2477	8	1135	9	1195	8	4807	51.53	first
SRR1944914	SSCBM	26	8	2892	9	1658	10	1984	9	6534	44.26	first
SRR1944914	SSCBM	27	9	5739	10	2487	11	3272	10	11498	49.91	first
SRR1944914	SSCBM	28	9	9705	10	7272	11	4055	10	21032	46.14	first
SRR1944914	SSCBM	29	12	44530	13	37847	14	12313	13	94690	47.03	first
SRR1944914	SSCBM	30	12	104172	13	94984	14	27613	13	226769	45.94	first
SRR1944914	SSCBM	31	13	182391	14	45720	15	86584	14	314695	57.96	first
SRR1944914	SSCBM	32	13	86998	14	58224	15	16871	14	162093	53.67	first
SRR1944914	SSCBM	33	14	15641	15	5609	16	2697	15	23947	65.32	first
SRR1944915	SSCBM	25	7	1218	8	1198	9	744	8	3160	38.54	first
SRR1944915	SSCBM	26	9	1885	10	1405	11	1611	10	4901	38.46	first
SRR1944915	SSCBM	27	9	3275	10	2881	11	1877	10	8033	40.77	first
SRR1944915	SSCBM	28	12	13424	13	6817	14	5598	13	25839	51.95	first
SRR1944915	SSCBM	29	13	161804	14	15903	15	145451	14	323158	50.07	first
SRR1944915	SSCBM	30	13	298089	14	62712	15	190950	14	551751	54.03	first
SRR1944915	SSCBM	31	13	243534	14	86526	15	78643	14	408703	59.59	first
SRR1944915	SSCBM	32	14	55654	15	9180	16	38785	15	103619	53.71	first
SRR1944915	SSCBM	33	14	6339	15	1738	16	690	15	8767	72.31	first
SRR1944916	SSCBM	25	7	1339	8	997	9	878	8	3214	41.66	first
SRR1944916	SSCBM	26	8	1864	9	1479	10	1661	9	5004	37.25	first
SRR1944916	SSCBM	27	9	3092	10	2165	11	1994	10	7251	42.64	first
SRR1944916	SSCBM	28	12	8176	13	6110	14	3933	13	18219	44.88	first
SRR1944916	SSCBM	29	12	90748	13	85888	14	14878	13	191514	47.38	first
SRR1944916	SSCBM	30	13	228550	14	50537	15	166500	14	445587	51.29	first
SRR1944916	SSCBM	31	13	291560	14	92675	15	114010	14	498245	58.52	first
SRR1944916	SSCBM	32	13	118587	14	94134	15	21763	14	234484	50.57	first
SRR1944916	SSCBM	33	14	25637	15	8196	16	3150	15	36983	69.32	first
SRR1944917	SSCBM	25	7	1368	8	680	9	898	8	2946	46.44	first
SRR1944917	SSCBM	26	8	1759	9	976	10	1664	9	4399	39.99	first
SRR1944917	SSCBM	27	9	3711	10	1842	11	3004	10	8557	43.37	first
SRR1944917	SSCBM	28	9	6945	10	5324	11	2993	10	15262	45.51	first
SRR1944917	SSCBM	29	12	23029	13	22325	14	10089	13	55443	41.54	first
SRR1944917	SSCBM	30	12	68653	13	61937	14	23558	13	154148	44.54	first
SRR1944917	SSCBM	31	13	145299	14	40681	15	78258	14	264238	54.99	first
SRR1944917	SSCBM	32	13	145469	14	78919	15	30250	14	254638	57.13	first
SRR1944917	SSCBM	33	14	46939	15	16130	16	14280	15	77349	60.68	first
