Sample	Length	Site	End	Offset	Count
SRR1944912	25	TIS	5p-end	-33	0
SRR1944912	26	TIS	5p-end	-33	0
SRR1944912	27	TIS	5p-end	-33	0
SRR1944912	28	TIS	5p-end	-33	0
SRR1944912	29	TIS	5p-end	-33	0
SRR1944912	30	TIS	5p-end	-33	0
SRR1944912	31	TIS	5p-end	-33	0
SRR1944912	32	TIS	5p-end	-33	0
SRR1944912	33	TIS	5p-end	-33	0
SRR1944912	25	TIS	5p-end	-32	0
SRR1944912	26	TIS	5p-end	-32	0
SRR1944912	27	TIS	5p-end	-32	0
SRR1944912	28	TIS	5p-end	-32	0
SRR1944912	29	TIS	5p-end	-32	0
SRR1944912	30	TIS	5p-end	-32	0
SRR1944912	31	TIS	5p-end	-32	0
SRR1944912	32	TIS	5p-end	-32	0
SRR1944912	33	TIS	5p-end	-32	0
SRR1944912	25	TIS	5p-end	-31	0
SRR1944912	26	TIS	5p-end	-31	0
SRR1944912	27	TIS	5p-end	-31	0
SRR1944912	28	TIS	5p-end	-31	0
SRR1944912	29	TIS	5p-end	-31	0
SRR1944912	30	TIS	5p-end	-31	0
SRR1944912	31	TIS	5p-end	-31	0
SRR1944912	32	TIS	5p-end	-31	0
SRR1944912	33	TIS	5p-end	-31	0
SRR1944912	25	TIS	5p-end	-30	0
SRR1944912	26	TIS	5p-end	-30	0
SRR1944912	27	TIS	5p-end	-30	0
SRR1944912	28	TIS	5p-end	-30	0
SRR1944912	29	TIS	5p-end	-30	0
SRR1944912	30	TIS	5p-end	-30	280
SRR1944912	31	TIS	5p-end	-30	138
SRR1944912	32	TIS	5p-end	-30	41
SRR1944912	33	TIS	5p-end	-30	6
SRR1944912	25	TIS	5p-end	-29	0
SRR1944912	26	TIS	5p-end	-29	0
SRR1944912	27	TIS	5p-end	-29	0
SRR1944912	28	TIS	5p-end	-29	0
SRR1944912	29	TIS	5p-end	-29	172
SRR1944912	30	TIS	5p-end	-29	243
SRR1944912	31	TIS	5p-end	-29	145
SRR1944912	32	TIS	5p-end	-29	141
SRR1944912	33	TIS	5p-end	-29	6
SRR1944912	25	TIS	5p-end	-28	0
SRR1944912	26	TIS	5p-end	-28	0
SRR1944912	27	TIS	5p-end	-28	0
SRR1944912	28	TIS	5p-end	-28	15
SRR1944912	29	TIS	5p-end	-28	96
SRR1944912	30	TIS	5p-end	-28	170
SRR1944912	31	TIS	5p-end	-28	355
SRR1944912	32	TIS	5p-end	-28	57
SRR1944912	33	TIS	5p-end	-28	4
SRR1944912	25	TIS	5p-end	-27	0
SRR1944912	26	TIS	5p-end	-27	0
SRR1944912	27	TIS	5p-end	-27	6
SRR1944912	28	TIS	5p-end	-27	28
SRR1944912	29	TIS	5p-end	-27	64
SRR1944912	30	TIS	5p-end	-27	459
SRR1944912	31	TIS	5p-end	-27	244
SRR1944912	32	TIS	5p-end	-27	61
SRR1944912	33	TIS	5p-end	-27	7
SRR1944912	25	TIS	5p-end	-26	0
SRR1944912	26	TIS	5p-end	-26	2
SRR1944912	27	TIS	5p-end	-26	1
SRR1944912	28	TIS	5p-end	-26	20
SRR1944912	29	TIS	5p-end	-26	249
SRR1944912	30	TIS	5p-end	-26	285
SRR1944912	31	TIS	5p-end	-26	266
SRR1944912	32	TIS	5p-end	-26	66
SRR1944912	33	TIS	5p-end	-26	4
SRR1944912	25	TIS	5p-end	-25	0
SRR1944912	26	TIS	5p-end	-25	0
SRR1944912	27	TIS	5p-end	-25	8
SRR1944912	28	TIS	5p-end	-25	24
SRR1944912	29	TIS	5p-end	-25	219
SRR1944912	30	TIS	5p-end	-25	362
SRR1944912	31	TIS	5p-end	-25	278
SRR1944912	32	TIS	5p-end	-25	87
SRR1944912	33	TIS	5p-end	-25	3
SRR1944912	25	TIS	5p-end	-24	1
SRR1944912	26	TIS	5p-end	-24	2
SRR1944912	27	TIS	5p-end	-24	5
SRR1944912	28	TIS	5p-end	-24	38
SRR1944912	29	TIS	5p-end	-24	165
SRR1944912	30	TIS	5p-end	-24	352
SRR1944912	31	TIS	5p-end	-24	374
SRR1944912	32	TIS	5p-end	-24	63
SRR1944912	33	TIS	5p-end	-24	0
SRR1944912	25	TIS	5p-end	-23	3
SRR1944912	26	TIS	5p-end	-23	0
SRR1944912	27	TIS	5p-end	-23	9
SRR1944912	28	TIS	5p-end	-23	67
SRR1944912	29	TIS	5p-end	-23	261
SRR1944912	30	TIS	5p-end	-23	640
SRR1944912	31	TIS	5p-end	-23	283
SRR1944912	32	TIS	5p-end	-23	71
SRR1944912	33	TIS	5p-end	-23	16
SRR1944912	25	TIS	5p-end	-22	0
SRR1944912	26	TIS	5p-end	-22	2
SRR1944912	27	TIS	5p-end	-22	11
SRR1944912	28	TIS	5p-end	-22	50
SRR1944912	29	TIS	5p-end	-22	305
SRR1944912	30	TIS	5p-end	-22	386
SRR1944912	31	TIS	5p-end	-22	308
SRR1944912	32	TIS	5p-end	-22	114
SRR1944912	33	TIS	5p-end	-22	3
SRR1944912	25	TIS	5p-end	-21	2
SRR1944912	26	TIS	5p-end	-21	1
SRR1944912	27	TIS	5p-end	-21	15
SRR1944912	28	TIS	5p-end	-21	55
SRR1944912	29	TIS	5p-end	-21	208
SRR1944912	30	TIS	5p-end	-21	455
SRR1944912	31	TIS	5p-end	-21	453
SRR1944912	32	TIS	5p-end	-21	72
SRR1944912	33	TIS	5p-end	-21	7
SRR1944912	25	TIS	5p-end	-20	3
SRR1944912	26	TIS	5p-end	-20	12
SRR1944912	27	TIS	5p-end	-20	17
SRR1944912	28	TIS	5p-end	-20	50
SRR1944912	29	TIS	5p-end	-20	309
SRR1944912	30	TIS	5p-end	-20	579
SRR1944912	31	TIS	5p-end	-20	419
SRR1944912	32	TIS	5p-end	-20	98
SRR1944912	33	TIS	5p-end	-20	2
SRR1944912	25	TIS	5p-end	-19	6
SRR1944912	26	TIS	5p-end	-19	1
SRR1944912	27	TIS	5p-end	-19	15
SRR1944912	28	TIS	5p-end	-19	35
SRR1944912	29	TIS	5p-end	-19	298
SRR1944912	30	TIS	5p-end	-19	454
SRR1944912	31	TIS	5p-end	-19	333
SRR1944912	32	TIS	5p-end	-19	112
SRR1944912	33	TIS	5p-end	-19	10
SRR1944912	25	TIS	5p-end	-18	0
SRR1944912	26	TIS	5p-end	-18	4
SRR1944912	27	TIS	5p-end	-18	6
SRR1944912	28	TIS	5p-end	-18	48
SRR1944912	29	TIS	5p-end	-18	320
SRR1944912	30	TIS	5p-end	-18	505
SRR1944912	31	TIS	5p-end	-18	403
SRR1944912	32	TIS	5p-end	-18	61
SRR1944912	33	TIS	5p-end	-18	5
SRR1944912	25	TIS	5p-end	-17	1
SRR1944912	26	TIS	5p-end	-17	3
SRR1944912	27	TIS	5p-end	-17	9
SRR1944912	28	TIS	5p-end	-17	41
SRR1944912	29	TIS	5p-end	-17	277
SRR1944912	30	TIS	5p-end	-17	584
SRR1944912	31	TIS	5p-end	-17	296
SRR1944912	32	TIS	5p-end	-17	92
SRR1944912	33	TIS	5p-end	-17	11
SRR1944912	25	TIS	5p-end	-16	4
SRR1944912	26	TIS	5p-end	-16	5
SRR1944912	27	TIS	5p-end	-16	10
SRR1944912	28	TIS	5p-end	-16	28
SRR1944912	29	TIS	5p-end	-16	264
SRR1944912	30	TIS	5p-end	-16	492
SRR1944912	31	TIS	5p-end	-16	454
SRR1944912	32	TIS	5p-end	-16	213
SRR1944912	33	TIS	5p-end	-16	62
SRR1944912	25	TIS	5p-end	-15	7
SRR1944912	26	TIS	5p-end	-15	1
SRR1944912	27	TIS	5p-end	-15	11
SRR1944912	28	TIS	5p-end	-15	92
SRR1944912	29	TIS	5p-end	-15	391
SRR1944912	30	TIS	5p-end	-15	1235
SRR1944912	31	TIS	5p-end	-15	4954
SRR1944912	32	TIS	5p-end	-15	3781
SRR1944912	33	TIS	5p-end	-15	580
SRR1944912	25	TIS	5p-end	-14	7
SRR1944912	26	TIS	5p-end	-14	33
SRR1944912	27	TIS	5p-end	-14	116
SRR1944912	28	TIS	5p-end	-14	442
SRR1944912	29	TIS	5p-end	-14	2366
SRR1944912	30	TIS	5p-end	-14	30763
SRR1944912	31	TIS	5p-end	-14	45565
SRR1944912	32	TIS	5p-end	-14	27838
SRR1944912	33	TIS	5p-end	-14	1915
SRR1944912	25	TIS	5p-end	-13	32
SRR1944912	26	TIS	5p-end	-13	211
SRR1944912	27	TIS	5p-end	-13	481
SRR1944912	28	TIS	5p-end	-13	3540
SRR1944912	29	TIS	5p-end	-13	77061
SRR1944912	30	TIS	5p-end	-13	149089
SRR1944912	31	TIS	5p-end	-13	136655
SRR1944912	32	TIS	5p-end	-13	17820
SRR1944912	33	TIS	5p-end	-13	121
SRR1944912	25	TIS	5p-end	-12	47
SRR1944912	26	TIS	5p-end	-12	69
SRR1944912	27	TIS	5p-end	-12	450
SRR1944912	28	TIS	5p-end	-12	13911
SRR1944912	29	TIS	5p-end	-12	80380
SRR1944912	30	TIS	5p-end	-12	122092
SRR1944912	31	TIS	5p-end	-12	46760
SRR1944912	32	TIS	5p-end	-12	1410
SRR1944912	33	TIS	5p-end	-12	107
SRR1944912	25	TIS	5p-end	-11	2
SRR1944912	26	TIS	5p-end	-11	25
SRR1944912	27	TIS	5p-end	-11	685
SRR1944912	28	TIS	5p-end	-11	4120
SRR1944912	29	TIS	5p-end	-11	10380
SRR1944912	30	TIS	5p-end	-11	11406
SRR1944912	31	TIS	5p-end	-11	9092
SRR1944912	32	TIS	5p-end	-11	4994
SRR1944912	33	TIS	5p-end	-11	290
SRR1944912	25	TIS	5p-end	-10	14
SRR1944912	26	TIS	5p-end	-10	341
SRR1944912	27	TIS	5p-end	-10	1293
SRR1944912	28	TIS	5p-end	-10	3392
SRR1944912	29	TIS	5p-end	-10	16698
SRR1944912	30	TIS	5p-end	-10	31839
SRR1944912	31	TIS	5p-end	-10	28884
SRR1944912	32	TIS	5p-end	-10	4066
SRR1944912	33	TIS	5p-end	-10	30
SRR1944912	25	TIS	5p-end	-9	223
SRR1944912	26	TIS	5p-end	-9	895
SRR1944912	27	TIS	5p-end	-9	1923
SRR1944912	28	TIS	5p-end	-9	4316
SRR1944912	29	TIS	5p-end	-9	18261
SRR1944912	30	TIS	5p-end	-9	26238
SRR1944912	31	TIS	5p-end	-9	9707
SRR1944912	32	TIS	5p-end	-9	849
SRR1944912	33	TIS	5p-end	-9	186
SRR1944912	25	TIS	5p-end	-8	439
SRR1944912	26	TIS	5p-end	-8	939
SRR1944912	27	TIS	5p-end	-8	881
SRR1944912	28	TIS	5p-end	-8	1076
SRR1944912	29	TIS	5p-end	-8	2789
SRR1944912	30	TIS	5p-end	-8	6410
SRR1944912	31	TIS	5p-end	-8	8127
SRR1944912	32	TIS	5p-end	-8	4134
SRR1944912	33	TIS	5p-end	-8	216
SRR1944912	25	TIS	5p-end	-7	588
SRR1944912	26	TIS	5p-end	-7	305
SRR1944912	27	TIS	5p-end	-7	378
SRR1944912	28	TIS	5p-end	-7	1174
SRR1944912	29	TIS	5p-end	-7	13666
SRR1944912	30	TIS	5p-end	-7	31183
SRR1944912	31	TIS	5p-end	-7	27482
SRR1944912	32	TIS	5p-end	-7	3178
SRR1944912	33	TIS	5p-end	-7	35
SRR1944912	25	TIS	5p-end	-6	148
SRR1944912	26	TIS	5p-end	-6	132
SRR1944912	27	TIS	5p-end	-6	361
SRR1944912	28	TIS	5p-end	-6	2897
SRR1944912	29	TIS	5p-end	-6	18454
SRR1944912	30	TIS	5p-end	-6	29596
SRR1944912	31	TIS	5p-end	-6	10725
SRR1944912	32	TIS	5p-end	-6	778
SRR1944912	33	TIS	5p-end	-6	94
SRR1944912	25	TIS	5p-end	-5	133
SRR1944912	26	TIS	5p-end	-5	251
SRR1944912	27	TIS	5p-end	-5	282
SRR1944912	28	TIS	5p-end	-5	1109
SRR1944912	29	TIS	5p-end	-5	3411
SRR1944912	30	TIS	5p-end	-5	10738
SRR1944912	31	TIS	5p-end	-5	15906
SRR1944912	32	TIS	5p-end	-5	8212
SRR1944912	33	TIS	5p-end	-5	362
SRR1944912	25	TIS	5p-end	-4	125
SRR1944912	26	TIS	5p-end	-4	130
SRR1944912	27	TIS	5p-end	-4	510
SRR1944912	28	TIS	5p-end	-4	1668
SRR1944912	29	TIS	5p-end	-4	17860
SRR1944912	30	TIS	5p-end	-4	40378
SRR1944912	31	TIS	5p-end	-4	29400
SRR1944912	32	TIS	5p-end	-4	3220
SRR1944912	33	TIS	5p-end	-4	16
SRR1944912	25	TIS	5p-end	-3	99
SRR1944912	26	TIS	5p-end	-3	171
SRR1944912	27	TIS	5p-end	-3	556
SRR1944912	28	TIS	5p-end	-3	3327
SRR1944912	29	TIS	5p-end	-3	20074
SRR1944912	30	TIS	5p-end	-3	26962
SRR1944912	31	TIS	5p-end	-3	8142
SRR1944912	32	TIS	5p-end	-3	297
SRR1944912	33	TIS	5p-end	-3	29
SRR1944912	25	TIS	5p-end	-2	69
SRR1944912	26	TIS	5p-end	-2	100
SRR1944912	27	TIS	5p-end	-2	231
SRR1944912	28	TIS	5p-end	-2	953
SRR1944912	29	TIS	5p-end	-2	3056
SRR1944912	30	TIS	5p-end	-2	13223
SRR1944912	31	TIS	5p-end	-2	20903
SRR1944912	32	TIS	5p-end	-2	11917
SRR1944912	33	TIS	5p-end	-2	659
SRR1944912	25	TIS	5p-end	-1	45
SRR1944912	26	TIS	5p-end	-1	41
SRR1944912	27	TIS	5p-end	-1	182
SRR1944912	28	TIS	5p-end	-1	520
SRR1944912	29	TIS	5p-end	-1	6695
SRR1944912	30	TIS	5p-end	-1	16627
SRR1944912	31	TIS	5p-end	-1	14278
SRR1944912	32	TIS	5p-end	-1	2506
SRR1944912	33	TIS	5p-end	-1	19
SRR1944912	25	TIS	5p-end	0	182
SRR1944912	26	TIS	5p-end	0	284
SRR1944912	27	TIS	5p-end	0	888
SRR1944912	28	TIS	5p-end	0	9429
SRR1944912	29	TIS	5p-end	0	53628
SRR1944912	30	TIS	5p-end	0	69032
SRR1944912	31	TIS	5p-end	0	29298
SRR1944912	32	TIS	5p-end	0	2148
SRR1944912	33	TIS	5p-end	0	284
SRR1944912	25	TTS	5p-end	-33	0
SRR1944912	26	TTS	5p-end	-33	0
SRR1944912	27	TTS	5p-end	-33	0
SRR1944912	28	TTS	5p-end	-33	0
SRR1944912	29	TTS	5p-end	-33	0
SRR1944912	30	TTS	5p-end	-33	0
SRR1944912	31	TTS	5p-end	-33	0
SRR1944912	32	TTS	5p-end	-33	0
SRR1944912	33	TTS	5p-end	-33	27
SRR1944912	25	TTS	5p-end	-32	0
SRR1944912	26	TTS	5p-end	-32	0
SRR1944912	27	TTS	5p-end	-32	0
SRR1944912	28	TTS	5p-end	-32	0
SRR1944912	29	TTS	5p-end	-32	0
SRR1944912	30	TTS	5p-end	-32	0
SRR1944912	31	TTS	5p-end	-32	0
SRR1944912	32	TTS	5p-end	-32	1494
SRR1944912	33	TTS	5p-end	-32	84
SRR1944912	25	TTS	5p-end	-31	0
SRR1944912	26	TTS	5p-end	-31	0
SRR1944912	27	TTS	5p-end	-31	0
SRR1944912	28	TTS	5p-end	-31	0
SRR1944912	29	TTS	5p-end	-31	0
SRR1944912	30	TTS	5p-end	-31	0
SRR1944912	31	TTS	5p-end	-31	6637
SRR1944912	32	TTS	5p-end	-31	923
SRR1944912	33	TTS	5p-end	-31	8
SRR1944912	25	TTS	5p-end	-30	0
SRR1944912	26	TTS	5p-end	-30	0
SRR1944912	27	TTS	5p-end	-30	0
SRR1944912	28	TTS	5p-end	-30	0
SRR1944912	29	TTS	5p-end	-30	0
SRR1944912	30	TTS	5p-end	-30	8120
SRR1944912	31	TTS	5p-end	-30	3053
SRR1944912	32	TTS	5p-end	-30	279
SRR1944912	33	TTS	5p-end	-30	27
SRR1944912	25	TTS	5p-end	-29	0
SRR1944912	26	TTS	5p-end	-29	0
SRR1944912	27	TTS	5p-end	-29	0
SRR1944912	28	TTS	5p-end	-29	0
SRR1944912	29	TTS	5p-end	-29	716
SRR1944912	30	TTS	5p-end	-29	3224
SRR1944912	31	TTS	5p-end	-29	3681
SRR1944912	32	TTS	5p-end	-29	1886
SRR1944912	33	TTS	5p-end	-29	219
SRR1944912	25	TTS	5p-end	-28	0
SRR1944912	26	TTS	5p-end	-28	0
SRR1944912	27	TTS	5p-end	-28	0
SRR1944912	28	TTS	5p-end	-28	214
SRR1944912	29	TTS	5p-end	-28	4304
SRR1944912	30	TTS	5p-end	-28	7837
SRR1944912	31	TTS	5p-end	-28	6036
SRR1944912	32	TTS	5p-end	-28	1229
SRR1944912	33	TTS	5p-end	-28	11
SRR1944912	25	TTS	5p-end	-27	0
SRR1944912	26	TTS	5p-end	-27	0
SRR1944912	27	TTS	5p-end	-27	114
SRR1944912	28	TTS	5p-end	-27	1599
SRR1944912	29	TTS	5p-end	-27	6137
SRR1944912	30	TTS	5p-end	-27	7942
SRR1944912	31	TTS	5p-end	-27	3677
SRR1944912	32	TTS	5p-end	-27	240
SRR1944912	33	TTS	5p-end	-27	18
SRR1944912	25	TTS	5p-end	-26	0
SRR1944912	26	TTS	5p-end	-26	21
SRR1944912	27	TTS	5p-end	-26	58
SRR1944912	28	TTS	5p-end	-26	220
SRR1944912	29	TTS	5p-end	-26	674
SRR1944912	30	TTS	5p-end	-26	3443
SRR1944912	31	TTS	5p-end	-26	4276
SRR1944912	32	TTS	5p-end	-26	1117
SRR1944912	33	TTS	5p-end	-26	67
SRR1944912	25	TTS	5p-end	-25	13
SRR1944912	26	TTS	5p-end	-25	10
SRR1944912	27	TTS	5p-end	-25	60
SRR1944912	28	TTS	5p-end	-25	172
SRR1944912	29	TTS	5p-end	-25	4198
SRR1944912	30	TTS	5p-end	-25	9504
SRR1944912	31	TTS	5p-end	-25	3945
SRR1944912	32	TTS	5p-end	-25	648
SRR1944912	33	TTS	5p-end	-25	13
SRR1944912	25	TTS	5p-end	-24	13
SRR1944912	26	TTS	5p-end	-24	48
SRR1944912	27	TTS	5p-end	-24	80
SRR1944912	28	TTS	5p-end	-24	1540
SRR1944912	29	TTS	5p-end	-24	7593
