name	SRR1944912_cds_rpf	SRR1944913_cds_rpf	SRR1944914_cds_rpf	SRR1944915_cds_rpf	SRR1944916_cds_rpf	SRR1944917_cds_rpf
AI1	21	38	18	19	5	14
AI2	11	20	11	9	11	5
AI3	1	15	6	6	3	1
AI4	5	32	12	15	8	3
AI5_ALPHA	8	35	12	20	10	2
AI5_BETA	7	0	2	0	3	0
ATP6	14	38	6	24	21	6
ATP8	4	6	1	12	4	1
BI2	10	16	3	18	9	2
BI3	10	23	1	19	11	4
BI4	10	28	3	31	14	3
CCW22	2330	2846	1452	3241	3360	1630
COB	17	34	4	33	14	5
COX1	11	41	15	35	18	6
COX2	21	34	4	62	24	10
COX3	11	31	5	41	18	13
CRS5	0	0	0	0	0	0
FLO8	91	103	44	151	164	69
NM_001178148.1	407	515	281	610	500	290
NM_001178149.1	160	220	132	238	166	112
NM_001178150.1	36841	43733	19314	43054	34939	18617
NM_001178151.1	133545	164396	94051	206939	172190	93829
NM_001178152.1	1321	1731	926	1574	1489	728
NM_001178153.1	331	388	229	530	473	257
NM_001178154.1	115	134	55	162	142	82
NM_001178155.2	138	171	80	193	186	90
NM_001178156.1	143	179	109	205	152	92
NM_001178157.1	14430	16657	8513	15906	14810	8830
NM_001178158.2	330	433	202	549	391	265
NM_001178159.1	208	291	155	348	303	154
NM_001178160.1	125	154	88	184	162	94
NM_001178161.1	3247	4159	2063	4952	4188	2129
NM_001178162.2	604	674	413	820	645	387
NM_001178163.1	2	1	1	3	0	0
NM_001178164.1	1212	1545	768	1730	1452	820
NM_001178165.2	153	179	92	183	181	142
NM_001178166.1	1670	2126	1000	2010	1750	1039
NM_001178167.1	716	929	459	973	856	466
NM_001178168.1	5102	6189	3328	5705	4736	2880
NM_001178169.1	219	286	135	320	269	146
NM_001178170.2	1187	1404	902	1577	1450	757
NM_001178171.2	1027	1223	680	1396	1069	641
NM_001178172.1	73	105	59	119	109	57
NM_001178173.1	47	47	21	49	38	28
NM_001178174.1	806	1039	540	1003	927	517
NM_001178175.1	313	509	237	658	537	343
NM_001178176.1	183	239	140	325	281	152
NM_001178177.1	202	235	108	249	207	136
NM_001178178.1	302	317	162	338	336	195
NM_001178179.1	101	124	73	129	110	44
NM_001178180.1	13332	16248	8319	19414	16565	9271
NM_001178181.1	2186	2634	1379	4035	3753	2002
NM_001178182.1	9	9	13	8	10	2
NM_001178183.1	216633	242821	128863	241866	217964	122611
NM_001178184.1	281	304	195	382	303	237
NM_001178185.1	278	352	175	267	215	129
NM_001178186.1	665	946	450	927	808	469
NM_001178187.1	1928	2205	1307	2693	2378	1461
NM_001178188.1	780	971	480	997	819	543
NM_001178189.1	2082	2248	1171	3170	2978	1632
NM_001178191.1	293	363	194	358	332	206
NM_001178192.2	177	252	104	244	207	106
NM_001178193.1	190	220	142	294	249	124
NM_001178194.1	664	887	451	1012	943	451
NM_001178195.2	399	519	308	650	580	276
NM_001178196.2	1168	1419	764	1504	1301	764
NM_001178197.1	22	47	18	29	28	12
NM_001178198.1	76	99	76	89	77	48
NM_001178199.2	166	211	134	257	216	120
NM_001178200.1	262	284	176	337	293	176
NM_001178201.2	689	838	489	803	743	359
NM_001178202.2	966	1090	575	1390	1170	665
NM_001178203.1	105	74	90	177	114	136
NM_001178204.1	57	71	53	88	66	26
NM_001178205.1	25	16	18	20	15	11
NM_001178206.2	0	0	0	0	0	0
NM_001178208.1	3	5	1	5	4	2
NM_001178209.1	1428	1690	850	1773	1447	779
NM_001178210.1	225	287	157	305	294	128
NM_001178211.1	1762	2179	1173	2618	2217	1145
NM_001178212.1	178	191	128	225	192	108
NM_001178213.1	13	14	10	10	11	11
NM_001178214.1	1	1	2	3	2	2
NM_001178215.2	818	1061	470	1185	865	458
NM_001178216.1	2651	2737	1126	1999	1946	786
NM_001178217.1	188	262	124	314	274	159
NM_001178218.2	146	188	97	235	170	108
NM_001178219.1	0	1	0	2	1	1
NM_001178220.2	3	6	4	3	5	3
NM_001178221.1	397	500	256	514	440	216
NM_001178222.1	239	304	160	309	274	127
NM_001178223.1	1	2	0	0	0	0
NM_001178224.1	128	190	115	183	166	90
NM_001178225.1	163	191	97	187	157	100
NM_001178226.1	30	32	24	51	54	26
NM_001178227.1	663	722	494	662	631	377
NM_001178230.1	14	8	9	17	9	7
NM_001178235.1	0	0	0	0	0	0
NM_001178236.1	3	12	0	14	13	7
NM_001178239.1	5131	6112	3584	1742	1352	309
NM_001178241.1	864	1086	597	1409	1185	604
NM_001178242.1	7270	8937	4438	8758	7964	3623
NM_001178243.1	6962	8272	4406	8304	7664	3664
NM_001178244.1	3226	4218	2049	4235	3380	1912
NM_001178245.1	172	194	169	234	151	152
NM_001178246.1	381	499	273	446	431	219
NM_001178247.1	5609	7051	3056	6977	5272	3121
NM_001178248.2	286	396	248	428	382	215
NM_001178249.1	637	803	463	733	593	323
NM_001178250.1	156	221	108	204	226	88
NM_001178251.1	726	932	469	723	585	332
NM_001178253.1	85	116	63	104	65	32
NM_001178254.2	87	170	99	209	182	113
NM_001178255.1	427	530	276	506	403	229
NM_001178256.1	459	560	309	548	558	305
