name	SRR1944912_cds_rpkm	SRR1944913_cds_rpkm	SRR1944914_cds_rpkm	SRR1944915_cds_rpkm	SRR1944916_cds_rpkm	SRR1944917_cds_rpkm
AI1	0.44	0.67	0.59	0.33	0.1	0.5
AI2	0.22	0.34	0.35	0.15	0.21	0.17
AI3	0.04	0.52	0.39	0.2	0.11	0.07
AI4	0.15	0.83	0.58	0.38	0.23	0.16
AI5_ALPHA	0.22	0.81	0.52	0.45	0.25	0.09
AI5_BETA	0.33	0.0	0.15	0.0	0.13	0.0
ATP6	0.89	2.04	0.6	1.26	1.24	0.65
ATP8	1.04	1.31	0.41	2.56	0.96	0.44
BI2	0.4	0.54	0.19	0.6	0.33	0.14
BI3	0.33	0.64	0.05	0.52	0.34	0.23
BI4	0.27	0.64	0.13	0.69	0.35	0.14
CCW22	265.09	272.78	259.52	303.41	353.26	315.16
COB	0.75	1.26	0.28	1.19	0.57	0.37
COX1	0.35	1.11	0.76	0.93	0.54	0.33
COX2	1.38	1.88	0.41	3.35	1.46	1.12
COX3	0.68	1.61	0.48	2.08	1.02	1.36
CRS5	0.0	0.0	0.0	0.0	0.0	0.0
FLO8	1.98	1.89	1.51	2.71	3.3	2.55
NM_001178148.1	6.16	6.56	6.68	7.59	6.99	7.45
NM_001178149.1	2.21	2.56	2.86	2.7	2.12	2.63
NM_001178150.1	2898.93	2899.05	2387.52	2787.64	2540.62	2489.62
NM_001178151.1	3597.87	3731.21	3980.62	4587.51	4286.96	4296.09
NM_001178152.1	99.98	110.37	110.1	98.03	104.14	93.64
NM_001178153.1	27.0	26.66	29.34	35.57	35.65	35.62
NM_001178154.1	7.34	7.2	5.51	8.5	8.37	8.89
NM_001178155.2	4.8	5.01	4.37	5.52	5.97	5.32
NM_001178156.1	3.95	4.17	4.73	4.66	3.88	4.32
NM_001178157.1	621.08	603.98	575.62	563.33	589.06	645.9
NM_001178158.2	13.84	15.3	13.31	18.94	15.15	18.88
NM_001178159.1	13.46	15.87	15.76	18.53	18.12	16.94
NM_001178160.1	5.32	5.52	5.88	6.44	6.37	6.79
NM_001178161.1	88.41	95.4	88.25	110.95	105.38	98.52
NM_001178162.2	7.83	7.37	8.42	8.75	7.73	8.53
NM_001178163.1	0.1	0.04	0.08	0.13	0.0	0.0
NM_001178164.1	18.79	20.18	18.71	22.07	20.81	21.61
NM_001178165.2	7.72	7.61	7.29	7.6	8.44	12.18
NM_001178166.1	34.77	37.29	32.7	34.43	33.67	36.76
NM_001178167.1	23.77	25.98	23.94	26.58	26.26	26.29
NM_001178168.1	116.84	119.4	119.73	107.5	100.22	112.08
NM_001178169.1	2.69	2.96	2.6	3.23	3.05	3.04
NM_001178170.2	64.84	64.61	77.4	70.88	73.19	70.27
NM_001178171.2	13.33	13.37	13.87	14.91	12.82	14.14
NM_001178172.1	4.62	5.6	5.87	6.2	6.38	6.14
NM_001178173.1	1.53	1.29	1.07	1.31	1.14	1.55
NM_001178174.1	9.65	10.48	10.16	9.88	10.26	10.52
NM_001178175.1	40.51	55.5	48.19	70.08	64.23	75.45
NM_001178176.1	4.19	4.6	5.03	6.12	5.94	5.91
NM_001178177.1	9.02	8.84	7.58	9.15	8.54	10.32
NM_001178178.1	27.81	24.59	23.43	25.61	28.59	30.51
NM_001178179.1	5.82	6.02	6.61	6.12	5.86	4.31
NM_001178180.1	232.78	239.0	228.19	278.93	267.28	275.11
NM_001178181.1	100.12	101.63	99.22	152.06	158.84	155.83
NM_001178182.1	0.56	0.47	1.27	0.41	0.57	0.21
NM_001178183.1	7427.08	7013.27	6940.51	6823.16	6905.6	7143.99
NM_001178184.1	17.31	15.77	18.87	19.36	17.25	24.81
NM_001178185.1	8.26	8.81	8.17	6.53	5.9	6.52
NM_001178186.1	13.58	16.27	14.43	15.57	15.24	16.27
NM_001178187.1	78.99	76.1	84.12	90.78	90.03	101.72
NM_001178188.1	17.29	18.13	16.71	18.18	16.77	20.45
NM_001178189.1	194.71	177.11	172.04	243.94	257.36	259.38
NM_001178191.1	37.65	39.3	39.16	37.85	39.43	44.99
NM_001178192.2	4.92	5.9	4.54	5.58	5.31	5.0
NM_001178193.1	4.97	4.85	5.83	6.33	6.02	5.51
NM_001178194.1	44.42	49.99	47.4	55.71	58.3	51.28
NM_001178195.2	6.67	7.31	8.09	8.95	8.96	7.84
NM_001178196.2	25.95	26.56	26.66	27.49	26.71	28.85
NM_001178197.1	0.54	0.96	0.69	0.58	0.63	0.5
NM_001178198.1	6.75	7.41	10.61	6.51	6.32	7.25
NM_001178199.2	3.29	3.52	4.17	4.19	3.96	4.04
NM_001178200.1	8.95	8.17	9.44	9.47	9.25	10.22
NM_001178201.2	52.82	54.12	58.89	50.65	52.64	46.77
NM_001178202.2	42.82	40.7	40.04	50.69	47.92	50.09
NM_001178203.1	4.28	2.54	5.77	5.94	4.3	9.43
NM_001178204.1	2.13	2.24	3.11	2.71	2.28	1.65
NM_001178205.1	0.33	0.18	0.38	0.22	0.18	0.25
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178208.1	0.09	0.12	0.05	0.12	0.11	0.1
NM_001178209.1	45.55	45.41	42.59	46.53	42.65	42.23
NM_001178210.1	8.99	9.66	9.86	10.03	10.86	8.69
NM_001178211.1	49.02	51.07	51.27	59.94	57.0	54.14
NM_001178212.1	10.74	9.71	12.13	11.17	10.71	11.08
NM_001178213.1	0.19	0.17	0.23	0.12	0.15	0.27
NM_001178214.1	0.04	0.03	0.12	0.1	0.07	0.13
NM_001178215.2	20.02	21.87	18.07	23.86	19.56	19.05
NM_001178216.1	144.81	125.95	96.63	89.85	98.23	72.97
NM_001178217.1	7.36	8.65	7.63	10.12	9.92	10.58
