name	SRR1944912_cds_tpm	SRR1944913_cds_tpm	SRR1944914_cds_tpm	SRR1944915_cds_tpm	SRR1944916_cds_tpm	SRR1944917_cds_tpm
AI1	0.5	0.77	0.71	0.38	0.11	0.6
AI2	0.26	0.4	0.42	0.17	0.24	0.21
AI3	0.05	0.6	0.46	0.23	0.13	0.08
AI4	0.18	0.96	0.7	0.44	0.27	0.19
AI5_ALPHA	0.25	0.93	0.62	0.52	0.29	0.11
AI5_BETA	0.38	0.0	0.18	0.0	0.15	0.0
ATP6	1.01	2.35	0.72	1.46	1.43	0.78
ATP8	1.18	1.5	0.49	2.96	1.11	0.53
BI2	0.46	0.62	0.23	0.69	0.39	0.16
BI3	0.38	0.74	0.06	0.6	0.39	0.27
BI4	0.31	0.74	0.15	0.8	0.41	0.17
CCW22	301.07	313.64	311.38	350.87	409.2	379.55
COB	0.85	1.45	0.33	1.38	0.66	0.45
COX1	0.4	1.28	0.91	1.07	0.62	0.4
COX2	1.57	2.16	0.5	3.87	1.69	1.34
COX3	0.77	1.85	0.58	2.4	1.19	1.64
CRS5	0.0	0.0	0.0	0.0	0.0	0.0
FLO8	2.25	2.17	1.81	3.13	3.82	3.08
NM_001178148.1	6.99	7.54	8.01	8.78	8.09	8.98
NM_001178149.1	2.51	2.94	3.43	3.12	2.45	3.16
NM_001178150.1	3292.39	3333.29	2864.63	3223.74	2942.93	2998.2
NM_001178151.1	4086.21	4290.1	4776.08	5305.2	4965.8	5173.69
NM_001178152.1	113.55	126.9	132.11	113.36	120.64	112.77
NM_001178153.1	30.66	30.65	35.21	41.13	41.3	42.9
NM_001178154.1	8.33	8.28	6.61	9.83	9.7	10.71
NM_001178155.2	5.45	5.76	5.24	6.38	6.92	6.4
NM_001178156.1	4.49	4.79	5.68	5.39	4.5	5.21
NM_001178157.1	705.38	694.45	690.65	651.46	682.34	777.84
NM_001178158.2	15.71	17.59	15.96	21.9	17.55	22.74
NM_001178159.1	15.29	18.24	18.91	21.43	20.99	20.4
NM_001178160.1	6.04	6.34	7.05	7.45	7.37	8.18
NM_001178161.1	100.41	109.69	105.88	128.31	122.07	118.64
NM_001178162.2	8.9	8.47	10.1	10.12	8.96	10.27
NM_001178163.1	0.12	0.05	0.1	0.15	0.0	0.0
NM_001178164.1	21.34	23.2	22.45	25.53	24.1	26.02
NM_001178165.2	8.77	8.75	8.75	8.79	9.78	14.66
NM_001178166.1	39.49	42.87	39.24	39.82	39.0	44.27
NM_001178167.1	27.0	29.88	28.72	30.74	30.42	31.67
NM_001178168.1	132.69	137.28	143.65	124.32	116.09	134.98
NM_001178169.1	3.05	3.4	3.12	3.74	3.53	3.67
NM_001178170.2	73.64	74.29	92.87	81.97	84.78	84.63
NM_001178171.2	15.14	15.38	16.64	17.24	14.85	17.03
NM_001178172.1	5.25	6.44	7.04	7.17	7.39	7.39
NM_001178173.1	1.74	1.48	1.29	1.52	1.32	1.86
NM_001178174.1	10.96	12.05	12.19	11.43	11.88	12.67
NM_001178175.1	46.01	63.82	57.82	81.04	74.4	90.86
NM_001178176.1	4.75	5.29	6.04	7.07	6.88	7.11
NM_001178177.1	10.24	10.16	9.09	10.58	9.89	12.43
NM_001178178.1	31.58	28.27	28.11	29.61	33.12	36.75
