name	wt_ribo_YPD1_cds_rpf	wt_ribo_YPD2_cds_rpf	wt_ribo_YPD3_cds_rpf	ncs2d_ribo_YPD1_cds_rpf	ncs2d_ribo_YPD2_cds_rpf	ncs2d_ribo_YPD3_cds_rpf	elp6d_ribo_YPD1_cds_rpf	elp6d_ribo_YPD2_cds_rpf	elp6d_ribo_YPD3_cds_rpf	ncs2d_elp6d_ribo_YPD1_cds_rpf	ncs2d_elp6d_ribo_YPD2_cds_rpf	ncs2d_elp6d_ribo_YPD3_cds_rpf
NM_001178148.1	408	517	280	615	503	291	496	327	313	502	418	703
NM_001178149.1	166	224	130	239	169	113	209	139	131	218	155	275
NM_001178150.1	37873	45300	19923	44630	36568	19119	29299	22256	23805	31388	26698	40602
NM_001178151.1	134309	165384	94225	208143	173168	94230	141351	105046	100705	182562	166467	239980
NM_001178152.1	1380	1804	951	1633	1534	742	1299	1073	915	1499	1171	1765
NM_001178153.1	345	409	238	569	489	273	396	314	259	597	552	774
NM_001178154.1	116	134	60	167	143	89	160	105	111	197	162	226
NM_001178155.2	143	175	82	196	190	91	180	126	105	185	152	255
NM_001178156.1	145	179	111	207	151	93	134	103	105	149	114	173
NM_001178157.1	14703	17019	8642	16213	15125	8992	14816	12311	12043	21376	17668	25668
NM_001178158.2	334	444	209	563	400	278	372	245	293	555	437	754
NM_001178159.1	214	297	157	355	303	156	221	190	172	306	307	376
NM_001178160.1	126	160	93	191	169	94	157	125	129	243	216	277
NM_001178161.1	3253	4163	2046	4955	4187	2135	3439	2591	2447	4292	3534	5350
NM_001178162.2	610	676	418	822	647	388	586	469	394	746	574	937
NM_001178163.1	2	1	1	3	0	0	2	1	2	3	4	2
NM_001178164.1	1220	1550	764	1737	1465	820	1280	969	958	1644	1349	1981
NM_001178165.2	156	185	92	188	187	144	169	142	129	253	205	328
NM_001178166.1	1689	2147	1008	2024	1764	1054	1539	1192	1266	1968	1581	2449
NM_001178167.1	726	946	468	999	877	485	807	639	569	1179	1055	1553
NM_001178168.1	5129	6236	3340	5742	4768	2893	4351	3516	3383	4882	4318	6627
NM_001178169.1	221	291	137	322	274	146	274	209	169	376	211	456
NM_001178170.2	1233	1444	914	1616	1489	777	1154	853	830	1429	1259	1680
NM_001178171.2	1027	1223	674	1396	1069	637	1096	816	732	1174	983	1615
NM_001178172.1	78	110	65	124	114	59	106	107	64	126	126	183
NM_001178173.1	48	47	21	49	38	28	29	29	24	35	46	49
NM_001178174.1	818	1050	540	1013	933	522	969	660	628	1080	840	1322
NM_001178175.1	318	518	244	674	541	348	422	348	309	734	624	831
NM_001178176.1	184	242	138	329	281	149	233	169	169	251	236	355
NM_001178177.1	206	245	109	253	210	137	174	140	135	203	146	240
NM_001178178.1	323	349	187	370	360	206	427	311	362	477	459	604
NM_001178179.1	113	127	74	129	116	45	96	79	74	102	92	157
NM_001178180.1	13559	16488	8391	19710	16790	9370	13796	10591	10325	19487	16319	23480
NM_001178181.1	2222	2677	1390	4105	3809	2021	3179	2424	2390	4703	3899	5593
NM_001178182.1	9	9	14	10	10	3	7	7	4	16	8	16
NM_001178183.1	223367	250322	132368	249178	223590	125623	202580	161523	159016	194244	167052	244838
NM_001178184.1	286	320	200	408	318	245	373	279	253	566	433	676
NM_001178185.1	287	358	178	281	223	130	305	225	219	290	230	354
NM_001178186.1	671	955	447	928	816	474	903	656	626	1077	848	1350
NM_001178187.1	1976	2267	1322	2746	2417	1496	2274	1908	1773	2967	2476	3515
NM_001178188.1	779	973	481	997	819	543	685	541	560	961	783	1230
NM_001178189.1	2271	2425	1240	3368	3185	1713	2644	2069	2170	3680	3363	4453
NM_001178191.1	313	390	209	387	363	220	305	201	231	401	356	466
NM_001178192.2	186	262	107	253	210	113	217	159	167	288	215	327
NM_001178193.1	193	227	141	298	251	128	241	166	205	319	276	351
NM_001178194.1	673	905	460	1033	950	457	721	588	591	899	755	1102
NM_001178195.2	409	524	310	657	587	276	492	384	335	615	555	708
NM_001178196.2	1199	1450	784	1536	1328	777	1478	1182	984	1919	1720	2505
NM_001178197.1	22	47	18	29	28	12	26	17	14	50	42	49
NM_001178198.1	80	102	79	94	79	49	67	52	67	83	65	106
NM_001178199.2	177	214	134	259	223	125	224	143	164	305	205	365
NM_001178200.1	269	291	181	345	299	180	277	206	224	374	283	457
NM_001178201.2	673	838	482	798	742	359	557	361	409	653	543	694
NM_001178202.2	995	1098	583	1410	1181	676	1181	955	891	1084	981	1387
NM_001178203.1	105	76	91	178	118	137	163	113	129	408	352	552
NM_001178204.1	57	71	53	89	66	28	70	53	49	62	79	85
NM_001178205.1	25	16	18	20	15	11	11	19	14	25	16	27
NM_001178206.2	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178208.1	3	5	1	5	4	2	9	3	3	10	15	9
NM_001178209.1	1461	1713	876	1796	1459	790	1315	1025	917	1454	1206	1762
NM_001178210.1	234	288	158	314	303	131	229	195	206	379	282	346
NM_001178211.1	1771	2188	1177	2626	2228	1149	1696	1332	1163	2038	1749	2450
NM_001178212.1	182	199	132	230	203	108	208	142	155	252	181	266
NM_001178213.1	13	14	10	10	11	11	16	8	8	11	5	8
NM_001178214.1	1	1	2	3	2	2	3	1	0	1	0	2
NM_001178215.2	826	1065	475	1192	871	459	719	554	628	966	805	1302
NM_001178216.1	2689	2781	1137	2021	1971	809	1400	1030	1042	1159	967	1314
NM_001178217.1	197	273	123	329	285	167	291	231	202	407	340	497
NM_001178218.2	146	188	97	237	172	109	168	113	130	218	192	283
NM_001178219.1	0	1	0	2	1	1	2	0	1	1	0	2
NM_001178220.2	3	6	4	3	5	3	7	7	6	2	3	6
NM_001178221.1	411	512	261	521	451	220	365	265	223	390	331	525
NM_001178222.1	247	318	167	325	284	140	277	223	206	324	286	407
NM_001178223.1	1	4	0	2	0	0	3	0	3	5	2	1
NM_001178224.1	128	190	113	183	166	90	155	134	98	199	168	292
NM_001178225.1	168	201	95	190	165	104	188	131	125	243	238	292
NM_001178226.1	31	33	24	53	54	27	65	61	68	192	195	225
NM_001178227.1	672	729	495	670	636	380	533	469	481	701	473	824
NM_001178230.1	14	8	9	17	9	7	6	13	11	18	17	19
NM_001178235.1	0	0	0	0	0	0	0	0	0	0	0	2
NM_001178236.1	3	12	0	14	13	7	8	13	19	20	32	56
NM_001178239.1	5249	6237	3632	1773	1373	312	1534	1322	803	118	96	142
NM_001178241.1	957	1175	650	1506	1286	662	1245	875	886	1516	1437	1926
NM_001178242.1	7578	9312	4651	9092	8335	3850	7943	5984	5890	9067	7671	10438
NM_001178243.1	7685	8929	4801	8826	8342	4114	7890	6300	6301	9433	8131	11036
NM_001178244.1	3267	4270	2059	4292	3427	1925	3712	2756	2573	3922	3222	4961
NM_001178245.1	173	199	173	235	158	158	243	171	119	225	224	314
NM_001178246.1	406	518	284	465	441	228	355	292	278	442	340	468
NM_001178247.1	5656	7103	3065	7003	5300	3132	4657	3661	3645	5729	4675	7195
NM_001178248.2	292	406	251	435	389	214	356	285	261	400	322	499
NM_001178249.1	660	832	469	745	604	339	587	418	382	674	525	790
NM_001178250.1	164	228	110	214	225	90	186	124	146	220	190	299
NM_001178251.1	733	939	474	729	591	332	488	419	380	551	492	693
NM_001178253.1	90	119	62	107	65	37	72	68	56	127	103	133
NM_001178254.2	90	173	99	211	184	113	158	140	130	232	202	251
NM_001178255.1	440	534	278	514	410	231	418	324	339	421	328	544
NM_001178256.1	475	580	316	569	569	317	393	342	357	411	388	558
NM_001178257.1	3341	4213	2305	4329	3923	1945	3304	2567	2329	3401	2950	4528
NM_001178258.1	235	289	196	343	260	136	312	217	239	272	244	318
NM_001178259.1	74	91	64	122	101	42	102	102	69	137	118	155
NM_001178260.1	447	568	324	490	441	213	426	395	335	419	380	577
NM_001178261.1	117	198	89	262	242	125	163	133	129	272	228	315
NM_001178262.1	2689	3337	1745	5320	4201	2610	4245	3138	3098	6235	5281	7729
NM_001178263.1	798	1133	597	1071	843	531	773	584	574	977	752	1124
NM_001178264.1	4036	4957	2835	4825	4333	2440	3777	2768	2844	3756	3388	4601
NM_001178265.1	111	163	72	181	137	78	112	106	81	141	127	177
NM_001178266.1	556	649	446	539	570	269	524	380	384	550	484	622
NM_001178267.1	34251	40174	19734	42294	37701	18324	29898	22917	22301	34865	30604	41678
NM_001178268.1	909	1094	584	1193	971	495	659	553	521	867	787	925
NM_001178269.1	53	66	29	61	52	15	53	43	29	56	47	44
NM_001178270.1	5520	7078	3563	8699	7419	3752	6535	5460	5085	9695	8519	12416
NM_001178271.1	139	153	87	204	166	73	171	125	119	221	153	246
NM_001178272.1	2207	2689	1343	2367	1967	1049	1639	1291	1252	1664	1464	2185
NM_001178273.1	444	544	325	599	528	310	499	351	358	609	484	639
NM_001178274.1	564	728	394	786	681	357	601	450	416	652	602	834
NM_001178275.1	751	887	436	1032	865	429	644	509	499	762	577	908
NM_001178276.1	936	1299	654	1674	1402	723	1183	909	792	1585	1420	1818
NM_001178277.1	559	631	393	813	607	405	724	536	493	986	824	1339
NM_001178278.1	346	410	251	617	495	246	433	310	289	575	516	727
NM_001178279.1	7041	8524	4338	7824	6926	3534	6209	4483	4636	6647	5903	8200
NM_001178280.1	1011	1270	633	1365	1336	644	1196	899	786	1384	1232	1806
NM_001178281.1	2635	3248	1707	3018	2644	1407	2184	1662	1629	2455	2176	2975
NM_001178282.1	1204	1511	731	1186	968	600	1012	755	723	909	863	1070
NM_001178283.1	3	3	3	3	11	4	3	2	3	6	12	12
NM_001178284.1	0	0	0	2	0	2	0	2	1	0	0	0
NM_001178285.1	1633	2156	1012	3161	2841	1379	2821	2327	2242	4844	3989	6106
NM_001178286.1	234	328	175	434	370	198	296	204	196	443	379	570
NM_001178287.1	5255	6446	3000	8351	6360	3694	5852	5152	4417	8257	6552	10136
NM_001178289.1	5	10	5	8	7	6	7	5	7	27	16	18
NM_001178290.1	1300	1625	749	1725	1537	751	1183	835	829	1414	1234	1731
NM_001178291.1	1744	2288	1049	3004	2336	1425	2052	1580	1456	2916	2237	3577
NM_001178292.1	124	128	94	165	135	78	143	92	85	128	90	186
NM_001178294.1	665	815	467	707	641	388	550	473	494	594	537	626
NM_001178295.1	372	402	236	369	350	203	375	268	272	314	269	384
NM_001178296.2	1655	1917	1140	2169	1828	1038	1721	1320	1246	1854	1587	2311
NM_001178297.2	449	512	300	571	498	277	474	377	316	665	604	771
NM_001178298.1	2737	3391	1517	5086	4234	2271	3248	2474	2474	5459	4832	6678
NM_001178299.1	88	124	67	173	152	80	116	116	100	200	150	242
NM_001178300.1	163	202	121	264	212	110	212	165	139	293	241	314
NM_001178301.1	692	916	418	981	779	430	762	504	553	830	689	1022
NM_001178303.1	276	379	195	398	301	181	323	261	221	380	351	455
NM_001178304.1	756	857	465	1368	1217	627	1038	793	729	1766	1439	1940
NM_001178306.1	168	183	110	226	210	110	212	167	140	304	241	396
NM_001178307.2	416	603	305	512	407	248	485	301	327	473	426	646
NM_001178308.2	1141	1297	706	1485	1313	707	1364	970	949	1342	1270	1669
NM_001178309.1	693	831	405	853	691	381	654	481	443	749	580	859
NM_001178312.1	66689	76447	37212	72812	65736	33055	53955	41995	41161	58855	50189	70863
NM_001178314.1	129	196	110	193	166	95	136	120	133	173	175	234
NM_001178315.1	21	50	11	120	94	28	55	82	36	236	272	264
NM_001178316.1	17400	20880	11468	25098	20628	11563	21089	15614	15400	24044	20510	30959
NM_001178318.1	101	147	70	251	210	105	172	105	92	313	219	316
NM_001178319.1	1337	1690	918	1963	1678	996	1731	1253	1209	1918	1631	2674
