name	wt_ribo_YPD1_cds_rpkm	wt_ribo_YPD2_cds_rpkm	wt_ribo_YPD3_cds_rpkm	ncs2d_ribo_YPD1_cds_rpkm	ncs2d_ribo_YPD2_cds_rpkm	ncs2d_ribo_YPD3_cds_rpkm	elp6d_ribo_YPD1_cds_rpkm	elp6d_ribo_YPD2_cds_rpkm	elp6d_ribo_YPD3_cds_rpkm	ncs2d_elp6d_ribo_YPD1_cds_rpkm	ncs2d_elp6d_ribo_YPD2_cds_rpkm	ncs2d_elp6d_ribo_YPD3_cds_rpkm
NM_001178148.1	6.48	10.64	5.98	8.57	7.99	3.23	6.17	4.57	8.05	7.59	5.32	16.79
NM_001178149.1	2.4	4.2	2.53	3.04	2.45	1.14	2.37	1.77	3.07	3.01	1.8	5.99
NM_001178150.1	3128.58	4850.45	2214.12	3234.0	3022.5	1103.71	1894.78	1618.98	3186.71	2468.7	1767.1	5046.03
NM_001178151.1	3798.7	6063.03	3585.29	5164.01	4900.56	1862.47	3129.81	2616.29	4615.7	4916.17	3772.44	10211.5
NM_001178152.1	109.65	185.8	101.66	113.82	121.96	41.2	80.8	75.08	117.82	113.4	74.55	210.99
NM_001178153.1	29.54	45.39	27.42	42.74	41.89	16.34	26.55	23.68	35.94	48.67	37.87	99.71
NM_001178154.1	7.77	11.63	5.41	9.81	9.58	4.17	8.39	6.19	12.05	12.56	8.69	22.77
NM_001178155.2	5.22	8.28	4.02	6.27	6.94	2.32	5.14	4.05	6.21	6.43	4.44	14.0
NM_001178156.1	4.21	6.73	4.33	5.27	4.39	1.89	3.05	2.63	4.94	4.12	2.65	7.56
NM_001178157.1	664.36	996.77	525.34	642.62	683.82	283.94	524.1	489.85	881.83	919.62	639.66	1744.91
NM_001178158.2	14.7	25.33	12.38	21.74	17.62	8.55	12.82	9.5	20.9	23.26	15.41	49.93
NM_001178159.1	14.54	26.16	14.35	21.16	20.6	7.41	11.75	11.37	18.94	19.79	16.71	38.43
NM_001178160.1	5.63	9.26	5.59	7.48	7.55	2.93	5.49	4.91	9.33	10.33	7.73	18.61
NM_001178161.1	92.99	154.25	78.68	124.25	119.75	42.65	76.96	65.22	113.35	116.81	80.94	230.08
NM_001178162.2	8.31	11.93	7.66	9.82	8.82	3.69	6.25	5.62	8.69	9.67	6.26	19.2
NM_001178163.1	0.11	0.07	0.07	0.14	0.0	0.0	0.08	0.05	0.18	0.15	0.17	0.16
