	wt_ribo_YPD1_absolute_occupancy	wt_ribo_YPD2_absolute_occupancy	wt_ribo_YPD3_absolute_occupancy	ncs2d_ribo_YPD1_absolute_occupancy	ncs2d_ribo_YPD2_absolute_occupancy	ncs2d_ribo_YPD3_absolute_occupancy	elp6d_ribo_YPD1_absolute_occupancy	elp6d_ribo_YPD2_absolute_occupancy	elp6d_ribo_YPD3_absolute_occupancy	ncs2d_elp6d_ribo_YPD1_absolute_occupancy	ncs2d_elp6d_ribo_YPD2_absolute_occupancy	ncs2d_elp6d_ribo_YPD3_absolute_occupancy
wt_ribo_YPD1_absolute_occupancy	1.0	0.9284261469409396	0.9439078104523234	0.9327564947029104	0.9142368312448851	0.9378449994872345	0.9227653493739815	0.9313875649491432	0.9362805578762077	0.9118792085554644	0.926509679724523	0.897229103792897
wt_ribo_YPD2_absolute_occupancy	0.9284261469409396	1.0	0.9336672594092692	0.9634225255937601	0.9871306251173221	0.9243765710925896	0.9255824896362834	0.9590303512859439	0.9414892973026197	0.9416441065902406	0.9585293270219195	0.9515635705339296
wt_ribo_YPD3_absolute_occupancy	0.9439078104523234	0.9336672594092692	1.0	0.9147491796741704	0.92977066679298	0.9824757510964864	0.9605297547861803	0.9743991920444204	0.9788849502995908	0.9568954082745372	0.9573490214014908	0.9343620638681267
ncs2d_ribo_YPD1_absolute_occupancy	0.9327564947029104	0.9634225255937601	0.9147491796741704	1.0	0.966610415047519	0.9079504186423308	0.9073630372204259	0.9304710413451934	0.9123772769011135	0.9097390822789506	0.9215574364087334	0.9047219339471659
ncs2d_ribo_YPD2_absolute_occupancy	0.9142368312448851	0.9871306251173221	0.92977066679298	0.966610415047519	1.0	0.9228074628397269	0.9331443405708734	0.9568638321609918	0.9409283859182199	0.9438720343477764	0.9571683439945683	0.9515828406247243
ncs2d_ribo_YPD3_absolute_occupancy	0.9378449994872345	0.9243765710925896	0.9824757510964864	0.9079504186423308	0.9228074628397269	1.0	0.9624155107172274	0.9745862016232576	0.9846322289337033	0.9662367554938034	0.9638244981301534	0.9467099085688713
elp6d_ribo_YPD1_absolute_occupancy	0.9227653493739815	0.9255824896362834	0.9605297547861803	0.9073630372204259	0.9331443405708734	0.9624155107172274	1.0	0.9781610260028287	0.976825214785936	0.9775363921935257	0.9700386241589554	0.9631933408698942
elp6d_ribo_YPD2_absolute_occupancy	0.9313875649491432	0.9590303512859439	0.9743991920444204	0.9304710413451934	0.9568638321609918	0.9745862016232576	0.9781610260028287	1.0	0.9906474758923863	0.9847945372443133	0.9848429034173422	0.9718281992803819
elp6d_ribo_YPD3_absolute_occupancy	0.9362805578762077	0.9414892973026197	0.9788849502995908	0.9123772769011135	0.9409283859182199	0.9846322289337033	0.976825214785936	0.9906474758923863	1.0	0.9829289077299564	0.9777782939542917	0.9644411962372864
ncs2d_elp6d_ribo_YPD1_absolute_occupancy	0.9118792085554644	0.9416441065902406	0.9568954082745372	0.9097390822789506	0.9438720343477764	0.9662367554938034	0.9775363921935257	0.9847945372443133	0.9829289077299564	1.0	0.9899145503800626	0.9841079625726161
ncs2d_elp6d_ribo_YPD2_absolute_occupancy	0.926509679724523	0.9585293270219195	0.9573490214014908	0.9215574364087334	0.9571683439945683	0.9638244981301534	0.9700386241589554	0.9848429034173422	0.9777782939542917	0.9899145503800626	1.0	0.9877809821167247
ncs2d_elp6d_ribo_YPD3_absolute_occupancy	0.897229103792897	0.9515635705339296	0.9343620638681267	0.9047219339471659	0.9515828406247243	0.9467099085688713	0.9631933408698942	0.9718281992803819	0.9644411962372864	0.9841079625726161	0.9877809821167247	1.0
