	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6264942711508457	0.7701293428494359	0.6258865224491368	0.5557131088683948	0.7209381499519267	0.5189080502168909	0.6876710050824931	0.6909556097224162	0.5893360327113107	0.5479710249123325	0.36877326921949793
wt_ribo_YPD2_norm_cdt	0.6264942711508457	1.0	0.9446818638028364	0.9458058363519064	0.973679160168907	0.9470304950778597	0.932004343934499	0.9667545409093056	0.9118379616751148	0.9437620124151561	0.9489559181724548	0.8481134636422757
wt_ribo_YPD3_norm_cdt	0.7701293428494359	0.9446818638028364	1.0	0.8649812032946466	0.8906815953422432	0.9620453446125556	0.8335961649970149	0.9344542249506119	0.90734092573194	0.8937869244988487	0.8844697083856018	0.7216840179645214
ncs2d_ribo_YPD1_norm_cdt	0.6258865224491368	0.9458058363519064	0.8649812032946466	1.0	0.9777377520535392	0.920465078901888	0.9323384846672085	0.9561406741577411	0.9004399429483855	0.9329873571086228	0.9187920891682179	0.83200188818793
ncs2d_ribo_YPD2_norm_cdt	0.5557131088683948	0.973679160168907	0.8906815953422432	0.9777377520535392	1.0	0.932902067391596	0.9520139604741897	0.965596321181638	0.9113162685461587	0.9618348682479136	0.9598319191691624	0.8687836019823496
ncs2d_ribo_YPD3_norm_cdt	0.7209381499519267	0.9470304950778597	0.9620453446125556	0.920465078901888	0.932902067391596	1.0	0.8507908872578881	0.9544803242525979	0.904415802034272	0.9426295546160269	0.9153201385378479	0.7566134932115869
elp6d_ribo_YPD1_norm_cdt	0.5189080502168909	0.932004343934499	0.8335961649970149	0.9323384846672085	0.9520139604741897	0.8507908872578881	1.0	0.9281031737003499	0.9293315857499018	0.9415366852023942	0.9619646084255502	0.9396261520635107
elp6d_ribo_YPD2_norm_cdt	0.6876710050824931	0.9667545409093056	0.9344542249506119	0.9561406741577411	0.965596321181638	0.9544803242525979	0.9281031737003499	1.0	0.9307585754726663	0.950409247320349	0.9371559408545013	0.8223734357446982
elp6d_ribo_YPD3_norm_cdt	0.6909556097224162	0.9118379616751148	0.90734092573194	0.9004399429483855	0.9113162685461587	0.904415802034272	0.9293315857499018	0.9307585754726663	1.0	0.9400373333995149	0.9336239671944709	0.8354064052328919
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.5893360327113107	0.9437620124151561	0.8937869244988487	0.9329873571086228	0.9618348682479136	0.9426295546160269	0.9415366852023942	0.950409247320349	0.9400373333995149	1.0	0.9868108312801319	0.8907934219548562
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.5479710249123325	0.9489559181724548	0.8844697083856018	0.9187920891682179	0.9598319191691624	0.9153201385378479	0.9619646084255502	0.9371559408545013	0.9336239671944709	0.9868108312801319	1.0	0.9230553943076861
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.36877326921949793	0.8481134636422757	0.7216840179645214	0.83200188818793	0.8687836019823496	0.7566134932115869	0.9396261520635107	0.8223734357446982	0.8354064052328919	0.8907934219548562	0.9230553943076861	1.0
