	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6468219581958503	0.6364278627082154	0.8163918438830293	0.5572263155445458	0.6502106254514168	0.46876739238725135	0.596227106583929	0.5254891793466925	0.6461662303969408	0.6350073223974337	0.476407984940615
wt_ribo_YPD2_norm_cdt	0.6468219581958503	1.0	0.9429055703680911	0.8060489317072884	0.9399137241493322	0.9351904858773532	0.7552793906068285	0.9323969065208587	0.8173171486654138	0.9050742929699513	0.8899319694497506	0.5100917201328063
wt_ribo_YPD3_norm_cdt	0.6364278627082154	0.9429055703680911	1.0	0.6854757407530263	0.8625515533845027	0.9614436840421539	0.6892660655215828	0.9071852641835014	0.8270343781392288	0.885306768814972	0.8815542649861432	0.44957243122482976
ncs2d_ribo_YPD1_norm_cdt	0.8163918438830293	0.8060489317072884	0.6854757407530263	1.0	0.831563481893313	0.7495221730329745	0.6637439937449038	0.7934832262468839	0.637415840336703	0.7746283633406589	0.7406676342396428	0.5205860853934888
ncs2d_ribo_YPD2_norm_cdt	0.5572263155445458	0.9399137241493322	0.8625515533845027	0.831563481893313	1.0	0.908865793886125	0.7996661298676117	0.9634653107509884	0.8113288483892765	0.918070501568438	0.8868951468778692	0.49680165587943725
ncs2d_ribo_YPD3_norm_cdt	0.6502106254514168	0.9351904858773532	0.9614436840421539	0.7495221730329745	0.908865793886125	1.0	0.7349548795119678	0.9405454763511389	0.8305977687144976	0.9527660677635801	0.9399477419315554	0.5429361552129622
elp6d_ribo_YPD1_norm_cdt	0.46876739238725135	0.7552793906068285	0.6892660655215828	0.6637439937449038	0.7996661298676117	0.7349548795119678	1.0	0.8230173795239105	0.874338715445265	0.8316580715421626	0.8261641636740473	0.7470879261046053
elp6d_ribo_YPD2_norm_cdt	0.596227106583929	0.9323969065208587	0.9071852641835014	0.7934832262468839	0.9634653107509884	0.9405454763511389	0.8230173795239105	1.0	0.8658701055344258	0.9401632907287472	0.9079001779366266	0.5237610172227283
elp6d_ribo_YPD3_norm_cdt	0.5254891793466925	0.8173171486654138	0.8270343781392288	0.637415840336703	0.8113288483892765	0.8305977687144976	0.874338715445265	0.8658701055344258	1.0	0.864101792636705	0.8523090754613796	0.5965843219761068
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.6461662303969408	0.9050742929699513	0.885306768814972	0.7746283633406589	0.918070501568438	0.9527660677635801	0.8316580715421626	0.9401632907287472	0.864101792636705	1.0	0.9773228874166269	0.6851942712479313
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.6350073223974337	0.8899319694497506	0.8815542649861432	0.7406676342396428	0.8868951468778692	0.9399477419315554	0.8261641636740473	0.9079001779366266	0.8523090754613796	0.9773228874166269	1.0	0.7057855620516867
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.476407984940615	0.5100917201328063	0.44957243122482976	0.5205860853934888	0.49680165587943725	0.5429361552129622	0.7470879261046053	0.5237610172227283	0.5965843219761068	0.6851942712479313	0.7057855620516867	1.0
