	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6607403894231877	0.7056526412028223	0.7488317802284321	0.616183571629527	0.6944216737792547	0.49602674687904696	0.6289790249739065	0.5589210642555611	0.6023457933705278	0.589371425468957	0.42867520210478016
wt_ribo_YPD2_norm_cdt	0.6607403894231877	1.0	0.9657755377608613	0.9339224473579447	0.9880977741592856	0.957666268428987	0.9460910399353979	0.9713370659525844	0.9498412289256101	0.9671776027723616	0.9559193789725277	0.8854047997095876
wt_ribo_YPD3_norm_cdt	0.7056526412028223	0.9657755377608613	1.0	0.865448413119887	0.9473561177408766	0.9875103673850565	0.8865622016232189	0.9692366821989049	0.9342843091893777	0.9588690577339077	0.9385175389096093	0.8212513073078729
ncs2d_ribo_YPD1_norm_cdt	0.7488317802284321	0.9339224473579447	0.865448413119887	1.0	0.9362535134560094	0.8742371203316572	0.8602195364482497	0.8892463207111232	0.8319290443811839	0.8703191668645525	0.8486611783401484	0.7954780263625584
ncs2d_ribo_YPD2_norm_cdt	0.616183571629527	0.9880977741592856	0.9473561177408766	0.9362535134560094	1.0	0.9488158496418035	0.9435341361527888	0.9685371993920078	0.9360749310011626	0.9647026973475961	0.9511741005879369	0.8828753972105239
ncs2d_ribo_YPD3_norm_cdt	0.6944216737792547	0.957666268428987	0.9875103673850565	0.8742371203316572	0.9488158496418035	1.0	0.8848006278528066	0.9711184229042628	0.9294470205195997	0.9643645002912755	0.9377586023383442	0.8320141940164223
elp6d_ribo_YPD1_norm_cdt	0.49602674687904696	0.9460910399353979	0.8865622016232189	0.8602195364482497	0.9435341361527888	0.8848006278528066	1.0	0.9437382255985688	0.9710211755010167	0.9506717096148246	0.9471396763180219	0.9597232829135862
elp6d_ribo_YPD2_norm_cdt	0.6289790249739065	0.9713370659525844	0.9692366821989049	0.8892463207111232	0.9685371993920078	0.9711184229042628	0.9437382255985688	1.0	0.961357878386014	0.9741492952625553	0.947085948759578	0.8758226647941048
elp6d_ribo_YPD3_norm_cdt	0.5589210642555611	0.9498412289256101	0.9342843091893777	0.8319290443811839	0.9360749310011626	0.9294470205195997	0.9710211755010167	0.961357878386014	1.0	0.9707341705233462	0.9649748941065844	0.9288859937019508
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.6023457933705278	0.9671776027723616	0.9588690577339077	0.8703191668645525	0.9647026973475961	0.9643645002912755	0.9506717096148246	0.9741492952625553	0.9707341705233462	1.0	0.9869066354713973	0.9243576735814216
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.589371425468957	0.9559193789725277	0.9385175389096093	0.8486611783401484	0.9511741005879369	0.9377586023383442	0.9471396763180219	0.947085948759578	0.9649748941065844	0.9869066354713973	1.0	0.9315785711015674
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.42867520210478016	0.8854047997095876	0.8212513073078729	0.7954780263625584	0.8828753972105239	0.8320141940164223	0.9597232829135862	0.8758226647941048	0.9288859937019508	0.9243576735814216	0.9315785711015674	1.0
