	wt_ribo_YPD1_norm_cdt	wt_ribo_YPD2_norm_cdt	wt_ribo_YPD3_norm_cdt	ncs2d_ribo_YPD1_norm_cdt	ncs2d_ribo_YPD2_norm_cdt	ncs2d_ribo_YPD3_norm_cdt	elp6d_ribo_YPD1_norm_cdt	elp6d_ribo_YPD2_norm_cdt	elp6d_ribo_YPD3_norm_cdt	ncs2d_elp6d_ribo_YPD1_norm_cdt	ncs2d_elp6d_ribo_YPD2_norm_cdt	ncs2d_elp6d_ribo_YPD3_norm_cdt
wt_ribo_YPD1_norm_cdt	1.0	0.6468219581958503	0.6364278627082154	0.8898748403628203	0.7361495526066129	0.7834681683058436	0.49488248778180594	0.5885975738622817	0.5254891793466925	0.606625684602966	0.6404342945482129	0.476407984940615
wt_ribo_YPD2_norm_cdt	0.6468219581958503	1.0	0.9429055703680911	0.9357684322436521	0.9613773162787665	0.9579603180522563	0.8001618073202168	0.9451155050544229	0.8173171486654138	0.9153513078870864	0.8968774788077152	0.5100917201328063
wt_ribo_YPD3_norm_cdt	0.6364278627082154	0.9429055703680911	1.0	0.888166406798961	0.903344608982358	0.9738661669316092	0.7275858964760299	0.9323393772072194	0.8270343781392288	0.9421803968803507	0.9104945166867378	0.44957243122482976
ncs2d_ribo_YPD1_norm_cdt	0.8898748403628203	0.9357684322436521	0.888166406798961	1.0	0.9243952260283888	0.9441393718952876	0.7913394306317998	0.8973952269802326	0.7802131641434968	0.7910226159879101	0.849058505339002	0.7950872039170213
ncs2d_ribo_YPD2_norm_cdt	0.7361495526066129	0.9613773162787665	0.903344608982358	0.9243952260283888	1.0	0.9731593254086799	0.9184742033492209	0.9874683725314337	0.9138495464296229	0.9686165128896224	0.9564772740506724	0.6816014777994965
ncs2d_ribo_YPD3_norm_cdt	0.7834681683058436	0.9579603180522563	0.9738661669316092	0.9441393718952876	0.9731593254086799	1.0	0.9488078719139431	0.971071728551104	0.8607031190976586	0.9820941712094441	0.9584387188268835	0.8769122254267461
elp6d_ribo_YPD1_norm_cdt	0.49488248778180594	0.8001618073202168	0.7275858964760299	0.7913394306317998	0.9184742033492209	0.9488078719139431	1.0	0.8645968746632557	0.9078987062193657	0.9716530635885557	0.95725567071319	0.8912067843993322
elp6d_ribo_YPD2_norm_cdt	0.5885975738622817	0.9451155050544229	0.9323393772072194	0.8973952269802326	0.9874683725314337	0.971071728551104	0.8645968746632557	1.0	0.8884783387854978	0.9751806493956836	0.9589570695761725	0.5459390752614047
elp6d_ribo_YPD3_norm_cdt	0.5254891793466925	0.8173171486654138	0.8270343781392288	0.7802131641434968	0.9138495464296229	0.8607031190976586	0.9078987062193657	0.8884783387854978	1.0	0.8266187901912025	0.8332604324352804	0.5965843219761068
ncs2d_elp6d_ribo_YPD1_norm_cdt	0.606625684602966	0.9153513078870864	0.9421803968803507	0.7910226159879101	0.9686165128896224	0.9820941712094441	0.9716530635885557	0.9751806493956836	0.8266187901912025	1.0	0.9868911171637803	0.9658080903573185
ncs2d_elp6d_ribo_YPD2_norm_cdt	0.6404342945482129	0.8968774788077152	0.9104945166867378	0.849058505339002	0.9564772740506724	0.9584387188268835	0.95725567071319	0.9589570695761725	0.8332604324352804	0.9868911171637803	1.0	0.9732551736914412
ncs2d_elp6d_ribo_YPD3_norm_cdt	0.476407984940615	0.5100917201328063	0.44957243122482976	0.7950872039170213	0.6816014777994965	0.8769122254267461	0.8912067843993322	0.5459390752614047	0.5965843219761068	0.9658080903573185	0.9732551736914412	1.0
