	wt_ribo_YPD1_absolute_cst	wt_ribo_YPD2_absolute_cst	wt_ribo_YPD3_absolute_cst	ncs2d_ribo_YPD1_absolute_cst	ncs2d_ribo_YPD2_absolute_cst	ncs2d_ribo_YPD3_absolute_cst	elp6d_ribo_YPD1_absolute_cst	elp6d_ribo_YPD2_absolute_cst	elp6d_ribo_YPD3_absolute_cst	ncs2d_elp6d_ribo_YPD1_absolute_cst	ncs2d_elp6d_ribo_YPD2_absolute_cst	ncs2d_elp6d_ribo_YPD3_absolute_cst
wt_ribo_YPD1_absolute_cst	1.0	0.9920507729658159	0.9926106095826747	0.9865188155744221	0.9830546983444435	0.9824685109893768	0.9442487545603195	0.9743438325285128	0.9745552928910816	0.7295203705616194	0.9524070932665679	0.9662006087020572
wt_ribo_YPD2_absolute_cst	0.9920507729658159	1.0	0.9892004201903389	0.9815281377184051	0.9846642779012011	0.9841635026252346	0.9318703275282804	0.9773834529044109	0.9727999670673861	0.7094115456802851	0.959195728855281	0.9729860196619163
wt_ribo_YPD3_absolute_cst	0.9926106095826747	0.9892004201903389	1.0	0.9929468557610284	0.9893260386632329	0.9904039754697976	0.9343124802763796	0.9758013869722676	0.9866268444312534	0.6940190449224223	0.9527475269382095	0.9699589219018254
ncs2d_ribo_YPD1_absolute_cst	0.9865188155744221	0.9815281377184051	0.9929468557610284	1.0	0.9873429091929499	0.9933258685744613	0.9271720875012875	0.9688291729461349	0.982974087598471	0.6926869728355294	0.937482990317847	0.9510021826978742
ncs2d_ribo_YPD2_absolute_cst	0.9830546983444435	0.9846642779012011	0.9893260386632329	0.9873429091929499	1.0	0.9915103258965442	0.9253423050658414	0.9720007780757411	0.9833522583209653	0.6657641386366796	0.937278984371538	0.9658501028206006
ncs2d_ribo_YPD3_absolute_cst	0.9824685109893768	0.9841635026252346	0.9904039754697976	0.9933258685744613	0.9915103258965442	1.0	0.9136007591502698	0.9643940432555242	0.9833218821993783	0.6581949830551775	0.9325330253697757	0.960651149161361
elp6d_ribo_YPD1_absolute_cst	0.9442487545603195	0.9318703275282804	0.9343124802763796	0.9271720875012875	0.9253423050658414	0.9136007591502698	1.0	0.9668215512695797	0.9328312471559196	0.7692334492319725	0.9293321073558006	0.9032348468922197
elp6d_ribo_YPD2_absolute_cst	0.9743438325285128	0.9773834529044109	0.9758013869722676	0.9688291729461349	0.9720007780757411	0.9643940432555242	0.9668215512695797	1.0	0.97361873779834	0.684722148982837	0.9743761948378113	0.9570598110965415
elp6d_ribo_YPD3_absolute_cst	0.9745552928910816	0.9727999670673861	0.9866268444312534	0.982974087598471	0.9833522583209653	0.9833218821993783	0.9328312471559196	0.97361873779834	1.0	0.6499202053816966	0.9476007721667379	0.9652019021207701
ncs2d_elp6d_ribo_YPD1_absolute_cst	0.7295203705616194	0.7094115456802851	0.6940190449224223	0.6926869728355294	0.6657641386366796	0.6581949830551775	0.7692334492319725	0.684722148982837	0.6499202053816966	1.0	0.7052668573195225	0.6830147984085743
ncs2d_elp6d_ribo_YPD2_absolute_cst	0.9524070932665679	0.959195728855281	0.9527475269382095	0.937482990317847	0.937278984371538	0.9325330253697757	0.9293321073558006	0.9743761948378113	0.9476007721667379	0.7052668573195225	1.0	0.9672580328979775
ncs2d_elp6d_ribo_YPD3_absolute_cst	0.9662006087020572	0.9729860196619163	0.9699589219018254	0.9510021826978742	0.9658501028206006	0.960651149161361	0.9032348468922197	0.9570598110965415	0.9652019021207701	0.6830147984085743	0.9672580328979775	1.0
