	wt_ribo_YPD1_absolute_cst	wt_ribo_YPD2_absolute_cst	wt_ribo_YPD3_absolute_cst	ncs2d_ribo_YPD1_absolute_cst	ncs2d_ribo_YPD2_absolute_cst	ncs2d_ribo_YPD3_absolute_cst	elp6d_ribo_YPD1_absolute_cst	elp6d_ribo_YPD2_absolute_cst	elp6d_ribo_YPD3_absolute_cst	ncs2d_elp6d_ribo_YPD1_absolute_cst	ncs2d_elp6d_ribo_YPD2_absolute_cst	ncs2d_elp6d_ribo_YPD3_absolute_cst
wt_ribo_YPD1_absolute_cst	1.0	0.9627119658242526	0.9797013235835	0.9257640283646555	0.9141119579240691	0.8854714454568322	0.6277638455874622	0.875846462493731	0.8740749252942377	0.183868823260978	0.8375718381679338	0.874608728415888
wt_ribo_YPD2_absolute_cst	0.9627119658242526	1.0	0.967521871223823	0.9448575297974947	0.9441679884622081	0.9064362678226484	0.6575024870843895	0.9040603415647288	0.9168101925514136	0.16373733412800817	0.8071915782054516	0.8773238580157536
wt_ribo_YPD3_absolute_cst	0.9797013235835	0.967521871223823	1.0	0.9503680673383743	0.9357884246985665	0.8947297121125665	0.651487274027206	0.8916816709758324	0.8926945488866957	0.2207401064952793	0.8439490023924492	0.8624465999625475
ncs2d_ribo_YPD1_absolute_cst	0.9257640283646555	0.9448575297974947	0.9503680673383743	1.0	0.9460574628499305	0.9513659835307012	0.6091669391178387	0.8426068492065745	0.9086170664599545	0.23743663865076506	0.7716987718862153	0.8274859511955298
ncs2d_ribo_YPD2_absolute_cst	0.9141119579240691	0.9441679884622081	0.9357884246985665	0.9460574628499305	1.0	0.9380132367541079	0.6134898562819511	0.8867251930554028	0.9239676584035849	0.13792126086399456	0.7427828140318469	0.8461840877013901
ncs2d_ribo_YPD3_absolute_cst	0.8854714454568322	0.9064362678226484	0.8947297121125665	0.9513659835307012	0.9380132367541079	1.0	0.5827349693310966	0.7866019920830494	0.9364398424677611	0.23480633309250437	0.687325962268313	0.854906035422309
elp6d_ribo_YPD1_absolute_cst	0.6277638455874622	0.6575024870843895	0.651487274027206	0.6091669391178387	0.6134898562819511	0.5827349693310966	1.0	0.7210018315047381	0.5635742718881616	0.5765557031892251	0.6532499002071244	0.5326655775716701
elp6d_ribo_YPD2_absolute_cst	0.875846462493731	0.9040603415647288	0.8916816709758324	0.8426068492065745	0.8867251930554028	0.7866019920830494	0.7210018315047381	1.0	0.8342120932883347	0.07562497622341902	0.8553614040381966	0.8233692465004108
elp6d_ribo_YPD3_absolute_cst	0.8740749252942377	0.9168101925514136	0.8926945488866957	0.9086170664599545	0.9239676584035849	0.9364398424677611	0.5635742718881616	0.8342120932883347	1.0	0.12258599503649682	0.7173725714798501	0.8917936019128695
ncs2d_elp6d_ribo_YPD1_absolute_cst	0.183868823260978	0.16373733412800817	0.2207401064952793	0.23743663865076506	0.13792126086399456	0.23480633309250437	0.5765557031892251	0.07562497622341902	0.12258599503649682	1.0	0.3176906970329078	0.14692736610343954
ncs2d_elp6d_ribo_YPD2_absolute_cst	0.8375718381679338	0.8071915782054516	0.8439490023924492	0.7716987718862153	0.7427828140318469	0.687325962268313	0.6532499002071244	0.8553614040381966	0.7173725714798501	0.3176906970329078	1.0	0.8420118833033879
ncs2d_elp6d_ribo_YPD3_absolute_cst	0.874608728415888	0.8773238580157536	0.8624465999625475	0.8274859511955298	0.8461840877013901	0.854906035422309	0.5326655775716701	0.8233692465004108	0.8917936019128695	0.14692736610343954	0.8420118833033879	1.0
