Codon	Nucleotide	Frame	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
-15	-45	0	0.14584696039669584	0.13307479566079575	0.13400729899770725	0.14804088612931904	0.14618633710436046	0.14619009508693517	0.1477970297040009	0.14190124782936608	0.14799680026136172	0.12337861532290037	0.1395176404836418	0.13891161458371626
-14	-42	0	0.12915507045685218	0.1188027289976733	0.12242044298266753	0.1324706490307657	0.12954131516514034	0.125615349957676	0.1357343910956276	0.12400988268375598	0.12765154470522697	0.12445215502986981	0.126786204073698	0.12382713508920909
-13	-39	0	0.12297963494780113	0.11492976565348607	0.12040178629525378	0.12145013183689586	0.12026418875584609	0.12199681325354647	0.11997793013827875	0.11830068505458051	0.12112981857186146	0.11072323377727974	0.11944755950552077	0.12051924966372679
-12	-36	0	0.11859091252142501	0.10712200645889093	0.11401326296369865	0.11668357745514962	0.11228881067339391	0.11188673080381772	0.13046526215664778	0.11926685696105634	0.11698346251724334	0.11718511701346124	0.1244407565909709	0.11269645947604766
-11	-33	0	0.10886373425822175	0.10743679012692357	0.10570526549873566	0.11011006909788106	0.1063528383029942	0.10619526352546323	0.12102700284584625	0.1143290693125454	0.10970274239421894	0.1120114814256431	0.11501726981592517	0.10565007632117407
-10	-30	0	0.12042099242649491	0.11042723497323358	0.12058848286750012	0.1198676205657016	0.11530452763057794	0.11578711333163574	0.12547792297406957	0.11154130057053997	0.11876147621524062	0.10895189326078017	0.11270656970331255	0.11113059655274242
-9	-27	0	0.1244497702269924	0.13213044465669782	0.12347644546943601	0.13196470191761941	0.12175252100953547	0.1256971761645533	0.11997114002366667	0.1224976136127503	0.1328239481903099	0.10733745470145302	0.12510095662314594	0.13323536148673476
-8	-24	0	0.11060708051850161	0.10314224151304978	0.10763057390002624	0.10966879191649036	0.10695598169443102	0.10592250950253888	0.12311156803175709	0.10642402644137935	0.10895780384881297	0.12901469878448998	0.10495443143077308	0.10295548720731965
-7	-21	0	0.12379926789106706	0.11977518568641699	0.12640524794655078	0.12501839042434837	0.1206069824819145	0.1197571996653122	0.12558316975055692	0.12257399083855866	0.11948533159426715	0.11247392929941454	0.125660389281989	0.1160304426169184
-6	-18	0	0.11074585435016569	0.10369311293210688	0.10861073090431965	0.11160508575552375	0.10603607954346267	0.10675289397233075	0.11882700571152993	0.1090093955349926	0.10813556036001581	0.1111774236533053	0.10963490218519292	0.09996077436649836
-5	-15	0	0.10133959057268559	0.08115797498312785	0.09607872349228276	0.10056935210712323	0.09837746022054203	0.09638217990069653	0.10726344052714504	0.0962123913508006	0.10559855267235964	0.09481420111976711	0.1003156575204906	0.0906634632593735
-4	-12	0	0.1500188487110969	0.12894888115479655	0.163137798536022	0.1533362123060076	0.15069906463741287	0.14897824732127282	0.11848749998092556	0.11511193587708117	0.14875579425102065	0.10367090370226506	0.1124911360086028	0.13522531228510185
