Codon	Nucleotide	Frame	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
-15	-43	2	0.09527940939955912	0.08311460453955613	0.09508003326287522	0.09516371834005202	0.09123786597974091	0.09485911584173272	0.07642752437826295	0.06274593321108864	0.09399669596424372	0.11593153262825168	0.07754164525334577	0.11019462808805212
-14	-40	2	0.08980964949943	0.07287251600606784	0.09162194241312333	0.08738967385818418	0.08719381857915823	0.08720821163746136	0.06949619836417047	0.05702997913501473	0.08706826149597509	0.1100562619790269	0.06627307312522139	0.09162703507687849
-13	-37	2	0.08414083188141644	0.07142538630089809	0.07946622912308639	0.08343432505442136	0.07826573962840722	0.08196446938836788	0.06384543991279891	0.05534567800059829	0.0834778177229452	0.09373240341505175	0.07096773363644614	0.09632752671575204
-12	-34	2	0.09353116335553048	0.07224430466118795	0.08988707528648011	0.09116281849440325	0.08359141232938866	0.09054073987189101	0.09380665558661792	0.06664802452702176	0.09420707352906971	0.12087565940179287	0.08338743374812047	0.1085149510204214
-11	-31	2	0.07649874645133099	0.06654553031834891	0.07185144321151152	0.07578175001758271	0.07442086372721082	0.07682959376036284	0.05652791098296522	0.05052903403249334	0.07363214768908977	0.0982480392015527	0.06186272735692163	0.08253854985822548
-10	-28	2	0.08641701361200813	0.07921071975351679	0.08724402268414451	0.08930281761739385	0.08509818802039805	0.08889564426433227	0.07230802661035657	0.06487226812738814	0.0926222292073807	0.10434579555558683	0.08160526572539556	0.10113218437432361
-9	-25	2	0.09004332595085957	0.0737811788441977	0.08888574258251157	0.08773130667232877	0.08612868403896196	0.09236123170231447	0.07006533950315755	0.05651173263211737	0.08967694329981711	0.11874144467788093	0.07142541102749611	0.10179624274989854
-8	-22	2	0.08033277119145311	0.06924908271327845	0.07917514403472342	0.07864387381608287	0.07657711169882772	0.08047057742120975	0.062144791985587554	0.05423297227378923	0.08051850664439318	0.1083258176082875	0.0644007565254715	0.08740831127910832
-7	-19	2	0.08080012409431227	0.06266408165176955	0.07930322147360312	0.07870460853859747	0.07558125420189622	0.07846864122230554	0.06634559563049208	0.05280017311872003	0.07953674467520533	0.10409034900562053	0.06595408585267142	0.08432239294555423
-6	-16	2	0.061249194324705214	0.05777300760949037	0.05748348324991611	0.062321417140286155	0.05707562401978667	0.06137053356580348	0.058452150071921484	0.04783872498068789	0.06026615973714641	0.09088129030897632	0.06295837929307156	0.07011675200923556
-5	-13	2	0.08040200865854338	0.07633889646263727	0.07624100634402484	0.08025334396271958	0.07606619350474982	0.07855936340654592	0.06780232592670897	0.06659467562231174	0.07604447709909422	0.1024670273816412	0.07885920137909569	0.08555936442946832
-4	-10	2	0.06789599116536843	0.06453749762667924	0.05938135802604256	0.06736999094931165	0.06327591939198622	0.07063024450393743	0.08012016629192902	0.05352419396835607	0.07068686178152617	0.11198447142070797	0.06411644178254651	0.08144480665139618
-3	-7	2	0.07515727052645756	0.06311280404096947	0.07115283899944042	0.07609301547046998	0.07080979784703316	0.07542642397744508	0.06394029676929674	0.059163935323415656	0.07607252744107101	0.09589957898412062	0.07262508055252105	0.08305937995671563
-2	-4	2	0.07441296775523745	0.06622020658617896	0.06956933611874595	0.07269946284996714	0.06773562905215769	0.07431961332971256	0.07379185886557284	0.052091394813286875	0.07458585931630082	0.10042345498191081	0.06411644178254651	0.07572869632046686
-1	-1	2	0.10397736620277073	0.0905297420210849	0.09843333348081645	0.10403098782718252	0.10065954386375363	0.10431841558519547	0.0852898649710615	0.07513812164801686	0.10734865874519867	0.0973168953258691	0.08972557216357012	0.10736912480374307
0	2	2	0.08546499843951731	0.07259206451281788	0.08427495478284237	0.08205261011721438	0.0784129533453449	0.08653686747408261	0.08536439535830982	0.06208288253826407	0.08294486122538607	0.14023191572020663	0.06770851585169631	0.08795518288252298
1	5	2	0.07153095818760613	0.05917526507574013	0.06682149288459967	0.07127219687087422	0.064817333604628	0.07186406620960649	0.06591873977625178	0.05192372682705538	0.0689617657499532	0.08966997924945871	0.06448397059657149	0.07587192459755165
2	8	2	0.08542172502258591	0.05548452342457075	0.08947955616277199	0.08311546776121972	0.08024013536145398	0.0838756834030317	0.07634621850126479	0.05342511743103746	0.08143014275863908	0.10062122005285246	0.06428286992474651	0.08275990265008379
3	11	2	0.06716899776092089	0.05243321117801125	0.06903373955615812	0.06163055967168267	0.06030566616200794	0.0643280767720396	0.04736067335142358	0.03670404644049592	0.060462512130983984	0.07021484039557414	0.04144754191372274	0.06533813585558851
4	14	2	0.07131459110294913	0.061351568663359765	0.06542428446045749	0.06676264372416572	0.07137267382355965	0.06948109683689271	0.041615058043554164	0.04706897649844328	0.06747509762518301	0.06612769559611342	0.052910280207747115	0.06640583755749328
5	17	2	0.06606119828747702	0.06427948225288928	0.05971901672854359	0.07226672795205066	0.06431507504095822	0.07482765756145862	0.06441458105178598	0.048867596714381185	0.07091126451734053	0.07958396063143469	0.061869661862846634	0.08186147073018832
6	20	2	0.07539094697788712	0.06565930359967904	0.07631086676523197	0.07623726043644215	0.07365015662088993	0.07649694575148146	0.07093937768088768	0.04998030244119024	0.07497856410397598	0.10955360909038353	0.05852723000699681	0.0742833927971567
7	23	2	0.08255702482172714	0.0694958800273384	0.07861626066506655	0.08155154865646899	0.08007560238370008	0.08466194233311493	0.0675855102547139	0.06008610924768891	0.07925624125543737	0.0892909295301539	0.07001770632472118	0.08407499864877141
8	26	2	0.07843739552985776	0.06802631420270866	0.07472736388453749	0.0797598743422885	0.07359819883844133	0.0786017004258581	0.06932681112042433	0.05677085588356604	0.07657743359665334	0.09997024336100288	0.06526756976609645	0.08437447595540325
