Sample	Frame	Count	Ratio
wt_ribo_YPD1	0	9483612	51.00380608080164
wt_ribo_YPD1	1	3075460	16.540128956062546
wt_ribo_YPD1	2	6034858	32.456064963135816
wt_ribo_YPD2	0	11526409	52.58168461433118
wt_ribo_YPD2	1	5794439	26.433329236797043
wt_ribo_YPD2	2	4600110	20.98498614887178
wt_ribo_YPD3	0	6006209	51.872389035943826
wt_ribo_YPD3	1	2414975	20.856837101752276
wt_ribo_YPD3	2	3157633	27.270773862303894
ncs2d_ribo_YPD1	0	11898928	52.75535916379744
ncs2d_ribo_YPD1	1	5759699	25.536333140293394
ncs2d_ribo_YPD1	2	4896291	21.708307695909156
ncs2d_ribo_YPD2	0	10165271	50.95229123062016
ncs2d_ribo_YPD2	1	6312141	31.63890530028545
ncs2d_ribo_YPD2	2	3473155	17.408803469094387
ncs2d_ribo_YPD3	0	5744057	53.43339157552429
ncs2d_ribo_YPD3	1	2348529	21.846905363835088
ncs2d_ribo_YPD3	2	2657353	24.719703060640626
elp6d_ribo_YPD1	0	9298041	53.30280445581504
elp6d_ribo_YPD1	1	3844741	22.04071564174161
elp6d_ribo_YPD1	2	4301030	24.656479902443344
elp6d_ribo_YPD2	0	6767168	50.179888990040425
elp6d_ribo_YPD2	1	3854063	28.57863932159245
elp6d_ribo_YPD2	2	2864586	21.24147168836712
elp6d_ribo_YPD3	0	6827193	52.44520487543022
elp6d_ribo_YPD3	1	3053583	23.45704684767676
elp6d_ribo_YPD3	2	3136988	24.09774827689302
ncs2d_elp6d_ribo_YPD1	0	10345625	52.02971786106757
ncs2d_elp6d_ribo_YPD1	1	4657193	23.421730230366833
ncs2d_elp6d_ribo_YPD1	2	4881251	24.548551908565596
ncs2d_elp6d_ribo_YPD2	0	8962013	51.44770367451573
ncs2d_elp6d_ribo_YPD2	1	4329245	24.852643473556537
ncs2d_elp6d_ribo_YPD2	2	4128398	23.69965285192773
ncs2d_elp6d_ribo_YPD3	0	12836108	51.55529521966022
ncs2d_elp6d_ribo_YPD3	1	5821119	23.380101550545795
ncs2d_elp6d_ribo_YPD3	2	6240522	25.064603229793985
