	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.9986049436938117	0.9982840805000326	0.9957802426822514	0.996381155139193	0.9961433205301546	0.9962730343642471	0.9960768591690724	0.9962313472945745	0.9906015435911876	0.9899994224375481	0.9891228402931262
wt_ribo_YPD2	0.9986049436938117	1.0	0.9974168582697227	0.9971538428772968	0.997734695089382	0.9958158211790651	0.9970958649325483	0.99490490966914	0.9975350549439306	0.991364400263468	0.9906679732438249	0.989869525156475
wt_ribo_YPD3	0.9982840805000326	0.9974168582697227	1.0	0.995968891066176	0.9958169667646594	0.9973211593297451	0.9965153802621362	0.9961846296694061	0.9956919984817598	0.9912541883061727	0.9912598498697764	0.9904208383552339
ncs2d_ribo_YPD1	0.9957802426822514	0.9971538428772968	0.995968891066176	1.0	0.9994524138627449	0.9981103269594321	0.9981535335377679	0.9960202913309109	0.9975218204485229	0.9964781839195391	0.9965022639457626	0.9957018961221791
ncs2d_ribo_YPD2	0.996381155139193	0.997734695089382	0.9958169667646594	0.9994524138627449	1.0	0.9976064222750922	0.9986185054871666	0.9964336896806656	0.9983451652673427	0.996718405898761	0.9963174668281886	0.9954346088225021
ncs2d_ribo_YPD3	0.9961433205301546	0.9958158211790651	0.9973211593297451	0.9981103269594321	0.9976064222750922	1.0	0.9980517681904877	0.9964554545375123	0.9973512042113719	0.9958200997773037	0.996113891501148	0.9956695182717895
elp6d_ribo_YPD1	0.9962730343642471	0.9970958649325483	0.9965153802621362	0.9981535335377679	0.9986185054871666	0.9980517681904877	1.0	0.9980830163676881	0.9994217149638019	0.9968424109209764	0.9965434468762143	0.9961585621942318
elp6d_ribo_YPD2	0.9960768591690724	0.99490490966914	0.9961846296694061	0.9960202913309109	0.9964336896806656	0.9964554545375123	0.9980830163676881	1.0	0.9967399394844378	0.9958223181391642	0.9954709418818102	0.994999665956835
elp6d_ribo_YPD3	0.9962313472945745	0.9975350549439306	0.9956919984817598	0.9975218204485229	0.9983451652673427	0.9973512042113719	0.9994217149638019	0.9967399394844378	1.0	0.9957279475737837	0.9950116965528549	0.9950181746828928
ncs2d_elp6d_ribo_YPD1	0.9906015435911876	0.991364400263468	0.9912541883061727	0.9964781839195391	0.996718405898761	0.9958200997773037	0.9968424109209764	0.9958223181391642	0.9957279475737837	1.0	0.9996536143207372	0.999278484381419
ncs2d_elp6d_ribo_YPD2	0.9899994224375481	0.9906679732438249	0.9912598498697764	0.9965022639457626	0.9963174668281886	0.996113891501148	0.9965434468762143	0.9954709418818102	0.9950116965528549	0.9996536143207372	1.0	0.9993329005687707
ncs2d_elp6d_ribo_YPD3	0.9891228402931262	0.989869525156475	0.9904208383552339	0.9957018961221791	0.9954346088225021	0.9956695182717895	0.9961585621942318	0.994999665956835	0.9950181746828928	0.999278484381419	0.9993329005687707	1.0
