	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.9995990784125154	0.9976852734737435	0.9961134665451765	0.9972500656694927	0.9963660969202681	0.9962377887847049	0.9963868804579132	0.9969265150769993	0.9898257935845624	0.9894130453981437	0.9889136632972827
wt_ribo_YPD2	0.9995990784125154	1.0	0.9973017623554145	0.9970215611446434	0.9978547851849243	0.9967282239605509	0.9966285200623289	0.9965873551757177	0.9971181715367525	0.9909878449976076	0.990524552170057	0.9903650836217966
wt_ribo_YPD3	0.9976852734737435	0.9973017623554145	1.0	0.9948354787234491	0.9956697041911667	0.9974763004562532	0.9972189224680409	0.9972850559069398	0.9968630167571438	0.9912765202314712	0.9916093078202927	0.9908577309682297
ncs2d_ribo_YPD1	0.9961134665451765	0.9970215611446434	0.9948354787234491	1.0	0.9994840737049434	0.9982097973482795	0.9968379292651596	0.996446956247084	0.9962324242795692	0.9954922036623979	0.9957490850773921	0.9953107017503353
ncs2d_ribo_YPD2	0.9972500656694927	0.9978547851849243	0.9956697041911667	0.9994840737049434	1.0	0.9983685378506287	0.9977596085280466	0.9976129147173831	0.9975382932179307	0.9960019529568535	0.995815376555233	0.9954042204948224
ncs2d_ribo_YPD3	0.9963660969202681	0.9967282239605509	0.9974763004562532	0.9982097973482795	0.9983685378506287	1.0	0.9985295046248448	0.9984496237824253	0.9980252044279657	0.9960799937524473	0.9963733516008155	0.9961703641452436
elp6d_ribo_YPD1	0.9962377887847049	0.9966285200623289	0.9972189224680409	0.9968379292651596	0.9977596085280466	0.9985295046248448	1.0	0.999790320555131	0.9995569534615796	0.9965586791452946	0.9964219403536061	0.9964709856528007
elp6d_ribo_YPD2	0.9963868804579132	0.9965873551757177	0.9972850559069398	0.996446956247084	0.9976129147173831	0.9984496237824253	0.999790320555131	1.0	0.9995028190492012	0.996475882812271	0.9961744314653896	0.9961265208604444
elp6d_ribo_YPD3	0.9969265150769993	0.9971181715367525	0.9968630167571438	0.9962324242795692	0.9975382932179307	0.9980252044279657	0.9995569534615796	0.9995028190492012	1.0	0.9955860437493845	0.9950360044360932	0.995436300305011
ncs2d_elp6d_ribo_YPD1	0.9898257935845624	0.9909878449976076	0.9912765202314712	0.9954922036623979	0.9960019529568535	0.9960799937524473	0.9965586791452946	0.996475882812271	0.9955860437493845	1.0	0.9996653495198478	0.9995108869965325
ncs2d_elp6d_ribo_YPD2	0.9894130453981437	0.990524552170057	0.9916093078202927	0.9957490850773921	0.995815376555233	0.9963733516008155	0.9964219403536061	0.9961744314653896	0.9950360044360932	0.9996653495198478	1.0	0.9995366653456348
ncs2d_elp6d_ribo_YPD3	0.9889136632972827	0.9903650836217966	0.9908577309682297	0.9953107017503353	0.9954042204948224	0.9961703641452436	0.9964709856528007	0.9961265208604444	0.995436300305011	0.9995108869965325	0.9995366653456348	1.0
