	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
wt_ribo_YPD1	1.0	0.6007831012251098	0.549036391235145	0.8288613213442783	0.5839949285877193	0.5287149941049725	0.5397119700955065	0.5389742920872361	0.5475662236481041	0.5428186460547565	0.5227531958853417	0.5198899917962284
wt_ribo_YPD2	0.6007831012251098	1.0	0.8892747865944557	0.7059323091150786	0.9678772744659734	0.859391202713873	0.8667492230264017	0.8461606339540605	0.8157238683555242	0.8669014737655417	0.82899636739318	0.8529020466808156
wt_ribo_YPD3	0.549036391235145	0.8892747865944557	1.0	0.6084725912929488	0.877296711061896	0.9634173384079242	0.9354344794823136	0.9273342782882233	0.8866738793120569	0.9523785111418754	0.9282119635184278	0.9417728724704622
ncs2d_ribo_YPD1	0.8288613213442783	0.7059323091150786	0.6084725912929488	1.0	0.7090246081466918	0.6050330314539837	0.6134290567146933	0.5616416321853438	0.6074871254192801	0.6149095024308793	0.5821330719904233	0.5921546744401068
ncs2d_ribo_YPD2	0.5839949285877193	0.9678772744659734	0.877296711061896	0.7090246081466918	1.0	0.8741698053511735	0.8834508962148436	0.8546283547229645	0.8302835357559438	0.8806225372079984	0.8532691164606121	0.8715279283352761
ncs2d_ribo_YPD3	0.5287149941049725	0.859391202713873	0.9634173384079242	0.6050330314539837	0.8741698053511735	1.0	0.9544592773568278	0.9018162614955809	0.9165162365545407	0.9708332693292583	0.9582590978966743	0.9622759320301729
elp6d_ribo_YPD1	0.5397119700955065	0.8667492230264017	0.9354344794823136	0.6134290567146933	0.8834508962148436	0.9544592773568278	1.0	0.8972179611152468	0.9589759827414395	0.9668386262471372	0.9530729016457686	0.9564722252147883
elp6d_ribo_YPD2	0.5389742920872361	0.8461606339540605	0.9273342782882233	0.5616416321853438	0.8546283547229645	0.9018162614955809	0.8972179611152468	1.0	0.8448230248440983	0.915887033213895	0.9004515692303776	0.9046173445769337
elp6d_ribo_YPD3	0.5475662236481041	0.8157238683555242	0.8866738793120569	0.6074871254192801	0.8302835357559438	0.9165162365545407	0.9589759827414395	0.8448230248440983	1.0	0.9454169868718696	0.9286915164253544	0.9260311135251095
ncs2d_elp6d_ribo_YPD1	0.5428186460547565	0.8669014737655417	0.9523785111418754	0.6149095024308793	0.8806225372079984	0.9708332693292583	0.9668386262471372	0.915887033213895	0.9454169868718696	1.0	0.9760819538802448	0.9784520904966937
ncs2d_elp6d_ribo_YPD2	0.5227531958853417	0.82899636739318	0.9282119635184278	0.5821330719904233	0.8532691164606121	0.9582590978966743	0.9530729016457686	0.9004515692303776	0.9286915164253544	0.9760819538802448	1.0	0.9706366674713065
ncs2d_elp6d_ribo_YPD3	0.5198899917962284	0.8529020466808156	0.9417728724704622	0.5921546744401068	0.8715279283352761	0.9622759320301729	0.9564722252147883	0.9046173445769337	0.9260311135251095	0.9784520904966937	0.9706366674713065	1.0
