Sample	Tercile	Covered	Uncovered
elp6d_ribo_YPD1	10	5292	615
elp6d_ribo_YPD1	20	5404	503
elp6d_ribo_YPD1	30	5462	445
elp6d_ribo_YPD1	40	5510	397
elp6d_ribo_YPD1	50	5549	358
elp6d_ribo_YPD1	60	5568	339
elp6d_ribo_YPD1	70	5576	331
elp6d_ribo_YPD1	80	5591	316
elp6d_ribo_YPD1	90	5586	321
elp6d_ribo_YPD1	0	5907	0
elp6d_ribo_YPD2	10	5255	652
elp6d_ribo_YPD2	20	5370	537
elp6d_ribo_YPD2	30	5426	481
elp6d_ribo_YPD2	40	5465	442
elp6d_ribo_YPD2	50	5495	412
elp6d_ribo_YPD2	60	5527	380
elp6d_ribo_YPD2	70	5545	362
elp6d_ribo_YPD2	80	5556	351
elp6d_ribo_YPD2	90	5578	329
elp6d_ribo_YPD2	0	5907	0
elp6d_ribo_YPD3	10	5210	697
elp6d_ribo_YPD3	20	5354	553
elp6d_ribo_YPD3	30	5422	485
elp6d_ribo_YPD3	40	5448	459
elp6d_ribo_YPD3	50	5496	411
elp6d_ribo_YPD3	60	5516	391
elp6d_ribo_YPD3	70	5526	381
elp6d_ribo_YPD3	80	5548	359
elp6d_ribo_YPD3	90	5554	353
elp6d_ribo_YPD3	0	5907	0
ncs2d_elp6d_ribo_YPD1	10	5345	562
ncs2d_elp6d_ribo_YPD1	20	5443	464
ncs2d_elp6d_ribo_YPD1	30	5510	397
ncs2d_elp6d_ribo_YPD1	40	5542	365
ncs2d_elp6d_ribo_YPD1	50	5575	332
ncs2d_elp6d_ribo_YPD1	60	5580	327
ncs2d_elp6d_ribo_YPD1	70	5601	306
ncs2d_elp6d_ribo_YPD1	80	5617	290
ncs2d_elp6d_ribo_YPD1	90	5633	274
ncs2d_elp6d_ribo_YPD1	0	5907	0
ncs2d_elp6d_ribo_YPD2	10	5327	580
ncs2d_elp6d_ribo_YPD2	20	5461	446
ncs2d_elp6d_ribo_YPD2	30	5505	402
ncs2d_elp6d_ribo_YPD2	40	5532	375
ncs2d_elp6d_ribo_YPD2	50	5543	364
ncs2d_elp6d_ribo_YPD2	60	5569	338
ncs2d_elp6d_ribo_YPD2	70	5590	317
ncs2d_elp6d_ribo_YPD2	80	5611	296
ncs2d_elp6d_ribo_YPD2	90	5629	278
ncs2d_elp6d_ribo_YPD2	0	5907	0
ncs2d_elp6d_ribo_YPD3	10	5387	520
ncs2d_elp6d_ribo_YPD3	20	5469	438
ncs2d_elp6d_ribo_YPD3	30	5515	392
ncs2d_elp6d_ribo_YPD3	40	5558	349
ncs2d_elp6d_ribo_YPD3	50	5575	332
ncs2d_elp6d_ribo_YPD3	60	5597	310
ncs2d_elp6d_ribo_YPD3	70	5619	288
ncs2d_elp6d_ribo_YPD3	80	5631	276
ncs2d_elp6d_ribo_YPD3	90	5643	264
ncs2d_elp6d_ribo_YPD3	0	5907	0
ncs2d_ribo_YPD1	10	5313	594
ncs2d_ribo_YPD1	20	5413	494
ncs2d_ribo_YPD1	30	5473	434
ncs2d_ribo_YPD1	40	5520	387
ncs2d_ribo_YPD1	50	5529	378
ncs2d_ribo_YPD1	60	5556	351
ncs2d_ribo_YPD1	70	5587	320
ncs2d_ribo_YPD1	80	5582	325
ncs2d_ribo_YPD1	90	5598	309
ncs2d_ribo_YPD1	0	5907	0
ncs2d_ribo_YPD2	10	5285	622
ncs2d_ribo_YPD2	20	5418	489
ncs2d_ribo_YPD2	30	5471	436
ncs2d_ribo_YPD2	40	5485	422
ncs2d_ribo_YPD2	50	5513	394
ncs2d_ribo_YPD2	60	5539	368
ncs2d_ribo_YPD2	70	5571	336
ncs2d_ribo_YPD2	80	5586	321
ncs2d_ribo_YPD2	90	5587	320
ncs2d_ribo_YPD2	0	5907	0
ncs2d_ribo_YPD3	10	5150	757
ncs2d_ribo_YPD3	20	5325	582
ncs2d_ribo_YPD3	30	5380	527
ncs2d_ribo_YPD3	40	5434	473
ncs2d_ribo_YPD3	50	5466	441
ncs2d_ribo_YPD3	60	5487	420
ncs2d_ribo_YPD3	70	5516	391
ncs2d_ribo_YPD3	80	5523	384
ncs2d_ribo_YPD3	90	5535	372
ncs2d_ribo_YPD3	0	5907	0
wt_ribo_YPD1	10	5266	641
wt_ribo_YPD1	20	5377	530
wt_ribo_YPD1	30	5412	495
wt_ribo_YPD1	40	5451	456
wt_ribo_YPD1	50	5491	416
wt_ribo_YPD1	60	5498	409
wt_ribo_YPD1	70	5524	383
wt_ribo_YPD1	80	5531	376
wt_ribo_YPD1	90	5528	379
wt_ribo_YPD1	0	5907	0
WT_ribo_YPD2	10	5294	613
WT_ribo_YPD2	20	5388	519
WT_ribo_YPD2	30	5461	446
WT_ribo_YPD2	40	5477	430
WT_ribo_YPD2	50	5526	381
WT_ribo_YPD2	60	5533	374
WT_ribo_YPD2	70	5561	346
WT_ribo_YPD2	80	5567	340
WT_ribo_YPD2	90	5578	329
WT_ribo_YPD2	0	5907	0
WT_ribo_YPD3	10	5182	725
WT_ribo_YPD3	20	5304	603
WT_ribo_YPD3	30	5384	523
WT_ribo_YPD3	40	5419	488
WT_ribo_YPD3	50	5447	460
WT_ribo_YPD3	60	5475	432
WT_ribo_YPD3	70	5481	426
WT_ribo_YPD3	80	5509	398
WT_ribo_YPD3	90	5523	384
WT_ribo_YPD3	0	5907	0
