Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
elp6d_ribo_YPD1	25	28308	21	0.1566	0.1565
elp6d_ribo_YPD1	26	51069	37	0.2825	0.2758
elp6d_ribo_YPD1	27	86252	83	0.4772	0.6187
elp6d_ribo_YPD1	28	132650	186	0.7339	1.3864
elp6d_ribo_YPD1	29	587117	602	3.2482	4.4872
elp6d_ribo_YPD1	30	2523155	2257	13.9593	16.8232
elp6d_ribo_YPD1	31	5856461	4301	32.4006	32.0587
elp6d_ribo_YPD1	32	6181890	4238	34.2011	31.5891
elp6d_ribo_YPD1	33	2396447	1524	13.2582	11.3596
elp6d_ribo_YPD1	34	214245	152	1.1853	1.133
elp6d_ribo_YPD1	35	14773	14	0.0817	0.1044
elp6d_ribo_YPD1	36	2367	0	0.0131	0.0
elp6d_ribo_YPD1	37	283	1	0.0016	0.0075
elp6d_ribo_YPD1	38	32	0	0.0002	0.0
elp6d_ribo_YPD1	39	13	0	0.0001	0.0
elp6d_ribo_YPD1	40	11	0	0.0001	0.0
elp6d_ribo_YPD1	41	8	0	0.0	0.0
elp6d_ribo_YPD1	42	10	0	0.0001	0.0
elp6d_ribo_YPD1	43	5	0	0.0	0.0
elp6d_ribo_YPD1	44	7	0	0.0	0.0
elp6d_ribo_YPD1	45	11	0	0.0001	0.0
elp6d_ribo_YPD1	46	16	0	0.0001	0.0
elp6d_ribo_YPD1	47	8	0	0.0	0.0
elp6d_ribo_YPD1	48	1	0	0.0	0.0
elp6d_ribo_YPD2	25	30990	25	0.2241	0.2477
elp6d_ribo_YPD2	26	53704	49	0.3884	0.4855
elp6d_ribo_YPD2	27	86538	64	0.6259	0.6341
elp6d_ribo_YPD2	28	166086	291	1.2013	2.8832
elp6d_ribo_YPD2	29	1005912	882	7.2757	8.7387
elp6d_ribo_YPD2	30	3333022	2669	24.1076	26.4441
elp6d_ribo_YPD2	31	5579627	3832	40.3572	37.9669
elp6d_ribo_YPD2	32	2975229	1917	21.5197	18.9934
elp6d_ribo_YPD2	33	557504	341	4.0324	3.3786
elp6d_ribo_YPD2	34	32678	20	0.2364	0.1982
elp6d_ribo_YPD2	35	3945	2	0.0285	0.0198
elp6d_ribo_YPD2	36	249	1	0.0018	0.0099
elp6d_ribo_YPD2	37	32	0	0.0002	0.0
elp6d_ribo_YPD2	38	5	0	0.0	0.0
elp6d_ribo_YPD2	39	3	0	0.0	0.0
elp6d_ribo_YPD2	40	15	0	0.0001	0.0
elp6d_ribo_YPD2	41	5	0	0.0	0.0
elp6d_ribo_YPD2	42	6	0	0.0	0.0
elp6d_ribo_YPD2	43	7	0	0.0001	0.0
elp6d_ribo_YPD2	44	2	0	0.0	0.0
elp6d_ribo_YPD2	45	11	0	0.0001	0.0
elp6d_ribo_YPD2	46	19	0	0.0001	0.0
elp6d_ribo_YPD2	47	1	0	0.0	0.0
elp6d_ribo_YPD3	25	10943	10	0.0817	0.1141
elp6d_ribo_YPD3	26	15573	11	0.1162	0.1255
elp6d_ribo_YPD3	27	25995	23	0.194	0.2625
elp6d_ribo_YPD3	28	44014	64	0.3285	0.7303
elp6d_ribo_YPD3	29	267654	315	1.9977	3.5947
elp6d_ribo_YPD3	30	1537060	1222	11.4721	13.945
elp6d_ribo_YPD3	31	4551362	2987	33.97	34.0865
elp6d_ribo_YPD3	32	4902656	2940	36.5919	33.5502
elp6d_ribo_YPD3	33	1875231	1067	13.9961	12.1762
elp6d_ribo_YPD3	34	147526	100	1.1011	1.1412
elp6d_ribo_YPD3	35	17538	17	0.1309	0.194
elp6d_ribo_YPD3	36	2319	4	0.0173	0.0456
elp6d_ribo_YPD3	37	177	0	0.0013	0.0
elp6d_ribo_YPD3	38	23	0	0.0002	0.0
elp6d_ribo_YPD3	39	13	1	0.0001	0.0114
elp6d_ribo_YPD3	40	16	0	0.0001	0.0
elp6d_ribo_YPD3	41	12	1	0.0001	0.0114
elp6d_ribo_YPD3	42	11	0	0.0001	0.0
elp6d_ribo_YPD3	43	5	0	0.0	0.0
elp6d_ribo_YPD3	44	13	0	0.0001	0.0
elp6d_ribo_YPD3	45	17	0	0.0001	0.0
elp6d_ribo_YPD3	46	22	0	0.0002	0.0
elp6d_ribo_YPD3	47	12	1	0.0001	0.0114
elp6d_ribo_YPD3	48	1	0	0.0	0.0
ncs2d_elp6d_ribo_YPD1	25	44008	48	0.2149	0.2919
ncs2d_elp6d_ribo_YPD1	26	77354	70	0.3777	0.4257
ncs2d_elp6d_ribo_YPD1	27	176756	210	0.863	1.2772
ncs2d_elp6d_ribo_YPD1	28	333837	555	1.6299	3.3755
ncs2d_elp6d_ribo_YPD1	29	1322173	1170	6.4554	7.1159
ncs2d_elp6d_ribo_YPD1	30	3807303	3441	18.5889	20.9281
ncs2d_elp6d_ribo_YPD1	31	7092113	5486	34.6268	33.3658
ncs2d_elp6d_ribo_YPD1	32	5853843	4284	28.581	26.0552
ncs2d_elp6d_ribo_YPD1	33	1660737	1087	8.1084	6.6111
ncs2d_elp6d_ribo_YPD1	34	103847	81	0.507	0.4926
ncs2d_elp6d_ribo_YPD1	35	8441	10	0.0412	0.0608
ncs2d_elp6d_ribo_YPD1	36	1052	0	0.0051	0.0
ncs2d_elp6d_ribo_YPD1	37	124	0	0.0006	0.0
ncs2d_elp6d_ribo_YPD1	38	6	0	0.0	0.0
ncs2d_elp6d_ribo_YPD1	39	2	0	0.0	0.0
ncs2d_elp6d_ribo_YPD1	40	1	0	0.0	0.0
ncs2d_elp6d_ribo_YPD1	41	2	0	0.0	0.0
ncs2d_elp6d_ribo_YPD2	25	58220	59	0.3209	0.3788
ncs2d_elp6d_ribo_YPD2	26	108990	101	0.6007	0.6485
