Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	27	TIS	5p-end	-34	0
elp6d_ribo_YPD1	28	TIS	5p-end	-34	0
elp6d_ribo_YPD1	29	TIS	5p-end	-34	0
elp6d_ribo_YPD1	30	TIS	5p-end	-34	0
elp6d_ribo_YPD1	31	TIS	5p-end	-34	0
elp6d_ribo_YPD1	32	TIS	5p-end	-34	0
elp6d_ribo_YPD1	33	TIS	5p-end	-34	0
elp6d_ribo_YPD1	27	TIS	5p-end	-33	0
elp6d_ribo_YPD1	28	TIS	5p-end	-33	0
elp6d_ribo_YPD1	29	TIS	5p-end	-33	0
elp6d_ribo_YPD1	30	TIS	5p-end	-33	0
elp6d_ribo_YPD1	31	TIS	5p-end	-33	0
elp6d_ribo_YPD1	32	TIS	5p-end	-33	0
elp6d_ribo_YPD1	33	TIS	5p-end	-33	0
elp6d_ribo_YPD1	27	TIS	5p-end	-32	0
elp6d_ribo_YPD1	28	TIS	5p-end	-32	0
elp6d_ribo_YPD1	29	TIS	5p-end	-32	0
elp6d_ribo_YPD1	30	TIS	5p-end	-32	0
elp6d_ribo_YPD1	31	TIS	5p-end	-32	0
elp6d_ribo_YPD1	32	TIS	5p-end	-32	0
elp6d_ribo_YPD1	33	TIS	5p-end	-32	0
elp6d_ribo_YPD1	27	TIS	5p-end	-31	0
elp6d_ribo_YPD1	28	TIS	5p-end	-31	0
elp6d_ribo_YPD1	29	TIS	5p-end	-31	0
elp6d_ribo_YPD1	30	TIS	5p-end	-31	0
elp6d_ribo_YPD1	31	TIS	5p-end	-31	0
elp6d_ribo_YPD1	32	TIS	5p-end	-31	0
elp6d_ribo_YPD1	33	TIS	5p-end	-31	0
elp6d_ribo_YPD1	27	TIS	5p-end	-30	0
elp6d_ribo_YPD1	28	TIS	5p-end	-30	0
elp6d_ribo_YPD1	29	TIS	5p-end	-30	0
elp6d_ribo_YPD1	30	TIS	5p-end	-30	92
elp6d_ribo_YPD1	31	TIS	5p-end	-30	100
elp6d_ribo_YPD1	32	TIS	5p-end	-30	118
elp6d_ribo_YPD1	33	TIS	5p-end	-30	142
elp6d_ribo_YPD1	27	TIS	5p-end	-29	0
elp6d_ribo_YPD1	28	TIS	5p-end	-29	0
elp6d_ribo_YPD1	29	TIS	5p-end	-29	30
elp6d_ribo_YPD1	30	TIS	5p-end	-29	51
elp6d_ribo_YPD1	31	TIS	5p-end	-29	103
elp6d_ribo_YPD1	32	TIS	5p-end	-29	331
elp6d_ribo_YPD1	33	TIS	5p-end	-29	83
elp6d_ribo_YPD1	27	TIS	5p-end	-28	0
elp6d_ribo_YPD1	28	TIS	5p-end	-28	10
elp6d_ribo_YPD1	29	TIS	5p-end	-28	13
elp6d_ribo_YPD1	30	TIS	5p-end	-28	30
elp6d_ribo_YPD1	31	TIS	5p-end	-28	250
elp6d_ribo_YPD1	32	TIS	5p-end	-28	223
elp6d_ribo_YPD1	33	TIS	5p-end	-28	116
elp6d_ribo_YPD1	27	TIS	5p-end	-27	3
elp6d_ribo_YPD1	28	TIS	5p-end	-27	8
elp6d_ribo_YPD1	29	TIS	5p-end	-27	15
elp6d_ribo_YPD1	30	TIS	5p-end	-27	114
elp6d_ribo_YPD1	31	TIS	5p-end	-27	177
elp6d_ribo_YPD1	32	TIS	5p-end	-27	254
elp6d_ribo_YPD1	33	TIS	5p-end	-27	110
elp6d_ribo_YPD1	27	TIS	5p-end	-26	4
elp6d_ribo_YPD1	28	TIS	5p-end	-26	5
elp6d_ribo_YPD1	29	TIS	5p-end	-26	36
elp6d_ribo_YPD1	30	TIS	5p-end	-26	95
elp6d_ribo_YPD1	31	TIS	5p-end	-26	235
elp6d_ribo_YPD1	32	TIS	5p-end	-26	291
elp6d_ribo_YPD1	33	TIS	5p-end	-26	140
elp6d_ribo_YPD1	27	TIS	5p-end	-25	5
elp6d_ribo_YPD1	28	TIS	5p-end	-25	19
elp6d_ribo_YPD1	29	TIS	5p-end	-25	25
elp6d_ribo_YPD1	30	TIS	5p-end	-25	118
elp6d_ribo_YPD1	31	TIS	5p-end	-25	275
elp6d_ribo_YPD1	32	TIS	5p-end	-25	356
elp6d_ribo_YPD1	33	TIS	5p-end	-25	76
