Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
elp6d_ribo_YPD1	RSBM	27	9	39267	10	13385	8	33600	13	86252	45.53	first
elp6d_ribo_YPD1	RSBM	28	9	71751	10	37483	11	23416	13	132650	54.09	first
elp6d_ribo_YPD1	RSBM	29	12	293019	13	195070	14	99028	13	587117	49.91	first
elp6d_ribo_YPD1	RSBM	30	12	1244411	13	912857	14	365887	13	2523155	49.32	first
elp6d_ribo_YPD1	RSBM	31	13	2728680	14	930924	15	2196857	14	5856461	46.59	first
elp6d_ribo_YPD1	RSBM	32	13	3313527	14	2075846	15	792517	14	6181890	53.6	first
elp6d_ribo_YPD1	RSBM	33	14	1610772	15	405995	16	379680	15	2396447	67.22	first
elp6d_ribo_YPD2	RSBM	27	9	45991	10	16561	11	23986	13	86538	53.15	first
elp6d_ribo_YPD2	RSBM	28	9	80726	10	50882	11	34478	13	166086	48.6	first
elp6d_ribo_YPD2	RSBM	29	12	553128	13	311958	14	140826	13	1005912	54.99	first
elp6d_ribo_YPD2	RSBM	30	12	1623119	13	1267775	14	442128	13	3333022	48.7	first
elp6d_ribo_YPD2	RSBM	31	13	2714410	14	973510	15	1891707	14	5579627	48.65	first
elp6d_ribo_YPD2	RSBM	32	14	1370582	15	315794	13	1288853	15	2975229	46.07	first
elp6d_ribo_YPD2	RSBM	33	14	382651	15	109592	16	65261	15	557504	68.64	first
elp6d_ribo_YPD3	RSBM	27	8	11478	9	10871	10	3646	12	25995	44.15	first
elp6d_ribo_YPD3	RSBM	28	9	23514	10	12150	11	8350	13	44014	53.42	first
elp6d_ribo_YPD3	RSBM	29	12	133419	13	85400	14	48835	13	267654	49.85	first
elp6d_ribo_YPD3	RSBM	30	12	794672	13	518063	14	224325	13	1537060	51.7	first
elp6d_ribo_YPD3	RSBM	31	13	2042964	14	667637	15	1840761	14	4551362	44.89	first
elp6d_ribo_YPD3	RSBM	32	13	2559834	14	1680931	15	661891	14	4902656	52.21	first
elp6d_ribo_YPD3	RSBM	33	14	1262865	15	317537	16	294829	15	1875231	67.34	first
ncs2d_elp6d_ribo_YPD1	RSBM	27	9	80369	10	36055	11	60332	13	176756	45.47	first
ncs2d_elp6d_ribo_YPD1	RSBM	28	9	167379	10	102851	11	63607	13	333837	50.14	first
ncs2d_elp6d_ribo_YPD1	RSBM	29	12	693763	13	424705	14	203705	13	1322173	52.47	first
ncs2d_elp6d_ribo_YPD1	RSBM	30	12	1861153	13	1413855	14	532295	13	3807303	48.88	first
ncs2d_elp6d_ribo_YPD1	RSBM	31	13	3233435	14	1083656	15	2775022	14	7092113	45.59	first
ncs2d_elp6d_ribo_YPD1	RSBM	32	13	3184168	14	1855790	15	813885	14	5853843	54.39	first
ncs2d_elp6d_ribo_YPD1	RSBM	33	14	1127704	15	269239	16	263794	15	1660737	67.9	first
ncs2d_elp6d_ribo_YPD2	RSBM	27	9	103217	10	44476	8	82349	13	230042	44.87	first
ncs2d_elp6d_ribo_YPD2	RSBM	28	9	192975	10	115526	11	71957	13	380458	50.72	first
ncs2d_elp6d_ribo_YPD2	RSBM	29	12	444066	13	333270	14	202593	13	979929	45.32	first
ncs2d_elp6d_ribo_YPD2	RSBM	30	12	1288402	13	939057	14	469565	13	2697024	47.77	first
ncs2d_elp6d_ribo_YPD2	RSBM	31	13	2477871	14	886220	15	2278000	14	5642091	43.92	first
ncs2d_elp6d_ribo_YPD2	RSBM	32	13	3155679	14	1755720	15	878135	14	5789534	54.51	first
ncs2d_elp6d_ribo_YPD2	RSBM	33	14	1304359	15	326762	16	399342	15	2030463	64.24	first
ncs2d_elp6d_ribo_YPD3	RSBM	27	9	110198	10	45667	11	69470	13	225335	48.9	first
ncs2d_elp6d_ribo_YPD3	RSBM	28	9	250349	10	173972	11	96539	13	520860	48.06	first
ncs2d_elp6d_ribo_YPD3	RSBM	29	15	826617	13	557952	14	316859	13	1701428	48.58	first
ncs2d_elp6d_ribo_YPD3	RSBM	30	12	2230239	13	1713741	14	714257	13	4658237	47.88	first
ncs2d_elp6d_ribo_YPD3	RSBM	31	13	4041120	14	1407644	15	3409368	14	8858132	45.62	first
ncs2d_elp6d_ribo_YPD3	RSBM	32	13	3987964	14	2424241	15	996281	14	7408486	53.83	first
ncs2d_elp6d_ribo_YPD3	RSBM	33	14	1394670	15	349151	16	298459	15	2042280	68.29	first
ncs2d_ribo_YPD1	RSBM	27	9	42624	10	30837	11	22630	13	96091	44.36	first
ncs2d_ribo_YPD1	RSBM	28	12	321837	13	73946	14	77635	16	473418	67.98	first
ncs2d_ribo_YPD1	RSBM	29	15	3030029	13	2089165	14	257971	16	5377165	56.35	first
ncs2d_ribo_YPD1	RSBM	30	13	4228022	14	1146161	15	3485926	14	8860109	47.72	first
ncs2d_ribo_YPD1	RSBM	31	13	3243157	14	1539468	15	1343297	14	6125922	52.94	first
ncs2d_ribo_YPD1	RSBM	32	14	931806	15	118924	16	576363	15	1627093	57.27	first
ncs2d_ribo_YPD1	RSBM	33	14	102097	15	24073	16	9058	15	135228	75.5	first
ncs2d_ribo_YPD2	RSBM	27	9	34207	10	20976	11	20255	13	75438	45.34	first
ncs2d_ribo_YPD2	RSBM	28	12	146590	13	58833	14	48892	13	254315	57.64	first
ncs2d_ribo_YPD2	RSBM	29	12	1632530	13	1027806	14	197860	13	2858196	57.12	first
ncs2d_ribo_YPD2	RSBM	30	13	2998308	14	781295	15	2781730	14	6561333	45.7	first
ncs2d_ribo_YPD2	RSBM	31	13	3600910	14	1444457	15	1858637	14	6904004	52.16	first
ncs2d_ribo_YPD2	RSBM	32	14	1383869	15	260459	13	1382615	15	3026943	45.72	first
ncs2d_ribo_YPD2	RSBM	33	14	369788	15	86350	16	38534	15	494672	74.75	first
ncs2d_ribo_YPD3	RSBM	27	9	33113	10	13301	11	23838	13	70252	47.13	first
ncs2d_ribo_YPD3	RSBM	28	9	73870	10	42613	11	25399	13	141882	52.06	first
ncs2d_ribo_YPD3	RSBM	29	12	370413	13	218628	14	97938	13	686979	53.92	first
ncs2d_ribo_YPD3	RSBM	30	12	1017189	13	783676	14	277567	13	2078432	48.94	first
ncs2d_ribo_YPD3	RSBM	31	13	1722609	14	572777	15	1355741	14	3651127	47.18	first
ncs2d_ribo_YPD3	RSBM	32	13	1810363	14	1042002	15	415342	14	3267707	55.4	first
ncs2d_ribo_YPD3	RSBM	33	14	718651	15	165910	16	181321	15	1065882	67.42	first
wt_ribo_YPD1	RSBM	27	9	39148	10	24708	11	21320	13	85176	45.96	first
wt_ribo_YPD1	RSBM	28	12	422393	13	81755	14	87648	16	591796	71.37	first
wt_ribo_YPD1	RSBM	29	12	2287002	13	1448795	14	276253	16	4012050	57.0	first
wt_ribo_YPD1	RSBM	30	15	3229181	13	3174196	14	967236	16	7370613	43.81	first
wt_ribo_YPD1	RSBM	31	13	2736410	14	1249353	15	1300611	14	5286374	51.76	first
wt_ribo_YPD1	RSBM	32	14	713380	15	94828	16	427918	15	1236126	57.71	first
wt_ribo_YPD1	RSBM	33	14	59191	15	13922	16	5861	15	78974	74.95	first
WT_ribo_YPD2	RSBM	27	9	66324	10	45131	11	39002	13	150457	44.08	first
WT_ribo_YPD2	RSBM	28	12	798698	13	105125	14	129096	13	1032919	77.32	first
WT_ribo_YPD2	RSBM	29	12	2978123	13	2029462	14	307563	13	5315148	56.03	first
WT_ribo_YPD2	RSBM	30	13	3701889	14	1124047	15	3332187	14	8158123	45.38	first
WT_ribo_YPD2	RSBM	31	13	3082156	14	1391130	15	1416351	14	5889637	52.33	first
WT_ribo_YPD2	RSBM	32	14	815967	15	117327	16	580231	15	1513525	53.91	first
WT_ribo_YPD2	RSBM	33	14	86167	15	19823	16	8480	15	114470	75.27	first
WT_ribo_YPD3	RSBM	27	9	54593	10	21197	11	28824	13	104614	52.19	first
WT_ribo_YPD3	RSBM	28	9	129733	10	60943	11	41887	13	232563	55.78	first
WT_ribo_YPD3	RSBM	29	12	757959	13	414784	14	153069	13	1325812	57.17	first
WT_ribo_YPD3	RSBM	30	12	1626894	13	1223933	14	406275	13	3257102	49.95	first
WT_ribo_YPD3	RSBM	31	13	2150787	14	706728	15	1554206	14	4411721	48.75	first
WT_ribo_YPD3	RSBM	32	13	1037408	14	863275	15	224303	14	2124986	48.82	first
WT_ribo_YPD3	RSBM	33	14	252653	15	60585	16	38001	15	351239	71.93	first
