Gene	wt_mrna_YPD1	wt_mrna_YPD2	wt_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
Q0045	0.656703435765662	0.155055286900736	0.917199941999611	0.364472131367419	0.0952564298328278	0.782132275079397	0.436445008758142	1.23122448617045	0.627917123551126	2.74502109091205	0.763886064101881	2.2261251465613
Q0050	0	0.232582930351103	0.500290877454333	0.273354098525564	0	1.12974661955913	0	0.263833818465096	0.269107338664768	0.915007030304016	0.763886064101881	1.25824464805639
Q0055	0.164175858941415	0	0	0.364472131367419	0.0952564298328278	0.173807172239866	0.174578003503257	0	0.358809784886358	0.406669791246229	0.19097151602547	0.290364149551474
Q0060	0	0	0	0	0	0	0.261867005254885	0	0	0.203334895623115	0	0
Q0065	0.164175858941415	0	0	0	0	0.434517930599665	0	0	0.0897024462215894	0.203334895623115	0.0954857580127351	0.387152199401966
Q0070	0	0	0.250145438727167	0.364472131367419	0.0952564298328278	0.086903586119933	0.261867005254885	0.263833818465096	0.358809784886358	0.711672134680901	0.668400306089146	0.774304398803932
Q0075	0.164175858941415	0	0.250145438727167	0.0911180328418548	0.285769289498483	0.695228688959464	0.261867005254885	0.175889212310064	0.538214677329537	3.05002343434672	2.19617243429291	2.12933709671081
Q0085	0	0	0	0.0911180328418548	0.0952564298328278	0	0	0	0.0897024462215894	0.203334895623115	0.0954857580127351	0.0967880498504915
Q0105	0	0	0	0	0.285769289498483	0	0.261867005254885	0.175889212310064	0.0897024462215894	0.305002343434672	0.38194303205094	0.387152199401966
Q0110	0	0	0	0.273354098525564	0	0	0.261867005254885	0.263833818465096	0	0.203334895623115	0.19097151602547	0.193576099700983
Q0115	0	0	0	0	0	0	0	0	0	0.406669791246229	0.0954857580127351	0.290364149551474
Q0120	0	0	0.583672690363389	0.0911180328418548	0	0	0.174578003503257	0.43972303077516	0.358809784886358	0.508337239057787	0.763886064101881	0.483940249252457
Q0130	0.410439647353539	0.232582930351103	0.0833818129090555	0	0.381025719331311	0.173807172239866	0.261867005254885	0.351778424620128	0.627917123551126	0.305002343434672	0.859371822114616	0.193576099700983
Q0140	0	0	0	0	0	0.173807172239866	0.174578003503257	0	0.0897024462215894	0.203334895623115	0.0954857580127351	0.290364149551474
Q0158	0	0	0.0833818129090555	0	0.0952564298328278	0.521421516719598	0	0.175889212310064	0	0.406669791246229	0.19097151602547	0.290364149551474
Q0250	0	0	0	0.0911180328418548	0	0	0.174578003503257	0	0	0.508337239057787	0.286457274038205	0.193576099700983
Q0255	0	0	0	0	0	0	0	0	0	0.305002343434672	0	0.193576099700983
Q0275	0	0	0	0	0.0952564298328278	0	0.174578003503257	0	0.179404892443179	0.508337239057787	0.0954857580127351	0.0967880498504915
Q0285	0	0	0	0	0.0952564298328278	0	0	0	0	0.101667447811557	0.0954857580127351	0.0967880498504915
NM_001178148.1	70.6777072742793	62.3322253340957	65.6214867594267	76.539147587158	85.5402739898794	74.2156625464228	66.4269303329892	68.6847374070799	71.3134447461636	93.025714747575	61.5883139182142	86.3349404666384
NM_001178149.1	67.4762780249217	64.5805269941564	65.7048685723358	82.2795836561949	66.4889880233138	58.4861134587149	74.7193854993939	67.9811805578397	70.5061227301693	78.7922720539569	90.0430698060092	76.8497115812903
NM_001178150.1	2244.11981587021	2450.80386475303	1927.37060539282	1819.26264372047	1820.8266562545	1934.30001985747	1677.8691916698	1669.9801262779	1853.97015850781	1617.93576447312	1508.77046235923	1710.82556915729
NM_001178151.1	1073.71011747686	1449.68940487843	1667.5528763682	1818.53369945774	1402.65092928839	1531.76260894994	1424.46921958482	1514.40611798965	1191.51759316137	1625.25582071556	1983.52565119855	1904.11130470872
NM_001178152.1	150.467174719807	148.310381920554	142.99980913903	132.850091883424	150.028876986704	155.99193708528	137.654755762318	140.711369848051	142.537187046106	144.469443340223	115.346795679384	139.568367884409
NM_001178153.1	28.7307753147477	29.6930874414909	23.5970530532627	29.2488885422354	35.9116740469761	36.5864097564918	26.7977235377499	29.6373322742458	28.2562705598007	43.0053304242888	38.4807604791323	39.8766765384025
