Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_in_01d_1	24	455115	972	1.1181	1.5336
R_GR_in_01d_1	25	652507	1057	1.603	1.6677
R_GR_in_01d_1	26	942620	1783	2.3157	2.8132
R_GR_in_01d_1	27	1518557	2856	3.7306	4.5062
R_GR_in_01d_1	28	2712879	4332	6.6647	6.8351
R_GR_in_01d_1	29	5274487	7785	12.9579	12.2832
R_GR_in_01d_1	30	9329238	12820	22.9192	20.2275
R_GR_in_01d_1	31	11031725	16771	27.1017	26.4614
R_GR_in_01d_1	32	6872845	10506	16.8846	16.5765
R_GR_in_01d_1	33	1679912	3608	4.127	5.6927
R_GR_in_01d_1	34	205843	761	0.5057	1.2007
R_GR_in_01d_1	35	25010	99	0.0614	0.1562
R_GR_in_01d_1	36	3100	21	0.0076	0.0331
R_GR_in_01d_1	37	722	1	0.0018	0.0016
R_GR_in_01d_1	38	219	0	0.0005	0.0
R_GR_in_01d_1	39	75	6	0.0002	0.0095
R_GR_in_01d_1	40	31	0	0.0001	0.0
R_GR_in_01d_1	41	15	0	0.0	0.0
R_GR_in_01d_1	42	4	1	0.0	0.0016
R_GR_in_01d_1	43	7	0	0.0	0.0
R_GR_in_01d_2	24	499739	1088	1.2961	1.8265
R_GR_in_01d_2	25	706469	1174	1.8323	1.9708
R_GR_in_01d_2	26	1042093	1817	2.7027	3.0502
R_GR_in_01d_2	27	1802247	2977	4.6742	4.9976
R_GR_in_01d_2	28	3542527	5497	9.1878	9.228
R_GR_in_01d_2	29	7043270	9600	18.2672	16.1158
R_GR_in_01d_2	30	10460485	15490	27.1299	26.0035
R_GR_in_01d_2	31	9058565	14427	23.494	24.219
R_GR_in_01d_2	32	3735965	6051	9.6895	10.158
R_GR_in_01d_2	33	593212	1242	1.5385	2.085
R_GR_in_01d_2	34	64492	184	0.1673	0.3089
R_GR_in_01d_2	35	6686	6	0.0173	0.0101
R_GR_in_01d_2	36	786	2	0.002	0.0034
R_GR_in_01d_2	37	245	0	0.0006	0.0
R_GR_in_01d_2	38	81	0	0.0002	0.0
R_GR_in_01d_2	39	65	10	0.0002	0.0168
R_GR_in_01d_2	40	31	3	0.0001	0.005
R_GR_in_01d_2	41	5	1	0.0	0.0017
R_GR_in_01d_2	42	4	0	0.0	0.0
R_GR_in_01d_2	43	12	0	0.0	0.0
R_GR_in_01d_3	24	339689	899	1.0302	1.7062
R_GR_in_01d_3	25	540042	1017	1.6378	1.9301
R_GR_in_01d_3	26	993575	1642	3.0132	3.1163
R_GR_in_01d_3	27	2117169	3204	6.4208	6.0807
R_GR_in_01d_3	28	4551348	6460	13.8029	12.2602
R_GR_in_01d_3	29	7998053	12072	24.2558	22.9109
R_GR_in_01d_3	30	9225195	14550	27.9774	27.6138
R_GR_in_01d_3	31	5646852	9511	17.1253	18.0505
R_GR_in_01d_3	32	1385916	2789	4.2031	5.2931
