Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
R_GR_in_01d_1	Frame	27	12	575413	10	389031	11	554113	13	1518557	37.89	first
R_GR_in_01d_1	Frame	28	12	981109	10	879776	11	851994	13	2712879	36.16	first
R_GR_in_01d_1	Frame	29	11	2300922	12	1410771	13	1562794	12	5274487	43.62	first
R_GR_in_01d_1	Frame	30	11	4105342	12	3676551	13	1547345	12	9329238	44.01	first
R_GR_in_01d_1	Frame	31	12	5827898	13	3078809	14	2125018	13	11031725	52.83	first
R_GR_in_01d_1	Frame	32	13	3586361	14	1494844	12	1791640	14	6872845	52.18	first
R_GR_in_01d_1	Frame	33	14	831457	15	272324	13	576131	15	1679912	49.49	first
R_GR_in_01d_1	Frame	34	14	98713	15	67011	13	40119	15	205843	47.96	first
R_GR_in_01d_2	Frame	27	12	706927	10	477217	11	618103	13	1802247	39.22	first
R_GR_in_01d_2	Frame	28	11	1249400	12	1133371	10	1159756	12	3542527	35.27	first
R_GR_in_01d_2	Frame	29	11	3272033	12	2107114	13	1664123	12	7043270	46.46	first
R_GR_in_01d_2	Frame	30	12	4882410	13	1917229	11	3660846	13	10460485	46.67	first
R_GR_in_01d_2	Frame	31	12	4170132	13	3434541	14	1453892	13	9058565	46.04	first
R_GR_in_01d_2	Frame	32	13	1921464	14	1114566	12	699935	14	3735965	51.43	first
R_GR_in_01d_2	Frame	33	14	330514	15	104395	13	158303	15	593212	55.72	first
R_GR_in_01d_2	Frame	34	14	29581	15	22851	13	12060	15	64492	45.87	first
R_GR_in_01d_3	Frame	27	12	737471	10	648779	11	730919	13	2117169	34.83	first
R_GR_in_01d_3	Frame	28	11	1937616	12	1342940	10	1270792	12	4551348	42.57	first
R_GR_in_01d_3	Frame	29	11	3278386	12	3177644	13	1542023	12	7998053	40.99	first
R_GR_in_01d_3	Frame	30	12	4546982	13	2505533	11	2172680	13	9225195	49.29	first
R_GR_in_01d_3	Frame	31	13	2732829	14	1017159	12	1896864	14	5646852	48.4	first
R_GR_in_01d_3	Frame	32	13	643965	14	547732	12	194219	14	1385916	46.46	first
R_GR_in_01d_3	Frame	33	14	90304	15	33676	13	34759	15	158739	56.89	first
R_GR_in_01d_3	Frame	34	14	6136	15	5378	13	3439	15	14953	41.04	first
R_GR_un_01d_1	Frame	27	11	424468	12	423147	10	257696	12	1105311	38.4	first
R_GR_un_01d_1	Frame	28	12	750610	10	672586	11	663436	13	2086632	35.97	first
R_GR_un_01d_1	Frame	29	11	1890904	12	1082729	13	1211610	12	4185243	45.18	first
R_GR_un_01d_1	Frame	30	11	3316512	12	2899759	13	1155832	12	7372103	44.99	first
R_GR_un_01d_1	Frame	31	12	4241023	13	2217965	14	1539492	13	7998480	53.02	first
R_GR_un_01d_1	Frame	32	13	2407212	14	1025447	12	1155412	14	4588071	52.47	first
R_GR_un_01d_1	Frame	33	14	562180	15	184527	13	376839	15	1123546	50.04	first
R_GR_un_01d_1	Frame	34	14	65835	15	47115	13	24289	15	137239	47.97	first
R_GR_un_01d_2	Frame	27	12	415531	10	289552	11	370952	13	1076035	38.62	first
R_GR_un_01d_2	Frame	28	11	821566	12	731280	10	749359	12	2302205	35.69	first
R_GR_un_01d_2	Frame	29	11	2160323	12	1412641	13	1106373	12	4679337	46.17	first
R_GR_un_01d_2	Frame	30	12	3405899	13	1352496	11	2607109	13	7365504	46.24	first
R_GR_un_01d_2	Frame	31	12	3135661	13	2523954	14	1084613	13	6744228	46.49	first
R_GR_un_01d_2	Frame	32	13	1559554	14	864710	12	558961	14	2983225	52.28	first
R_GR_un_01d_2	Frame	33	14	273315	15	87432	13	136816	15	497563	54.93	first
R_GR_un_01d_2	Frame	34	14	25886	15	19734	13	10614	15	56234	46.03	first
R_GR_un_01d_3	Frame	27	12	646695	10	417694	11	624213	13	1688602	38.3	first
R_GR_un_01d_3	Frame	28	12	1121404	10	1058920	11	1044826	13	3225150	34.77	first
R_GR_un_01d_3	Frame	29	11	2951960	12	1682820	13	1769599	12	6404379	46.09	first
R_GR_un_01d_3	Frame	30	11	4466767	12	4358593	13	1658099	12	10483459	42.61	first
R_GR_un_01d_3	Frame	31	12	5022455	13	3003727	14	1625013	13	9651195	52.04	first
R_GR_un_01d_3	Frame	32	13	2073557	14	931022	12	920173	14	3924752	52.83	first
R_GR_un_01d_3	Frame	33	14	321321	15	102690	13	184829	15	608840	52.78	first
R_GR_un_01d_3	Frame	34	14	35047	15	23020	13	13120	15	71187	49.23	first
