Sample	Model	Length	Frame0	Rpfs0	Frame1	Rpfs1	Frame2	Rpfs2	P_site	Rpfs	Periodicity	Ribo
R_GR_in_01d_1	TIS	27	12	11315	13	7449	14	8503	13	27267	41.5	first
R_GR_in_01d_1	TIS	28	12	19444	13	15811	14	15064	13	50319	38.64	first
R_GR_in_01d_1	TIS	29	11	39047	12	30724	13	27044	12	96815	40.33	first
R_GR_in_01d_1	TIS	30	12	76374	13	30563	14	63560	13	170497	44.79	first
R_GR_in_01d_1	TIS	31	12	114351	13	63257	14	38422	13	216030	52.93	first
R_GR_in_01d_1	TIS	32	13	66880	14	26201	15	35948	14	129029	51.83	first
R_GR_in_01d_1	TIS	33	14	13198	15	5130	16	10350	15	28678	46.02	first
R_GR_in_01d_1	TIS	34	14	1216	15	885	16	615	15	2716	44.77	first
R_GR_in_01d_2	TIS	27	12	13338	13	9192	14	8893	13	31423	42.45	first
R_GR_in_01d_2	TIS	28	11	21028	12	21355	13	19300	12	61683	34.09	first
R_GR_in_01d_2	TIS	29	11	51057	12	42832	13	27948	12	121837	41.91	first
R_GR_in_01d_2	TIS	30	12	94913	13	37511	14	54083	13	186507	50.89	first
R_GR_in_01d_2	TIS	31	12	76571	13	67411	14	25631	13	169613	45.14	first
R_GR_in_01d_2	TIS	32	13	34379	14	18126	15	12304	14	64809	53.05	first
R_GR_in_01d_2	TIS	33	14	4571	15	1885	16	2460	15	8916	51.27	first
R_GR_in_01d_2	TIS	34	14	350	15	325	16	232	15	907	38.59	first
R_GR_in_01d_3	TIS	27	12	13237	13	11487	14	10943	13	35667	37.11	first
R_GR_in_01d_3	TIS	28	11	31749	12	25484	13	21328	12	78561	40.41	first
R_GR_in_01d_3	TIS	29	12	63563	13	26135	14	48736	13	138434	45.92	first
R_GR_in_01d_3	TIS	30	12	87119	13	48246	14	33000	13	168365	51.74	first
R_GR_in_01d_3	TIS	31	13	49782	14	17588	15	33148	14	100518	49.53	first
R_GR_in_01d_3	TIS	32	13	10923	14	8352	15	3578	14	22853	47.8	first
R_GR_in_01d_3	TIS	33	14	1147	15	576	16	701	15	2424	47.32	first
R_GR_in_01d_3	TIS	34	17	168	18	58	19	100	18	326	51.53	first
R_GR_un_01d_1	TIS	27	12	8376	13	5030	14	5598	13	19004	44.07	first
R_GR_un_01d_1	TIS	28	12	15233	13	11766	14	10609	13	37608	40.5	first
R_GR_un_01d_1	TIS	29	11	31875	12	23067	13	20372	12	75314	42.32	first
R_GR_un_01d_1	TIS	30	12	60544	13	21882	14	47022	13	129448	46.77	first
R_GR_un_01d_1	TIS	31	12	82564	13	43069	14	25873	13	151506	54.5	first
R_GR_un_01d_1	TIS	32	13	42847	14	17540	15	23649	14	84036	50.99	first
R_GR_un_01d_1	TIS	33	14	8602	15	3068	16	6047	15	17717	48.55	first
R_GR_un_01d_1	TIS	34	14	1037	15	821	16	431	15	2289	45.3	first
R_GR_un_01d_2	TIS	27	12	7606	13	5412	14	5318	13	18336	41.48	first
R_GR_un_01d_2	TIS	28	11	13369	12	13660	13	12525	12	39554	33.8	first
R_GR_un_01d_2	TIS	29	11	33203	12	28614	13	18093	12	79910	41.55	first
R_GR_un_01d_2	TIS	30	12	67189	13	26463	14	38997	13	132649	50.65	first
R_GR_un_01d_2	TIS	31	12	57065	13	49121	14	18921	13	125107	45.61	first
R_GR_un_01d_2	TIS	32	13	28351	14	14228	15	10365	14	52944	53.55	first
R_GR_un_01d_2	TIS	33	14	3771	15	1576	16	2199	15	7546	49.97	first
R_GR_un_01d_2	TIS	34	14	295	15	263	16	223	15	781	37.77	first
R_GR_un_01d_3	TIS	27	12	12883	13	7742	14	9025	13	29650	43.45	first
R_GR_un_01d_3	TIS	28	12	21691	13	18587	14	17896	13	58174	37.29	first
R_GR_un_01d_3	TIS	29	11	47934	12	34353	13	28859	12	111146	43.13	first
R_GR_un_01d_3	TIS	30	12	87571	13	33158	14	66244	13	186973	46.84	first
R_GR_un_01d_3	TIS	31	12	92837	13	58962	14	28087	13	179886	51.61	first
R_GR_un_01d_3	TIS	32	13	36898	14	14644	15	16487	14	68029	54.24	first
R_GR_un_01d_3	TIS	33	14	4071	15	1614	16	2725	15	8410	48.41	first
R_GR_un_01d_3	TIS	34	14	252	15	269	16	185	15	706	35.69	first
R_GR_in_02d_1	TIS	27	11	15088	12	8800	13	12858	12	36746	41.06	first
R_GR_in_02d_1	TIS	28	11	37405	12	26705	13	10310	12	74420	50.26	first
R_GR_in_02d_1	TIS	29	12	61318	13	16337	14	20672	13	98327	62.36	first
R_GR_in_02d_1	TIS	30	12	31649	13	33415	14	8399	13	73463	43.08	first
R_GR_in_02d_1	TIS	31	13	16365	14	6056	15	6800	14	29221	56.0	first
R_GR_in_02d_1	TIS	32	13	2952	14	1913	15	804	14	5669	52.07	first
R_GR_in_02d_1	TIS	33	14	249	15	143	16	147	15	539	46.2	first
R_GR_in_02d_1	TIS	34	17	22	18	16	19	15	18	53	41.51	first
R_GR_in_02d_2	TIS	27	11	11461	12	8416	13	11118	12	30995	36.98	first
R_GR_in_02d_2	TIS	28	11	34716	12	22366	13	11555	12	68637	50.58	first
R_GR_in_02d_2	TIS	29	12	63989	13	17142	14	27107	13	108238	59.12	first
R_GR_in_02d_2	TIS	30	12	47887	13	39793	14	14121	13	101801	47.04	first
R_GR_in_02d_2	TIS	31	13	28908	14	9786	15	13990	14	52684	54.87	first
R_GR_in_02d_2	TIS	32	13	6937	14	4604	15	1742	14	13283	52.22	first
R_GR_in_02d_2	TIS	33	14	716	15	267	16	365	15	1348	53.12	first
R_GR_in_02d_2	TIS	34	15	85	16	59	17	56	16	200	42.5	first
R_GR_in_02d_3	TIS	27	11	35799	12	15576	13	23799	12	75174	47.62	first
R_GR_in_02d_3	TIS	28	11	69578	12	63625	13	16303	12	149506	46.54	first
R_GR_in_02d_3	TIS	29	12	114855	13	39110	14	27606	13	181571	63.26	first
R_GR_in_02d_3	TIS	30	13	64557	14	11889	15	34372	14	110818	58.25	first
R_GR_in_02d_3	TIS	31	13	19337	14	9623	15	5682	14	34642	55.82	first
R_GR_in_02d_3	TIS	32	13	1833	14	1848	15	812	14	4493	40.8	first
R_GR_in_02d_3	TIS	33	13	205	14	170	15	94	14	469	43.71	first
R_GR_in_02d_3	TIS	34	17	41	18	28	19	26	18	95	43.16	first
R_GR_un_02d_1	TIS	27	12	7449	13	5786	14	5876	13	19111	38.98	first
R_GR_un_02d_1	TIS	28	11	14606	12	12732	13	11639	12	38977	37.47	first
R_GR_un_02d_1	TIS	29	12	28020	13	14648	14	28595	13	71263	39.32	first
R_GR_un_02d_1	TIS	30	12	52400	13	23183	14	28668	13	104251	50.26	first
R_GR_un_02d_1	TIS	31	12	48406	13	40238	14	16552	13	105196	46.02	first
R_GR_un_02d_1	TIS	32	13	33030	14	14545	15	13744	14	61319	53.87	first
R_GR_un_02d_1	TIS	33	14	9789	15	2680	16	7178	15	19647	49.82	first
R_GR_un_02d_1	TIS	34	14	1242	15	693	16	528	15	2463	50.43	first
R_GR_un_02d_2	TIS	27	12	7688	13	6266	14	5276	13	19230	39.98	first
R_GR_un_02d_2	TIS	28	11	16613	12	13652	13	12674	12	42939	38.69	first
R_GR_un_02d_2	TIS	29	12	34861	13	16968	14	34061	13	85890	40.59	first
R_GR_un_02d_2	TIS	30	12	71099	13	27880	14	36746	13	135725	52.38	first
R_GR_un_02d_2	TIS	31	12	60746	13	49621	14	18881	13	129248	47.0	first
R_GR_un_02d_2	TIS	32	13	32121	14	13742	15	11364	14	57227	56.13	first
R_GR_un_02d_2	TIS	33	14	5226	15	1641	16	3492	15	10359	50.45	first
R_GR_un_02d_2	TIS	34	14	307	15	327	16	197	15	831	36.94	first
R_GR_un_02d_3	TIS	27	12	8002	13	6295	14	5544	13	19841	40.33	first
R_GR_un_02d_3	TIS	28	11	15200	12	12495	13	11825	12	39520	38.46	first
R_GR_un_02d_3	TIS	29	12	28116	13	14267	14	28305	13	70688	39.77	first
R_GR_un_02d_3	TIS	30	12	53962	13	21412	14	27566	13	102940	52.42	first
R_GR_un_02d_3	TIS	31	12	38866	13	33606	14	12095	13	84567	45.96	first
R_GR_un_02d_3	TIS	32	13	17238	14	7119	15	5146	14	29503	58.43	first
R_GR_un_02d_3	TIS	33	14	1774	15	551	16	1200	15	3525	50.33	first
R_GR_un_02d_3	TIS	34	14	112	15	111	16	74	15	297	37.71	first
R_GR_in_04d_1	TIS	27	12	6706	13	4294	14	4451	13	15451	43.4	first
R_GR_in_04d_1	TIS	28	12	14497	13	13129	14	11346	13	38972	37.2	first
R_GR_in_04d_1	TIS	29	11	32871	12	26636	13	22200	12	81707	40.23	first
R_GR_in_04d_1	TIS	30	12	60667	13	27329	14	48505	13	136501	44.44	first
R_GR_in_04d_1	TIS	31	12	67902	13	44232	14	23489	13	135623	50.07	first
R_GR_in_04d_1	TIS	32	13	25352	14	10538	15	12295	14	48185	52.61	first
R_GR_in_04d_1	TIS	33	14	2814	15	1925	16	1986	15	6725	41.84	first
R_GR_in_04d_1	TIS	34	15	385	16	299	17	379	16	1063	36.22	first
R_GR_in_04d_2	TIS	27	12	10364	13	8058	14	6915	13	25337	40.9	first
R_GR_in_04d_2	TIS	28	12	17719	13	16826	14	16199	13	50744	34.92	first
R_GR_in_04d_2	TIS	29	12	36198	13	22612	14	34007	13	92817	39.0	first
R_GR_in_04d_2	TIS	30	12	66399	13	34418	14	31923	13	132740	50.02	first
R_GR_in_04d_2	TIS	31	13	43444	14	16125	15	36203	14	95772	45.36	first
R_GR_in_04d_2	TIS	32	13	13368	14	8091	15	4933	14	26392	50.65	first
R_GR_in_04d_2	TIS	33	14	1816	15	1082	16	1284	15	4182	43.42	first
R_GR_in_04d_2	TIS	34	14	264	15	147	16	145	15	556	47.48	first
R_GR_in_04d_3	TIS	27	9	17782	10	12488	11	12390	10	42660	41.68	first
R_GR_in_04d_3	TIS	28	11	21839	12	21116	13	19758	12	62713	34.82	first
R_GR_in_04d_3	TIS	29	12	35968	13	20686	14	34799	13	91453	39.33	first
R_GR_in_04d_3	TIS	30	12	47170	13	22351	14	22758	13	92279	51.12	first
R_GR_in_04d_3	TIS	31	12	16964	13	18047	14	7363	13	42374	40.03	first
R_GR_in_04d_3	TIS	32	13	3236	14	2001	15	1716	14	6953	46.54	first
R_GR_in_04d_3	TIS	33	14	473	15	368	16	343	15	1184	39.95	first
R_GR_in_04d_3	TIS	34	12	59	13	7	14	52	13	118	50.0	first
R_GR_un_04d_1	TIS	27	14	6997	15	2552	16	5695	15	15244	45.9	first
R_GR_un_04d_1	TIS	28	11	20418	12	11713	13	8217	12	40348	50.6	first
R_GR_un_04d_1	TIS	29	11	32721	12	21960	13	17492	12	72173	45.34	first
R_GR_un_04d_1	TIS	30	12	51371	13	23282	14	30911	13	105564	48.66	first
R_GR_un_04d_1	TIS	31	12	42322	13	24041	14	14617	13	80980	52.26	first
R_GR_un_04d_1	TIS	32	11	4284	12	2030	13	7513	12	13827	30.98	first
R_GR_un_04d_1	TIS	33	14	1264	15	1106	16	1368	15	3738	33.81	first
R_GR_un_04d_1	TIS	34	15	318	16	1	17	1	16	320	99.38	first
R_GR_un_04d_2	TIS	27	12	9598	13	8119	14	6415	13	24132	39.77	first
R_GR_un_04d_2	TIS	28	12	19836	13	15711	14	15430	13	50977	38.91	first
R_GR_un_04d_2	TIS	29	11	35203	12	29585	13	23270	12	88058	39.98	first
R_GR_un_04d_2	TIS	30	12	52314	13	24685	14	34629	13	111628	46.86	first
R_GR_un_04d_2	TIS	31	12	32465	13	24523	14	10642	13	67630	48.0	first
R_GR_un_04d_2	TIS	32	13	7742	14	3798	15	3781	14	15321	50.53	first
R_GR_un_04d_2	TIS	33	14	1147	15	733	16	1193	15	3073	37.33	first
R_GR_un_04d_2	TIS	34	14	211	15	124	16	161	15	496	42.54	first
R_GR_un_04d_3	TIS	27	12	9011	13	6588	14	6220	13	21819	41.3	first
R_GR_un_04d_3	TIS	28	11	16035	12	14102	13	15578	12	45715	35.08	first
R_GR_un_04d_3	TIS	29	11	32831	12	29079	13	21285	12	83195	39.46	first
R_GR_un_04d_3	TIS	30	12	51137	13	21455	14	29651	13	102243	50.02	first
R_GR_un_04d_3	TIS	31	12	27109	13	22246	14	9035	13	58390	46.43	first
R_GR_un_04d_3	TIS	32	13	5315	14	3155	15	2168	14	10638	49.96	first
R_GR_un_04d_3	TIS	33	14	1178	15	539	16	763	15	2480	47.5	first
R_GR_un_04d_3	TIS	34	12	97	13	47	14	127	13	271	35.79	first
R_GR_in_07d_1	TIS	27	11	11710	12	13178	13	10041	12	34929	33.53	first
R_GR_in_07d_1	TIS	28	11	19755	12	18322	13	18651	12	56728	34.82	first
R_GR_in_07d_1	TIS	29	11	29363	12	25353	13	16161	12	70877	41.43	first
R_GR_in_07d_1	TIS	30	12	22281	13	11242	14	14255	13	47778	46.63	first
R_GR_in_07d_1	TIS	31	13	5961	14	3194	15	5162	14	14317	41.64	first
R_GR_in_07d_1	TIS	32	13	1038	14	745	15	829	14	2612	39.74	first
R_GR_in_07d_1	TIS	33	14	190	15	124	16	283	15	597	31.83	first
R_GR_in_07d_1	TIS	34	15	36	16	31	17	14	16	81	44.44	first
R_GR_in_07d_2	TIS	27	12	17808	13	14444	14	13163	13	45415	39.21	first
R_GR_in_07d_2	TIS	28	11	21004	12	18667	13	18449	12	58120	36.14	first
R_GR_in_07d_2	TIS	29	11	30669	12	24604	13	17270	12	72543	42.28	first
R_GR_in_07d_2	TIS	30	12	25436	13	13336	14	17401	13	56173	45.28	first
R_GR_in_07d_2	TIS	31	12	7212	13	7681	14	4036	13	18929	38.1	first
R_GR_in_07d_2	TIS	32	13	1433	14	955	15	687	14	3075	46.6	first
R_GR_in_07d_2	TIS	33	14	155	15	88	16	41	15	284	54.58	first
R_GR_in_07d_2	TIS	34	16	46	17	37	18	25	17	108	42.59	first
R_GR_in_07d_3	TIS	27	12	17808	13	14444	14	13163	13	45415	39.21	first
R_GR_in_07d_3	TIS	28	11	21004	12	18667	13	18449	12	58120	36.14	first
R_GR_in_07d_3	TIS	29	11	30669	12	24604	13	17270	12	72543	42.28	first
R_GR_in_07d_3	TIS	30	12	25436	13	13336	14	17401	13	56173	45.28	first
R_GR_in_07d_3	TIS	31	12	7212	13	7681	14	4036	13	18929	38.1	first
R_GR_in_07d_3	TIS	32	13	1433	14	955	15	687	14	3075	46.6	first
R_GR_in_07d_3	TIS	33	14	155	15	88	16	41	15	284	54.58	first
R_GR_in_07d_3	TIS	34	16	46	17	37	18	25	17	108	42.59	first
R_GR_un_07d_1	TIS	27	12	9562	13	6540	14	6519	13	22621	42.27	first
R_GR_un_07d_1	TIS	28	11	13282	12	14029	13	12604	12	39915	33.28	first
R_GR_un_07d_1	TIS	29	12	25192	13	15571	14	24988	13	65751	38.31	first
R_GR_un_07d_1	TIS	30	12	44855	13	21631	14	25461	13	91947	48.78	first
R_GR_un_07d_1	TIS	31	12	32773	13	31240	14	13590	13	77603	42.23	first
R_GR_un_07d_1	TIS	32	13	17066	14	9999	15	6964	14	34029	50.15	first
R_GR_un_07d_1	TIS	33	14	3565	15	1260	16	2155	15	6980	51.07	first
R_GR_un_07d_1	TIS	34	14	321	15	211	16	166	15	698	45.99	first
R_GR_un_07d_2	TIS	27	12	11321	13	8006	14	8168	13	27495	41.17	first
R_GR_un_07d_2	TIS	28	11	15165	12	15077	13	13962	12	44204	34.31	first
R_GR_un_07d_2	TIS	29	11	24930	12	22615	13	15895	12	63440	39.3	first
R_GR_un_07d_2	TIS	30	12	37574	13	17350	14	23930	13	78854	47.65	first
R_GR_un_07d_2	TIS	31	12	21956	13	18523	14	9795	13	50274	43.67	first
R_GR_un_07d_2	TIS	32	13	7205	14	3951	15	3126	14	14282	50.45	first
R_GR_un_07d_2	TIS	33	13	578	14	654	15	397	14	1629	35.48	first
R_GR_un_07d_2	TIS	34	14	92	15	59	16	38	15	189	48.68	first
R_GR_un_07d_3	TIS	27	12	12301	13	9644	14	9238	13	31183	39.45	first
R_GR_un_07d_3	TIS	28	11	17898	12	17489	13	15081	12	50468	35.46	first
R_GR_un_07d_3	TIS	29	11	28887	12	27627	13	17308	12	73822	39.13	first
R_GR_un_07d_3	TIS	30	12	39183	13	20477	14	23524	13	83184	47.1	first
R_GR_un_07d_3	TIS	31	13	19310	14	8232	15	17082	14	44624	43.27	first
R_GR_un_07d_3	TIS	32	13	4401	14	2810	15	1959	14	9170	47.99	first
R_GR_un_07d_3	TIS	33	14	386	15	233	16	306	15	925	41.73	first
R_GR_un_07d_3	TIS	34	13	69	14	51	15	47	14	167	41.32	first
R_GR_in_10d_1	TIS	27	12	56465	13	15395	14	26569	13	98429	57.37	first
R_GR_in_10d_1	TIS	28	12	128841	13	52408	14	35570	13	216819	59.42	first
R_GR_in_10d_1	TIS	29	12	136132	13	64025	14	90028	13	290185	46.91	first
R_GR_in_10d_1	TIS	30	12	300153	13	53788	14	115813	13	469754	63.9	first
R_GR_in_10d_1	TIS	31	12	619663	13	62574	14	73517	13	755754	81.99	first
R_GR_in_10d_1	TIS	32	12	155729	13	71341	14	57631	13	284701	54.7	first
R_GR_in_10d_1	TIS	33	14	56689	15	31615	16	62673	15	150977	37.55	first
R_GR_in_10d_1	TIS	34	16	21676	17	40496	18	5779	17	67951	31.9	first
R_GR_in_10d_2	TIS	27	12	20380	13	8864	14	8697	13	37941	53.71	first
R_GR_in_10d_2	TIS	28	12	52047	13	36027	14	13198	13	101272	51.39	first
R_GR_in_10d_2	TIS	29	14	49110	15	30439	16	24062	15	103611	47.4	first
R_GR_in_10d_2	TIS	30	12	147111	13	33667	14	62042	13	242820	60.58	first
R_GR_in_10d_2	TIS	31	12	271333	13	40800	14	40790	13	352923	76.88	first
R_GR_in_10d_2	TIS	32	12	115521	13	46929	14	50544	13	212994	54.24	first
R_GR_in_10d_2	TIS	33	14	28996	15	25364	16	56618	15	110978	26.13	first
R_GR_in_10d_2	TIS	34	13	12796	14	4626	15	5215	14	22637	56.53	first
R_GR_in_10d_3	TIS	27	12	45412	13	17703	14	15107	13	78222	58.06	first
R_GR_in_10d_3	TIS	28	12	82521	13	37478	14	27769	13	147768	55.84	first
R_GR_in_10d_3	TIS	29	12	81226	13	60806	14	83195	13	225227	36.06	first
R_GR_in_10d_3	TIS	30	12	186467	13	59331	14	99728	13	345526	53.97	first
R_GR_in_10d_3	TIS	31	12	380331	13	61269	14	63118	13	504718	75.36	first
R_GR_in_10d_3	TIS	32	12	138906	13	70976	14	54761	13	264643	52.49	first
R_GR_in_10d_3	TIS	33	14	42094	15	37811	16	87048	15	166953	25.21	first
R_GR_in_10d_3	TIS	34	13	20255	14	9137	15	7463	14	36855	54.96	first
R_GR_un_10d_1	TIS	27	12	9842	13	6682	14	6634	13	23158	42.5	first
R_GR_un_10d_1	TIS	28	12	15008	13	12766	14	11479	13	39253	38.23	first
R_GR_un_10d_1	TIS	29	11	25603	12	20487	13	18197	12	64287	39.83	first
R_GR_un_10d_1	TIS	30	12	46303	13	20463	14	33037	13	99803	46.39	first
R_GR_un_10d_1	TIS	31	12	43388	13	31978	14	14005	13	89371	48.55	first
R_GR_un_10d_1	TIS	32	13	16019	14	6730	15	7126	14	29875	53.62	first
R_GR_un_10d_1	TIS	33	14	2199	15	897	16	1844	15	4940	44.51	first
R_GR_un_10d_1	TIS	34	14	415	15	240	16	333	15	988	42.0	first
R_GR_un_10d_2	TIS	27	12	11114	13	7903	14	8120	13	27137	40.96	first
R_GR_un_10d_2	TIS	28	12	17705	13	15585	14	13368	13	46658	37.95	first
R_GR_un_10d_2	TIS	29	11	28532	12	23794	13	21829	12	74155	38.48	first
R_GR_un_10d_2	TIS	30	12	50134	13	23424	14	39615	13	113173	44.3	first
R_GR_un_10d_2	TIS	31	12	51523	13	34696	14	17702	13	103921	49.58	first
R_GR_un_10d_2	TIS	32	13	18173	14	7351	15	9568	14	35092	51.79	first
R_GR_un_10d_2	TIS	33	14	2321	15	1080	16	2149	15	5550	41.82	first
R_GR_un_10d_2	TIS	34	14	476	15	270	16	255	15	1001	47.55	first
R_GR_un_10d_3	TIS	27	12	6539	13	4182	14	4548	13	15269	42.83	first
R_GR_un_10d_3	TIS	28	12	10474	13	9220	14	7984	13	27678	37.84	first
R_GR_un_10d_3	TIS	29	11	18127	12	13874	13	13760	12	45761	39.61	first
R_GR_un_10d_3	TIS	30	12	31144	13	14098	14	24649	13	69891	44.56	first
R_GR_un_10d_3	TIS	31	12	36601	13	23041	14	12839	13	72481	50.5	first
R_GR_un_10d_3	TIS	32	13	16085	14	6498	15	7865	14	30448	52.83	first
R_GR_un_10d_3	TIS	33	14	2725	15	1289	16	2373	15	6387	42.66	first
R_GR_un_10d_3	TIS	34	14	847	15	436	16	325	15	1608	52.67	first
R_GR_in_15d_1	TIS	27	9	30891	10	13114	11	13840	10	57845	53.4	first
R_GR_in_15d_1	TIS	28	10	38736	11	19883	12	36151	11	94770	40.87	first
R_GR_in_15d_1	TIS	29	12	72542	13	70056	14	66632	13	209230	34.67	first
R_GR_in_15d_1	TIS	30	12	267243	13	42004	14	73379	13	382626	69.84	first
R_GR_in_15d_1	TIS	31	12	134054	13	92120	14	21084	13	247258	54.22	first
R_GR_in_15d_1	TIS	32	13	57225	14	27340	15	14120	14	98685	57.99	first
R_GR_in_15d_1	TIS	33	14	5508	15	1630	16	4107	15	11245	48.98	first
R_GR_in_15d_1	TIS	34	16	234	17	111	18	110	17	455	51.43	first
R_GR_in_15d_2	TIS	27	9	35029	10	13276	11	15755	10	64060	54.68	first
R_GR_in_15d_2	TIS	28	10	35781	11	17898	12	39172	11	92851	38.54	first
R_GR_in_15d_2	TIS	29	12	59274	13	70329	14	63055	13	192658	30.77	first
R_GR_in_15d_2	TIS	30	12	250092	13	32386	14	74175	13	356653	70.12	first
R_GR_in_15d_2	TIS	31	12	136619	13	74849	14	21154	13	232622	58.73	first
R_GR_in_15d_2	TIS	32	13	53043	14	27201	15	15268	14	95512	55.54	first
R_GR_in_15d_2	TIS	33	14	5825	15	1198	16	4899	15	11922	48.86	first
R_GR_in_15d_2	TIS	34	15	211	16	87	17	175	16	473	44.61	first
R_GR_in_15d_3	TIS	27	9	2246	10	1053	11	999	10	4298	52.26	first
R_GR_in_15d_3	TIS	28	10	2650	11	2405	12	3250	11	8305	31.91	first
R_GR_in_15d_3	TIS	29	12	5903	13	5421	14	4828	13	16152	36.55	first
R_GR_in_15d_3	TIS	30	12	19939	13	2420	14	4499	13	26858	74.24	first
R_GR_in_15d_3	TIS	31	12	9059	13	8093	14	1417	13	18569	48.79	first
R_GR_in_15d_3	TIS	32	14	2493	15	882	16	6677	15	10052	24.8	first
R_GR_in_15d_3	TIS	33	13	616	14	420	15	178	14	1214	50.74	first
R_GR_in_15d_3	TIS	34	13	15	14	12	15	5	14	32	46.88	first
R_GR_un_15d_1	TIS	27	9	12591	10	8547	11	8292	10	29430	42.78	first
R_GR_un_15d_1	TIS	28	10	15245	11	13906	12	14752	11	43903	34.72	first
R_GR_un_15d_1	TIS	29	11	29469	12	26312	13	16602	12	72383	40.71	first
R_GR_un_15d_1	TIS	30	12	54767	13	21014	14	24928	13	100709	54.38	first
R_GR_un_15d_1	TIS	31	12	40962	13	39466	14	12109	13	92537	44.27	first
R_GR_un_15d_1	TIS	32	13	24062	14	12500	15	6880	14	43442	55.39	first
R_GR_un_15d_1	TIS	33	14	4337	15	1340	16	1806	15	7483	57.96	first
R_GR_un_15d_1	TIS	34	15	183	16	63	17	156	16	402	45.52	first
R_GR_un_15d_2	TIS	27	9	13503	10	9563	11	8740	10	31806	42.45	first
R_GR_un_15d_2	TIS	28	11	18033	12	16306	13	16501	12	50840	35.47	first
R_GR_un_15d_2	TIS	29	12	35848	13	17053	14	33876	13	86777	41.31	first
R_GR_un_15d_2	TIS	30	12	62235	13	27884	14	22964	13	113083	55.03	first
R_GR_un_15d_2	TIS	31	13	44771	14	12048	15	32241	14	89060	50.27	first
R_GR_un_15d_2	TIS	32	13	21867	14	13235	15	4939	14	40041	54.61	first
R_GR_un_15d_2	TIS	33	14	3607	15	1043	16	1604	15	6254	57.68	first
R_GR_un_15d_2	TIS	34	15	196	16	80	17	53	16	329	59.57	first
R_GR_un_15d_3	TIS	27	9	8931	10	5414	11	5807	10	20152	44.32	first
R_GR_un_15d_3	TIS	28	11	12304	12	10753	13	11170	12	34227	35.95	first
R_GR_un_15d_3	TIS	29	12	23531	13	11860	14	22331	13	57722	40.77	first
R_GR_un_15d_3	TIS	30	12	44843	13	18694	14	17073	13	80610	55.63	first
R_GR_un_15d_3	TIS	31	13	32913	14	8875	15	26594	14	68382	48.13	first
R_GR_un_15d_3	TIS	32	13	15892	14	9127	15	3738	14	28757	55.26	first
R_GR_un_15d_3	TIS	33	14	2300	15	885	16	847	15	4032	57.04	first
R_GR_un_15d_3	TIS	34	15	144	16	65	17	99	16	308	46.75	first
R_GR_in_20d_1	TIS	27	12	34228	13	7590	14	9318	13	51136	66.94	first
R_GR_in_20d_1	TIS	28	12	46324	13	28017	14	14241	13	88582	52.3	first
R_GR_in_20d_1	TIS	29	12	58729	13	58817	14	51388	13	168934	34.76	first
R_GR_in_20d_1	TIS	30	12	317085	13	38681	14	97345	13	453111	69.98	first
R_GR_in_20d_1	TIS	31	12	343696	13	66746	14	38113	13	448555	76.62	first
R_GR_in_20d_1	TIS	32	13	59373	14	20379	15	39545	14	119297	49.77	first
R_GR_in_20d_1	TIS	33	16	20081	17	49483	18	2103	17	71667	28.02	first
R_GR_in_20d_1	TIS	34	14	1381	15	386	16	522	15	2289	60.33	first
R_GR_in_20d_2	TIS	27	12	25406	13	7670	14	9395	13	42471	59.82	first
R_GR_in_20d_2	TIS	28	12	35486	13	25153	14	14547	13	75186	47.2	first
R_GR_in_20d_2	TIS	29	12	55660	13	42771	14	46532	13	144963	38.4	first
R_GR_in_20d_2	TIS	30	12	218634	13	36531	14	80335	13	335500	65.17	first
R_GR_in_20d_2	TIS	31	12	280464	13	60651	14	38303	13	379418	73.92	first
R_GR_in_20d_2	TIS	32	13	64549	14	24312	15	46554	14	135415	47.67	first
R_GR_in_20d_2	TIS	33	13	14698	14	8160	15	3737	14	26595	55.27	first
R_GR_in_20d_2	TIS	34	16	2298	17	4504	18	521	17	7323	31.38	first
R_GR_in_20d_3	TIS	27	12	23516	13	7993	14	7289	13	38798	60.61	first
R_GR_in_20d_3	TIS	28	12	29259	13	23922	14	13921	13	67102	43.6	first
R_GR_in_20d_3	TIS	29	12	48668	13	34535	14	44316	13	127519	38.17	first
R_GR_in_20d_3	TIS	30	12	203081	13	34791	14	63270	13	301142	67.44	first
R_GR_in_20d_3	TIS	31	12	184006	13	55590	14	29339	13	268935	68.42	first
R_GR_in_20d_3	TIS	32	13	47119	14	15305	15	32216	14	94640	49.79	first
R_GR_in_20d_3	TIS	33	16	23568	17	75000	18	2110	17	100678	23.41	first
