Sample	Frame	Count	Ratio
R_GR_in_01d_1	0	12069206	48.14393902526004
R_GR_in_01d_1	1	5784564	23.07456650451689
R_GR_in_01d_1	2	7215234	28.781494470223063
R_GR_in_01d_2	0	11021461	46.26607543493791
R_GR_in_01d_2	1	6154621	25.83597215101092
R_GR_in_01d_2	2	6645824	27.89795241405117
R_GR_in_01d_3	0	9248350	45.450544646270494
R_GR_in_01d_3	1	5093894	25.03368240500948
R_GR_in_01d_3	2	6005917	29.51577294872003
R_GR_un_01d_1	0	9114602	48.53810322276724
R_GR_un_01d_1	1	4137600	22.03401266391245
R_GR_un_01d_1	2	5526039	29.427884113320307
R_GR_un_01d_2	0	7864288	46.51847903157563
R_GR_un_01d_2	1	4332404	25.626839280341
R_GR_un_01d_2	2	4709037	27.85468168808337
R_GR_un_01d_3	0	11207602	46.89122677420123
R_GR_un_01d_3	1	5112234	21.38895758582272
R_GR_un_01d_3	2	7581441	31.71981563997605
R_GR_in_02d_1	0	5665919	51.676231831317466
R_GR_in_02d_1	1	2364864	21.568832931345604
R_GR_in_02d_1	2	2933482	26.75493523733693
R_GR_in_02d_2	0	6630630	50.47172881216596
R_GR_in_02d_2	1	3238376	24.650212010597293
R_GR_in_02d_2	2	3268309	24.87805917723675
R_GR_in_02d_3	0	10900228	54.78607140013784
R_GR_in_02d_3	1	4162544	20.921528686392183
R_GR_in_02d_3	2	4833212	24.29239991346997
R_GR_un_02d_1	0	7201312	47.99791513715071
R_GR_un_02d_1	1	3757597	25.04499484616305
R_GR_un_02d_1	2	4044476	26.95709001668624
R_GR_un_02d_2	0	8130038	48.35168795667376
R_GR_un_02d_2	1	4192308	24.9328684852724
R_GR_un_02d_2	2	4492037	26.71544355805384
R_GR_un_02d_3	0	5631240	47.36146248250619
R_GR_un_02d_3	1	2996786	25.20442526106147
R_GR_un_02d_3	2	3261894	27.434112256432343
R_GR_in_04d_1	0	7688280	46.83519412383486
R_GR_in_04d_1	1	3679079	22.41208425836783
R_GR_in_04d_1	2	5048245	30.752721617797317
R_GR_in_04d_2	0	6725275	43.76811462156447
R_GR_in_04d_2	1	4692417	30.53826722448936
R_GR_in_04d_2	2	3948003	25.69361815394618
R_GR_in_04d_3	0	5268973	43.31753154739336
R_GR_in_04d_3	1	3688055	30.32041325909656
R_GR_in_04d_3	2	3206576	26.36205519351008
R_GR_un_04d_1	0	6143118	46.01485870121792
R_GR_un_04d_1	1	3027897	22.680380324265567
R_GR_un_04d_1	2	4179277	31.304760974516512
R_GR_un_04d_2	0	5733268	44.096247617814086
R_GR_un_04d_2	1	3853555	29.638823004413112
R_GR_un_04d_2	2	3414891	26.264929377772805
R_GR_un_04d_3	0	5463535	44.35793568006568
R_GR_un_04d_3	1	3500627	28.421267056201028
R_GR_un_04d_3	2	3352766	27.22079726373329
R_GR_in_07d_1	0	4241365	42.37463567293593
R_GR_in_07d_1	1	2947974	29.45262297003149
R_GR_in_07d_1	2	2819868	28.17274135703258
R_GR_in_07d_2	0	4485123	41.85164321281542
R_GR_in_07d_2	1	3340699	31.172777787679237
R_GR_in_07d_2	2	2890897	26.975578999505352
R_GR_in_07d_3	0	4485123	41.85164321281542
R_GR_in_07d_3	1	3340699	31.172777787679237
R_GR_in_07d_3	2	2890897	26.975578999505352
R_GR_un_07d_1	0	5733081	43.84689123585455
