Gene	m_GR_in_01d_1	m_GR_in_01d_2	m_GR_in_02d_1	m_GR_in_02d_2	m_GR_in_04d_1	m_GR_in_04d_3	m_GR_in_07d_1	m_GR_in_07d_3	m_GR_in_10d_1	m_GR_in_10d_2	m_GR_in_15d_2	m_GR_in_15d_3	m_GR_in_20d_1	m_GR_in_20d_2	m_GR_in_25d_1	m_GR_in_25d_2	m_GR_un_01d_1	m_GR_un_01d_2	m_GR_un_02d_1	m_GR_un_02d_2	m_GR_un_04d_2	m_GR_un_04d_3	m_GR_un_07d_1	m_GR_un_07d_2	m_GR_un_10d_1	m_GR_un_10d_2	m_GR_un_15d_1	m_GR_un_15d_2	m_GR_un_20d_2	m_GR_un_20d_3	m_GR_un_25d_1	m_GR_un_25d_2
GlmaCp005	515.773963907645	333.347466486152	204.208565014401	202.436816857371	196.228439710675	139.580745540459	738.910768789003	716.644654206019	949.552948127446	812.393067889524	1177.96931796862	1090.59249415754	732.629676741112	627.046610464711	673.621505062906	568.961797461056	659.763016666765	459.464169716558	212.056873129776	205.846300543567	182.452415644465	168.124173928338	485.943173830628	555.272368053245	225.716477072503	176.589846310234	491.379995750932	557.120060699557	477.711718592568	309.648651996202	372.216943707085	481.012401558615
GlmaCp009	350.253379501753	308.492611528851	333.674125840525	270.351103803069	382.521262220809	309.89486624579	450.525158859627	507.084304059132	582.626932369557	569.140702289366	803.589251094226	1017.27535169317	436.314039606665	378.464346508193	310.183550181532	357.987708134053	395.562614019447	377.365556318929	244.78169923005	209.830422489572	275.592459994437	320.729193340213	447.879739849117	492.029501532375	313.239192672045	333.93592731743	603.471984171569	579.670158394539	439.66388259847	339.925409080275	243.791214591775	335.694837621703
GlmaCp013	316.262545204115	257.320851322644	50.7184671277598	91.4230785807481	116.743502106351	148.544646630213	102.729637871838	166.872130672521	271.970720945145	280.496746936068	143.069728073279	122.472953889349	358.15542227555	310.512793385131	481.158217902075	425.766714207434	419.17829246837	375.925229768093	61.5226730685153	69.0581137307451	146.727467126668	109.927344491605	143.372267997026	96.1291571117236	228.019706430386	168.66594295016	78.2037128516072	114.076964809909	224.059478631913	238.085407979302	256.85145823062	253.460867331823
GlmaCp026	1859.15084984475	1871.42437325559	1600.30110753116	1743.56871293284	1756.12034019553	1639.11334212649	1686.99393276283	1874.40090964715	3187.44995797349	3418.33587448643	5719.36230309707	5666.24870341133	2738.12826430324	2823.86011269636	2640.29732775003	2975.59383001025	2258.24925167819	1964.60541533977	1604.82547195744	1604.27310359115	1656.10654200361	1881.69748512101	1819.43214431624	1807.48112516649	1613.41216519682	1846.26948289739	3098.17042413784	3150.3812956225	2022.17202413078	2134.51137442715	1734.83569669326	2123.43882186883
GlmaCp029	449.270157673135	328.961315611334	145.481918866469	143.664837769747	356.44026706939	263.794803498483	226.500285910197	257.422899254508	461.881310570634	393.393777860543	262.151717307925	238.28071300921	373.615368560825	295.890307270042	311.117837983284	277.798461512026	554.968443549673	506.994945894133	98.1744783008223	126.163861623477	218.177364162263	243.133420757904	298.163566188505	326.333191247693	380.032844050643	287.524493351279	160.317611345795	126.0152518249	236.742090629945	210.561083357417	284.060299144881	297.394084336006
GlmaCp047	2850.79649391934	2928.48673408668	1933.97523337168	1804.95277997991	2297.61147762499	2288.35589248441	2485.31461261025	2624.67870646933	3020.98512015362	3137.83912755037	6951.30403345261	6735.17931456803	2315.55639917238	2130.58224159272	4698.53335500881	4878.1791695067	3927.58252203638	3610.89866294486	1812.95536595519	1714.50047743061	2382.08853152599	2393.82958416425	2592.11985414092	2536.03894748692	2289.40998173539	2283.21615389579	3025.180292143	2977.93937207263	2728.17075868794	2768.94705696159	2464.03263319544	2499.68739826362
GlmaCp058	1127.60898126514	1001.50444975006	686.03400272812	655.634077821937	927.738256100469	641.559206566698	996.35371670879	1024.51726738478	1793.60001312962	1636.42500494652	2961.62904161273	2706.06907641229	1856.91132604254	1629.11698246936	1148.23970835272	1214.29430599071	1459.74412412401	1327.98107987043	518.361245428342	521.919974926593	718.326643411426	838.034343888945	1065.77615148232	971.410429760575	944.324036731902	759.562736372867	1014.04147664251	1143.42260076909	1003.33552695548	977.113524076903	784.702971967275	929.356513550018
GlmaCp063	9424.32827461047	10952.21873442	5145.2550204609	9174.95895756794	1680.36125904141	3097.66810515937	8724.59298022393	11207.5979856335	6265.87717005087	11756.4217460632	17342.2784753736	16865.4422148442	13944.8715493185	4278.36740802671	5987.85052142602	8895.27857171496	5047.85126845713	8499.36697648091	7281.92830383299	7495.46142108318	9160.89751277805	4708.77013286983	6151.05093141223	4029.83545470989	2219.16148631997	2275.29225053571	3340.60193397782	1399.43253342389	2001.0343374674	119.730812105198	76.1847545599296	6977.49605445916
GlmaCp073	81.2824298421791	67.2543134138728	101.43693425552	53.5478031687239	130.404975757094	111.40848497266	51.9836721761108	86.6700213570456	91.4384320419022	66.3415542545886	56.5425272624935	37.4917205783723	115.949597139566	114.399450194522	83.1516143558926	68.7336399617383	197.781307009724	161.316573693588	43.1967704523618	26.5608129733635	84.2088072205225	103.461030109746	128.146894404421	102.453443763811	190.016422025322	130.178412344083	56.0459942103185	75.6091510949399	84.5507466535519	126.611893260669	70.7429863770775	113.775767113396
GlmaCp074	1514.80891978606	1557.08356056032	2188.90226551384	1956.45388162801	2596.92194579127	2001.51105761227	3739.11127723883	3629.7922377294	1985.85517793567	2088.01312864442	4901.20906770796	5316.32597801319	1298.63548796314	1273.8765844969	1621.92362384078	1793.7570762237	1889.25427591378	1744.23545306192	2102.24282868161	1942.92346900154	2827.37449697997	2806.38044172687	3192.25332991608	3253.21305383359	2564.64589000237	3024.66711115991	5152.32128170672	4870.82110211613	2022.17202413078	1897.80218267894	1826.25740216517	2154.98061869234
