Sample	Meta	Nucleotide	Codon	Frame	Density
ncs2d_elp6d_mrna_YPD1	TIS	-30	-10	0	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-29	-10	1	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-28	-10	2	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-27	-9	0	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-26	-9	1	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-25	-9	2	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-24	-8	0	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-23	-8	1	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-22	-8	2	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-21	-7	0	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-20	-7	1	0.0
ncs2d_elp6d_mrna_YPD1	TIS	-19	-7	2	1.7177798682972718
ncs2d_elp6d_mrna_YPD1	TIS	-18	-6	0	1.2716839134524929
ncs2d_elp6d_mrna_YPD1	TIS	-17	-6	1	1.294637817497648
ncs2d_elp6d_mrna_YPD1	TIS	-16	-6	2	1.3539040451552211
ncs2d_elp6d_mrna_YPD1	TIS	-15	-5	0	1.5254938852304798
ncs2d_elp6d_mrna_YPD1	TIS	-14	-5	1	1.410912511759172
ncs2d_elp6d_mrna_YPD1	TIS	-13	-5	2	1.8005644402634056
ncs2d_elp6d_mrna_YPD1	TIS	-12	-4	0	1.9113828786453433
ncs2d_elp6d_mrna_YPD1	TIS	-11	-4	1	1.9943555973659455
ncs2d_elp6d_mrna_YPD1	TIS	-10	-4	2	1.9753527751646285
ncs2d_elp6d_mrna_YPD1	TIS	-9	-3	0	1.703857008466604
ncs2d_elp6d_mrna_YPD1	TIS	-8	-3	1	1.7219190968955786
ncs2d_elp6d_mrna_YPD1	TIS	-7	-3	2	1.82483537158984
ncs2d_elp6d_mrna_YPD1	TIS	-6	-2	0	1.7958607714016934
ncs2d_elp6d_mrna_YPD1	TIS	-5	-2	1	1.90310442144873
ncs2d_elp6d_mrna_YPD1	TIS	-4	-2	2	1.8402634054562559
ncs2d_elp6d_mrna_YPD1	TIS	-3	-1	0	1.7345249294449672
ncs2d_elp6d_mrna_YPD1	TIS	-2	-1	1	1.7697083725305738
ncs2d_elp6d_mrna_YPD1	TIS	-1	-1	2	2.004703668861712
ncs2d_elp6d_mrna_YPD1	TIS	0	0	0	1.993038570084666
ncs2d_elp6d_mrna_YPD1	TIS	1	0	1	1.9239887111947318
ncs2d_elp6d_mrna_YPD1	TIS	2	0	2	2.0551269990592664
ncs2d_elp6d_mrna_YPD1	TIS	3	1	0	1.9919096895578552
ncs2d_elp6d_mrna_YPD1	TIS	4	1	1	1.9226716839134526
ncs2d_elp6d_mrna_YPD1	TIS	5	1	2	2.1126999059266227
ncs2d_elp6d_mrna_YPD1	TIS	6	2	0	2.3138287864534335
ncs2d_elp6d_mrna_YPD1	TIS	7	2	1	2.032173095014111
ncs2d_elp6d_mrna_YPD1	TIS	8	2	2	2.3335841956726244
ncs2d_elp6d_mrna_YPD1	TIS	9	3	0	2.761994355597366
ncs2d_elp6d_mrna_YPD1	TIS	10	3	1	0.7153339604891815
ncs2d_elp6d_mrna_YPD1	TIS	11	3	2	3.5749764816556913
ncs2d_elp6d_mrna_YPD1	TIS	12	4	0	1.0191909689557854
ncs2d_elp6d_mrna_YPD1	TIS	13	4	1	1.1685794920037629
ncs2d_elp6d_mrna_YPD1	TIS	14	4	2	1.5646284101599248
ncs2d_elp6d_mrna_YPD1	TIS	15	5	0	1.6841015992474129
ncs2d_elp6d_mrna_YPD1	TIS	16	5	1	1.7661335841956727
ncs2d_elp6d_mrna_YPD1	TIS	17	5	2	1.7525870178739418
ncs2d_elp6d_mrna_YPD1	TIS	18	6	0	1.8587017873941674
ncs2d_elp6d_mrna_YPD1	TIS	19	6	1	1.6477892756349952
ncs2d_elp6d_mrna_YPD1	TIS	20	6	2	1.9196613358419568
