chromosome	gene_id	transcript_id	start	end	utr5_length	cds_length	utr3_length	strand	rep_transcript	modified
NC_001133.9	YAL068C	NM_001180043.1	1776	2199	30	363	30	-	True	True
NC_001133.9	YAL067W-A	NM_001184582.1	2449	2737	30	228	30	+	True	True
NC_001133.9	YAL067C	NM_001178208.1	7204	9046	30	1782	30	-	True	True
NC_001133.9	YAL065C	NM_001179897.1	11534	11981	30	387	30	-	True	True
NC_001133.9	YAL064W-B	NM_001180042.1	12015	12456	30	381	30	+	True	True
NC_001133.9	YAL064C-A	NM_001180041.1	13332	13773	30	381	30	-	True	True
NC_001133.9	YAL064W	NM_001178206.2	21535	21880	30	285	30	+	True	True
NC_001133.9	YAL063C-A	NM_001184642.1	22364	22715	30	291	30	-	True	True
NC_001133.9	YAL063C	NM_001178205.1	23969	27998	30	3969	30	-	True	True
NC_001133.9	YAL062W	NM_001178204.1	31536	32970	30	1374	30	+	True	True
NC_001133.9	YAL061W	NM_001178203.1	33417	34731	30	1254	30	+	True	True
NC_001133.9	YAL060W	NM_001178202.2	35124	36333	30	1149	30	+	True	True
NC_001133.9	YAL059W	NM_001178201.2	36478	37177	30	639	30	+	True	True
NC_001133.9	YAL058W	NM_001178200.1	37433	39002	30	1509	30	+	True	True
NC_001133.9	YAL056W	NM_001178199.2	39228	41931	30	2643	30	+	True	True
NC_001133.9	YAL055W	NM_001178198.1	42146	42749	30	543	30	+	True	True
NC_001133.9	YAL054C	NM_001178197.1	42850	45052	30	2142	30	-	True	True
NC_001133.9	YAL053W	NM_001178196.2	45868	48280	30	2352	30	+	True	True
NC_001133.9	YAL051W	NM_001178195.2	48533	51737	30	3144	30	+	True	True
NC_001133.9	YAL049C	NM_001178194.1	51824	52625	30	741	30	-	True	True
NC_001133.9	YAL048C	NM_001178193.1	52770	54819	30	1989	30	-	True	True
NC_001133.9	YAL047C	NM_001178192.2	54958	56887	30	1869	30	-	True	True
NC_001133.9	YAL046C	NM_001178191.1	56998	57415	30	357	30	-	True	True
NC_001133.9	YAL044W-A	NM_001184453.1	57487	57880	30	333	30	+	True	True
NC_001133.9	YAL044C	NM_001178189.1	57919	58492	30	513	30	-	True	True
NC_001133.9	YAL043C	NM_001178188.1	58664	61082	30	2358	30	-	True	True
NC_001133.9	YAL042W	NM_001178187.1	61285	62593	30	1248	30	+	True	True
NC_001133.9	YAL041W	NM_001178186.1	62809	65434	30	2565	30	+	True	True
