Sample	Meta	Nucleotide	Codon	Frame	Density
ssb2d_ssb1_mock_1	TIS	-30	-10	0	0.0
ssb2d_ssb1_mock_1	TIS	-29	-10	1	0.0
ssb2d_ssb1_mock_1	TIS	-28	-10	2	0.0
ssb2d_ssb1_mock_1	TIS	-27	-9	0	0.0
ssb2d_ssb1_mock_1	TIS	-26	-9	1	0.0
ssb2d_ssb1_mock_1	TIS	-25	-9	2	0.0
ssb2d_ssb1_mock_1	TIS	-24	-8	0	0.0
ssb2d_ssb1_mock_1	TIS	-23	-8	1	0.0
ssb2d_ssb1_mock_1	TIS	-22	-8	2	0.0
ssb2d_ssb1_mock_1	TIS	-21	-7	0	0.0
ssb2d_ssb1_mock_1	TIS	-20	-7	1	0.0
ssb2d_ssb1_mock_1	TIS	-19	-7	2	0.0
ssb2d_ssb1_mock_1	TIS	-18	-6	0	0.020770519262981575
ssb2d_ssb1_mock_1	TIS	-17	-6	1	0.02814070351758794
ssb2d_ssb1_mock_1	TIS	-16	-6	2	0.02579564489112228
ssb2d_ssb1_mock_1	TIS	-15	-5	0	0.03886097152428811
ssb2d_ssb1_mock_1	TIS	-14	-5	1	0.02948073701842546
ssb2d_ssb1_mock_1	TIS	-13	-5	2	0.02981574539363484
ssb2d_ssb1_mock_1	TIS	-12	-4	0	0.02747068676716918
ssb2d_ssb1_mock_1	TIS	-11	-4	1	0.038525963149078725
ssb2d_ssb1_mock_1	TIS	-10	-4	2	0.024120603015075376
ssb2d_ssb1_mock_1	TIS	-9	-3	0	0.030485762144053602
ssb2d_ssb1_mock_1	TIS	-8	-3	1	0.0371859296482412
ssb2d_ssb1_mock_1	TIS	-7	-3	2	0.027135678391959798
ssb2d_ssb1_mock_1	TIS	-6	-2	0	0.022110552763819097
ssb2d_ssb1_mock_1	TIS	-5	-2	1	0.02579564489112228
ssb2d_ssb1_mock_1	TIS	-4	-2	2	0.022110552763819097
ssb2d_ssb1_mock_1	TIS	-3	-1	0	0.016080402010050253
ssb2d_ssb1_mock_1	TIS	-2	-1	1	0.2931323283082077
ssb2d_ssb1_mock_1	TIS	-1	-1	2	3.0515912897822446
ssb2d_ssb1_mock_1	TIS	0	0	0	8.515242881072027
ssb2d_ssb1_mock_1	TIS	1	0	1	0.9738693467336683
ssb2d_ssb1_mock_1	TIS	2	0	2	1.434505862646566
ssb2d_ssb1_mock_1	TIS	3	1	0	2.792964824120603
ssb2d_ssb1_mock_1	TIS	4	1	1	0.5169179229480737
ssb2d_ssb1_mock_1	TIS	5	1	2	0.7316582914572864
ssb2d_ssb1_mock_1	TIS	6	2	0	2.412395309882747
ssb2d_ssb1_mock_1	TIS	7	2	1	0.44455611390284755
ssb2d_ssb1_mock_1	TIS	8	2	2	1.4817420435510888
ssb2d_ssb1_mock_1	TIS	9	3	0	2.24857621440536
ssb2d_ssb1_mock_1	TIS	10	3	1	0.4154103852596315
ssb2d_ssb1_mock_1	TIS	11	3	2	0.525963149078727
ssb2d_ssb1_mock_1	TIS	12	4	0	3.3477386934673365
ssb2d_ssb1_mock_1	TIS	13	4	1	0.26767169179229483
ssb2d_ssb1_mock_1	TIS	14	4	2	0.8820770519262982
ssb2d_ssb1_mock_1	TIS	15	5	0	2.58391959798995
ssb2d_ssb1_mock_1	TIS	16	5	1	0.5651591289782244
ssb2d_ssb1_mock_1	TIS	17	5	2	1.3641541038525964
ssb2d_ssb1_mock_1	TIS	18	6	0	2.4743718592964825
ssb2d_ssb1_mock_1	TIS	19	6	1	0.3862646566164154
ssb2d_ssb1_mock_1	TIS	20	6	2	1.384254606365159
ssb2d_ssb1_mock_1	TIS	21	7	0	2.9695142378559463
ssb2d_ssb1_mock_1	TIS	22	7	1	0.4284757118927973
ssb2d_ssb1_mock_1	TIS	23	7	2	1.0864321608040202
ssb2d_ssb1_mock_1	TIS	24	8	0	2.32964824120603
ssb2d_ssb1_mock_1	TIS	25	8	1	0.3778894472361809
ssb2d_ssb1_mock_1	TIS	26	8	2	1.0666666666666667
ssb2d_ssb1_mock_1	TIS	27	9	0	2.2673366834170854
ssb2d_ssb1_mock_1	TIS	28	9	1	0.43785594639866
ssb2d_ssb1_mock_1	TIS	29	9	2	1.1500837520938023
ssb2d_ssb1_mock_1	TIS	30	10	0	2.4991624790619764
ssb2d_ssb1_mock_1	TIS	31	10	1	0.42546063651591287
ssb2d_ssb1_mock_1	TIS	32	10	2	1.1775544388609716
ssb2d_ssb1_mock_1	TIS	33	11	0	2.509882747068677
ssb2d_ssb1_mock_1	TIS	34	11	1	0.41943048576214403
ssb2d_ssb1_mock_1	TIS	35	11	2	1.0743718592964824
ssb2d_ssb1_mock_1	TIS	36	12	0	2.614070351758794
ssb2d_ssb1_mock_1	TIS	37	12	1	0.421105527638191
ssb2d_ssb1_mock_1	TIS	38	12	2	0.8606365159128978
ssb2d_ssb1_mock_1	TIS	39	13	0	3.2160804020100504
ssb2d_ssb1_mock_1	TIS	40	13	1	0.5557788944723618
ssb2d_ssb1_mock_1	TIS	41	13	2	1.088107202680067
ssb2d_ssb1_mock_1	TIS	42	14	0	3.039530988274707
ssb2d_ssb1_mock_1	TIS	43	14	1	0.4509212730318258
ssb2d_ssb1_mock_1	TIS	44	14	2	0.8629815745393635
ssb2d_ssb1_mock_1	TIS	45	15	0	2.6733668341708543
ssb2d_ssb1_mock_1	TIS	46	15	1	0.5172529313232831
ssb2d_ssb1_mock_1	TIS	47	15	2	0.8003350083752094
ssb2d_ssb1_mock_1	TIS	48	16	0	2.977219430485762
ssb2d_ssb1_mock_1	TIS	49	16	1	0.4760469011725293
ssb2d_ssb1_mock_1	TIS	50	16	2	1.1798994974874373
ssb2d_ssb1_mock_1	TIS	51	17	0	2.5085427135678393
