Sample	Meta	Nucleotide	Codon	Frame	Density
ssb1del_ssb2del_mock_1	TIS	-30	-10	0	0.0
ssb1del_ssb2del_mock_1	TIS	-29	-10	1	0.0
ssb1del_ssb2del_mock_1	TIS	-28	-10	2	0.0
ssb1del_ssb2del_mock_1	TIS	-27	-9	0	0.0
ssb1del_ssb2del_mock_1	TIS	-26	-9	1	0.0
ssb1del_ssb2del_mock_1	TIS	-25	-9	2	0.0
ssb1del_ssb2del_mock_1	TIS	-24	-8	0	0.0
ssb1del_ssb2del_mock_1	TIS	-23	-8	1	0.0
ssb1del_ssb2del_mock_1	TIS	-22	-8	2	0.0
ssb1del_ssb2del_mock_1	TIS	-21	-7	0	0.0
ssb1del_ssb2del_mock_1	TIS	-20	-7	1	0.0
ssb1del_ssb2del_mock_1	TIS	-19	-7	2	0.08879923591738424
ssb1del_ssb2del_mock_1	TIS	-18	-6	0	0.09702940900241008
ssb1del_ssb2del_mock_1	TIS	-17	-6	1	0.1028771635628232
ssb1del_ssb2del_mock_1	TIS	-16	-6	2	0.14706019801927778
ssb1del_ssb2del_mock_1	TIS	-15	-5	0	0.11110733664784907
ssb1del_ssb2del_mock_1	TIS	-14	-5	1	0.12236967876420023
ssb1del_ssb2del_mock_1	TIS	-13	-5	2	0.17846480584371857
ssb1del_ssb2del_mock_1	TIS	-12	-4	0	0.2278458443538737
ssb1del_ssb2del_mock_1	TIS	-11	-4	1	0.33115617492117194
ssb1del_ssb2del_mock_1	TIS	-10	-4	2	0.43143433645714485
ssb1del_ssb2del_mock_1	TIS	-9	-3	0	0.5260813269349421
ssb1del_ssb2del_mock_1	TIS	-8	-3	1	0.46976961635318626
ssb1del_ssb2del_mock_1	TIS	-7	-3	2	0.3807537969335646
ssb1del_ssb2del_mock_1	TIS	-6	-2	0	0.6493173397080925
ssb1del_ssb2del_mock_1	TIS	-5	-2	1	1.4766663182554287
ssb1del_ssb2del_mock_1	TIS	-4	-2	2	10.135241570707105
ssb1del_ssb2del_mock_1	TIS	-3	-1	0	21.96005104236912
ssb1del_ssb2del_mock_1	TIS	-2	-1	1	42.41203115865838
ssb1del_ssb2del_mock_1	TIS	-1	-1	2	14.761465178500584
ssb1del_ssb2del_mock_1	TIS	0	0	0	5.220961904937718
ssb1del_ssb2del_mock_1	TIS	1	0	1	4.104473950903289
ssb1del_ssb2del_mock_1	TIS	2	0	2	4.310878028535648
ssb1del_ssb2del_mock_1	TIS	3	1	0	5.140826009109834
ssb1del_ssb2del_mock_1	TIS	4	1	1	5.183492959050627
ssb1del_ssb2del_mock_1	TIS	5	1	2	4.128298136149417
ssb1del_ssb2del_mock_1	TIS	6	2	0	5.91922711615149
ssb1del_ssb2del_mock_1	TIS	7	2	1	3.3654910412688617
ssb1del_ssb2del_mock_1	TIS	8	2	2	3.0889139089115463
ssb1del_ssb2del_mock_1	TIS	9	3	0	8.46061793140658
ssb1del_ssb2del_mock_1	TIS	10	3	1	1.3943645874051698
ssb1del_ssb2del_mock_1	TIS	11	3	2	19.928497791381158
ssb1del_ssb2del_mock_1	TIS	12	4	0	0.6904682051332218
ssb1del_ssb2del_mock_1	TIS	13	4	1	0.8390444876681623
ssb1del_ssb2del_mock_1	TIS	14	4	2	1.5438072039490605
ssb1del_ssb2del_mock_1	TIS	15	5	0	2.8768786602210117
