Sample	Meta	Nucleotide	Codon	Frame	Density
wt_1	TIS	-30	-10	0	0.0
wt_1	TIS	-29	-10	1	0.0
wt_1	TIS	-28	-10	2	0.0
wt_1	TIS	-27	-9	0	0.0
wt_1	TIS	-26	-9	1	0.0
wt_1	TIS	-25	-9	2	0.0
wt_1	TIS	-24	-8	0	0.0
wt_1	TIS	-23	-8	1	0.0
wt_1	TIS	-22	-8	2	0.0
wt_1	TIS	-21	-7	0	0.0
wt_1	TIS	-20	-7	1	0.0
wt_1	TIS	-19	-7	2	0.010074748131296718
wt_1	TIS	-18	-6	0	0.032499187520311994
wt_1	TIS	-17	-6	1	0.025999350016249593
wt_1	TIS	-16	-6	2	0.024049398765030875
wt_1	TIS	-15	-5	0	0.05264868378290543
wt_1	TIS	-14	-5	1	0.036074098147546314
wt_1	TIS	-13	-5	2	0.03737406564835879
wt_1	TIS	-12	-4	0	0.05849853753656158
wt_1	TIS	-11	-4	1	0.08027299317517061
wt_1	TIS	-10	-4	2	0.09652258693532662
wt_1	TIS	-9	-3	0	0.07734806629834254
wt_1	TIS	-8	-3	1	0.07572310692232694
wt_1	TIS	-7	-3	2	0.07117322066948327
wt_1	TIS	-6	-2	0	0.0961975950601235
wt_1	TIS	-5	-2	1	0.16379590510237244
wt_1	TIS	-4	-2	2	0.4403639909002275
wt_1	TIS	-3	-1	0	1.0097497562560935
wt_1	TIS	-2	-1	1	1.4436139096522587
wt_1	TIS	-1	-1	2	2.392915177120572
wt_1	TIS	0	0	0	6.813454663633409
wt_1	TIS	1	0	1	2.504712382190445
wt_1	TIS	2	0	2	0.9987000324991875
wt_1	TIS	3	1	0	3.2135196620084496
wt_1	TIS	4	1	1	1.2479688007799805
wt_1	TIS	5	1	2	0.6464088397790055
wt_1	TIS	6	2	0	2.7543061423464414
wt_1	TIS	7	2	1	1.1228469288267793
wt_1	TIS	8	2	2	0.8134546636334091
wt_1	TIS	9	3	0	2.821254468638284
wt_1	TIS	10	3	1	1.2018199545011374
wt_1	TIS	11	3	2	1.0467988300292492
wt_1	TIS	12	4	0	4.667208319792005
wt_1	TIS	13	4	1	1.9691257718557036
wt_1	TIS	14	4	2	0.8410789730256744
wt_1	TIS	15	5	0	1.0376990575235618
wt_1	TIS	16	5	1	0.6841078973025674
wt_1	TIS	17	5	2	0.68020799480013
wt_1	TIS	18	6	0	3.417614559636009
wt_1	TIS	19	6	1	1.035099122521937
wt_1	TIS	20	6	2	0.850828729281768
wt_1	TIS	21	7	0	2.791030224244394
wt_1	TIS	22	7	1	1.1667208319792006
wt_1	TIS	23	7	2	0.7162820929476763
wt_1	TIS	24	8	0	2.4046148846278843
wt_1	TIS	25	8	1	1.087097822554436
wt_1	TIS	26	8	2	0.6275593110172246
wt_1	TIS	27	9	0	2.030874228144296
wt_1	TIS	28	9	1	0.9379265518362041
