Sample	Meta	Nucleotide	Codon	Frame	Density
elp6d_ribo_YPD1	TIS	-30	-10	0	0.0
elp6d_ribo_YPD1	TIS	-29	-10	1	0.0
elp6d_ribo_YPD1	TIS	-28	-10	2	0.0
elp6d_ribo_YPD1	TIS	-27	-9	0	0.0
elp6d_ribo_YPD1	TIS	-26	-9	1	0.0
elp6d_ribo_YPD1	TIS	-25	-9	2	0.0
elp6d_ribo_YPD1	TIS	-24	-8	0	0.0
elp6d_ribo_YPD1	TIS	-23	-8	1	0.0
elp6d_ribo_YPD1	TIS	-22	-8	2	0.0
elp6d_ribo_YPD1	TIS	-21	-7	0	0.0
elp6d_ribo_YPD1	TIS	-20	-7	1	0.0
elp6d_ribo_YPD1	TIS	-19	-7	2	0.0
elp6d_ribo_YPD1	TIS	-18	-6	0	0.0245495941397743
elp6d_ribo_YPD1	TIS	-17	-6	1	0.06216590774104138
elp6d_ribo_YPD1	TIS	-16	-6	2	0.1253217184715898
elp6d_ribo_YPD1	TIS	-15	-5	0	0.1364086319540685
elp6d_ribo_YPD1	TIS	-14	-5	1	0.13462680657295584
elp6d_ribo_YPD1	TIS	-13	-5	2	0.1568006335379133
elp6d_ribo_YPD1	TIS	-12	-4	0	0.18768560681053256
elp6d_ribo_YPD1	TIS	-11	-4	1	0.20332607404474362
elp6d_ribo_YPD1	TIS	-10	-4	2	0.17937042169867354
elp6d_ribo_YPD1	TIS	-9	-3	0	0.21599683231043357
elp6d_ribo_YPD1	TIS	-8	-3	1	0.2447040190061374
elp6d_ribo_YPD1	TIS	-7	-3	2	0.2272817263908137
elp6d_ribo_YPD1	TIS	-6	-2	0	0.21381904573351812
elp6d_ribo_YPD1	TIS	-5	-2	1	0.23302316372995446
elp6d_ribo_YPD1	TIS	-4	-2	2	0.23718075628588398
elp6d_ribo_YPD1	TIS	-3	-1	0	0.874084339734706
elp6d_ribo_YPD1	TIS	-2	-1	1	8.161354187289646
elp6d_ribo_YPD1	TIS	-1	-1	2	52.03900217778658
elp6d_ribo_YPD1	TIS	0	0	0	112.42902395565234
elp6d_ribo_YPD1	TIS	1	0	1	38.8311225499901
elp6d_ribo_YPD1	TIS	2	0	2	10.062165907741042
elp6d_ribo_YPD1	TIS	3	1	0	16.801227479706988
elp6d_ribo_YPD1	TIS	4	1	1	6.756483864581271
elp6d_ribo_YPD1	TIS	5	1	2	7.1183923975450405
elp6d_ribo_YPD1	TIS	6	2	0	13.684022965749357
elp6d_ribo_YPD1	TIS	7	2	1	6.43100376163136
elp6d_ribo_YPD1	TIS	8	2	2	10.42130271233419
elp6d_ribo_YPD1	TIS	9	3	0	16.18471589784201
elp6d_ribo_YPD1	TIS	10	3	1	5.305484062561869
elp6d_ribo_YPD1	TIS	11	3	2	10.124331815482083
elp6d_ribo_YPD1	TIS	12	4	0	18.371213621065134
elp6d_ribo_YPD1	TIS	13	4	1	13.759255592951892
elp6d_ribo_YPD1	TIS	14	4	2	5.841813502276777
elp6d_ribo_YPD1	TIS	15	5	0	6.827558899227876
elp6d_ribo_YPD1	TIS	16	5	1	4.06196792714314
elp6d_ribo_YPD1	TIS	17	5	2	6.262918234013067
elp6d_ribo_YPD1	TIS	18	6	0	14.24787170857256
elp6d_ribo_YPD1	TIS	19	6	1	4.382894476341319
elp6d_ribo_YPD1	TIS	20	6	2	4.487032270837458
elp6d_ribo_YPD1	TIS	21	7	0	10.965749356563057
elp6d_ribo_YPD1	TIS	22	7	1	5.192635121758068
elp6d_ribo_YPD1	TIS	23	7	2	5.255790932488616
elp6d_ribo_YPD1	TIS	24	8	0	10.02098594337755
elp6d_ribo_YPD1	TIS	25	8	1	4.0207879627796475
elp6d_ribo_YPD1	TIS	26	8	2	4.454365472183726
elp6d_ribo_YPD1	TIS	27	9	0	10.445456345278163
elp6d_ribo_YPD1	TIS	28	9	1	4.0225697881607605
elp6d_ribo_YPD1	TIS	29	9	2	5.312215402890517
elp6d_ribo_YPD1	TIS	30	10	0	10.318748762621263
elp6d_ribo_YPD1	TIS	31	10	1	3.9510987923183527
elp6d_ribo_YPD1	TIS	32	10	2	3.9241734310037617
elp6d_ribo_YPD1	TIS	33	11	0	8.751336369035835
elp6d_ribo_YPD1	TIS	34	11	1	3.4692140170263315
elp6d_ribo_YPD1	TIS	35	11	2	3.8275588992278755
elp6d_ribo_YPD1	TIS	36	12	0	8.27737081765987
