Sample	Meta	Nucleotide	Codon	Frame	Density
wt_2	TIS	-30	-10	0	0.0
wt_2	TIS	-29	-10	1	0.0
wt_2	TIS	-28	-10	2	0.0
wt_2	TIS	-27	-9	0	0.0
wt_2	TIS	-26	-9	1	0.0
wt_2	TIS	-25	-9	2	0.0
wt_2	TIS	-24	-8	0	0.0
wt_2	TIS	-23	-8	1	0.0
wt_2	TIS	-22	-8	2	0.0
wt_2	TIS	-21	-7	0	0.0
wt_2	TIS	-20	-7	1	0.0
wt_2	TIS	-19	-7	2	0.010477657935285054
wt_2	TIS	-18	-6	0	0.03636363636363636
wt_2	TIS	-17	-6	1	0.040061633281972264
wt_2	TIS	-16	-6	2	0.05546995377503852
wt_2	TIS	-15	-5	0	0.13466872110939906
wt_2	TIS	-14	-5	1	0.0884437596302003
wt_2	TIS	-13	-5	2	0.10231124807395994
wt_2	TIS	-12	-4	0	0.11864406779661017
wt_2	TIS	-11	-4	1	0.17503852080123267
wt_2	TIS	-10	-4	2	0.17010785824345145
wt_2	TIS	-9	-3	0	0.14915254237288136
wt_2	TIS	-8	-3	1	0.13805855161787364
wt_2	TIS	-7	-3	2	0.12049306625577812
wt_2	TIS	-6	-2	0	0.11063174114021572
wt_2	TIS	-5	-2	1	0.1436055469953775
wt_2	TIS	-4	-2	2	0.30261941448382124
wt_2	TIS	-3	-1	0	0.8551617873651772
wt_2	TIS	-2	-1	1	1.6600924499229583
wt_2	TIS	-1	-1	2	5.053929121725732
wt_2	TIS	0	0	0	19.13775038520801
wt_2	TIS	1	0	1	7.614791987673343
wt_2	TIS	2	0	2	2.3587057010785824
wt_2	TIS	3	1	0	8.775346687211094
wt_2	TIS	4	1	1	3.022804314329738
wt_2	TIS	5	1	2	1.4382126348228044
wt_2	TIS	6	2	0	7.217873651771957
wt_2	TIS	7	2	1	2.6906009244992295
wt_2	TIS	8	2	2	1.9537750385208013
wt_2	TIS	9	3	0	7.871802773497689
wt_2	TIS	10	3	1	3.00924499229584
wt_2	TIS	11	3	2	2.1359013867488446
wt_2	TIS	12	4	0	12.42095531587057
wt_2	TIS	13	4	1	5.591063174114022
wt_2	TIS	14	4	2	2.5266563944530045
wt_2	TIS	15	5	0	2.1577812018489984
wt_2	TIS	16	5	1	1.4234206471494608
wt_2	TIS	17	5	2	1.486286594761171
wt_2	TIS	18	6	0	8.24869029275809
wt_2	TIS	19	6	1	2.1130970724191065
wt_2	TIS	20	6	2	1.829275808936826
wt_2	TIS	21	7	0	6.9910631741140215
wt_2	TIS	22	7	1	2.648382126348228
wt_2	TIS	23	7	2	1.44653312788906
wt_2	TIS	24	8	0	5.900462249614792
wt_2	TIS	25	8	1	2.730662557781202
wt_2	TIS	26	8	2	1.350693374422188
wt_2	TIS	27	9	0	4.731278890600924
wt_2	TIS	28	9	1	2.163020030816641
wt_2	TIS	29	9	2	1.6033898305084746
wt_2	TIS	30	10	0	6.111864406779661
wt_2	TIS	31	10	1	2.790446841294299
wt_2	TIS	32	10	2	2.042526964560863
wt_2	TIS	33	11	0	6.0280431432973804
wt_2	TIS	34	11	1	2.2582434514637906
wt_2	TIS	35	11	2	1.587673343605547
wt_2	TIS	36	12	0	6.09522342064715
wt_2	TIS	37	12	1	2.4212634822804313
wt_2	TIS	38	12	2	1.5340523882896764
wt_2	TIS	39	13	0	7.468104776579353
wt_2	TIS	40	13	1	2.4674884437596303
wt_2	TIS	41	13	2	1.765793528505393
wt_2	TIS	42	14	0	6.650231124807396
wt_2	TIS	43	14	1	1.813251155624037
wt_2	TIS	44	14	2	1.3180277349768874
wt_2	TIS	45	15	0	6.2819722650231125
wt_2	TIS	46	15	1	2.243451463790447
wt_2	TIS	47	15	2	1.308166409861325
wt_2	TIS	48	16	0	8.91864406779661
wt_2	TIS	49	16	1	3.016949152542373
wt_2	TIS	50	16	2	1.7787365177195686
wt_2	TIS	51	17	0	6.172881355932203
wt_2	TIS	52	17	1	1.7337442218798151
wt_2	TIS	53	17	2	1.2015408320493066
wt_2	TIS	54	18	0	5.271494607087828
wt_2	TIS	55	18	1	2.5956856702619415
wt_2	TIS	56	18	2	1.2120184899845916
wt_2	TIS	57	19	0	6.521417565485362
wt_2	TIS	58	19	1	2.294915254237288
wt_2	TIS	59	19	2	1.385824345146379
wt_2	TIS	60	20	0	6.047765793528505
wt_2	TIS	61	20	1	1.848382126348228
wt_2	TIS	62	20	2	1.3186440677966103
wt_2	TIS	63	21	0	6.463790446841294
wt_2	TIS	64	21	1	2.3371340523882895
wt_2	TIS	65	21	2	1.2952234206471496
wt_2	TIS	66	22	0	4.738366718027735
wt_2	TIS	67	22	1	1.700462249614792
wt_2	TIS	68	22	2	1.7303543913713406
wt_2	TIS	69	23	0	6.612942989214176
wt_2	TIS	70	23	1	1.828351309707242
wt_2	TIS	71	23	2	1.1892141756548535
wt_2	TIS	72	24	0	6.289676425269645
wt_2	TIS	73	24	1	2.7186440677966104
wt_2	TIS	74	24	2	1.9531587057010786
wt_2	TIS	75	25	0	6.747611710323575
wt_2	TIS	76	25	1	2.533436055469954
wt_2	TIS	77	25	2	1.3503852080123266
wt_2	TIS	78	26	0	5.683513097072419
wt_2	TIS	79	26	1	2.545762711864407
wt_2	TIS	80	26	2	3.117411402157165
wt_2	TIS	81	27	0	8.646841294298921
wt_2	TIS	82	27	1	2.069337442218798
wt_2	TIS	83	27	2	1.4077041602465332
wt_2	TIS	84	28	0	5.717103235747303
wt_2	TIS	85	28	1	2.0536209553158704
wt_2	TIS	86	28	2	1.7513097072419106
wt_2	TIS	87	29	0	6.3325115562403695
wt_2	TIS	88	29	1	1.8859784283513097
wt_2	TIS	89	29	2	1.4240369799691834
wt_2	TIS	90	30	0	6.689676425269646
wt_2	TIS	91	30	1	1.9845916795069338
wt_2	TIS	92	30	2	1.156240369799692
wt_2	TIS	93	31	0	5.505701078582434
wt_2	TIS	94	31	1	2.186748844375963
wt_2	TIS	95	31	2	1.300462249614792
wt_2	TIS	96	32	0	5.206779661016949
wt_2	TIS	97	32	1	2.0915254237288137
wt_2	TIS	98	32	2	1.2117103235747304
wt_2	TIS	99	33	0	7.537134052388289
wt_2	TIS	100	33	1	2.377195685670262
wt_2	TIS	101	33	2	1.3719568567026195
wt_2	TIS	102	34	0	4.832665639445301
wt_2	TIS	103	34	1	1.7473035439137135
wt_2	TIS	104	34	2	1.2206471494607087
wt_2	TIS	105	35	0	4.852388289676425
wt_2	TIS	106	35	1	2.0338983050847457
wt_2	TIS	107	35	2	1.2295839753466873
wt_2	TIS	108	36	0	5.340832049306625
wt_2	TIS	109	36	1	1.9408320493066256
wt_2	TIS	110	36	2	1.6033898305084746
wt_2	TIS	111	37	0	6.566409861325115
wt_2	TIS	112	37	1	1.9491525423728813
wt_2	TIS	113	37	2	1.378120184899846
wt_2	TIS	114	38	0	4.751617873651772
wt_2	TIS	115	38	1	1.829275808936826
wt_2	TIS	116	38	2	1.431432973805855
wt_2	TIS	117	39	0	5.317719568567026
wt_2	TIS	118	39	1	1.8733436055469954
wt_2	TIS	119	39	2	1.2040061633281973
wt_2	TIS	120	40	0	5.500462249614792
wt_2	TIS	121	40	1	2.827426810477658
wt_2	TIS	122	40	2	1.8061633281972265
wt_2	TIS	123	41	0	7.317103235747304
wt_2	TIS	124	41	1	3.2
wt_2	TIS	125	41	2	1.40462249614792
wt_2	TIS	126	42	0	5.807395993836672
wt_2	TIS	127	42	1	2.091833590138675
wt_2	TIS	128	42	2	1.2591679506933744
wt_2	TIS	129	43	0	5.236055469953775
wt_2	TIS	130	43	1	1.9448382126348227
wt_2	TIS	131	43	2	1.1414483821263481
wt_2	TIS	132	44	0	4.772881355932204
wt_2	TIS	133	44	1	1.843759630200308
wt_2	TIS	134	44	2	1.2268104776579354
wt_2	TIS	135	45	0	4.7066255778120185
wt_2	TIS	136	45	1	1.9679506933744222
wt_2	TIS	137	45	2	1.0477657935285054
wt_2	TIS	138	46	0	5.151001540832049
wt_2	TIS	139	46	1	1.699537750385208
wt_2	TIS	140	46	2	1.549768875192604
wt_2	TIS	141	47	0	5.381201848998459
wt_2	TIS	142	47	1	2.119568567026194
wt_2	TIS	143	47	2	1.1873651771956857
wt_2	TIS	144	48	0	4.6909090909090905
wt_2	TIS	145	48	1	2.4412942989214175
wt_2	TIS	146	48	2	1.227426810477658
wt_2	TIS	147	49	0	5.19753466872111
wt_2	TIS	148	49	1	2.0887519260400618
wt_2	TIS	149	49	2	1.2718027734976887
wt_2	TIS	150	50	0	4.599383667180278
wt_2	TIS	151	50	1	1.6449922958397534
wt_2	TIS	152	50	2	1.1901386748844376
wt_2	TIS	153	51	0	4.829583975346687
wt_2	TIS	154	51	1	1.877657935285054
wt_2	TIS	155	51	2	1.282588597842835
wt_2	TIS	156	52	0	5.561171032357473
wt_2	TIS	157	52	1	1.758397534668721
wt_2	TIS	158	52	2	1.3885978428351309
wt_2	TIS	159	53	0	5.671494607087827
wt_2	TIS	160	53	1	2.1285053929121727
wt_2	TIS	161	53	2	1.5617873651771956
wt_2	TIS	162	54	0	7.44191063174114
wt_2	TIS	163	54	1	2.106009244992296
wt_2	TIS	164	54	2	1.439753466872111
wt_2	TIS	165	55	0	4.6745762711864405
wt_2	TIS	166	55	1	2.038828967642527
wt_2	TIS	167	55	2	1.1140215716486903
wt_2	TIS	168	56	0	6.044684129429892
wt_2	TIS	169	56	1	2.1235747303543913
wt_2	TIS	170	56	2	1.4520801232665639
wt_2	TIS	171	57	0	6.5053929121725735
wt_2	TIS	172	57	1	1.6070878274268106
wt_2	TIS	173	57	2	1.166718027734977
wt_2	TIS	174	58	0	4.79075500770416
wt_2	TIS	175	58	1	1.776271186440678
wt_2	TIS	176	58	2	1.1010785824345146
wt_2	TIS	177	59	0	4.652696456086287
wt_2	TIS	178	59	1	2.469029275808937
wt_2	TIS	179	59	2	2.346687211093991
wt_2	TIS	180	60	0	6.2841294298921415
wt_2	TIS	181	60	1	1.6761171032357474
wt_2	TIS	182	60	2	1.27211093990755
wt_2	TIS	183	61	0	5.104468412942989
wt_2	TIS	184	61	1	1.9312788906009244
wt_2	TIS	185	61	2	1.1596302003081664
wt_2	TIS	186	62	0	3.8764252696456087
wt_2	TIS	187	62	1	1.4576271186440677
wt_2	TIS	188	62	2	1.8271186440677967
wt_2	TIS	189	63	0	6.861325115562404
wt_2	TIS	190	63	1	2.3519260400616333
wt_2	TIS	191	63	2	1.7343605546995378
wt_2	TIS	192	64	0	5.306625577812018
wt_2	TIS	193	64	1	1.8462249614791988
wt_2	TIS	194	64	2	1.7596302003081663
wt_2	TIS	195	65	0	6.264406779661017
wt_2	TIS	196	65	1	1.747919876733436
wt_2	TIS	197	65	2	1.2394453004622497
wt_2	TIS	198	66	0	5.5685670261941445
wt_2	TIS	199	66	1	1.8690292758089369
wt_2	TIS	200	66	2	1.3146379044684129
wt_2	TIS	201	67	0	5.827118644067797
wt_2	TIS	202	67	1	2.5368258859784283
wt_2	TIS	203	67	2	1.1624036979969183
wt_2	TIS	204	68	0	4.073959938366718
wt_2	TIS	205	68	1	1.4637904468412943
wt_2	TIS	206	68	2	1.376271186440678
wt_2	TIS	207	69	0	5.435130970724191
wt_2	TIS	208	69	1	1.750693374422188
wt_2	TIS	209	69	2	1.2064714946070878
wt_2	TIS	210	70	0	7.418489984591679
wt_2	TIS	211	70	1	4.109090909090909
wt_2	TIS	212	70	2	1.2557781201848999
wt_2	TIS	213	71	0	5.074884437596302
wt_2	TIS	214	71	1	1.9969183359013867
wt_2	TIS	215	71	2	1.7294298921417566
wt_2	TIS	216	72	0	6.449614791987673
wt_2	TIS	217	72	1	2.046224961479199
wt_2	TIS	218	72	2	1.1633281972265024
wt_2	TIS	219	73	0	5.28597842835131
wt_2	TIS	220	73	1	1.7078582434514638
wt_2	TIS	221	73	2	1.263482280431433
wt_2	TIS	222	74	0	6.125423728813559
wt_2	TIS	223	74	1	2.733744221879815
wt_2	TIS	224	74	2	1.683513097072419
wt_2	TIS	225	75	0	6.040677966101695
wt_2	TIS	226	75	1	1.6157164869029277
wt_2	TIS	227	75	2	1.3987673343605547
wt_2	TIS	228	76	0	6.327272727272727
wt_2	TIS	229	76	1	2.555315870570108
wt_2	TIS	230	76	2	1.1371340523882896
wt_2	TIS	231	77	0	4.934976887519261
wt_2	TIS	232	77	1	1.490909090909091
wt_2	TIS	233	77	2	1.140215716486903
wt_2	TIS	234	78	0	5.5543913713405235
wt_2	TIS	235	78	1	1.8563944530046226
wt_2	TIS	236	78	2	1.4092449922958397
wt_2	TIS	237	79	0	5.135593220338983
wt_2	TIS	238	79	1	1.6973805855161788
wt_2	TIS	239	79	2	0.9602465331278891
wt_2	TIS	240	80	0	4.577503852080123
wt_2	TIS	241	80	1	2.306317411402157
wt_2	TIS	242	80	2	1.575346687211094
wt_2	TIS	243	81	0	5.217565485362096
wt_2	TIS	244	81	1	1.9334360554699537
wt_2	TIS	245	81	2	1.1448382126348229
wt_2	TIS	246	82	0	4.698305084745763
wt_2	TIS	247	82	1	2.2412942989214177
wt_2	TIS	248	82	2	1.111864406779661
wt_2	TIS	249	83	0	4.402465331278891
wt_2	TIS	250	83	1	1.5217257318952233
wt_2	TIS	251	83	2	1.726040061633282
wt_2	TIS	252	84	0	6.412634822804314
