	0	1	2	3	4	5	6	7	8	mean
NM_001180850.3	0	0	0	0	0	0	0	0	0	0.0
NM_001180853.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184302.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180855.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178891.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178890.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395040.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182595.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178219.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178930.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348851.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179824.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348807.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348812.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180041.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184585.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180054.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180053.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180052.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184458.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178206.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184642.1	0	0	0	0	0	0	0	0	0	0.0
Q0255	0	0	0	0	0	0	0	0	0	0.0
Q0160	0	0	0	0	0	0	0	0	0	0.0
NM_001182049.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348854.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184300.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184628.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184583.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178235.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178236.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184650.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179126.1	0	0	0	0	0	0	0	0	0	0.0
NM_001416099.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184403.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184404.2	0	0	0	0	0	0	0	0	0	0.0
NM_001183674.3	0	0	0	0	0	0	0	0	0	0.0
NM_001178806.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178807.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179805.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184582.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179563.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181656.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184617.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181425.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179130.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179129.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178838.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178836.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348821.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348822.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181646.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184218.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184615.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348823.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184614.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184342.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178885.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395033.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184456.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348867.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178850.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348898.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179636.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178667.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178665.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184314.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184462.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178814.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184543.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270751.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182404.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184603.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184571.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180306.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180305.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183605.3	0	0	0	0	0	0	0	0	0	0.0
NM_001183847.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184664.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184589.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179070.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348828.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184633.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179410.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179407.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179079.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179080.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184590.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179899.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179900.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179901.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179902.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179903.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179905.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179906.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179907.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180710.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183835.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184476.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270750.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182350.3	0	0	0	0	0	0	0	0	0	0.0
NM_001183107.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179909.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179916.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184549.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179450.1	0	0	0	0	0	0	0	0	0	0.0
NM_001346796.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348885.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183048.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179894.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181365.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184625.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180246.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348880.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184577.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178764.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184426.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348881.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184450.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178666.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184651.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179144.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179616.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179603.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395731.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182354.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182355.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184424.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178411.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348815.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184574.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182349.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348843.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348853.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181825.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183487.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348878.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184526.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180307.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182352.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179183.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348882.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184678.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184305.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184482.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395037.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348850.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184604.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181887.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184605.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184465.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395031.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179185.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395032.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181126.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181125.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184473.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181115.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181101.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184610.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182303.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184601.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184569.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184420.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181684.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181686.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184555.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180022.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181128.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181127.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180862.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184430.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184472.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184670.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181070.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182266.3	0	0	0	0	0	0	0	0	0	0.0
NM_001395038.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348861.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184425.2	0	0	0	0	0	0	0	0	0	0.0
NM_001183870.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181462.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181461.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348847.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395035.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348832.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180024.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180526.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184639.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184662.3	0	0	0	0	0	0	0	0	0	0.0
NM_001431143.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184598.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179344.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184599.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184600.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348877.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184602.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179349.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179350.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179521.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179513.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348890.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348834.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178650.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184624.1	0	0	0	0	0	0	0	0	0	0.0
