transcripts	gene_name	wt_1	wt_2	wt_ssb1_flag_1	wt_ssb1_flag_2	wt_1_rpm	wt_2_rpm	wt_ssb1_flag_1_rpm	wt_ssb1_flag_2_rpm	min_corr_ck	min_corr_ip	comments	peak_num	peak_length	gaps	collision_start	peak_start	peak_end	collision_end	max_site	max_fold	mean_fold	ck_peak_rpm	ip_peak_rpm	P_Value	BHFDR	Peak_loci
YHL050C-t26_1	YHL050C	7	11	0	2	0.6409	0.4268	0.0	0.0759	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL049C-t26_1	YHL049C	0	0	0	0	0.0	0.0	0.0	0.0	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL048C-A-t26_1	YHL048C-A	0	0	0	0	0.0	0.0	0.0	0.0	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL048W-t26_1	YHL048W	203	452	51	46	18.5857	17.5378	3.3803	1.7468	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL047C-t26_1	YHL047C	443	1242	181	393	40.5589	48.1901	11.9969	14.9233	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL046C-t26_1	YHL046C	0	0	0	1	0.0	0.0	0.0	0.038	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL044W-t26_1	YHL044W	9	41	21	41	0.824	1.5908	1.3919	1.5569	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL043W-t26_1	YHL043W	0	1	0	1	0.0	0.0388	0.0	0.038	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL042W-t26_1	YHL042W	4	10	5	10	0.3662	0.388	0.3314	0.3797	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL040C-t26_1	YHL040C	392	844	189	362	35.8896	32.7475	12.5271	13.7462	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL039W-t26_1	YHL039W	549	1418	982	1710	50.2638	55.019	65.0881	64.9336	0.4502	0.6976	Qualified	1	20	0	120	129	148	157	143	4.7895	2.994	2.345720618854245	6.451309441238531	6.846826120406322e-05	-	cds
YHL039W-t26_1	YHL039W	549	1418	982	1710	50.2638	55.019	65.0881	64.9336	0.4502	0.6976	Qualified	2	14	0	182	183	196	198	192	4.233	3.3809	1.1189139314842194	5.124657973610868	9.55011153111212e-05	-	cds
YHL039W-t26_1	YHL039W	549	1418	982	1710	50.2638	55.019	65.0881	64.9336	0.4502	0.6976	Qualified	3	10	0	216	218	227	236	222	3.6517	2.8595	1.0094898791532871	3.2701906372797946	0.0010404662618005594	-	cds
YHL039W-t26_1	YHL039W	549	1418	982	1710	50.2638	55.019	65.0881	64.9336	0.4502	0.6976	Qualified	4	20	0	446	449	468	471	464	7.9263	4.5899	1.5123638644367479	8.769402291448026	6.5940005884050434e-06	-	cds
YHL038C-t26_1	YHL038C	107	301	216	432	9.7964	11.6789	14.3167	16.4043	0.1833	0.2431	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL036W-t26_1	YHL036W	27	66	33	43	2.472	2.5608	2.1873	1.6328	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL035C-t26_1	YHL035C	202	430	137	474	18.4941	16.6842	9.0805	17.9991	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL034C-t26_1	YHL034C	3243	8357	2798	5570	296.9133	324.255	185.4547	211.5089	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL033C-t26_1	YHL033C	17504	39974	36428	57579	1602.5813	1551.0074	2414.4905	2186.4395	0.8554	0.9506	Qualified	1	53	0	79	88	140	149	117	17.782	5.3787	219.93493692705644	848.2832268427287	1.682458814185984e-10	-	cds
YHL033C-t26_1	YHL033C	17504	39974	36428	57579	1602.5813	1551.0074	2414.4905	2186.4395	0.8554	0.9506	Qualified	2	35	0	164	166	200	206	189	7.1618	3.8774	146.16370026651293	349.98668209118495	1.4144402489377015e-07	-	cds
YHL033C-t26_1	YHL033C	17504	39974	36428	57579	1602.5813	1551.0074	2414.4905	2186.4395	0.8554	0.9506	Qualified	3	20	0	216	225	244	249	228	4.081	2.9133	106.74558410554624	220.52723215623203	0.000260489673530255	-	cds
YHL032C-t26_1	YHL032C	90	150	118	212	8.24	5.8201	7.8212	8.0502	0.1364	0.1367	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL031C-t26_1	YHL031C	274	586	341	542	25.0861	22.737	22.6019	20.5813	0.556	0.6653	Qualified	1	15	0	51	54	68	71	64	2.9048	2.4747	0.7263159792807007	3.535658003935329	5.3782622448908376e-05	-	cds
YHL031C-t26_1	YHL031C	274	586	341	542	25.0861	22.737	22.6019	20.5813	0.556	0.6653	Qualified	2	16	0	121	124	139	142	135	3.8497	2.8205	1.2810927231609874	3.417249815393129	0.0013516645453240572	-	cds
YHL031C-t26_1	YHL031C	274	586	341	542	25.0861	22.737	22.6019	20.5813	0.556	0.6653	Qualified	3	6	0	204	207	212	221	210	2.8967	2.4622	0.4422900986591041	1.0808558987278931	0.1203482617837136	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	1	15	0	111	115	129	130	125	4.976	3.5584	1.3198931294478018	5.244779576278097	1.2781710916606559e-05	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	2	24	0	136	137	160	160	145	12.5969	6.2041	1.4820719211245696	9.888916420037436	4.508788444291754e-05	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	3	7	0	226	228	234	243	230	4.0013	3.0421	1.1095534877605733	1.4692210498333136	0.6533870415941616	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	4	5	0	428	434	438	443	434	2.2552	2.1619	0.4826218013910436	0.9959309784895134	0.022284369138447453	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	5	11	0	657	659	669	672	664	5.0737	3.6164	0.8985345303772299	3.7079066241871286	8.892648827187399e-05	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	6	6	0	715	717	722	723	719	3.3167	2.7533	0.5268680777622435	1.4933824434967617	0.03083303550255517	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	7	14	0	826	835	848	854	839	3.6179	2.9182	0.8651799941748012	3.5608474460737947	8.269501760642826e-06	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	8	10	0	902	909	918	921	912	2.8718	2.4642	0.5835373907473398	2.1720617205711767	0.0009539704956028026	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	9	15	0	1181	1183	1197	1199	1193	3.5447	2.7007	1.188006281083212	3.9975353845061123	0.00028539412778848456	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	10	11	0	1259	1265	1275	1284	1272	2.986	2.663	0.35618082311083965	2.234195978446131	0.004241618670812108	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	11	13	0	1293	1296	1308	1311	1305	2.444	2.2044	1.1701373743849302	2.883196217474397	0.00011403655467925534	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	12	16	0	1347	1351	1366	1367	1354	4.2491	3.226	2.3845210251410602	6.185121989750374	0.0006822075825426271	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	13	9	0	1458	1467	1475	1478	1467	2.4037	2.2374	0.3313347498830468	1.3187003242873128	0.017533105965853592	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	14	9	0	1498	1507	1515	1524	1511	2.9651	2.3934	0.6099147604202578	1.778521607908061	0.07187560438952065	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	15	17	0	1578	1580	1596	1605	1591	3.9294	2.9084	1.5263181974957696	4.210190367927066	0.0005098828925917658	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	16	8	0	1593	1602	1609	1615	1606	4.0976	3.2104	0.396512525842779	1.6925686391946646	0.005143443600611334	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	17	15	0	1682	1689	1703	1711	1693	3.3018	2.4101	0.6308462600087901	2.2052023060499932	0.0016754768895471735	-	cds
YHL030W-t26_1	YHL030W	1697	4400	2618	6372	155.3691	170.7218	173.5241	241.9631	0.4331	0.5388	Qualified	18	11	0	1749	1751	1761	1769	1754	3.8271	2.9361	0.9427808067484296	2.935665917883971	0.0038939446748786355	-	cds
YHL029C-t26_1	YHL029C	200	534	251	462	18.311	20.7194	16.6366	17.5435	0.2081	0.2397	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL028W-t26_1	YHL028W	33	71	44	51	3.0213	2.7548	2.9164	1.9366	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	1	14	0	129	131	144	153	134	3.4494	2.5988	0.9994501197335262	3.2190916681702424	0.0003492022468349081	-	cds
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	2	5	0	177	186	190	196	188	2.5124	2.2023	0.14277858853336087	0.7391001208243407	0.039359134244778195	-	cds
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	3	7	0	376	381	387	396	384	2.2224	2.1135	0.12337838538995372	0.5785721549879551	0.0496428762043653	-	cds
