Sample	Meta	Nucleotide	Codon	Frame	Density
SRR1944914	TIS	-30	-10	0	0.0
SRR1944914	TIS	-29	-10	1	0.0
SRR1944914	TIS	-28	-10	2	0.0
SRR1944914	TIS	-27	-9	0	0.0
SRR1944914	TIS	-26	-9	1	0.0
SRR1944914	TIS	-25	-9	2	0.0
SRR1944914	TIS	-24	-8	0	0.0
SRR1944914	TIS	-23	-8	1	0.0008221993833504625
SRR1944914	TIS	-22	-8	2	0.003083247687564234
SRR1944914	TIS	-21	-7	0	0.009249743062692703
SRR1944914	TIS	-20	-7	1	0.0067831449126413155
SRR1944914	TIS	-19	-7	2	0.009044193216855087
SRR1944914	TIS	-18	-6	0	0.05344295991778006
SRR1944914	TIS	-17	-6	1	0.09763617677286741
SRR1944914	TIS	-16	-6	2	0.14162384378211718
SRR1944914	TIS	-15	-5	0	0.1907502569373073
SRR1944914	TIS	-14	-5	1	0.17574511819116137
SRR1944914	TIS	-13	-5	2	0.18746145940390543
SRR1944914	TIS	-12	-4	0	0.20431654676258992
SRR1944914	TIS	-11	-4	1	0.24152106885919836
SRR1944914	TIS	-10	-4	2	0.18437821171634122
SRR1944914	TIS	-9	-3	0	0.1773895169578623
SRR1944914	TIS	-8	-3	1	0.2261048304213772
SRR1944914	TIS	-7	-3	2	0.18705035971223022
SRR1944914	TIS	-6	-2	0	0.22178828365878725
SRR1944914	TIS	-5	-2	1	0.39116135662898255
SRR1944914	TIS	-4	-2	2	0.7079136690647482
SRR1944914	TIS	-3	-1	0	1.334224049331963
SRR1944914	TIS	-2	-1	1	6.15950668036999
SRR1944914	TIS	-1	-1	2	39.91181911613566
SRR1944914	TIS	0	0	0	72.36156217882836
SRR1944914	TIS	1	0	1	21.60596094552929
SRR1944914	TIS	2	0	2	8.412127440904419
SRR1944914	TIS	3	1	0	13.327440904419321
SRR1944914	TIS	4	1	1	4.816238437821172
SRR1944914	TIS	5	1	2	7.1044193216855085
SRR1944914	TIS	6	2	0	12.579650565262076
SRR1944914	TIS	7	2	1	5.319013360739979
SRR1944914	TIS	8	2	2	9.984789311408017
SRR1944914	TIS	9	3	0	13.691675231243577
SRR1944914	TIS	10	3	1	4.633504624871532
SRR1944914	TIS	11	3	2	8.60267214799589
SRR1944914	TIS	12	4	0	18.201849948612537
SRR1944914	TIS	13	4	1	11.203699897225077
