	0	1	2	3	4	5	6	7	8	mean
YJR028W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR545W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL076C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL076C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL075C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR151W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL224C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL022C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL007C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR012C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR013W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR026W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR542W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR029W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNR075C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNR077C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR098C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR174W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR412C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR358C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR218W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR219W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL068C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL067W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR212W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR008C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR307C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR068C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR264C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIL105W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL052C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIL102C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR227W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGL261C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGL260W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER014C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGL192W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR213W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR273C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR296W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL019W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL200W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL006W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL187W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL196C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL021W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR524W-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR079C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL064C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAL018C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR316W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL049C-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0275-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL046C-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0255-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0250-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0085-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0160-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0140-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL066W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YKL096C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER190C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL068W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL067W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL066C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL064C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL062W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL061W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL009W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0055-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0060-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML054C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL021W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL164W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR169C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR194W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR467W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL121C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR161C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR261C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL067C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL166W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR316W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR308W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR027W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR035W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR010C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR035C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR064W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBL108C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBL100W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML040W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR365W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL067W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR156C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL002W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR126C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR214C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR041W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR200W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR020C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR154W-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR154C-G-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR155C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL002W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR158C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR160C-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0080-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR315W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER138C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL020W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL018W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR255W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL114W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR394C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR053C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR296C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR221W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR272W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157W-D-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL136W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER137C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR242W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL069W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR247W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCL073C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL012W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL010W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR302C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL159W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR173C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER160C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL339C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR142W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YCR108C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL247W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBR298C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR268C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL246C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR323W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR322C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR321C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL245C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFR057W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGL262W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL257W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL257W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YIR018C-A-t26_1	0	0	0	0	0	0	0	1	0	0.1111111111111111
YNL130C-A-t26_1	0	0	0	0	0	0	0	0	1	0.1111111111111111
YPR159C-A-t26_1	0	0	0	0	0	0	1	0	0	0.1111111111111111
YGR204C-A-t26_1	0	0	0	0	0	0	1	0	0	0.1111111111111111
YHL009W-B-t26_1	0	0	0	0	0	1	0	0	0	0.1111111111111111
YMR105W-A-t26_1	0	1	0	1	0	0	0	0	0	0.2222222222222222
YOL155W-A-t26_1	1	0	1	0	0	0	0	0	0	0.2222222222222222
YFL058W-t26_1	0	0	0	0	0	1	0	1	0	0.2222222222222222
YHL048C-A-t26_1	0	0	0	1	0	0	0	1	0	0.2222222222222222
YOR394W-t26_1	0	1	0	0	0	0	1	0	0	0.2222222222222222
YHR213W-A-t26_1	0	0	0	0	1	0	0	0	1	0.2222222222222222
YCR050C-t26_1	0	0	0	0	0	0	1	1	0	0.2222222222222222
YIL054W-t26_1	0	1	0	0	0	0	0	1	0	0.2222222222222222
YHL043W-t26_1	0	0	0	0	0	1	0	0	1	0.2222222222222222
YNL210W-t26_1	0	0	0	0	0	1	1	0	0	0.2222222222222222
YOL131W-t26_1	1	0	1	0	0	0	0	0	0	0.2222222222222222
YPL282C-t26_1	0	1	0	0	0	0	1	0	0	0.2222222222222222
Q0130-t26_1	0	0	0	0	0	1	0	0	1	0.2222222222222222
YGR109W-A-t26_1	0	0	1	0	0	1	1	0	0	0.3333333333333333
YFL040W-t26_1	0	0	0	1	0	1	1	0	0	0.3333333333333333
YAL064C-A-t26_1	0	0	1	1	0	0	1	0	0	0.3333333333333333
YKL070W-t26_1	0	0	0	0	0	1	1	1	0	0.3333333333333333
YCL001W-B-t26_1	0	0	0	1	1	0	0	0	1	0.3333333333333333
YLR303W-t26_1	0	0	0	1	0	0	0	1	1	0.3333333333333333
YDR522C-t26_1	0	1	1	0	0	0	0	1	0	0.3333333333333333
YLR157W-E-t26_1	0	0	0	1	0	0	1	1	0	0.3333333333333333
YPR137C-A-t26_1	0	0	0	0	0	1	0	1	1	0.3333333333333333
YEL035C-t26_1	0	0	0	0	1	1	0	1	0	0.3333333333333333
YFL065C-t26_1	0	0	0	0	1	1	0	0	1	0.3333333333333333
YIL160C-t26_1	0	0	0	1	0	0	0	1	1	0.3333333333333333
YNL269W-t26_1	0	0	1	0	1	1	0	0	0	0.3333333333333333
YIL176C-t26_1	0	0	0	1	1	0	1	0	0	0.3333333333333333
YOR161C-C-t26_1	0	0	1	0	1	0	1	0	0	0.3333333333333333
YEL069C-t26_1	0	0	0	1	0	0	1	1	0	0.3333333333333333
YMR316C-A-t26_1	0	0	1	1	0	0	0	0	1	0.3333333333333333
YPL033C-t26_1	0	0	0	0	0	1	0	1	1	0.3333333333333333
YJL223C-t26_1	0	0	0	1	1	0	1	0	0	0.3333333333333333
YOR293C-A-t26_1	0	1	1	0	0	0	0	1	0	0.3333333333333333
YAL037C-A-t26_1	0	0	0	0	0	1	0	1	1	0.3333333333333333
YCL066W-t26_1	0	1	1	0	1	0	0	0	1	0.4444444444444444
Q0115-t26_1	0	0	0	1	0	0	2	1	0	0.4444444444444444
YHR053C-t26_1	0	0	0	0	0	1	1	1	1	0.4444444444444444
YHR022C-A-t26_1	0	0	0	1	1	1	0	0	1	0.4444444444444444
YOR351C-t26_1	0	0	1	1	0	0	0	0	2	0.4444444444444444
YFL060C-t26_1	0	1	0	1	0	0	1	0	1	0.4444444444444444
Q0105-t26_1	0	0	0	1	0	0	2	1	0	0.4444444444444444
YHR055C-t26_1	0	0	0	0	0	1	1	1	1	0.4444444444444444
Q0110-t26_1	0	0	0	1	0	0	2	1	0	0.4444444444444444
YJL028W-t26_1	0	0	1	0	1	0	1	0	1	0.4444444444444444
YIL057C-t26_1	0	0	0	1	0	1	1	0	1	0.4444444444444444
YCR040W-t26_1	0	1	1	0	1	0	0	0	1	0.4444444444444444
YPL027W-t26_1	0	0	0	1	0	0	0	1	2	0.4444444444444444
YGL015C-t26_1	0	1	0	0	0	1	0	1	1	0.4444444444444444
YNL318C-t26_1	0	0	1	1	0	1	0	0	1	0.4444444444444444
YGL089C-t26_1	0	0	1	1	1	0	0	1	0	0.4444444444444444
Q0065-t26_1	0	0	0	0	0	1	1	2	0	0.4444444444444444
YLR445W-t26_1	1	0	1	0	0	0	0	1	1	0.4444444444444444
YER078W-A-t26_1	0	1	0	0	1	0	0	0	2	0.4444444444444444
YBL049W-t26_1	0	0	0	0	1	1	1	1	1	0.5555555555555556
YDR536W-t26_1	2	0	0	0	1	1	1	0	0	0.5555555555555556
YFL053W-t26_1	0	0	0	0	1	1	1	1	1	0.5555555555555556
YDR114C-t26_1	0	0	1	0	0	2	0	1	1	0.5555555555555556
YER175W-A-t26_1	0	0	0	0	2	0	1	0	2	0.5555555555555556
YKR034W-t26_1	1	0	1	0	0	1	0	1	1	0.5555555555555556
YNL277W-A-t26_1	0	0	0	0	0	0	1	3	1	0.5555555555555556
YIL060W-t26_1	0	0	1	1	1	0	0	1	1	0.5555555555555556
YGL138C-t26_1	0	0	0	0	2	0	0	1	2	0.5555555555555556
YOR072W-B-t26_1	0	0	0	0	1	1	1	1	1	0.5555555555555556
YDL114W-t26_1	0	0	0	0	0	1	1	1	2	0.5555555555555556
YBL100W-C-t26_1	0	1	0	1	1	1	1	1	0	0.6666666666666666
YOR011W-A-t26_1	1	0	1	1	0	1	1	1	0	0.6666666666666666
YMR206W-t26_1	0	0	1	0	0	1	1	2	1	0.6666666666666666
YGL259W-t26_1	1	0	0	1	1	1	0	1	1	0.6666666666666666
YMR325W-t26_1	0	0	0	2	2	1	0	1	0	0.6666666666666666
YER188C-A-t26_1	0	0	0	0	0	1	3	1	1	0.6666666666666666
YFR035C-t26_1	0	0	0	1	2	0	1	1	1	0.6666666666666666
YCL048W-A-t26_1	1	0	0	1	0	1	0	2	1	0.6666666666666666
YGL007C-A-t26_1	0	0	0	0	1	1	1	2	1	0.6666666666666666
YBR182C-A-t26_1	0	0	1	0	0	2	0	2	1	0.6666666666666666
YER085C-t26_1	0	0	1	0	1	0	2	1	1	0.6666666666666666
YFR012W-A-t26_1	0	0	0	0	1	1	0	1	3	0.6666666666666666
YKL106C-A-t26_1	1	0	1	1	0	0	1	1	1	0.6666666666666666
YCR045C-t26_1	0	0	1	0	0	2	0	2	1	0.6666666666666666
YHR214C-E-t26_1	0	1	1	0	0	1	0	1	2	0.6666666666666666
YMR095C-t26_1	0	1	0	1	0	1	1	1	1	0.6666666666666666
YLR461W-t26_1	0	0	0	1	0	1	2	1	2	0.7777777777777778
YKR105C-t26_1	0	1	0	0	1	1	1	2	1	0.7777777777777778
YJR005C-A-t26_1	0	0	0	1	1	1	1	1	2	0.7777777777777778
YGL235W-t26_1	1	0	0	1	2	0	2	0	1	0.7777777777777778
YML047C-t26_1	0	0	0	1	1	1	1	1	2	0.7777777777777778
YML039W-t26_1	0	0	1	2	0	0	0	2	2	0.7777777777777778
YDR446W-t26_1	0	0	1	1	1	0	1	1	2	0.7777777777777778
YGR031C-A-t26_1	0	0	1	1	0	1	0	2	2	0.7777777777777778
YHR086W-A-t26_1	1	0	1	0	1	1	0	1	2	0.7777777777777778
YOR186W-t26_1	0	1	0	0	1	1	2	0	3	0.8888888888888888
YDL009C-t26_1	0	0	0	0	0	2	2	1	3	0.8888888888888888
YGR236C-t26_1	0	1	0	2	0	2	1	1	1	0.8888888888888888
YDR218C-t26_1	0	1	0	0	1	1	2	0	3	0.8888888888888888
YEL049W-t26_1	0	0	0	1	1	1	3	1	1	0.8888888888888888
YNL194C-t26_1	0	1	0	0	1	1	2	2	1	0.8888888888888888
YDL186W-t26_1	1	0	1	0	0	1	1	2	2	0.8888888888888888
YKL183C-A-t26_1	1	0	0	1	1	2	2	0	1	0.8888888888888888
YHL015W-A-t26_1	0	1	0	1	1	2	0	1	2	0.8888888888888888
YNL093W-t26_1	0	1	0	1	1	1	2	1	1	0.8888888888888888
YBR196C-A-t26_1	0	0	0	1	1	1	2	0	3	0.8888888888888888
YLR162W-t26_1	0	0	0	0	2	0	2	0	4	0.8888888888888888
YJR095W-t26_1	0	0	0	0	2	2	0	1	4	1.0
YDR210W-A-t26_1	0	1	1	1	2	1	1	1	1	1.0
YLL005C-t26_1	0	1	0	0	0	2	1	3	2	1.0
Q0075-t26_1	0	2	0	1	1	2	0	2	1	1.0
YPL165C-t26_1	0	1	1	1	0	2	1	1	2	1.0
YPL130W-t26_1	0	1	1	1	0	2	0	3	1	1.0
YJR158W-t26_1	0	1	0	0	2	1	2	1	2	1.0
YMR175W-t26_1	1	0	0	0	1	1	2	2	2	1.0
YOR032C-t26_1	0	0	0	0	0	2	2	2	3	1.0
YMR118C-t26_1	1	0	1	0	0	1	2	2	2	1.0
YDR034C-A-t26_1	1	0	2	1	1	1	1	1	1	1.0
YHR185C-t26_1	0	2	1	1	2	1	0	2	0	1.0
YGL041C-B-t26_1	1	1	0	1	0	2	1	1	2	1.0
YOR381W-A-t26_1	0	1	1	1	1	0	1	2	2	1.0
YBL112C-t26_1	0	0	1	0	2	1	2	1	2	1.0
YJL219W-t26_1	0	1	0	1	1	2	1	1	2	1.0
YFL051C-t26_1	1	0	1	1	1	1	1	2	2	1.1111111111111112
Q0120-t26_1	1	0	0	3	0	1	2	2	1	1.1111111111111112
YGL006W-A-t26_1	0	0	2	0	1	1	2	2	2	1.1111111111111112
YDR182W-A-t26_1	0	0	0	1	1	0	0	4	4	1.1111111111111112
YML083C-t26_1	0	1	0	1	1	1	1	3	2	1.1111111111111112
YMR133W-t26_1	0	0	0	1	2	1	1	2	3	1.1111111111111112
YER190W-t26_1	0	0	1	2	3	2	0	0	2	1.1111111111111112
YER084W-t26_1	0	0	2	1	1	0	2	1	3	1.1111111111111112
YOR178C-t26_1	1	0	0	0	2	2	2	1	2	1.1111111111111112
YDR119W-A-t26_1	0	0	2	2	1	0	1	2	3	1.2222222222222223
YEL070W-t26_1	0	0	0	2	1	3	3	0	2	1.2222222222222223
YGR240C-A-t26_1	0	0	1	1	1	1	3	2	2	1.2222222222222223
Q0050-t26_1	1	0	0	1	0	2	3	0	4	1.2222222222222223
YPR078C-t26_1	0	1	1	1	3	2	1	0	2	1.2222222222222223
YPL280W-t26_1	2	0	0	0	1	2	2	2	2	1.2222222222222223
YLR406C-A-t26_1	0	1	0	1	1	2	1	3	2	1.2222222222222223
YHR160C-t26_1	0	0	1	0	3	2	3	1	2	1.3333333333333333
YGL170C-t26_1	1	1	0	0	2	2	4	1	1	1.3333333333333333
YBR012W-A-t26_1	0	1	1	2	4	0	2	2	0	1.3333333333333333
YPL152W-A-t26_1	0	0	1	0	0	2	2	3	4	1.3333333333333333
YGL183C-t26_1	1	0	0	3	1	2	1	3	2	1.4444444444444444
YPL192C-t26_1	0	2	2	0	2	1	3	1	2	1.4444444444444444
YGR066C-t26_1	0	0	1	1	0	3	2	3	3	1.4444444444444444
YML100W-A-t26_1	1	0	1	2	1	0	2	2	4	1.4444444444444444
YCL001W-A-t26_1	2	0	2	2	2	1	3	0	1	1.4444444444444444
YNL042W-B-t26_1	0	0	1	1	1	2	1	4	3	1.4444444444444444
YIL134C-A-t26_1	0	1	1	1	2	1	1	3	3	1.4444444444444444
YNL335W-t26_1	1	1	0	1	2	2	2	3	1	1.4444444444444444
YDR034W-B-t26_1	0	0	1	0	2	2	4	1	3	1.4444444444444444
YOL161C-t26_1	1	0	0	1	2	2	1	4	3	1.5555555555555556
YOR391C-t26_1	2	0	1	1	1	2	2	2	3	1.5555555555555556
YBR285W-t26_1	0	0	1	2	0	1	4	2	4	1.5555555555555556
YER189W-t26_1	1	0	2	2	3	2	1	1	2	1.5555555555555556
YMR107W-t26_1	1	0	1	1	2	2	2	3	2	1.5555555555555556
YOR134W-t26_1	0	0	0	3	2	1	3	1	4	1.5555555555555556
YJR079W-t26_1	0	0	1	1	3	1	1	2	5	1.5555555555555556
YCL048W-t26_1	0	0	2	2	2	3	1	2	2	1.5555555555555556
YLR159W-t26_1	2	2	1	3	1	0	1	2	2	1.5555555555555556
YLR156W-t26_1	2	2	1	3	1	0	1	2	2	1.5555555555555556
YLR161W-t26_1	2	2	1	3	1	0	1	2	2	1.5555555555555556
YMR175W-A-t26_1	0	1	0	1	2	1	4	2	4	1.6666666666666667
YKL037W-t26_1	0	0	1	1	2	1	2	4	4	1.6666666666666667
YGR146C-A-t26_1	0	1	1	2	2	4	2	1	2	1.6666666666666667
YDR014W-A-t26_1	1	0	1	1	2	1	5	3	1	1.6666666666666667
YLR462W-t26_1	0	1	3	0	0	2	5	2	2	1.6666666666666667
YLR415C-t26_1	0	0	1	0	2	2	1	4	5	1.6666666666666667
YAL064W-t26_1	0	0	0	2	0	3	2	4	4	1.6666666666666667
YBR076W-t26_1	0	2	2	2	0	0	3	4	2	1.6666666666666667
YDL244W-t26_1	0	0	1	2	3	3	4	1	1	1.6666666666666667
YHR014W-t26_1	0	0	2	1	2	2	4	3	1	1.6666666666666667
YPR151C-t26_1	0	0	2	1	1	1	5	3	2	1.6666666666666667
YHR214C-D-t26_1	1	0	4	3	1	2	1	1	3	1.7777777777777777
YBR040W-t26_1	0	0	1	1	4	4	1	3	2	1.7777777777777777
YLR464W-t26_1	1	0	0	0	2	4	3	3	3	1.7777777777777777
YIL046W-A-t26_1	0	0	2	1	1	3	1	3	5	1.7777777777777777
YGL258W-A-t26_1	0	3	1	3	2	0	1	3	3	1.7777777777777777
YOR365C-t26_1	0	2	3	0	1	1	2	3	4	1.7777777777777777
YIL037C-t26_1	3	0	1	1	1	4	4	2	1	1.8888888888888888
YOL047C-t26_1	0	1	1	0	2	5	1	4	3	1.8888888888888888
YLR377C-t26_1	0	0	0	2	3	3	1	3	5	1.8888888888888888
YDR034C-C-t26_1	0	0	0	2	5	1	4	2	3	1.8888888888888888
YNR064C-t26_1	1	1	4	1	2	2	3	1	2	1.8888888888888888
YBR072C-A-t26_1	1	2	0	1	3	2	4	0	4	1.8888888888888888
YAR020C-t26_1	1	0	2	2	2	2	3	3	3	2.0
YER038W-A-t26_1	0	0	2	3	3	1	3	2	4	2.0
YLR329W-t26_1	0	0	0	2	1	4	4	3	4	2.0
YDL169C-t26_1	0	3	0	1	4	2	2	4	2	2.0
Q0070-t26_1	1	1	3	0	2	3	1	5	2	2.0
YML066C-t26_1	0	1	1	1	3	3	5	2	3	2.111111111111111
YDR374C-t26_1	0	0	0	2	3	4	2	6	2	2.111111111111111
YJL045W-t26_1	0	0	2	1	1	3	2	5	5	2.111111111111111
YOL024W-t26_1	0	1	0	3	1	3	2	3	6	2.111111111111111
YPR027C-t26_1	0	0	1	1	2	2	2	6	5	2.111111111111111
YIR013C-t26_1	0	2	0	0	0	4	6	2	5	2.111111111111111
YFL011W-t26_1	0	1	1	3	1	4	2	4	3	2.111111111111111
YGL230C-t26_1	0	4	0	0	2	1	4	4	4	2.111111111111111
YHR213W-t26_1	0	1	1	4	1	1	3	4	4	2.111111111111111
YGR018C-t26_1	1	0	3	2	1	0	3	6	3	2.111111111111111
YKR015C-t26_1	0	1	4	1	2	1	4	2	5	2.2222222222222223
YNR062C-t26_1	1	0	1	1	2	3	3	5	4	2.2222222222222223
YLR341W-t26_1	2	0	0	1	1	2	5	3	6	2.2222222222222223
YOR388C-t26_1	0	0	0	2	3	2	4	4	5	2.2222222222222223
YPR096C-t26_1	1	1	0	0	2	4	4	1	7	2.2222222222222223
YLR312C-t26_1	2	1	4	0	1	2	2	3	5	2.2222222222222223
YGL205W-t26_1	0	0	1	2	1	6	0	6	5	2.3333333333333335
YPR203W-t26_1	0	2	1	3	1	3	4	3	4	2.3333333333333335
YBL071C-B-t26_1	0	2	0	1	2	2	3	7	4	2.3333333333333335
YJL027C-t26_1	0	2	0	1	4	4	4	1	5	2.3333333333333335
YBR301W-t26_1	0	0	1	4	1	2	4	5	4	2.3333333333333335
YDR246W-A-t26_1	1	0	1	3	3	1	3	4	6	2.4444444444444446
YBR033W-t26_1	0	1	0	4	4	3	5	2	3	2.4444444444444446
YBL008W-A-t26_1	0	0	2	3	3	4	4	2	4	2.4444444444444446
YPL223C-t26_1	0	2	2	0	2	1	4	6	5	2.4444444444444446
YJL038C-t26_1	1	1	1	1	3	2	4	4	5	2.4444444444444446
YCR104W-t26_1	1	2	1	1	5	1	3	5	4	2.5555555555555554
