name	wt_ribo_YPD1_cds_rpm	wt_ribo_YPD2_cds_rpm	wt_ribo_YPD3_cds_rpm	ncs2d_ribo_YPD1_cds_rpm	ncs2d_ribo_YPD2_cds_rpm	ncs2d_ribo_YPD3_cds_rpm	elp6d_ribo_YPD1_cds_rpm	elp6d_ribo_YPD2_cds_rpm	elp6d_ribo_YPD3_cds_rpm	ncs2d_elp6d_ribo_YPD1_cds_rpm	ncs2d_elp6d_ribo_YPD2_cds_rpm	ncs2d_elp6d_ribo_YPD3_cds_rpm
NM_001178148.1	22.95	37.7	21.19	30.35	28.31	11.44	21.84	16.2	28.53	26.89	18.84	59.5
NM_001178149.1	9.34	16.33	9.84	11.79	9.51	4.44	9.2	6.89	11.94	11.68	6.99	23.27
NM_001178150.1	2130.56	3303.16	1507.81	2202.35	2058.32	751.62	1290.35	1102.52	2170.15	1681.18	1203.39	3436.35
NM_001178151.1	7555.61	12059.37	7131.15	10271.22	9747.21	3704.46	6225.19	5203.8	9180.63	9778.27	7503.38	20310.68
NM_001178152.1	77.63	131.54	71.97	80.58	86.35	29.17	57.21	53.15	83.41	80.29	52.78	149.38
NM_001178153.1	19.41	29.82	18.01	28.08	27.52	10.73	17.44	15.56	23.61	31.98	24.88	65.51
NM_001178154.1	6.53	9.77	4.54	8.24	8.05	3.5	7.05	5.2	10.12	10.55	7.3	19.13
NM_001178155.2	8.04	12.76	6.21	9.67	10.69	3.58	7.93	6.24	9.57	9.91	6.85	21.58
NM_001178156.1	8.16	13.05	8.4	10.21	8.5	3.66	5.9	5.1	9.57	7.98	5.14	14.64
NM_001178157.1	827.12	1240.98	654.04	800.06	851.35	353.5	652.51	609.87	1097.88	1144.93	796.37	2172.41
NM_001178158.2	18.79	32.38	15.82	27.78	22.52	10.93	16.38	12.14	26.71	29.73	19.7	63.81
NM_001178159.1	12.04	21.66	11.88	17.52	17.06	6.13	9.73	9.41	15.68	16.39	13.84	31.82
NM_001178160.1	7.09	11.67	7.04	9.43	9.51	3.7	6.91	6.19	11.76	13.02	9.74	23.44
NM_001178161.1	183.0	303.56	154.85	244.51	235.68	83.93	151.46	128.35	223.08	229.89	159.29	452.8
NM_001178162.2	34.32	49.29	31.64	40.56	36.42	15.25	25.81	23.23	35.92	39.96	25.87	79.3
NM_001178163.1	0.11	0.07	0.08	0.15	0.0	0.0	0.09	0.05	0.18	0.16	0.18	0.17
NM_001178164.1	68.63	113.02	57.82	85.72	82.46	32.24	56.37	48.0	87.33	88.05	60.81	167.66
NM_001178165.2	8.78	13.49	6.96	9.28	10.53	5.66	7.44	7.03	11.76	13.55	9.24	27.76
NM_001178166.1	95.02	156.55	76.29	99.88	99.29	41.44	67.78	59.05	115.41	105.41	71.26	207.27
NM_001178167.1	40.84	68.98	35.42	49.3	49.36	19.07	35.54	31.65	51.87	63.15	47.55	131.44
NM_001178168.1	288.53	454.71	252.78	283.35	268.38	113.73	191.62	174.18	308.41	261.49	194.63	560.88
